make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford Windstar,1999,None,fair,6 cylinders,fwd,gas,red,120280,None,clean,automatic,van,1500
aluminum carport,2000,None,None,None,None,other,None,None,None,parts only,other,None,325
aluminum,2000,None,None,None,None,other,None,None,None,clean,other,None,325
hyundai elantra,2008,None,like new,4 cylinders,fwd,gas,None,161000,None,clean,automatic,sedan,2900
Honda Civic,2003,None,good,4 cylinders,fwd,hybrid,custom,153000,None,clean,manual,sedan,2900
chevy silverado 1500,2003,None,None,8 cylinders,4wd,gas,silver,170000,None,clean,automatic,None,1700
chevy aveo,2004,None,None,None,None,gas,None,None,None,clean,manual,None,300
ford e350 box truck,1989,None,excellent,8 cylinders,rwd,diesel,white,99000,full-size,clean,automatic,van,3000
Chevy 1ton dump truck,1995,None,excellent,8 cylinders,rwd,gas,white,81000,full-size,clean,manual,other,3000
honda ridgeline,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,11995
Chevrolet Trailblazer lt,2005,None,fair,6 cylinders,4wd,gas,None,228650,None,clean,automatic,None,3500
Subaru Outback,2013,None,excellent,None,None,gas,None,116000,None,clean,automatic,wagon,10995
suzuki xl-7,2007,None,None,6 cylinders,4wd,gas,silver,125000,full-size,clean,automatic,SUV,2700
gmc sierra 2500 hd,2006,None,None,None,None,gas,None,153000,None,clean,automatic,None,7995
Buick Century,1999,None,fair,8 cylinders,None,gas,white,None,full-size,clean,automatic,None,600
kia optima,2010,None,excellent,4 cylinders,fwd,gas,red,125000,mid-size,clean,automatic,sedan,3495
ford f350,2002,None,None,None,None,gas,None,155000,None,clean,automatic,None,2500
Ford Explorer,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
toyota sequoia,2005,None,None,None,None,gas,silver,275000,full-size,clean,automatic,None,4000
chevrolet trailblazer,2004,None,excellent,6 cylinders,4wd,gas,green,126000,mid-size,clean,automatic,SUV,4100
Lexus IS250,2007,None,excellent,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,2500
Ford f350,1997,None,None,8 cylinders,rwd,gas,white,220000,None,clean,manual,None,1500
chevrolet trailblazer,2006,None,excellent,6 cylinders,4wd,gas,grey,128000,mid-size,clean,automatic,SUV,3900
jeep commander,2010,None,excellent,6 cylinders,4wd,gas,white,122900,mid-size,clean,automatic,SUV,8795
bmw 328xi,2013,None,excellent,6 cylinders,4wd,gas,white,110500,None,clean,automatic,sedan,12995
