make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Nissan Maxima,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
jeep cherokee,2001,None,None,None,None,gas,None,164000,None,clean,automatic,None,5900
hundai santa fe,2005,KM8SC13E25U983398,like new,6 cylinders,4wd,gas,blue,141000,full-size,clean,automatic,SUV,3750
Ford F 150,1998,None,None,None,None,gas,None,None,full-size,clean,automatic,None,1800
Ford Excursion Limited 4x4,2002,None,good,8 cylinders,4wd,diesel,green,232000,full-size,clean,automatic,SUV,8900
Chevy,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,22500
ford mustang,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
ford f-150,2000,None,good,6 cylinders,rwd,gas,blue,None,None,clean,automatic,pickup,3000
ford expedition,2007,None,excellent,8 cylinders,4wd,gas,white,87000,full-size,clean,automatic,SUV,5500
Nissan Rogue Awd,2009,None,like new,4 cylinders,4wd,gas,None,97818,None,clean,automatic,SUV,8100
chevy silverado 2500,1997,None,None,None,None,gas,None,175000,None,clean,automatic,None,5000
ford f-250 super duty,2001,None,excellent,8 cylinders,None,gas,white,42000,full-size,clean,automatic,None,5000
ford taurus,2006,None,excellent,6 cylinders,fwd,gas,white,63000,None,clean,automatic,None,2500
chevy 3500,2005,None,None,8 cylinders,4wd,gas,white,93000,None,clean,automatic,None,6000
chevy 2500,1997,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,5000
ford taurus,2006,None,excellent,6 cylinders,fwd,gas,white,63000,None,clean,automatic,None,2500
chevrolet 1500 silverado,2002,None,good,8 cylinders,None,gas,grey,None,full-size,clean,automatic,None,4000
chevrolet 1500 silverado,2005,None,None,None,None,gas,None,82000,None,clean,automatic,None,5000
ford f-250 super duty,2001,None,excellent,8 cylinders,None,gas,white,42000,full-size,clean,automatic,None,5000
chevy express,1997,None,excellent,8 cylinders,rwd,gas,green,None,full-size,clean,automatic,van,3000
dodge sprinter,2008,None,None,None,None,diesel,white,None,full-size,clean,automatic,None,14000
nissan sentra,2004,None,excellent,4 cylinders,fwd,gas,blue,103487,compact,clean,automatic,sedan,2500
chevrolet express,2005,None,excellent,8 cylinders,None,gas,blue,119000,None,clean,automatic,None,6000
ford e350 van,2008,None,salvage,8 cylinders,rwd,gas,custom,None,full-size,clean,automatic,van,1
chevy tahoe,2002,None,excellent,8 cylinders,4wd,gas,white,104000,None,clean,automatic,None,6000
chrevy trailblazer,2002,None,good,6 cylinders,4wd,gas,green,173000,None,clean,automatic,None,1999
jeep wrangler,2006,1J4FA69S46P707420,like new,6 cylinders,4wd,gas,blue,12300,None,clean,manual,None,26000
chevrolet surburban,1999,None,good,8 cylinders,rwd,gas,red,125000,full-size,clean,automatic,SUV,2500
venture,2006,None,excellent,None,None,other,None,None,None,clean,other,None,800
chevy 3500 bus,2002,None,good,8 cylinders,rwd,diesel,white,None,full-size,clean,automatic,bus,3000
dodge caravan,2000,None,good,6 cylinders,fwd,gas,blue,127000,full-size,clean,automatic,None,1999
lincoln ls,2002,None,good,8 cylinders,rwd,gas,silver,None,full-size,clean,automatic,None,1500
nissan altima,2005,None,excellent,4 cylinders,fwd,gas,red,161,full-size,clean,automatic,sedan,2500
dodge caravan,2007,None,like new,6 cylinders,fwd,gas,white,76000,full-size,clean,automatic,mini-van,3500
jeep cherokee,2001,None,excellent,8 cylinders,4wd,gas,blue,141000,full-size,clean,automatic,SUV,3500
ford crown victoria p71,2008,None,excellent,8 cylinders,rwd,gas,white,110000,full-size,clean,automatic,sedan,1999
CHEVY 2500 PICKUP,1997,None,good,8 cylinders,4wd,gas,blue,163000,full-size,clean,automatic,pickup,1999
chevy express 150,2005,None,excellent,6 cylinders,rwd,gas,white,108000,full-size,clean,automatic,None,4500
chevrolet tahoe,2009,None,fair,8 cylinders,None,gas,None,None,None,clean,automatic,None,1
jeep cherokee,2004,None,fair,6 cylinders,4wd,gas,blue,None,full-size,parts only,automatic,SUV,1500
ford crown victoria p71,2007,None,excellent,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,1999
Gmc,2002,None,None,None,None,diesel,None,None,None,clean,automatic,None,17500
honda accord,2003,None,good,4 cylinders,fwd,gas,black,141160,full-size,clean,automatic,sedan,3350
Dodge Ram 2500,1997,None,None,8 cylinders,4wd,gas,None,125000,full-size,clean,automatic,None,4000
Toyota Sequoia,2001,None,good,8 cylinders,4wd,gas,green,164000,full-size,clean,automatic,SUV,4000
jeep grand cherokee,2006,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,SUV,1600
toyota sequoia limited,2005,None,excellent,8 cylinders,4wd,gas,white,109000,full-size,clean,automatic,SUV,9800
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
toyota highlander,2006,None,None,None,4wd,gas,None,126000,None,clean,automatic,None,6900
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,17000,full-size,lien,automatic,pickup,36000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,17000,full-size,lien,automatic,pickup,36000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,17000,full-size,lien,automatic,pickup,36000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,17000,full-size,lien,automatic,pickup,36000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
Ford Explorer XLT,2007,None,excellent,6 cylinders,4wd,gas,silver,139000,full-size,clean,automatic,None,6900
honda accord,2002,1HGCG66892A169053,like new,4 cylinders,fwd,gas,black,174000,None,clean,automatic,sedan,2500
Jeep Wrangler,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,29995
hyundai azera limited,2009,None,like new,6 cylinders,fwd,gas,None,217000,None,clean,automatic,sedan,2500
