make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Oldsmobile Toronado,1983,None,good,8 cylinders,fwd,gas,white,74000,full-size,clean,automatic,convertible,8000
toyota camry,1995,None,good,4 cylinders,fwd,gas,green,12600,mid-size,clean,automatic,sedan,1400
ford f-250,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
audi a4,2004,None,good,4 cylinders,4wd,gas,grey,130000,compact,clean,automatic,sedan,3500
chevrolet avalanche,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,11000
chrysler pt cruiser,2003,None,excellent,4 cylinders,fwd,gas,white,59000,compact,clean,automatic,wagon,2900
buick lucerne cxl,2006,None,None,None,None,gas,None,None,None,salvage,automatic,sedan,2097
chevy Tahoe,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Mercedes Benz s 430,2002,None,good,8 cylinders,None,gas,black,102450,None,clean,automatic,None,2750
titan nissan 4x4,2005,None,good,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,2500
honda accord,1994,None,fair,None,None,gas,None,None,None,clean,manual,None,1300
kia rio,2008,None,None,4 cylinders,None,gas,None,104000,None,clean,automatic,None,2000
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
toyota 4runner sr5,2004,None,excellent,6 cylinders,4wd,gas,silver,122200,full-size,clean,automatic,SUV,7950
toyota celica gts,1984,None,good,4 cylinders,None,gas,None,73000,None,clean,manual,None,2850
bmw 328i,2008,None,good,6 cylinders,rwd,gas,brown,None,mid-size,clean,automatic,sedan,4750
honda fit sport,2009,None,good,4 cylinders,fwd,gas,orange,80900,compact,clean,automatic,hatchback,7000
Ford Explorer Sport trac,2001,None,excellent,6 cylinders,4wd,gas,black,99000,None,clean,automatic,None,4850
mercury mariner hybrid,2008,4M2CU39H68KJ32654,excellent,4 cylinders,None,hybrid,silver,130500,None,clean,automatic,SUV,6995
ford crown victoria,2007,None,excellent,8 cylinders,None,gas,silver,None,None,clean,automatic,None,4000
Volvo 850,1996,None,good,5 cylinders,fwd,gas,white,125000,None,clean,automatic,None,3800
gmc envoy,2002,None,good,6 cylinders,4wd,gas,None,None,mid-size,clean,automatic,SUV,1950
DODGE 3500,1996,None,None,6 cylinders,4wd,diesel,blue,212,None,clean,automatic,None,7500
scion tc,2007,None,None,None,None,gas,None,178000,None,clean,automatic,None,2899
infiniti g35x,2006,None,good,6 cylinders,None,gas,None,149000,None,clean,automatic,None,4499
nissan sentra 2.0 s,2008,None,good,4 cylinders,fwd,gas,None,120000,None,clean,automatic,None,2899
nissan versa,2008,None,good,4 cylinders,fwd,gas,None,147000,None,clean,automatic,None,3199
Toyota Sienna Limited,2006,5TDBA22C46S073287,excellent,6 cylinders,4wd,gas,silver,None,None,clean,automatic,mini-van,6400
honda civic coupe,1993,None,None,None,None,gas,None,None,None,clean,manual,None,2000
Honda Pilot EX-L,2007,2HKYF18797H529386,excellent,6 cylinders,4wd,gas,blue,137000,None,clean,automatic,SUV,6100
mazda miata mx-5,1990,None,None,4 cylinders,None,gas,None,133608,None,clean,manual,None,4500
audi s4,2005,WUARL48H95K901558,good,8 cylinders,4wd,gas,grey,130000,mid-size,clean,automatic,convertible,9500
honda accord lx,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
Ford Taurus limited,2011,None,None,None,None,gas,None,200000,None,clean,automatic,None,5000
nissan rogue sl,2010,None,like new,4 cylinders,fwd,gas,red,136546,full-size,clean,automatic,truck,6300
subaru forester,2009,None,excellent,4 cylinders,4wd,gas,None,103,mid-size,clean,automatic,wagon,6500
chevrolet trailblazer,2003,None,None,None,None,gas,None,149000,None,clean,automatic,None,2600
acura integra ls,1996,None,None,None,None,gas,None,None,None,clean,manual,None,100
jaguar x-type,2002,None,None,None,None,gas,None,140000,None,clean,automatic,None,1500
mini cooper hardtop s,2009,None,None,None,None,gas,None,104000,None,clean,manual,None,5900
Doodge Ram 1500,2001,None,good,8 cylinders,4wd,gas,brown,58000,None,clean,automatic,pickup,4100
Volkswagen Passat 4motion,2004,None,None,None,None,gas,None,119000,None,clean,automatic,None,2000
hyundai sonata,2011,None,good,4 cylinders,None,gas,blue,145000,None,clean,automatic,sedan,4500
chevy suburban,1999,None,excellent,8 cylinders,4wd,gas,green,163000,full-size,clean,automatic,SUV,6000
saturn vue awd,2004,5GZCZ33D34S883491,good,4 cylinders,fwd,gas,white,144684,mid-size,clean,automatic,SUV,2400
ford f150,2003,None,good,8 cylinders,4wd,gas,red,235000,full-size,clean,automatic,truck,1000
Ford edge awd,2007,None,None,None,None,gas,None,119000,None,clean,automatic,None,4000
Ford explorer,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
land rover defender 90,1990,None,excellent,4 cylinders,4wd,gas,green,73000,full-size,clean,manual,offroad,36500
land rover defender 90,1990,None,excellent,4 cylinders,4wd,gas,green,73000,full-size,clean,manual,offroad,36500
lexus rx 350,2009,None,good,6 cylinders,4wd,gas,silver,188700,full-size,clean,automatic,SUV,9000
Audi A4,2002,None,good,6 cylinders,4wd,gas,None,118345,None,clean,automatic,None,2900
mercedes benz ml350,2005,None,None,6 cylinders,4wd,gas,None,189000,None,clean,automatic,None,3400
Volkswagen jetta,2003,None,None,None,None,gas,None,119000,None,clean,automatic,None,2200
jeep grand cherokee laredo,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
Cadillac STS,2007,None,None,6 cylinders,4wd,gas,None,100000,None,clean,automatic,None,4300
Honda Odyssey LX,1998,None,good,4 cylinders,fwd,gas,silver,135,mid-size,clean,automatic,mini-van,2900
Toyota prius,2006,None,None,None,None,gas,None,119000,None,clean,automatic,None,3500
Pontiac grand am,1999,1G2NW52E5XM888956,good,6 cylinders,fwd,gas,white,121000,full-size,clean,automatic,sedan,1200
chevrolet corvette convertible,1996,None,excellent,8 cylinders,rwd,gas,silver,31000,None,clean,manual,None,20000
BMW 740Li,2010,None,excellent,8 cylinders,4wd,gas,silver,79000,full-size,clean,automatic,sedan,18500
C280 4Matic,2007,None,excellent,6 cylinders,4wd,gas,silver,129800,full-size,clean,automatic,sedan,6800
Camry LE,2007,4T1BE46k07U029295,excellent,6 cylinders,fwd,gas,silver,128300,full-size,clean,automatic,sedan,6489
X type,2003,None,good,6 cylinders,4wd,gas,black,113000,mid-size,clean,automatic,sedan,1450
BMW,2006,WBANF33566CS34807,excellent,6 cylinders,4wd,gas,silver,77900,mid-size,clean,automatic,sedan,8500
Volkswagen eos,2007,None,None,None,None,gas,None,119000,None,clean,automatic,None,2500
honda odyssey,2006,None,like new,6 cylinders,fwd,gas,brown,None,full-size,clean,automatic,None,5900
jeep wrangler,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,7300
chevrolet camaro,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1700
Dodge Dakota,2001,None,good,8 cylinders,None,gas,None,99000,None,clean,automatic,None,3000
Lexus es300,2002,None,excellent,6 cylinders,None,gas,None,144000,None,clean,automatic,None,4000
PORSCHE 928,1979,None,excellent,8 cylinders,rwd,gas,white,49300,None,clean,manual,coupe,11900
honda accord ex-l,2013,None,new,6 cylinders,None,gas,grey,8500,full-size,clean,automatic,sedan,1
Lincoln MKZ,2011,None,like new,6 cylinders,None,gas,black,67000,full-size,clean,automatic,sedan,9000
chevy malibu,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3350
chevy silverado 1500,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Avalon,2006,None,like new,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,None,2000
Ford F350,2004,None,good,8 cylinders,4wd,diesel,blue,None,full-size,clean,automatic,None,5500
ford expedition,2000,1FMRU1668YLB61800,fair,8 cylinders,4wd,gas,black,164000,full-size,clean,automatic,SUV,1500
olds cutlass,1988,1G3GR11Y2JP327376,good,8 cylinders,rwd,gas,blue,68477,None,clean,automatic,None,1900
saab 9-3 turbo,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
Ford Expedition XLT,2013,None,like new,8 cylinders,4wd,gas,black,19000,full-size,clean,automatic,SUV,32995
Ford F-150,2006,None,excellent,None,4wd,gas,white,None,None,clean,automatic,None,2321
acura tl,2004,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1022
ford e250 econoline,2003,None,fair,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,van,500
Honda Civic,2008,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,4900
toyota sienna,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
hyundai elantra,1998,None,good,4 cylinders,fwd,gas,grey,13000,mid-size,clean,manual,sedan,1200
Honda Cr-v,2003,None,None,4 cylinders,None,gas,None,110,None,clean,automatic,None,4500
toyota camry le,2002,None,good,4 cylinders,fwd,gas,silver,216186,None,clean,automatic,None,2200
honda civic,2000,None,excellent,None,None,gas,silver,177078,None,clean,automatic,sedan,1500
plymouth belvedere,1956,None,None,None,None,gas,None,None,None,missing,automatic,None,1500
Ford f550,1987,None,excellent,8 cylinders,rwd,gas,red,136000,None,clean,manual,None,7000
ford e350,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,4900
Chevrolet 1500 Silverado,2001,None,good,8 cylinders,4wd,gas,green,155000,full-size,clean,automatic,pickup,6250
honda accord,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Jeep commander,2008,None,None,8 cylinders,4wd,gas,None,119000,None,clean,automatic,None,6900
Toyota rav4,2009,None,None,4 cylinders,4wd,gas,None,108000,None,clean,automatic,None,7000
ford focus,2007,None,excellent,4 cylinders,fwd,gas,silver,99000,compact,clean,automatic,sedan,2700
Nissan Sentra sr,2012,None,None,4 cylinders,None,gas,None,95000,None,clean,automatic,None,5100
Honda Accord,1997,None,None,4 cylinders,fwd,gas,None,170000,None,clean,automatic,None,2000
jeep cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Nissan Sentra,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1995
Jeep Wrangler,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,4400
mazda cx-9,2009,None,like new,None,4wd,gas,None,None,None,clean,automatic,None,7000
Toyota Camry,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
Cadillac escalade,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6400
honda civic DX,2000,None,good,4 cylinders,fwd,gas,silver,177,compact,salvage,automatic,sedan,1500
dodge ram,2001,None,good,8 cylinders,4wd,gas,green,145000,full-size,clean,automatic,pickup,4500
Ford F-350,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Honda Ridgeline,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
ford ranger,2011,None,like new,4 cylinders,rwd,gas,white,104000,mid-size,clean,automatic,pickup,6900
Xc90,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,5600
Ford Taurus SE,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
honda accord,2007,None,excellent,4 cylinders,fwd,gas,silver,169000,mid-size,clean,automatic,sedan,4450
toyota camry,2009,None,excellent,4 cylinders,fwd,gas,white,95,mid-size,clean,automatic,sedan,4800
toyota camry,2009,None,excellent,4 cylinders,fwd,gas,white,95,mid-size,clean,automatic,sedan,4800
Plymouth,1940,None,None,None,None,gas,None,None,None,clean,manual,None,7500
toyota camry hybrid,2007,None,None,None,None,gas,None,165000,None,clean,automatic,None,5200
This vehicle includes,2007,None,excellent,6 cylinders,fwd,gas,None,None,full-size,clean,automatic,sedan,1800
