make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Toyota Tacoma,1997,None,salvage,6 cylinders,4wd,gas,None,189000,None,clean,manual,None,2000
infiniti g35,2004,None,like new,6 cylinders,rwd,gas,None,134000,None,clean,automatic,coupe,6800
infiniti,2009,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,2100
kia soul wagon,2011,None,excellent,4 cylinders,fwd,gas,white,64000,None,clean,automatic,wagon,7700
chrysler town &amp; country,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
dodge dakota slt,1999,None,None,None,4wd,gas,None,None,None,clean,automatic,None,3000
honda civic,2001,None,None,None,fwd,gas,None,None,None,clean,automatic,None,2400
volkswagen jetta,2007,None,None,None,fwd,gas,None,None,None,clean,automatic,None,2700
Chevy 3500,2002,None,excellent,8 cylinders,4wd,gas,black,190000,full-size,clean,automatic,pickup,11000
honda civic,2005,None,None,None,fwd,gas,None,None,None,clean,automatic,None,2700
honda odyssey,2003,None,None,6 cylinders,fwd,gas,silver,None,None,clean,automatic,None,2700
nissan altima,2006,None,None,4 cylinders,fwd,gas,None,None,None,clean,manual,None,2900
Dodge Durango,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
ford f-150,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
ford f-150,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
ford fusion hybrid,2011,None,good,4 cylinders,fwd,hybrid,grey,185000,mid-size,clean,automatic,sedan,3550
Mercedes benz ml320 cdi,2008,None,excellent,6 cylinders,4wd,diesel,blue,95000,mid-size,clean,automatic,SUV,9950
toyota camry xle,2002,None,excellent,6 cylinders,fwd,gas,black,135000,mid-size,clean,automatic,sedan,2950
bmw 7-series 750li,2012,None,excellent,8 cylinders,4wd,gas,black,115000,full-size,clean,automatic,sedan,18500
Mercedes benz ml320 cdi,2008,None,excellent,6 cylinders,4wd,diesel,blue,94000,mid-size,clean,automatic,SUV,9950
Mercedes benz ml320 cdi,2008,None,excellent,6 cylinders,4wd,diesel,blue,94000,mid-size,clean,automatic,SUV,9950
