make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Mercedes benz e500,2003,None,excellent,None,None,gas,silver,181000,None,clean,automatic,None,3000
Mercedes benz e500,2003,None,excellent,None,None,gas,silver,181000,None,clean,automatic,None,3000
Mercedes benz e500,2003,None,excellent,None,None,gas,silver,181000,None,clean,automatic,None,3000
Honda CRV EX,2001,Clean Title,good,4 cylinders,None,gas,None,245221,compact,clean,automatic,sedan,1500
Chev. El Camino,1978,1W80L8K476992,fair,8 cylinders,rwd,gas,black,67000,full-size,clean,automatic,pickup,1300
civic ex,2005,can see in pic,good,4 cylinders,fwd,gas,None,None,compact,clean,automatic,sedan,2100
Dodge Grand Caravan,2008,None,excellent,None,None,gas,None,107000,None,clean,automatic,None,5990
hyundai sonata,2012,None,excellent,None,None,gas,None,53000,None,clean,automatic,None,6000
Mercedes,1997,None,None,None,None,gas,None,180000,None,clean,automatic,None,4000
Mercedes benz SL500,1999,WDBFA68F1XF180839,excellent,8 cylinders,rwd,gas,black,115000,None,clean,automatic,convertible,9500
TOYOTA HIGHLANDER,2011,None,excellent,6 cylinders,4wd,gas,white,76500,None,clean,automatic,SUV,16000
ford expedition,1997,None,None,None,None,gas,None,140000,None,clean,automatic,None,800
buick lacrosse,2014,None,excellent,4 cylinders,fwd,gas,black,None,full-size,clean,automatic,sedan,385
Toyota corona,1980,None,None,None,None,gas,white,None,None,clean,manual,None,2000
Subaru Forester,2004,None,None,None,fwd,gas,red,160,full-size,clean,automatic,None,1500
subaru legacy l,2001,None,good,None,4wd,gas,blue,118000,None,clean,automatic,wagon,2000
Chevy astro,2005,None,good,6 cylinders,None,gas,None,212000,None,clean,automatic,None,2950
MERCEDES BENZ 300CD,1983,None,salvage,5 cylinders,rwd,diesel,blue,200000,mid-size,clean,automatic,coupe,2500
Mazda protege,1998,None,fair,4 cylinders,None,gas,custom,None,None,clean,automatic,sedan,900
jeep grand cherokee laredo,1994,None,good,6 cylinders,4wd,gas,grey,112000,mid-size,clean,automatic,truck,2600
Bmw,2012,None,None,8 cylinders,None,gas,red,64000,None,clean,automatic,coupe,29999
ford escape,2012,None,excellent,6 cylinders,4wd,gas,black,None,mid-size,clean,automatic,SUV,12495
Honda CR-V,1998,None,good,4 cylinders,4wd,gas,black,163030,sub-compact,clean,manual,SUV,3500
subaru impreza wagon wrx,2002,None,good,4 cylinders,4wd,gas,silver,185000,compact,clean,manual,wagon,4500
ford mustang gt deluxe,2008,None,excellent,8 cylinders,rwd,gas,black,67000,mid-size,rebuilt,manual,coupe,12500
Todas,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,380
Nissan Maxima,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
hyundai elantra gt,2015,None,excellent,4 cylinders,fwd,gas,blue,47000,None,clean,automatic,hatchback,12500
Toyota Camry LE,2007,None,excellent,None,rwd,gas,blue,115000,mid-size,clean,automatic,sedan,3
back seat,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,2583
1999 honda accord,1999,None,good,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,750
Toyota Sequoia Limited,2006,None,like new,8 cylinders,4wd,gas,black,None,None,clean,automatic,None,6900
jeep cherokee,2001,None,None,None,None,gas,None,164000,None,clean,automatic,None,5900
nissan rogue s,2011,None,new,4 cylinders,4wd,gas,None,91000,mid-size,clean,automatic,SUV,6600
toyota camry,1995,None,good,4 cylinders,fwd,gas,green,126000,mid-size,clean,automatic,None,1400
chevrolet express passenger,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
chevrolet express passenger,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
Bmw,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,100
honda accord,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,100
mercedes benz e320,1999,wdbjf65h2xa758509,like new,6 cylinders,fwd,gas,white,145986,mid-size,clean,automatic,sedan,4999
saab 97 x,2007,5s3et13s372803829,new,6 cylinders,4wd,gas,black,127432,full-size,clean,automatic,SUV,3799
dodge caravan,1996,1B4GP54LXTB356019,like new,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,mini-van,699
nissan altima,1997,1n4bu31d0vc256005,like new,4 cylinders,fwd,gas,custom,113,mid-size,clean,manual,None,749
honda civic si,2012,None,excellent,4 cylinders,fwd,gas,black,35000,None,clean,manual,coupe,13500
Volvo S70,2000,None,good,5 cylinders,fwd,gas,white,212000,None,clean,automatic,sedan,1195
mini cooper,2005,None,None,None,None,gas,None,None,None,clean,manual,None,3600
nissan sentra,1998,1n4ab41d2wc740511,like new,4 cylinders,fwd,gas,red,148637,mid-size,clean,automatic,sedan,649
toyota camry,2014,None,like new,4 cylinders,fwd,gas,black,144,full-size,clean,automatic,sedan,8500
honda civic,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,400
mitsubishi galant,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
Ford,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
chevy,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,22500
jeep cherokee,2001,None,excellent,6 cylinders,4wd,gas,blue,160000,full-size,clean,automatic,truck,2200
jeep cherokee,1998,None,good,6 cylinders,4wd,gas,green,140000,full-size,clean,automatic,truck,1700
jaguar x-type 2.5,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4995
Mitsubishi galant,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,1950
honda odyssey,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4700
chevrolet 1500 avalanche,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,11000
infiniti m35,2009,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,2100
volkswagen passat 2.5l se at,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,6200
triumph spitfire,1979,None,good,4 cylinders,rwd,gas,red,2541,None,clean,manual,None,5500
