make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
suzuki equator,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,4990
toyota tacoma,2001,None,None,None,None,gas,None,None,None,clean,other,None,2000
chevy silverado,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Lexus,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1570
Nissan,1986,None,excellent,None,None,gas,grey,102000,None,clean,automatic,pickup,3400
mercedes-benzMer s430,2002,None,fair,8 cylinders,None,gas,silver,150000,None,clean,automatic,None,1200
JEEP GRAND CHEROKEE,2004,None,None,None,None,gas,None,107000,None,clean,automatic,None,1520
nissan altima,2000,None,good,None,None,gas,red,None,None,clean,automatic,None,950
Ford F 250 Diesel,1999,None,good,None,None,diesel,white,333000,None,clean,automatic,truck,2800
Volkswagen Passat,1999,None,good,4 cylinders,fwd,gas,None,None,None,clean,manual,None,1700
bmw 328xi,2007,None,excellent,6 cylinders,4wd,gas,silver,104000,compact,clean,manual,sedan,5200
GMC Sierra,2015,1GTV2VEC4FZ176456,like new,8 cylinders,4wd,gas,silver,13000,full-size,clean,automatic,truck,39500
acura mdx awd,2007,None,None,6 cylinders,4wd,gas,grey,None,compact,clean,automatic,SUV,1510
jeep grand cherokee,2006,None,like new,None,None,gas,None,77000,None,clean,automatic,None,7950
honda civic lx,2016,2hgfc4a54gh309819,excellent,4 cylinders,fwd,gas,grey,18000,mid-size,clean,manual,None,13800
CHEVY SILVERADO 1500,1996,2GCEK19MOT1257535,good,8 cylinders,4wd,gas,blue,129000,full-size,clean,automatic,truck,5100
ford f-150 xlt,2013,None,excellent,6 cylinders,4wd,gas,silver,67200,full-size,clean,automatic,pickup,24900
ford super duty f-350,2006,None,good,8 cylinders,4wd,gas,green,58260,full-size,clean,automatic,None,13000
nissan maxima,2004,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
Subaru,2011,4S3BMBA61B3241661,good,4 cylinders,4wd,gas,blue,113000,None,clean,automatic,None,8500
ford e250 econoline,2002,None,salvage,6 cylinders,rwd,gas,white,147000,full-size,clean,automatic,None,600
ford five hundred,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
gmc sierra,2002,None,good,None,None,diesel,None,None,None,clean,automatic,None,4500
Toyota Highlander,2013,5TDBK3EH6DS225061,excellent,6 cylinders,4wd,gas,silver,60000,mid-size,clean,automatic,SUV,20259
ford expedition,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
olds cutlass supreme,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,750
Ford F-150,1995,None,None,8 cylinders,None,gas,red,None,None,clean,automatic,None,1500
Saturn wagon,1999,None,excellent,4 cylinders,fwd,gas,green,95000,mid-size,clean,automatic,wagon,1750
chevy malibu ls,2016,None,excellent,None,fwd,gas,silver,3400,full-size,lien,automatic,sedan,19500
Ford f-150,2001,None,excellent,8 cylinders,4wd,gas,white,None,None,clean,automatic,pickup,6800
GMC TOPKICKER,2006,None,good,8 cylinders,rwd,diesel,black,159000,None,clean,automatic,truck,22500
ford focus,2009,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,2400
ford focus,2009,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,2400
ford focus,2009,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,2400
Jeep,2000,None,None,None,None,gas,None,None,None,clean,manual,None,2200
nissan xterra,2000,None,None,6 cylinders,4wd,gas,black,None,mid-size,clean,automatic,SUV,1500
bmw x5,2008,None,None,None,None,gas,None,None,full-size,clean,automatic,None,3045
ACURA TL V6 3.2L,2004,None,excellent,6 cylinders,fwd,gas,white,89000,full-size,clean,automatic,sedan,1000
chevy nova,1978,None,None,None,None,gas,None,None,None,clean,manual,None,3500
chevy pickup,1986,None,excellent,8 cylinders,4wd,diesel,green,None,full-size,clean,automatic,pickup,8495
gmc 1500 sierra,1992,None,None,8 cylinders,4wd,gas,red,135000,None,clean,automatic,pickup,700
ez-go golf cart,1995,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1500
dodge dakota,2004,None,None,None,None,gas,None,None,None,clean,manual,None,1500
nissan quest,2000,None,excellent,6 cylinders,fwd,gas,silver,183560,full-size,clean,automatic,mini-van,2495
Chevy Equinox,2013,None,good,4 cylinders,fwd,gas,grey,56787,mid-size,clean,automatic,SUV,12000
nissan altima,2005,None,excellent,4 cylinders,fwd,gas,silver,113000,mid-size,clean,automatic,sedan,2700
ford f250 custom,1988,None,good,8 cylinders,4wd,gas,None,None,None,clean,manual,None,5000
Volvo V70 SE,2000,None,None,5 cylinders,fwd,gas,green,None,None,clean,automatic,wagon,2700
Ford F150,2004,None,excellent,None,4wd,gas,None,None,full-size,clean,automatic,None,2000
jeep compass 4wd 4dr sport,2008,None,good,4 cylinders,4wd,gas,grey,76000,mid-size,clean,manual,None,4300
2006 Subaru Tribeca,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,9900
mg b,1979,None,None,None,None,gas,None,None,None,missing,manual,None,1200
Toyota Highlander,2013,5TDBK3EH6DS225061,excellent,6 cylinders,4wd,gas,silver,60000,mid-size,clean,automatic,SUV,20259
Dodge ram,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
mazda es tribute,2004,None,excellent,6 cylinders,4wd,gas,black,114000,None,clean,automatic,SUV,4000
honda civic,1999,None,None,None,fwd,gas,None,None,None,clean,automatic,None,1200
Chevrolet Corvette,1978,None,good,8 cylinders,rwd,gas,red,82120,None,clean,automatic,None,7500
subaru legacy 2.5i,2007,None,good,4 cylinders,4wd,gas,black,None,compact,clean,manual,coupe,2800
dodge ram 2500 st,2004,None,good,8 cylinders,4wd,gas,white,93000,full-size,clean,automatic,truck,9000
chevy impala,2007,None,good,6 cylinders,fwd,gas,silver,97000,mid-size,clean,automatic,sedan,4995
2001 dodge status,2001,None,None,4 cylinders,None,gas,None,100000,None,clean,automatic,None,800
Ford GT,2002,None,excellent,8 cylinders,rwd,gas,blue,None,full-size,clean,manual,None,5500
chevy s10 pickup,1993,None,excellent,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,pickup,400
Chevy 2500hd diesel,2006,None,excellent,8 cylinders,4wd,diesel,grey,145000,None,lien,automatic,None,21000
scion xa,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Ford E350,2006,1FBSS31L26HA33304,good,8 cylinders,rwd,gas,white,296880,None,clean,automatic,van,3900
chevy uplander,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,850
chevy silverado,2002,None,None,8 cylinders,4wd,gas,silver,None,full-size,clean,automatic,truck,1
toyota tacoma,2002,None,None,None,None,gas,None,None,None,clean,other,None,2000
ford super duty,2002,None,fair,8 cylinders,4wd,diesel,black,198000,full-size,clean,automatic,None,9000
Lincoln,1978,None,None,None,None,gas,None,67000,None,clean,automatic,None,4450
Lincoln,1978,None,None,None,None,gas,None,None,None,clean,automatic,None,4950
Chrysler PT cruiser,2006,None,good,4 cylinders,fwd,gas,red,114211,None,clean,automatic,None,1700
Chevrolet Silverado LTZ,2008,2GCEK13Y381162454,excellent,8 cylinders,4wd,gas,blue,138645,None,clean,automatic,pickup,13750
volvo v70 t5,1998,None,excellent,None,None,gas,blue,None,None,clean,automatic,None,850
dodge ram 2500,2001,None,None,None,None,diesel,None,None,None,clean,manual,None,5900
