make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
honda accord,2005,None,None,4 cylinders,fwd,gas,blue,84000,None,clean,automatic,sedan,1200
Chevy Impala,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
honda civic,2003,None,None,4 cylinders,fwd,gas,silver,None,None,clean,manual,sedan,2000
Honda crv,1999,None,good,4 cylinders,4wd,gas,blue,None,mid-size,clean,automatic,SUV,1600
Civic LX,2009,2HGFA16569H362800,like new,4 cylinders,fwd,gas,silver,86250,mid-size,clean,automatic,mini-van,7250
Cadillac SRX Luxury AWD,2011,None,good,6 cylinders,4wd,gas,brown,98500,None,clean,automatic,None,9900
Chevy Impala,2004,None,None,None,None,gas,None,160,None,clean,automatic,None,1350
chevy caprice classic,1993,None,good,8 cylinders,rwd,gas,white,None,full-size,parts only,automatic,sedan,800
Pontiac Grand Prix,2005,None,good,6 cylinders,fwd,gas,silver,184305,None,clean,automatic,sedan,1700
dodge grand caravan se,2007,None,fair,6 cylinders,fwd,gas,blue,138000,full-size,clean,automatic,van,1800
nissan sentra,2006,None,good,4 cylinders,fwd,gas,grey,140500,mid-size,clean,automatic,sedan,2295
ford,1930,None,None,None,None,gas,None,None,None,missing,other,None,4000
hyundai elantra,2013,None,like new,None,None,gas,None,None,None,clean,automatic,None,6500
Hiundai Santa Fe,2003,None,excellent,6 cylinders,4wd,gas,None,135,mid-size,clean,automatic,None,2700
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1544
Ford Escape,2008,None,excellent,6 cylinders,4wd,gas,white,102000,None,clean,automatic,None,7990
buick supper 8,1940,None,None,None,None,gas,None,None,None,clean,manual,None,2800
GMC Envoy,2007,None,None,None,4wd,gas,None,111456,None,clean,automatic,None,5600
saab 900s convertible,1992,YS3AK76EXN7001030,good,4 cylinders,fwd,gas,green,81300,None,clean,automatic,None,3200
Saturn aura,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,3300
mercedes-benz 300e,1987,None,None,None,None,gas,grey,73000,None,clean,automatic,None,2100
jeep,2003,None,None,6 cylinders,4wd,gas,None,212789,None,clean,automatic,None,2850
