make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet 1500 silverado,2010,16CSKSE30AZ163293,like new,8 cylinders,4wd,gas,blue,93000,full-size,clean,automatic,pickup,16900
ford taurus se 4dr sedan,2001,None,good,6 cylinders,fwd,gas,grey,164324,full-size,clean,automatic,sedan,750
Mercedes 300D,1982,None,good,5 cylinders,rwd,diesel,yellow,222481,None,clean,automatic,sedan,2200
Cadillac Coupe De Ville,1980,None,good,8 cylinders,rwd,diesel,blue,81892,None,clean,automatic,None,2000
Buick Park Avenue,2002,None,good,6 cylinders,fwd,gas,brown,160000,full-size,clean,automatic,sedan,1400
ford mustang,1968,None,fair,6 cylinders,rwd,gas,black,None,full-size,clean,automatic,coupe,3500
buick rainier,2004,5GAET13P042241452,good,8 cylinders,None,gas,white,165000,full-size,clean,automatic,SUV,1500
gmc 1500 suburban,1997,3GKGK16F7VG511111,good,8 cylinders,4wd,diesel,red,300000,full-size,clean,automatic,SUV,2500
subaru impreza outback sport,2002,None,good,4 cylinders,4wd,gas,silver,160000,mid-size,clean,automatic,SUV,1500
Ford F-150,1996,None,None,6 cylinders,None,gas,None,None,None,clean,manual,None,1500
Truck/ Storage Boxes,2017,None,None,None,None,other,None,None,None,clean,other,None,2500
chevrolet malibu,2004,None,good,6 cylinders,fwd,gas,green,110000,mid-size,clean,automatic,sedan,1990
toyota corolla,2004,None,good,4 cylinders,fwd,gas,silver,178000,mid-size,clean,automatic,sedan,2690
nissan altima,2005,None,good,4 cylinders,fwd,gas,red,129000,mid-size,clean,automatic,sedan,2690
ford escape xlt,2004,None,good,6 cylinders,4wd,gas,red,164324,full-size,clean,automatic,SUV,1400
hyandai sonata,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
kia sedona,2012,None,good,None,fwd,gas,grey,154000,mid-size,clean,automatic,mini-van,4200
mercedes-benz s550,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,11500
Ford model A,1931,None,None,None,None,gas,None,None,None,missing,automatic,None,18900
Chevrolet HD2500,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,8900
nissan quest,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
jaguar x-type,2006,None,None,None,None,gas,None,133000,None,clean,automatic,None,3900
plymouth sport fury,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,4995
Chevy Cavalier,2004,None,good,4 cylinders,fwd,gas,black,101000,compact,clean,manual,coupe,1400
ford f-150,2007,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,9200
cadillac cts,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,695
Volkswagen Jetta 1.8T,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,400
chrysler pt cruiser,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,850
dodge dakota,2004,None,fair,None,4wd,gas,red,999999,None,clean,automatic,None,750
chevy pick up,1994,None,good,6 cylinders,rwd,gas,white,200000,full-size,clean,automatic,None,1100
chevy cobalt,2006,1G1AK55F267834997,good,4 cylinders,fwd,gas,brown,112700,None,clean,automatic,None,2800
dodge ram,2000,None,fair,8 cylinders,4wd,gas,black,175900,None,clean,automatic,None,995
buick lesabre custom,1998,None,good,6 cylinders,fwd,gas,None,101900,None,clean,automatic,None,2995
honda accord,2017,1HGCR2F19HA000178,like new,4 cylinders,fwd,gas,white,20000,mid-size,clean,automatic,sedan,23300
MAZDA TRIBUTE,2003,4F2YZ94103KM06997,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,750
ford e350 van,2002,None,good,8 cylinders,rwd,diesel,white,174000,full-size,clean,automatic,van,4500
Mini Cooper S,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
jetta gli,2008,None,None,None,None,gas,None,None,None,clean,manual,None,3800
mazda 5,2006,None,good,4 cylinders,None,gas,None,180000,full-size,clean,automatic,None,2850
toyota matrix,2005,None,excellent,4 cylinders,4wd,gas,None,180000,None,clean,automatic,None,3950
Chevy Classic,2005,None,None,None,None,gas,None,113000,full-size,clean,automatic,sedan,1499
nissan altima,2006,None,good,4 cylinders,None,gas,blue,1840000,full-size,clean,automatic,sedan,1899
honda civic,1997,None,good,None,None,gas,None,132000,None,clean,automatic,None,1499
chevrolet cavalier,2004,None,good,None,None,gas,None,156000,None,clean,automatic,None,1399
mercedes-benz cclass,2006,None,excellent,None,4wd,gas,black,185000,full-size,clean,automatic,sedan,4050
mercedes-benz cclass,2006,None,excellent,None,4wd,gas,black,185000,full-size,clean,automatic,sedan,4050
mercury mountaineer awd gas suv,2002,None,None,None,None,gas,None,130,None,clean,automatic,None,2300
chrysler fifth avenue,1985,None,excellent,8 cylinders,rwd,gas,None,26000,None,clean,automatic,None,2000
Bmw,2008,None,None,None,None,gas,None,None,None,clean,manual,None,4650
saturn L-300,2003,1G8JW54R83Y500223,fair,6 cylinders,fwd,gas,blue,110793,None,clean,automatic,None,995
Chevrolet Monte Carlo,2004,None,good,6 cylinders,None,gas,grey,124000,None,clean,automatic,coupe,2100
Toyota Avalon XLe,2014,None,None,6 cylinders,fwd,gas,black,None,full-size,lien,automatic,sedan,18888
dodge dakota,1994,None,good,8 cylinders,4wd,gas,green,204300,None,clean,automatic,None,1200
chevy impala,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4300
mazda 3,2010,None,None,None,None,gas,None,60000,None,clean,automatic,None,5500
chevrolet malibu classic,2006,None,like new,4 cylinders,fwd,gas,None,112000,None,clean,automatic,None,1995
Jeep w,1999,None,None,None,None,gas,None,None,None,clean,manual,None,5600
Tac,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1499
Buick reservoir,2003,None,good,4 cylinders,fwd,gas,green,115825,mid-size,clean,automatic,None,1500
Marano,2003,None,good,6 cylinders,fwd,gas,blue,None,mid-size,clean,automatic,SUV,1500
Honda accord,1996,None,fair,4 cylinders,fwd,gas,green,None,compact,clean,manual,coupe,900
Dodged 1500,1996,None,good,8 cylinders,4wd,gas,black,125802,None,clean,automatic,pickup,3500
ford explorer,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1750
HONDA Cr-v,2008,None,None,None,None,gas,None,67900,None,clean,automatic,None,1420
F-150,2010,None,excellent,8 cylinders,4wd,gas,blue,88000,None,clean,automatic,truck,17500
HONDA Cr-v,2008,None,None,None,None,gas,None,68900,None,clean,automatic,None,1420
toyota tacoma,1991,None,fair,6 cylinders,4wd,gas,None,195,None,clean,manual,None,450
chevy impala,2004,None,None,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1295
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,13800
F350 Super Duty Crew cab,2005,None,excellent,8 cylinders,4wd,diesel,red,125000,full-size,clean,automatic,pickup,28000
dodge ram w250,1989,None,good,8 cylinders,4wd,gas,blue,96221,full-size,clean,automatic,pickup,4500
volvo 240DL,1990,None,fair,4 cylinders,rwd,gas,white,275000,mid-size,clean,automatic,other,1500
