make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Jeep Comanche,1990,None,excellent,6 cylinders,rwd,gas,grey,175000,None,clean,automatic,pickup,6500
Mercury Montego,1968,None,excellent,8 cylinders,rwd,gas,None,50,None,clean,manual,None,8795
honda Accord EX-L,2008,None,excellent,4 cylinders,fwd,diesel,black,None,full-size,clean,automatic,sedan,2300
Ford Focus,2008,None,good,None,None,gas,black,126000,compact,clean,automatic,sedan,3500
VW Rabbit,2009,None,excellent,5 cylinders,fwd,gas,red,55400,compact,clean,automatic,hatchback,7300
cadillac deville dts,2005,None,None,None,None,gas,None,90000,None,clean,automatic,None,4000
chevrolet tahoe,2010,None,excellent,8 cylinders,4wd,gas,blue,128000,mid-size,clean,automatic,SUV,11900
bmw x3 3.0si,2009,None,excellent,6 cylinders,4wd,gas,black,81000,mid-size,clean,automatic,SUV,11500
chevrolet malibu,2013,None,excellent,4 cylinders,fwd,gas,white,60040,mid-size,clean,automatic,sedan,10900
Honda Accord SE,2012,None,excellent,4 cylinders,fwd,gas,black,89000,mid-size,clean,automatic,sedan,9999
buick verano,2015,None,like new,4 cylinders,fwd,gas,blue,12000,mid-size,clean,automatic,sedan,14700
chevrolet cruze,2016,None,excellent,4 cylinders,fwd,gas,None,36030,mid-size,clean,automatic,sedan,13900
ford freestar,2004,None,good,6 cylinders,fwd,gas,blue,None,None,clean,automatic,None,1250
toyota sienna xle,2010,None,excellent,6 cylinders,4wd,gas,red,123040,mid-size,clean,automatic,mini-van,11900
jeep cherokee,2004,None,like new,8 cylinders,4wd,gas,None,145000,None,clean,automatic,None,5499
gmc sierra,2009,None,None,None,None,diesel,None,189678,None,clean,automatic,None,26995
cadillac cts4,2011,None,excellent,6 cylinders,4wd,gas,black,77000,mid-size,clean,automatic,sedan,12900
ford crown victoria p71,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
chevrolet trailblazer ls,2007,None,good,6 cylinders,rwd,gas,None,201256,None,clean,automatic,SUV,1900
chevrolet tahoe,2011,None,excellent,8 cylinders,rwd,gas,blue,129430,mid-size,clean,automatic,SUV,9900
bmw x5,2009,5UXFE43589L275152,excellent,6 cylinders,4wd,gas,grey,70000,None,clean,automatic,SUV,14000
chevy trailblazer,2005,None,good,6 cylinders,4wd,gas,black,192000,mid-size,rebuilt,automatic,SUV,2950
kia optima lx,2013,None,excellent,4 cylinders,fwd,gas,red,91050,mid-size,clean,automatic,sedan,8900
toyota prius hybrid,2014,None,excellent,4 cylinders,fwd,hybrid,grey,61270,mid-size,clean,manual,sedan,15900
ford fusion,2010,None,like new,6 cylinders,fwd,gas,silver,113000,mid-size,clean,automatic,sedan,5700
hummer h3 4dr 4wd suv,2007,None,None,5 cylinders,4wd,gas,black,150015,full-size,clean,automatic,SUV,4995
chevy equinox lt,2006,None,excellent,6 cylinders,4wd,gas,red,147300,mid-size,clean,automatic,SUV,4800
KIA SEDOMA,2002,None,good,6 cylinders,None,gas,brown,140000,None,clean,automatic,van,1199
mercury grand marquis ls,2006,None,good,8 cylinders,rwd,gas,blue,100360,mid-size,clean,automatic,sedan,3900
ford focus sel,2012,None,None,4 cylinders,None,gas,grey,None,None,clean,automatic,sedan,4900
FORD F 150,2006,None,None,None,None,gas,None,120000,None,clean,automatic,None,7795
chevrolet silverado 1500,2008,None,excellent,8 cylinders,4wd,gas,black,130670,mid-size,clean,automatic,pickup,12500
toyota rav 4,2012,None,excellent,4 cylinders,4wd,gas,silver,57000,mid-size,clean,automatic,SUV,14900
Honda Civic LX Coupe,2007,None,good,4 cylinders,fwd,gas,silver,116000,compact,clean,automatic,coupe,4200
honda fit sport,2009,JHMGE88499S010693,good,4 cylinders,fwd,gas,silver,140207,compact,clean,manual,hatchback,4200
subaru forester,2008,None,None,4 cylinders,None,gas,None,159,None,clean,automatic,None,4700
SHO,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,13000
honda,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
Nissan Versa,2009,None,excellent,4 cylinders,fwd,gas,black,77300,compact,clean,manual,hatchback,3900
HONDA ODYSSEY,2011,5FNRL5H67BB004362,excellent,6 cylinders,fwd,gas,black,86400,full-size,clean,automatic,None,13900
ford edge,2007,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,5500
mercedes-benz c300,2011,None,None,None,None,gas,None,76,None,rebuilt,automatic,None,11500
kia sedona lx,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
Volkswagen Tiguan Wolfsburg,2010,None,excellent,4 cylinders,fwd,gas,red,95000,compact,clean,automatic,SUV,7400
Ram Promaster 3500,2015,None,None,None,None,diesel,None,62000,None,rebuilt,automatic,None,19900
vw jetta,2015,None,None,None,None,gas,None,36000,None,clean,automatic,None,10900
Ford Focus SES,2009,None,good,4 cylinders,fwd,gas,red,None,mid-size,clean,automatic,None,2300
bmw 335i,2010,WBAPL3C50AA407453,excellent,6 cylinders,4wd,gas,black,84000,None,clean,automatic,None,12900
brakes in great condition,2009,None,excellent,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,2000
Chevrolet Malibu,2011,None,None,4 cylinders,fwd,gas,brown,None,None,clean,automatic,None,6000
camaro z28,1994,None,None,None,None,gas,None,None,None,clean,manual,None,3000
lincoln ls,2006,None,fair,8 cylinders,rwd,gas,black,148000,full-size,clean,other,sedan,1800
Acura RL,1999,JH4KA9650XC001704,good,6 cylinders,fwd,gas,black,200000,mid-size,clean,automatic,sedan,2500
fiat 500 sport,2012,None,good,None,None,gas,None,29342,None,clean,automatic,None,6250
firebird,1980,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Lincoln Navigator L,2011,5LMJJ3J5XBEJ03308,good,8 cylinders,4wd,gas,black,106000,None,clean,automatic,SUV,17995
lincoln navigator 4wd,2009,None,good,8 cylinders,4wd,gas,None,147000,None,clean,automatic,None,14000
caddilac dts,2005,None,None,None,None,gas,None,90,None,clean,automatic,None,4000
g6,2007,None,None,None,None,gas,None,140000,None,clean,automatic,None,2900
chevrolet impala ltz,2014,2G1155S35E9271698,excellent,6 cylinders,fwd,gas,black,41300,full-size,rebuilt,automatic,sedan,17900
Chevrolet Silverado,1987,1GCDR14K4HF386973,like new,8 cylinders,rwd,gas,blue,19500,full-size,clean,automatic,pickup,24900
BMW x6,2009,None,like new,8 cylinders,4wd,gas,black,99000,full-size,clean,automatic,SUV,17200
PLYMOUTH,1966,None,good,None,None,gas,yellow,94000,None,clean,automatic,None,7500
plymouth,1967,None,fair,None,None,gas,yellow,98000,None,clean,automatic,None,7500
Chevrolet Trailbalzer LT,2004,1GNDT13S932147736,fair,6 cylinders,4wd,gas,white,None,full-size,clean,automatic,SUV,800
Ford,2010,None,good,4 cylinders,fwd,gas,black,118000,None,salvage,automatic,sedan,3800
pontiac fiero,1984,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
Ford Fairlane,1956,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
ford ranger,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
vw passat,2006,None,excellent,5 cylinders,fwd,gas,None,None,None,clean,automatic,None,3950
Dodge journey R/T AWD,2009,None,excellent,6 cylinders,4wd,gas,None,None,None,clean,automatic,SUV,1
ford explorer,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2150
Pontiac G5,2008,None,excellent,4 cylinders,fwd,gas,blue,47169,compact,clean,automatic,coupe,4500
honda crv,2004,None,good,4 cylinders,4wd,gas,None,215000,None,clean,automatic,SUV,3500
Buick Regal,1997,None,None,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,5800
ford f-150,2005,None,good,8 cylinders,4wd,gas,red,274087,None,clean,automatic,pickup,2950
Jeep Grand Cherokee,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,7400
Ford Taurus Limited,2014,None,None,None,None,gas,None,86195,None,clean,automatic,None,11400
infiniti g35,2005,None,None,None,None,gas,None,113000,None,clean,automatic,None,4900
Toyota Highlander V6,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Chevy tahoe lt,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
ford explorer,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,950
lexus rx 350 awd,2008,2T2HK31U68C082653,good,6 cylinders,4wd,gas,black,1380000,mid-size,clean,automatic,SUV,9500
honda pilot ex-l,2005,5fnyf18565b026196,good,6 cylinders,4wd,gas,blue,128060,full-size,clean,automatic,SUV,5500
Hyundai Elantra GLS,2011,None,None,4 cylinders,fwd,gas,None,81300,None,clean,automatic,sedan,5950
Toyota Corolla,2010,None,excellent,4 cylinders,None,gas,None,72300,None,clean,automatic,sedan,8200
shit ads,1902,None,None,None,None,other,None,None,None,missing,other,None,1
chevy traverse,2011,None,good,6 cylinders,4wd,gas,blue,168000,full-size,clean,automatic,SUV,8800
Chevrolet Avalanche,2003,None,good,8 cylinders,4wd,gas,black,149400,full-size,clean,automatic,None,4400
Mazda 5,2009,None,good,None,None,gas,None,None,None,clean,automatic,None,2700
CHEVY COBALT,2009,None,good,4 cylinders,fwd,gas,black,145000,compact,salvage,automatic,None,2975
f150,1999,None,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,1150
Buick Roadmaster,1992,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,2195
Ford Mustang Bullit,2009,1ZVHT82H095119577,excellent,8 cylinders,rwd,gas,black,65000,full-size,lien,manual,coupe,11000
Dodge Durango SLT,2003,None,fair,8 cylinders,4wd,gas,blue,171000,mid-size,clean,automatic,SUV,1500
Ford Flex,2010,None,excellent,6 cylinders,4wd,gas,blue,138582,full-size,clean,automatic,SUV,8900
Toyota Sienna SE Premium,2015,None,excellent,6 cylinders,fwd,gas,None,25288,full-size,lien,automatic,None,29000
ford mustang,1998,None,None,None,None,gas,None,None,None,clean,manual,None,1900
mazda miata,1992,None,None,None,None,gas,None,None,None,clean,manual,None,2000
Pontiac Grand Prix,2005,None,None,None,None,gas,None,169000,None,clean,automatic,None,2300
ford f350 diesels powerstroke,2002,None,good,None,4wd,diesel,white,290000,full-size,clean,automatic,pickup,9500
chevy impala ss,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
Ford F250 diesel power stroke,2002,1FTNX21F42EA52253,good,8 cylinders,4wd,diesel,red,111741,full-size,clean,automatic,pickup,13495
LINCOLN MKX,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,14399
nissan altima 2.5 s,2013,1N4AL3AP5DC287046,excellent,None,None,gas,black,69000,None,clean,automatic,sedan,9700
Chevy 2500,1998,None,fair,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,2250
Toyota Yaris,2012,None,like new,None,fwd,gas,black,52345,compact,clean,automatic,sedan,7750
Silverado,2013,None,excellent,8 cylinders,4wd,gas,None,37000,None,clean,automatic,None,23500
GMC 7000,1984,None,None,8 cylinders,None,gas,None,None,None,clean,manual,None,7000
bmw 325ci,2005,None,good,None,None,gas,silver,180000,None,clean,automatic,None,3333
pontiac grand prix gtp,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
vw beetle,1999,None,None,None,None,diesel,None,None,None,clean,manual,None,900
pontiac fiero,1987,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,1000
jeep wrangler unlimited,2006,None,excellent,6 cylinders,4wd,gas,silver,115000,full-size,clean,automatic,offroad,125000
saab 95,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,900
vw cabriolet,1987,None,None,None,None,gas,None,None,None,clean,manual,None,600
vw beetle,1999,None,None,None,None,diesel,None,None,None,clean,manual,None,900
ford f150,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
ford focus,2009,None,None,None,None,gas,None,None,None,clean,automatic,sedan,2500
vw cabriolet,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,600
mercedes-benz s320,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1400
jeep grand cherokee,2004,None,fair,8 cylinders,4wd,gas,custom,None,full-size,clean,automatic,hatchback,2900
vw beetle,1998,None,None,None,None,gas,None,None,None,clean,manual,None,700
pontiac fiero,1985,None,None,None,None,gas,None,None,None,clean,manual,None,900
chevy malibu,2009,None,None,None,None,gas,None,84000,None,clean,automatic,None,5400
Ford Fusion,2007,None,fair,4 cylinders,fwd,gas,green,133000,None,clean,automatic,None,3300
mercedes-benz 500 sl,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Ford Escape Limited 4x4,2010,None,excellent,6 cylinders,4wd,gas,black,126000,None,clean,automatic,SUV,7500
Chevy box van / box truck,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
Chevy HHR,2006,None,excellent,4 cylinders,fwd,gas,red,178000,mid-size,clean,automatic,wagon,3000
Ford F650,2004,None,good,None,rwd,diesel,None,None,None,clean,automatic,None,21500
ford f-150,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Chevrolet Malibu,2011,None,excellent,6 cylinders,fwd,gas,white,135000,mid-size,clean,automatic,sedan,6900
Lexus ES 330,2004,None,excellent,6 cylinders,fwd,gas,None,None,mid-size,clean,automatic,sedan,3850
Malibu,2010,None,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,3950
mercedes benz ml350,2007,None,None,None,4wd,gas,None,None,None,clean,automatic,None,6900
toyota rav4,2010,None,None,4 cylinders,fwd,gas,None,None,None,rebuilt,automatic,None,6500
Peterbilt,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,14025
Charger,2007,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,3350
Chevy Avalanche,2011,None,excellent,8 cylinders,4wd,gas,grey,88000,full-size,clean,automatic,pickup,22000
mercury grand marquis ls,1996,None,None,None,rwd,gas,None,None,None,clean,automatic,None,2195
jeep grand cherokee,1995,None,good,8 cylinders,4wd,gas,blue,None,None,clean,automatic,SUV,3500
Dodge Stratus,2005,None,excellent,6 cylinders,fwd,gas,silver,85637,full-size,clean,automatic,sedan,4100
Monte Carlo Supersport,2004,None,excellent,6 cylinders,fwd,gas,blue,170000,full-size,clean,automatic,sedan,2400
chevrolet corvette,1984,None,good,None,None,gas,white,112217,None,clean,automatic,None,4990
honda accord ex-l,2014,None,like new,4 cylinders,fwd,gas,black,44000,mid-size,clean,automatic,None,16900
Toyota Camry LE 4dr sedan,2005,4T1BE32KX5U433458,good,4 cylinders,fwd,gas,brown,208000,mid-size,clean,automatic,sedan,2999
Jeep Grand Cherokee Laredo 4x4,2013,1C4RJFAG6DC594388,excellent,6 cylinders,4wd,gas,silver,68000,mid-size,clean,automatic,SUV,16999
mazda protege5,2003,None,fair,4 cylinders,fwd,gas,silver,183250,compact,clean,manual,None,600
ford escape,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1995
ford e150 econoline,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,650
dodge caravan,2001,None,None,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,695
ford f-150 lariat,2003,1FRX188L93NA98833,good,8 cylinders,4wd,gas,blue,97875,full-size,clean,automatic,pickup,5900
saab 9-3 2.0t,2007,None,excellent,4 cylinders,fwd,gas,black,135000,mid-size,rebuilt,automatic,sedan,4250
chevrolet astro,2000,None,None,None,None,gas,None,130000,None,clean,automatic,None,1800
lexus gs350,2007,None,excellent,6 cylinders,4wd,gas,blue,None,full-size,clean,automatic,sedan,7500
Dodge Caravan,2007,1D4GP25E47B213965,excellent,6 cylinders,fwd,gas,blue,45000,None,clean,automatic,mini-van,7000
Nissan Altima,2009,None,excellent,4 cylinders,fwd,gas,grey,69000,None,clean,automatic,None,8000
honda civic lx,1998,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,1500
Volvo S60,2007,None,good,4 cylinders,fwd,gas,silver,127500,mid-size,clean,automatic,sedan,4600
Honda Accord Coupe EX-L,2010,None,excellent,4 cylinders,fwd,gas,white,103000,mid-size,clean,automatic,coupe,9400
