make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford F250,2004,None,excellent,other,None,diesel,None,None,None,clean,automatic,None,6800
chevrolet impala,2004,None,excellent,6 cylinders,fwd,gas,None,1,None,clean,automatic,None,1900
chevrolet impala,2004,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,1900
Ford Ranger,1990,None,None,None,None,gas,None,None,None,clean,manual,None,2000
ford f150 4wd,1994,None,good,6 cylinders,None,gas,None,145000,None,clean,manual,None,1500
Gmc 2500hd,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
ford fusion,2010,None,good,4 cylinders,fwd,gas,white,179000,None,clean,automatic,None,4500
honda civic coupe,2008,None,good,4 cylinders,None,gas,blue,108000,None,clean,automatic,coupe,6300
Gmc,1997,None,good,8 cylinders,4wd,gas,red,123123,full-size,clean,automatic,pickup,1234
Chevy Cavalier,2004,None,None,None,None,gas,None,113000,None,clean,automatic,None,2200
chevrolet cruze,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,6200
hyundai sonata gls,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
gmc,1986,None,good,8 cylinders,rwd,gas,blue,None,full-size,clean,automatic,SUV,3795
oldsmobile bravada,1999,None,None,None,None,gas,None,212000,None,clean,automatic,None,1200
Saturn Redline,2006,None,None,None,None,gas,None,None,None,clean,manual,None,1200
dodge ram 2500,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Ford econoline,1998,None,None,None,None,gas,None,44000,None,clean,automatic,None,6500
Chevy Avalanche,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,16000
international 4700,1995,None,None,None,None,diesel,None,None,None,clean,manual,None,8500
mitsubishi endeavor,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Saturn Vue,2007,None,good,4 cylinders,fwd,gas,red,180000,mid-size,lien,manual,SUV,2500
Chevy Malibu,2007,None,excellent,4 cylinders,fwd,gas,blue,130000,mid-size,lien,automatic,sedan,3200
ford focus,2001,None,fair,4 cylinders,fwd,gas,red,156000,compact,clean,manual,hatchback,995
ford escape,2008,None,excellent,4 cylinders,None,gas,grey,None,None,clean,automatic,SUV,3900
PONTIAC G-6,2008,None,excellent,6 cylinders,None,gas,None,123000,None,clean,automatic,None,4400
PLYMOUTH SCAMP,1972,None,excellent,8 cylinders,None,gas,green,24000,mid-size,clean,automatic,coupe,18500
toyota camry,2008,None,excellent,6 cylinders,fwd,gas,grey,91000,None,clean,automatic,sedan,7995
Ford F 150 4 door,2003,None,good,8 cylinders,4wd,gas,None,240000,full-size,clean,automatic,pickup,3200
chevy s10 pickup,2000,None,None,None,None,gas,None,158000,None,clean,automatic,None,2500
Chevrolet Bel Air,1957,None,excellent,None,rwd,gas,None,None,None,clean,automatic,None,41902
dodge charger,2014,2C3CDXAT2EH357710,excellent,8 cylinders,rwd,gas,None,110000,None,clean,automatic,None,11500
Chevrolet 1500,1998,None,good,6 cylinders,4wd,gas,black,144500,full-size,rebuilt,automatic,pickup,2500
Chevy suburban 1500 4x4,2001,None,None,None,None,gas,None,147000,None,clean,automatic,None,2350
dodge neon sxt,2005,None,None,None,None,gas,None,113000,None,clean,automatic,None,2400
toyota matrix,2009,2T1KU40E79C019292,None,None,None,gas,None,None,None,clean,manual,None,6000
chevy elcamino,1971,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
subaru impreza wagon wrx,2009,None,None,None,None,gas,None,None,None,clean,manual,None,1
toyota camry le,2005,None,fair,4 cylinders,fwd,gas,black,191600,None,clean,automatic,None,2400
subaru impreza wagon,2006,jf1gg68686h806772,good,4 cylinders,4wd,gas,blue,184000,None,clean,automatic,hatchback,2200
Lexus RX350,2010,None,like new,6 cylinders,4wd,gas,white,52000,full-size,clean,automatic,SUV,3200
legacy,2001,None,excellent,6 cylinders,4wd,gas,white,None,mid-size,clean,automatic,sedan,2300
chevy c10,1979,xxxxxxxxx,salvage,8 cylinders,4wd,gas,black,100000,full-size,parts only,automatic,pickup,1500
crysler pt cruiser,2005,None,excellent,4 cylinders,fwd,gas,blue,164000,compact,clean,automatic,wagon,3000
Ford Escape XLT,2002,None,None,6 cylinders,4wd,gas,white,None,None,clean,automatic,SUV,3900
Painesville,2007,None,excellent,6 cylinders,4wd,gas,white,160550,full-size,clean,automatic,SUV,30
honda cr-v,2011,None,like new,4 cylinders,fwd,gas,blue,84000,None,clean,automatic,SUV,11999
chevrolet 1500 suburban,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,12445
