make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
mercury cougar,1997,None,excellent,None,None,gas,None,None,None,clean,automatic,coupe,2000
chevrolet impala ss,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
hyundai santa fe,2002,None,good,6 cylinders,None,gas,black,200000,None,clean,automatic,SUV,1500
Mustang,1996,None,fair,8 cylinders,rwd,gas,black,151,None,clean,automatic,coupe,2000
international 4700,1995,None,None,None,None,diesel,None,None,None,clean,automatic,None,7500
bmw 525i,1993,None,good,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,sedan,1700
honda civic ex,2005,None,good,4 cylinders,fwd,gas,None,130000,None,clean,manual,coupe,2850
gmc serria,2003,None,good,8 cylinders,4wd,gas,None,220000,None,clean,automatic,pickup,2250
Toyota Tundra,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1592
ford f-150,1999,1FTRX8W4XNA43707,fair,8 cylinders,4wd,gas,None,145000,full-size,rebuilt,automatic,truck,3099
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1584
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1561
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1569
Jeep Wrangler,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,16000
chevy,1981,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
gmc yukon xl,2004,None,good,6 cylinders,4wd,gas,None,200000,full-size,clean,automatic,SUV,5900
toyota 4runner,2002,None,good,6 cylinders,4wd,gas,black,320000,None,clean,automatic,SUV,1300
ford f-150 lariat,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,700
Ford Mustang GT,1992,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,manual,None,18
CHEVY 4400,1946,DCA577413,good,6 cylinders,rwd,gas,black,None,full-size,clean,manual,truck,4000
Toyota 4x4 Truck,1990,None,good,4 cylinders,4wd,gas,black,128000,None,clean,manual,truck,2250
toyota corolla,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Ford Fuision,2006,None,good,4 cylinders,fwd,gas,red,123000,mid-size,clean,automatic,sedan,3300
Ford Taurus SEL,2009,None,None,None,None,gas,None,144350,None,clean,automatic,None,3900
Packard 200 Deluxe,1951,None,None,None,None,gas,None,None,None,clean,manual,None,7000
Ford F250,2002,None,None,None,None,diesel,None,None,None,clean,automatic,None,9000
Chevy Monte Carlo,1998,None,None,None,None,gas,None,250000,None,clean,automatic,None,975
Toyota highlander,2014,5TDBKRFH6ES065928,excellent,6 cylinders,None,gas,white,47160,full-size,clean,automatic,SUV,26000
FORD RANGER EXT,2011,None,good,4 cylinders,rwd,gas,brown,139000,compact,clean,automatic,truck,3800
gmc safari,2001,None,good,6 cylinders,rwd,gas,green,52987,full-size,clean,automatic,van,4200
chevy venture,2001,None,good,6 cylinders,fwd,gas,red,230000,full-size,clean,automatic,van,350
CHEVROLET IMPALA,2008,2G1WS553681267186,excellent,6 cylinders,fwd,gas,black,55241,full-size,clean,automatic,sedan,5500
ford crown victoria police,2008,None,excellent,8 cylinders,rwd,gas,white,88115,full-size,clean,automatic,sedan,4800
dodge caliber rt,2007,None,None,None,None,gas,None,None,None,clean,manual,None,3650
buick regal,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
pontiac vibe gt,2003,None,None,None,None,gas,None,None,None,clean,manual,None,2000
Toyota,2008,None,good,6 cylinders,4wd,gas,grey,143356,None,clean,automatic,mini-van,8000
Chevy,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Ford Explorer XLT,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4795
chevy malibu,2003,None,None,None,None,gas,None,127000,None,clean,automatic,None,1300
dodge neon,1995,None,None,None,None,gas,None,None,None,clean,manual,None,4500
ford taurus,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Ford club wagon,1994,None,None,None,None,gas,None,168000,None,clean,automatic,None,2800
chrysler 300,2005,None,good,6 cylinders,rwd,gas,grey,179000,mid-size,clean,automatic,sedan,1
ford f-150,2001,None,good,8 cylinders,4wd,gas,None,127000,full-size,clean,automatic,pickup,3500
jeep grand cherokee,1996,None,excellent,6 cylinders,4wd,gas,green,200000,None,clean,automatic,None,4500
subaru legacy,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
