make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford  festiva,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7500
ford f250,1996,None,None,None,None,diesel,None,None,None,clean,manual,None,1576
Chevrolet S10,1991,None,None,None,None,gas,None,165000,None,clean,automatic,None,1350
Race Car Trailer,2014,None,good,None,None,other,black,None,None,clean,other,None,2500
chevy express,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
dodge dakota,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
2009 Mustang,2009,None,excellent,6 cylinders,rwd,gas,grey,81000,None,salvage,automatic,None,8500
chevy silverado 1500,2011,1gcpkse388f127876,good,8 cylinders,4wd,gas,blue,109000,full-size,lien,automatic,pickup,19000
Honda Pilot,2004,None,good,6 cylinders,4wd,gas,silver,20000,mid-size,clean,automatic,SUV,3700
chevrolet suburban,1999,None,None,None,None,gas,None,185000,None,clean,automatic,None,4500
ford f-250,1999,None,fair,8 cylinders,rwd,gas,white,104000,full-size,clean,automatic,None,1200
Chevy K3500,2004,None,good,8 cylinders,4wd,diesel,blue,284000,full-size,clean,automatic,pickup,9500
dodge ram 1500 sport,1995,None,fair,None,None,gas,red,146000,full-size,clean,automatic,pickup,2000
Jeep Cherokee,1996,None,fair,6 cylinders,4wd,gas,red,273000,None,clean,automatic,None,1500
FORD FOCUS SE,2007,None,excellent,4 cylinders,fwd,gas,None,101600,None,clean,automatic,sedan,2950
chevy g20,1994,None,excellent,8 cylinders,rwd,gas,red,165000,full-size,clean,automatic,None,4300
Nissan Maxima,2009,None,excellent,6 cylinders,fwd,gas,black,None,full-size,clean,automatic,sedan,1500
Chevrolet,2000,None,good,8 cylinders,4wd,gas,red,None,None,clean,automatic,pickup,2800
ford coupe,1955,None,like new,8 cylinders,rwd,gas,blue,96243,None,clean,automatic,coupe,22800
honda,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Toyota 4Runner sr5,2001,None,None,None,4wd,gas,None,None,None,clean,automatic,None,2000
hyundai accent GT,2004,None,good,4 cylinders,fwd,gas,grey,179895,compact,rebuilt,manual,hatchback,2000
Mazda b2500,1998,None,fair,4 cylinders,rwd,gas,red,250283,compact,rebuilt,manual,pickup,1800
acura integra gs,1994,None,None,None,None,gas,None,None,None,clean,manual,None,1600
chevy,1950,None,good,8 cylinders,rwd,gas,None,None,None,clean,other,None,15500
chevy 1500,1988,None,good,8 cylinders,None,gas,blue,None,full-size,clean,automatic,truck,1100
Ford Mustang GT,2007,None,excellent,None,None,gas,None,171000,None,clean,manual,None,7250
holley,2017,None,None,None,None,other,None,None,None,clean,other,None,200
Jeep Grand Cherokee,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2001
hoist,2016,None,None,None,None,gas,None,None,None,clean,other,None,150
hyundai entourage,2007,None,excellent,None,None,gas,None,176000,None,clean,automatic,None,4500
SPORT,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,24565
gmc canyon,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5300
chevy equinox,2014,None,excellent,6 cylinders,4wd,gas,custom,None,mid-size,rebuilt,automatic,None,11900
saturn ion 2,2007,None,good,4 cylinders,fwd,gas,red,116000,mid-size,clean,automatic,sedan,3200
chevy cobalt,2006,None,fair,4 cylinders,fwd,gas,silver,None,None,clean,automatic,coupe,1000
Volkswagon Jetta,2008,None,good,None,None,gas,red,170000,full-size,clean,automatic,sedan,4000
Mecury MGL,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,800
chevrolet camaro,1995,None,good,6 cylinders,rwd,gas,blue,129000,mid-size,clean,manual,other,1400
ford mustang gt,1995,None,good,None,None,gas,red,109000,None,rebuilt,automatic,None,3000
ford f-150,1993,None,fair,6 cylinders,rwd,gas,brown,None,None,clean,manual,truck,1000
ford t bucket roadster,1923,None,excellent,8 cylinders,rwd,gas,red,None,compact,clean,automatic,convertible,9999
Ford Thunderbird,1986,None,like new,8 cylinders,rwd,gas,None,111000,None,clean,automatic,None,5000
Mazda Protege5,2002,None,excellent,4 cylinders,fwd,gas,None,122000,None,clean,manual,None,5500
ford mustang convertible,2005,None,None,None,None,gas,None,130000,None,clean,automatic,None,5995
toyota pickup,1988,None,None,None,None,gas,None,115000,None,clean,manual,None,1200
chevy silverado,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,25
ford expedition eddie bauer,2004,None,excellent,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,2000
Jeep,1979,None,None,None,None,gas,None,None,None,clean,manual,None,3500
buick lucerne cxl v6,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
dodge Ram 150,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
race car,2003,None,None,None,None,gas,None,None,None,clean,other,None,1100
Chevy 1 Ton,1984,None,excellent,8 cylinders,4wd,gas,green,None,full-size,clean,manual,truck,1111111
ford mustang,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
gmc envoy sle,2002,None,good,6 cylinders,4wd,gas,None,157000,mid-size,rebuilt,automatic,SUV,3800
chrysler crossfire roadster,2005,None,good,6 cylinders,rwd,gas,black,113000,None,clean,manual,convertible,8995
Dodge Ram 3500 4x4,2003,None,good,6 cylinders,4wd,diesel,silver,330000,full-size,clean,automatic,pickup,12900
Dodge Ram Hemi 4x4,2008,None,excellent,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,pickup,12900
jeep grand cherokee 4x4,2005,None,good,8 cylinders,4wd,gas,None,None,mid-size,rebuilt,automatic,SUV,3990
Dodge Nitro,2007,None,good,6 cylinders,4wd,gas,red,None,mid-size,clean,automatic,SUV,6990
Jeep M715 4x4 truck,1967,None,good,6 cylinders,4wd,gas,green,20394,full-size,clean,manual,pickup,12500
Mitsubishi Lancer,2016,None,excellent,4 cylinders,fwd,gas,None,26000,mid-size,lien,automatic,sedan,9900
Pontiac Grand Am,2004,1G2NV12E64C115460,excellent,6 cylinders,fwd,gas,black,164832,mid-size,clean,automatic,None,2000
Lexus GS300,2006,JTHCH96S360015294,excellent,6 cylinders,4wd,gas,silver,141243,mid-size,clean,automatic,None,4400
Subaru Forester,2010,JF2SH6AC2AG706586,excellent,4 cylinders,4wd,gas,blue,111413,mid-size,clean,manual,None,7250
saturn vue,2006,None,good,4 cylinders,None,gas,blue,116000,full-size,clean,automatic,SUV,3400
Dodge,2006,None,None,None,None,gas,None,None,None,parts only,automatic,None,1
pontiac g6,2008,None,excellent,6 cylinders,fwd,gas,black,110000,mid-size,clean,automatic,sedan,4300
saturn ion 2,2007,None,good,4 cylinders,fwd,gas,red,116000,mid-size,clean,automatic,sedan,3200
kia sportage,2006,None,good,None,4wd,gas,green,115600,None,clean,automatic,None,3000
ford f350,1994,None,None,None,None,gas,None,None,None,clean,manual,None,1650
Dodge aspen,1979,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
buick roadmaster estate wagon,1995,None,fair,8 cylinders,None,gas,blue,196000,full-size,clean,automatic,wagon,1200
crysler 300,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
chevrolet malibu,1998,None,good,4 cylinders,fwd,gas,silver,125000,compact,clean,automatic,sedan,1800
mazda b3000,1995,None,good,6 cylinders,4wd,gas,black,243,mid-size,clean,manual,truck,1100
toyota corolla,1996,None,fair,4 cylinders,fwd,gas,black,199000,compact,clean,manual,coupe,700
international 4700,1995,None,None,None,None,diesel,None,None,None,clean,automatic,None,7500
Ford escort zx2,1999,None,good,4 cylinders,fwd,gas,red,None,full-size,clean,automatic,sedan,500
Chevrolet 3500 Series,2001,None,good,8 cylinders,None,gas,white,None,full-size,clean,automatic,van,1450
Ram Pickup,2014,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,19000
chevy silverado,1999,None,fair,8 cylinders,rwd,gas,None,237000,None,clean,automatic,None,2000
chevy Impala,2005,None,None,6 cylinders,None,gas,blue,162462,None,clean,automatic,None,1750
ford crown victoria police,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Cadillac deville,2001,None,None,None,None,gas,None,84000,None,clean,automatic,None,3600
Chevy equinox,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
suzuki sidekick 2door,1996,None,None,None,None,gas,None,209000,None,clean,manual,None,2000
Chevrolet Tahoe,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
gmc 1500 sierra,2003,None,good,8 cylinders,4wd,gas,None,220000,None,clean,automatic,pickup,2250
chevy s10 pickup,1997,None,good,6 cylinders,fwd,gas,red,149000,None,clean,automatic,pickup,2400
Ford half ton,1993,None,None,6 cylinders,rwd,gas,None,211000,full-size,clean,manual,pickup,2000
Nissan Rogue,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
Dodge 1500,2004,None,None,8 cylinders,4wd,gas,None,124000,None,clean,automatic,None,7900
Honda CRV,2008,None,excellent,4 cylinders,4wd,gas,white,80000,mid-size,clean,automatic,SUV,1750
gmc sonoma,2001,None,good,6 cylinders,None,gas,black,237000,None,clean,automatic,pickup,1600
chevy malibu,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
ford taurus,2004,None,None,None,None,gas,None,211000,None,clean,automatic,None,1400
Jeep patriot limited,2009,None,good,4 cylinders,4wd,gas,red,216311,None,clean,automatic,None,1
volkswagen beetle,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chevy s10 pickup,1994,None,None,None,None,gas,None,None,None,parts only,automatic,None,500
chevy s10 pickup,1986,None,good,8 cylinders,rwd,gas,red,None,mid-size,clean,automatic,pickup,2000
"Oldsmoblie, Royale",1992,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
cadillac cts sedan,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,7600
chevy avalanche,2004,None,good,8 cylinders,4wd,gas,blue,None,full-size,clean,automatic,truck,5500
chevrolet impala,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1900
Dodge 2500,2002,None,good,6 cylinders,4wd,diesel,custom,99500,None,clean,automatic,truck,17500
honda cr-v,2011,None,like new,4 cylinders,fwd,gas,blue,84000,None,clean,automatic,SUV,11999
dodge neon sxt,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1250
Chevrolet Impala Fastback,1968,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Chevy s10,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
