make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
jeep wrangler,1996,None,good,4 cylinders,4wd,gas,green,163000,None,clean,manual,None,3600
mercedes-benz ml320,1998,4JGAB54E3WA016130,good,6 cylinders,4wd,gas,grey,155461,full-size,clean,automatic,SUV,2200
Chevrolet Metro 4 door,2001,None,None,None,None,gas,None,69000,None,clean,automatic,None,975
toyota camry,2012,None,excellent,None,fwd,gas,black,78000,mid-size,clean,automatic,sedan,10500
Ford focus sel,2012,1FAHP3M26CL160209,like new,4 cylinders,fwd,gas,blue,121000,None,clean,automatic,None,5900
dodge grand caravan,2003,None,fair,6 cylinders,fwd,gas,silver,189500,full-size,clean,automatic,mini-van,500
toyota corolla,1995,None,fair,4 cylinders,fwd,gas,purple,258000,compact,clean,automatic,sedan,750
mercedes-benz e320,1999,None,excellent,None,None,gas,None,100000,None,clean,automatic,sedan,2700
ford super duty f-450 drw,1995,None,good,8 cylinders,rwd,diesel,white,200000,full-size,clean,manual,truck,3500
honda accord dx,2000,None,good,4 cylinders,fwd,gas,black,144000,mid-size,clean,automatic,sedan,500
ford super duty f-450 drw,1992,None,good,8 cylinders,rwd,gas,white,300000,full-size,clean,automatic,truck,2800
chevrolet blazer,2003,None,fair,6 cylinders,rwd,gas,green,126000,mid-size,clean,automatic,truck,1300
chevy s10 pickup,1998,None,good,6 cylinders,4wd,gas,red,None,None,clean,manual,pickup,1000
volkswagen tiguan,2011,WVGBV7AX9BW558293,excellent,4 cylinders,4wd,gas,silver,99000,mid-size,clean,automatic,SUV,8400
DODGE DART,2013,None,None,None,None,gas,None,84000,None,clean,automatic,None,2000
volkswagen jetta 2.5l se,2012,None,good,None,None,gas,None,51000,None,rebuilt,automatic,None,6100
Pontiac grand prix,2007,None,None,6 cylinders,fwd,gas,silver,None,mid-size,clean,automatic,sedan,2300
Ford F750,2009,None,like new,8 cylinders,rwd,diesel,green,4700,full-size,clean,automatic,truck,45000
Ford F750,2009,None,like new,8 cylinders,rwd,diesel,green,4700,full-size,clean,automatic,truck,45000
chevy 3500,2006,None,fair,8 cylinders,4wd,gas,white,None,None,clean,automatic,other,11200
Mercury Cougar,1999,None,fair,6 cylinders,fwd,gas,red,143000,compact,clean,automatic,coupe,600
MB,1970,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Dodge Caliber SXT,2009,None,good,4 cylinders,fwd,gas,silver,159000,None,clean,automatic,None,900
Edsel Villager,1958,None,good,8 cylinders,rwd,gas,None,None,None,clean,manual,wagon,3900
chevy,1995,None,good,None,4wd,gas,white,72800,None,clean,manual,truck,4500
