make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
buick century,2002,None,good,6 cylinders,fwd,gas,silver,80300,mid-size,clean,automatic,sedan,1900
Kia Optima sx,2012,None,excellent,4 cylinders,None,gas,red,82,None,clean,automatic,None,9900
Dodge,2001,None,good,8 cylinders,4wd,gas,green,142000,full-size,clean,automatic,pickup,2500
mitsubishi eclipse gts,2004,4A3AC74H24E122675,good,6 cylinders,fwd,gas,custom,193200,compact,clean,automatic,hatchback,1800
dodge grand caravan,2008,None,good,6 cylinders,fwd,gas,blue,142315,full-size,clean,automatic,mini-van,2999
nissan 350z,2003,None,like new,6 cylinders,rwd,gas,black,79000,compact,clean,manual,coupe,9500
chevy spark,2013,None,None,4 cylinders,None,gas,None,107,None,rebuilt,automatic,None,3700
chevrolet tahoe,1999,None,good,8 cylinders,4wd,gas,brown,367520,full-size,clean,automatic,SUV,1900
Toyota corolla,1993,None,good,4 cylinders,fwd,gas,brown,290,compact,clean,automatic,sedan,750
Toyota Tacoma,2002,None,good,4 cylinders,4wd,gas,brown,360000,full-size,clean,automatic,pickup,3900
Nisaan sentra,2016,None,None,4 cylinders,None,gas,black,43000,None,clean,automatic,sedan,9800
huyndai elantra,2011,None,like new,4 cylinders,fwd,gas,black,78000,full-size,clean,automatic,sedan,6350
mercedes benz,2002,None,None,None,None,gas,None,134000,None,rebuilt,automatic,None,2700
Chevy Colorado,2005,None,good,5 cylinders,fwd,gas,None,174000,mid-size,rebuilt,automatic,pickup,3000
ford focus se,2001,None,None,None,None,gas,None,82000,None,rebuilt,automatic,None,2200
honda civic coupe,2005,None,excellent,4 cylinders,fwd,gas,silver,None,None,clean,automatic,coupe,4500
jeep cherokee,1995,None,salvage,6 cylinders,4wd,gas,black,None,mid-size,salvage,automatic,SUV,500
Chevrolet S10,1991,None,None,None,None,gas,None,165000,None,clean,automatic,None,1350
all kinds,2017,000000,excellent,12 cylinders,4wd,other,brown,100,compact,clean,automatic,other,10
dodge dakota,1993,None,fair,8 cylinders,rwd,gas,brown,214000,full-size,clean,manual,truck,650
toyota camry se 4dr sedan,2009,4T1BE46K99U373873,good,4 cylinders,fwd,gas,black,205928,full-size,clean,automatic,sedan,4800
Dodge Intrepid SE,2004,None,good,6 cylinders,fwd,gas,red,120344,full-size,clean,automatic,sedan,875
vw beetle,1970,None,fair,4 cylinders,rwd,gas,blue,None,compact,clean,manual,None,4000
VW Super Beetle,1972,None,like new,4 cylinders,rwd,gas,orange,54201,compact,clean,manual,coupe,10500
honda accord 4-door sedan,2008,None,good,4 cylinders,fwd,gas,black,142000,full-size,clean,automatic,sedan,5500
2013 chevy equinox,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,7400
Chevy s10,1999,None,fair,8 cylinders,rwd,gas,custom,None,mid-size,clean,automatic,None,3000
buick park avenue,1997,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,sedan,2700
ford f-150,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
cadalaic,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,6250
mitsubishi mighty max,1991,None,None,None,None,gas,None,None,None,clean,manual,None,3500
chevy,2005,None,None,None,None,gas,None,None,None,clean,manual,None,10
Jeep wrangler,1995,None,None,None,None,gas,None,None,None,clean,manual,None,4000
buick park avenue,1997,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,sedan,2700
honda accord lx,2002,None,good,4 cylinders,fwd,gas,silver,197700,compact,clean,automatic,sedan,1600
chevy monte carlo ss,1985,None,None,None,None,gas,None,None,None,clean,automatic,None,3700
Honda Civic,2010,None,good,4 cylinders,fwd,gas,grey,None,mid-size,rebuilt,automatic,sedan,6500
Subaru Forester,2002,None,good,4 cylinders,4wd,gas,red,270000,mid-size,clean,manual,wagon,1550
Chevrolet tahoe,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
Chevrolet Mini Bus,1998,None,good,8 cylinders,rwd,gas,white,63000,None,clean,automatic,other,13000
chevrolet c20,1980,None,None,None,4wd,gas,None,None,None,clean,automatic,None,1400
jeep wrangler unlimited 4wd,2007,None,None,None,4wd,gas,black,None,None,clean,automatic,None,8500
Jeep Wrangler Unlimited Sport,2012,None,good,None,None,gas,None,50000,None,clean,manual,None,2500
ford explorer sport trac,2003,None,good,6 cylinders,4wd,gas,blue,167000,None,clean,automatic,None,3500
gmc envoy,2005,None,good,6 cylinders,4wd,gas,silver,200000,mid-size,clean,automatic,SUV,1750
Toyota FJ Cruiser,2010,None,good,6 cylinders,4wd,gas,black,114407,None,lien,automatic,None,16500
camaro z28,1981,None,good,8 cylinders,None,gas,None,None,None,clean,other,None,10000
