make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Dodge Durango,1999,None,good,8 cylinders,4wd,gas,None,246087,None,clean,automatic,SUV,1100
Dodge,2001,None,good,8 cylinders,4wd,gas,green,142000,full-size,clean,automatic,pickup,2500
lexus rx300,2001,None,None,None,4wd,gas,None,179620,None,clean,automatic,None,4900
chevrolet s10 pickup,1991,None,fair,6 cylinders,rwd,gas,red,2000000,mid-size,lien,automatic,pickup,300
pontiac grand prix,1993,None,excellent,6 cylinders,fwd,gas,red,117000,mid-size,clean,automatic,coupe,1200
Chevy Impa,2003,None,excellent,6 cylinders,fwd,gas,white,144225,mid-size,lien,automatic,sedan,2000
Dodge SLT Lariat 1500,1996,None,good,8 cylinders,rwd,gas,blue,105000,None,clean,automatic,pickup,2950
Truck,1988,None,None,None,None,gas,None,None,None,clean,manual,None,25
chevy cavalier,2004,None,good,4 cylinders,None,gas,black,106,None,clean,manual,coupe,2300
Chevrolet S10,1991,None,None,None,None,gas,None,165000,None,clean,automatic,None,1350
chevrolet cobalt ss,2006,None,like new,4 cylinders,fwd,gas,yellow,88000,None,salvage,manual,None,5000
nissan murano,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
buick lucerne cxl,2007,None,excellent,None,None,gas,None,113330,None,clean,automatic,None,6400
gmc 2500 sierra,2003,None,excellent,8 cylinders,4wd,diesel,black,300000,full-size,salvage,automatic,pickup,12000
chrysler town & country lx,2002,None,good,6 cylinders,fwd,gas,None,230000,None,clean,automatic,mini-van,1000
lincoln mkz,2008,None,None,None,fwd,gas,blue,None,full-size,clean,automatic,sedan,2999
FORD COUPE,1926,None,like new,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,coupe,15500
ford explorer,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Ford,1993,None,good,4 cylinders,fwd,gas,green,83700,compact,clean,manual,hatchback,2000
Dodge charger,2008,None,excellent,None,None,gas,None,None,None,clean,automatic,None,6200
Buick Regal GS,2000,None,good,6 cylinders,fwd,gas,black,None,None,clean,automatic,None,2450
ford explorer sport trac,2003,None,good,6 cylinders,4wd,gas,None,167000,None,clean,automatic,None,3500
porsche cayenne turbo,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
1999 mustang gt,1999,None,excellent,8 cylinders,rwd,gas,custom,119,None,clean,manual,coupe,7200
mazda rx-8,2004,None,good,None,None,gas,None,None,None,clean,manual,None,4000
ford f-250,1987,None,good,8 cylinders,4wd,gas,None,120000,None,clean,automatic,truck,2500
Lexus LX 470,2001,None,good,8 cylinders,4wd,gas,grey,197000,full-size,clean,automatic,SUV,5900
cadillac escalade,2006,None,excellent,8 cylinders,4wd,gas,black,122500,None,clean,automatic,SUV,10500
honda civic ex,2017,None,new,4 cylinders,None,gas,red,9701,mid-size,rebuilt,automatic,None,13900
dodge charger,2014,None,good,6 cylinders,None,gas,grey,57800,None,rebuilt,automatic,None,9200
vw routan,2009,None,good,6 cylinders,fwd,gas,None,105324,full-size,clean,automatic,mini-van,7500
mazda speed3,2007,None,excellent,4 cylinders,fwd,gas,silver,126345,None,clean,manual,hatchback,8000
89 Mustang gt,1989,1FABP42E9KF106795,excellent,8 cylinders,rwd,gas,black,None,mid-size,clean,automatic,hatchback,9500
chevrolet corvette,1968,None,None,None,None,gas,None,None,None,clean,automatic,None,1
honda crv awd,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,6250
GMC Sierra,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,14000
chevrolet 1500 silverado,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
mini cooper,2003,None,None,4 cylinders,fwd,gas,yellow,107000,None,clean,automatic,None,3000
chevy s10 pickup,1999,None,None,None,None,gas,None,None,None,clean,manual,None,3000
Chevy 1500,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
ford escape,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
Mitsubishi Lancer LS,2003,None,good,4 cylinders,fwd,gas,white,None,mid-size,clean,automatic,sedan,2250
Honda Odyssey,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,600
dodge durango,2005,None,fair,8 cylinders,4wd,gas,red,142000,None,clean,automatic,SUV,1
mitsubishi eclipse spyder,2008,None,excellent,4 cylinders,fwd,gas,white,154000,None,clean,automatic,convertible,5000
GTO Pontiac,1969,None,None,None,None,gas,None,None,None,clean,automatic,None,36995
chevrolet malibu,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Pontiac Grand Prix,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
chevrolet 1500 silverado,2005,None,good,8 cylinders,4wd,gas,red,144000,None,clean,automatic,truck,5800
ford fusion,2009,None,excellent,None,None,gas,None,168000,None,clean,automatic,None,3500
Devers Utility Box,1998,None,good,None,None,other,None,None,None,parts only,other,None,800
chevy camaro z28,1993,None,good,8 cylinders,rwd,gas,black,138000,None,salvage,manual,None,5000
gmc 1500 yukon xl,1996,None,None,None,None,gas,None,180000,None,clean,automatic,None,1300
ford f150 xlt,2004,None,good,8 cylinders,4wd,gas,black,257000,full-size,clean,automatic,pickup,4500
chevy impala,2006,None,good,None,None,gas,silver,None,None,clean,automatic,None,3000
NOVA SS,1967,118,excellent,8 cylinders,fwd,gas,red,None,mid-size,clean,automatic,None,33995
HUMMER H2 LUXURY,2005,None,excellent,8 cylinders,4wd,gas,black,130000,full-size,clean,automatic,SUV,18750
scion tc,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Ford,2000,None,None,None,None,diesel,None,None,None,clean,automatic,None,14200
Chevy s10,1992,None,None,None,None,gas,None,None,None,clean,automatic,None,800
dodge ram 1500,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Nissan,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Chevy Silverado 2500hd,2002,None,like new,8 cylinders,4wd,diesel,black,150,full-size,clean,automatic,pickup,18000
volkswagen beetle,2006,None,good,4 cylinders,fwd,diesel,None,155000,None,clean,automatic,hatchback,5950
chevrolet camaro,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2200
chevrolet impala,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Dodge Magnum,2005,None,None,None,None,gas,None,None,None,parts only,automatic,None,900
ford mustang,2002,None,None,6 cylinders,None,gas,green,178000,None,clean,automatic,None,1100
Chevy,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Olds Bravada,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
FORD FOCUS,2007,None,excellent,4 cylinders,fwd,gas,black,101622,None,clean,automatic,sedan,2975
gmc sonoma,2002,None,good,6 cylinders,rwd,gas,yellow,104400,None,clean,automatic,None,3500
Chevy el camino,1983,None,good,8 cylinders,rwd,gas,blue,69000,None,clean,automatic,None,10
honda odyssey,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Ford Fusion,2016,None,excellent,4 cylinders,fwd,gas,silver,23000,full-size,clean,automatic,sedan,18500
chevy c10,1976,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
dodge challenger,2012,None,None,None,None,gas,None,6678,None,clean,automatic,None,25000
chevy,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Chrysler 300 m,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
mercury sable,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
porsche cayenne,2005,None,good,6 cylinders,4wd,gas,white,174000,None,rebuilt,automatic,None,7500
Gmc jimmy,1996,None,excellent,6 cylinders,4wd,gas,blue,244000,full-size,clean,automatic,SUV,1500
subaru impreza sedan wrx,2003,None,fair,4 cylinders,4wd,gas,None,195000,None,clean,manual,None,2500
Ford 4 door Slant Back,1935,None,None,None,None,gas,None,None,None,clean,manual,None,15500
dodge nitro,2009,None,excellent,None,None,gas,None,159000,None,clean,automatic,SUV,5500
dodge 1500,2003,None,None,8 cylinders,None,gas,None,200000,None,salvage,automatic,None,2200
dodge charger,2011,None,None,None,None,gas,None,115000,None,clean,automatic,None,8900
Cadillac,1977,None,good,8 cylinders,rwd,gas,blue,58000,full-size,clean,automatic,coupe,4495
ford f-250,2005,None,good,8 cylinders,4wd,gas,white,None,None,clean,automatic,None,13950
Ford f150,2003,None,good,None,rwd,gas,None,150000,None,clean,automatic,None,2000
volkswagen jetta,2007,None,None,None,None,gas,None,183000,None,clean,automatic,None,2000
nissan altima 2.5 4dr sedan,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
ford ranger,1986,None,None,None,None,gas,None,None,None,clean,automatic,None,700
Chevy,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
ford mustang gt deluxe,2006,None,excellent,8 cylinders,rwd,gas,black,65000,None,clean,automatic,None,19000
buick lacrosse,2007,None,good,None,None,gas,None,None,None,clean,automatic,None,3500
Bmw 540i,1998,None,None,None,None,gas,None,238000,None,clean,manual,None,3500
FORD F-150,2007,None,fair,8 cylinders,None,gas,black,194000,full-size,clean,automatic,truck,4500
chevrolet blazer,1998,None,good,6 cylinders,4wd,gas,black,245000,None,clean,automatic,SUV,2100
chevrolet silverado 2500,2004,None,good,8 cylinders,rwd,gas,None,222000,None,clean,automatic,None,4500
jeep grand cherokee limited,2005,None,None,None,None,gas,None,225418,None,clean,automatic,None,1300
nissan altima,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
Ford box truck,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
chevrolet 1500 silverado,1995,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,2000
cadillac cts 3.6l v6,2007,None,excellent,6 cylinders,rwd,gas,black,94111,None,clean,automatic,None,6500
ford focus se 4dr sedan,2007,None,good,4 cylinders,fwd,gas,brown,149183,None,clean,automatic,sedan,1900
ford super duty f-350 drw,2005,None,excellent,8 cylinders,rwd,diesel,green,147773,full-size,clean,automatic,pickup,14400
gmc yukon,2001,None,good,8 cylinders,4wd,gas,None,185,None,clean,automatic,None,2800
buick terraza van,2005,None,good,None,None,gas,None,None,None,clean,automatic,None,3500
mercury mountaineer,2006,None,good,None,None,gas,white,170539,full-size,clean,automatic,SUV,2100
mitsubishi eclipse gt,2002,None,good,6 cylinders,fwd,gas,blue,187000,None,clean,manual,coupe,3000
Mazda Protege,2002,None,fair,4 cylinders,fwd,gas,silver,155000,sub-compact,clean,automatic,hatchback,1400
ford f-150,2001,None,fair,8 cylinders,rwd,gas,None,242356,None,clean,automatic,None,2650
hyundai accent,2002,None,good,4 cylinders,None,gas,None,142348,None,clean,automatic,None,2500
Saturn Ion,2004,None,None,4 cylinders,fwd,gas,None,162345,None,clean,manual,sedan,1950
chrysler sebring,2006,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,convertible,1750
ford ranger,1996,None,fair,4 cylinders,rwd,gas,None,226942,None,clean,manual,pickup,895
jeep grand cherokee,2003,None,fair,6 cylinders,None,gas,black,None,None,clean,automatic,None,900
dodge averager,2008,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,3700
jeep grand cherokee,2003,None,fair,6 cylinders,None,gas,black,None,None,clean,automatic,None,900
chev pick up,1995,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,2000
jeep grand cherokee,2003,None,fair,6 cylinders,None,gas,black,None,None,clean,automatic,None,900
jeep grand cherokee,2003,None,fair,6 cylinders,None,gas,black,None,None,clean,automatic,None,900
chevy tahoe lt,1996,None,None,None,4wd,gas,None,None,None,clean,automatic,None,4995
Jeep CompassTrailhawk,2017,None,like new,4 cylinders,4wd,gas,orange,3200,None,rebuilt,automatic,SUV,23900
mercury villager gs,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2495
mercedes-benz s320,1994,None,good,6 cylinders,rwd,gas,black,147,None,rebuilt,automatic,None,2200
