make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet malibu,2017,None,like new,4 cylinders,fwd,gas,silver,850,None,salvage,automatic,None,12900
ford mustang convertible gt,1993,None,excellent,None,None,gas,None,None,None,clean,automatic,None,20500
Dodge Durango,2015,None,like new,6 cylinders,4wd,gas,grey,37000,full-size,rebuilt,automatic,SUV,19900
Ford Edge SEL,2011,None,excellent,4 cylinders,fwd,gas,blue,61000,mid-size,rebuilt,automatic,SUV,9900
Buick Enclave,2011,None,good,None,fwd,gas,black,151000,None,clean,automatic,None,9700
dodge charger,2010,None,good,6 cylinders,None,gas,black,69200,None,clean,automatic,sedan,8300
chevrolet malibu,2017,None,like new,4 cylinders,fwd,gas,white,8950,None,salvage,automatic,None,11900
Infiniti Q50 Premium AWD,2015,None,like new,6 cylinders,4wd,gas,custom,9607,full-size,rebuilt,automatic,sedan,18900
bmw 335i,2007,None,None,6 cylinders,None,gas,blue,142000,None,clean,automatic,convertible,7995
ford mustang,1970,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
Toyota Celica,2002,None,good,4 cylinders,fwd,gas,blue,180,None,clean,automatic,coupe,2600
Ford f150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
Buick rendezvous,2005,None,fair,6 cylinders,fwd,gas,blue,163000,None,clean,automatic,SUV,2500
chevrolet malibu,2003,None,good,6 cylinders,fwd,gas,silver,None,None,clean,automatic,None,1950
chevrolet 1500 silverado,2014,None,excellent,8 cylinders,4wd,gas,white,74000,full-size,clean,automatic,pickup,27900
ford f-250,2001,None,good,8 cylinders,rwd,diesel,red,362000,full-size,clean,automatic,truck,6500
Gmc Youkan Denali,2005,None,None,None,None,gas,None,134,None,clean,automatic,None,4200
Saturn Ion Redline,2005,None,excellent,4 cylinders,None,gas,None,None,None,clean,manual,None,3995
chevrolet tahoe,2004,None,good,8 cylinders,4wd,gas,grey,None,full-size,clean,automatic,SUV,5750
Honda Element EX,2003,None,good,4 cylinders,4wd,gas,blue,250000,None,clean,automatic,None,2495
Chevy Cobalt,2006,None,good,None,None,gas,blue,186000,None,clean,automatic,None,1995
chevrolet s-10,2003,None,good,6 cylinders,4wd,gas,None,204000,mid-size,clean,automatic,pickup,2600
buick,2002,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2495
Dodge Ram 3500 4X4,2002,3B6MF36502M268281,good,8 cylinders,4wd,gas,green,111250,full-size,clean,automatic,truck,8500
ford escape,2004,None,None,None,None,gas,None,0000000,None,clean,automatic,None,1
hyundai accent,2004,None,excellent,4 cylinders,fwd,gas,grey,120000,compact,clean,automatic,None,1750
ford escape,2005,None,excellent,6 cylinders,fwd,gas,red,207,None,clean,automatic,SUV,2250
ford ranger,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1650
cadillac dts,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6600
Nissan Sentra,2004,None,good,6 cylinders,fwd,gas,black,None,mid-size,clean,automatic,sedan,2200
ford focus se sedan,2003,None,excellent,4 cylinders,fwd,gas,grey,None,full-size,clean,automatic,coupe,1495
ford explorer,2002,1FMZU72E92UA62761,excellent,8 cylinders,4wd,gas,green,172776,full-size,clean,automatic,SUV,2835
Dodge Caliber,2009,None,excellent,4 cylinders,fwd,gas,black,None,full-size,clean,automatic,sedan,1995
Ford Windstar,2003,None,like new,6 cylinders,fwd,gas,grey,124000,full-size,clean,automatic,van,1595
Chevy Trailblazer,2005,None,like new,6 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,2195
Town Car signature Limited,2007,None,excellent,8 cylinders,rwd,gas,white,100000,full-size,clean,automatic,sedan,4450
chevrolet silverado 1500,2008,None,excellent,8 cylinders,4wd,gas,black,130673,mid-size,clean,automatic,pickup,12500
Yamaha Zuma,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
chevrolet cruze,2016,None,excellent,4 cylinders,fwd,gas,None,36038,mid-size,clean,automatic,sedan,13900
dodge dakota,1999,None,good,6 cylinders,None,gas,black,200000,None,clean,automatic,pickup,850
dodge caliber,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chrysler sebring lx,2003,None,good,4 cylinders,fwd,gas,silver,112808,mid-size,clean,automatic,sedan,2500
chrysler pacifica,2007,None,excellent,6 cylinders,fwd,gas,blue,130000,None,clean,automatic,hatchback,2250
chrysler pt cruiser,2001,None,good,4 cylinders,fwd,gas,silver,113000,None,clean,automatic,None,3650
Mini Cooper,2008,None,fair,4 cylinders,fwd,gas,red,236000,compact,clean,automatic,hatchback,2200
mg midget,1978,None,excellent,4 cylinders,rwd,gas,None,None,None,clean,manual,None,1800
dodge ram 1500,2007,None,good,8 cylinders,None,other,black,165000,None,clean,automatic,None,6000
ford focus se,2014,None,excellent,4 cylinders,fwd,gas,silver,74903,mid-size,clean,automatic,hatchback,9900
lexus es 300,1999,None,good,6 cylinders,fwd,gas,black,200000,None,clean,automatic,sedan,1100
ford focus sel,2012,None,excellent,4 cylinders,fwd,gas,grey,141000,None,rebuilt,automatic,hatchback,4950
saturn outlook,2007,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,2800
jeep commander,2009,None,excellent,6 cylinders,4wd,gas,silver,130000,None,rebuilt,automatic,truck,7500
jeep grand cherokee,2005,None,excellent,6 cylinders,4wd,gas,grey,143000,None,rebuilt,automatic,truck,3850
honda accord,2002,None,like new,None,None,gas,None,None,mid-size,clean,automatic,sedan,1300
chrysler pt cruiser touring,2007,None,excellent,4 cylinders,fwd,gas,silver,143440,mid-size,clean,automatic,wagon,3500
Oldsmobile alero,2001,None,None,6 cylinders,fwd,gas,black,127400,None,clean,automatic,None,1199
Lexus IS 250,2010,JTHBF5C26A5112399,like new,6 cylinders,rwd,gas,silver,None,full-size,clean,automatic,sedan,10800
toyota highlander limited,2005,None,good,6 cylinders,4wd,gas,blue,130165,mid-size,clean,automatic,SUV,7500
chevy cruze,2017,None,like new,4 cylinders,fwd,gas,white,18000,None,clean,automatic,sedan,17999
chevy monte carlo,2007,None,like new,6 cylinders,fwd,gas,silver,119,mid-size,clean,automatic,sedan,2750
ford fusion,2014,None,like new,4 cylinders,fwd,gas,grey,22000,full-size,clean,automatic,sedan,9000
chevrolet 1500 tahoe,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1
2003 Chevy Trailblazer,2003,None,good,6 cylinders,4wd,gas,None,165000,None,clean,automatic,None,2700
Jeep Compass,2010,None,good,4 cylinders,fwd,gas,None,158000,None,clean,automatic,None,3900
Dodge Avenger,2012,None,good,4 cylinders,fwd,gas,None,134000,None,clean,automatic,None,4500
Ford Fusion SE,2013,None,excellent,4 cylinders,fwd,gas,None,148000,None,clean,automatic,None,5900
Lincoln MKX,2008,None,excellent,6 cylinders,4wd,gas,None,191000,None,clean,automatic,None,4500
Chevy Blazer LT,2000,None,None,6 cylinders,4wd,gas,None,141000,None,clean,automatic,None,1950
Lincoln MKS awd,2009,None,good,6 cylinders,4wd,gas,None,157000,None,clean,automatic,None,7900
Chevy malibu,2011,None,good,4 cylinders,fwd,gas,None,105000,None,clean,automatic,None,4500
Toyota Avalon,2006,None,excellent,6 cylinders,fwd,gas,None,68000,None,clean,automatic,None,6900
Dodge Dart,2014,None,good,4 cylinders,None,gas,None,67000,None,rebuilt,automatic,None,5900
gmc new sierra,1999,None,good,8 cylinders,4wd,gas,None,278488,mid-size,clean,automatic,pickup,4500
lincoln mks,2011,None,None,None,None,gas,white,None,None,clean,automatic,None,800
Dodge Charger,2011,None,excellent,6 cylinders,rwd,gas,orange,123000,mid-size,clean,automatic,sedan,8600
Dodge Charger Se,2011,None,excellent,6 cylinders,rwd,gas,orange,123000,mid-size,clean,automatic,sedan,8000
chevrolet tahoe 1500,2010,None,excellent,8 cylinders,4wd,gas,blue,128708,mid-size,clean,automatic,SUV,11900
mercedes benz e350,2011,None,like new,6 cylinders,4wd,gas,white,69971,mid-size,clean,automatic,sedan,20500
gmc acadia,2011,None,excellent,6 cylinders,fwd,gas,red,100630,mid-size,clean,automatic,SUV,10900
ford fusion,2014,None,None,None,None,gas,None,36000,None,clean,automatic,None,8500
dodge charger,2014,None,excellent,8 cylinders,rwd,gas,blue,116147,mid-size,clean,automatic,sedan,11900
lincoln ls,2002,None,None,8 cylinders,rwd,gas,black,190000,mid-size,clean,automatic,sedan,1000
Chevy Malibu,2017,None,like new,4 cylinders,fwd,gas,white,18000,None,clean,automatic,sedan,17999
dodge caliber sxt,2007,None,good,4 cylinders,fwd,gas,red,135487,mid-size,clean,automatic,hatchback,3900
ss camaro,2012,None,excellent,8 cylinders,None,gas,red,13000,None,clean,automatic,coupe,23000
chrysler town and country limite,2010,None,good,6 cylinders,4wd,gas,black,50000,full-size,clean,automatic,mini-van,10790
mini cooper s,2002,None,excellent,4 cylinders,fwd,gas,silver,None,None,clean,manual,hatchback,3900
pontiac vibe,2004,None,good,4 cylinders,fwd,gas,red,217160,mid-size,clean,manual,hatchback,1900
subaru impreza wrx sti,2008,JF1GR89628L823927,good,4 cylinders,4wd,gas,blue,94000,None,lien,manual,hatchback,21000
toyota camry,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Nissan Pathfinder,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,8800
toyota prius,2014,None,excellent,4 cylinders,fwd,hybrid,grey,61273,mid-size,clean,automatic,sedan,15900
Saturn SL1,2001,None,fair,4 cylinders,fwd,gas,brown,117252,None,clean,automatic,None,1500
lexus es 300,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
chevrolet corvette,2005,None,excellent,8 cylinders,rwd,gas,red,48656,None,clean,manual,coupe,24999
F150,2000,None,None,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,pickup,3000
bmw 740i,1999,None,excellent,8 cylinders,rwd,gas,None,57500,None,clean,automatic,None,9900
ford focus se,2012,None,good,4 cylinders,fwd,gas,grey,96815,mid-size,clean,automatic,sedan,6500
mercury grand marquis,2003,None,good,8 cylinders,rwd,gas,grey,None,None,clean,automatic,None,800
honda oddysey,2006,None,fair,6 cylinders,None,gas,brown,None,None,clean,automatic,None,2175
mercedes-benzMer 250se,1967,None,good,None,rwd,gas,white,053342,mid-size,clean,manual,coupe,8300
Ford Galaxie 500,1969,None,fair,8 cylinders,None,gas,grey,None,None,clean,automatic,None,1900
2007 FORD EXPLORER EDDIE BAUER,2006,None,None,6 cylinders,4wd,gas,None,136,None,clean,automatic,None,4800
Ford escape 4x4,2005,None,excellent,6 cylinders,4wd,gas,grey,None,mid-size,clean,automatic,SUV,3550
chevrolet silverado 3500,2004,None,excellent,8 cylinders,4wd,diesel,black,None,full-size,clean,automatic,truck,15000
3500HD,2011,None,None,None,None,gas,black,None,None,clean,automatic,None,22000
Plymouth Road Runner,1971,None,None,8 cylinders,rwd,gas,None,5875,None,clean,automatic,None,27500
chevrolet impala,2005,None,None,None,None,gas,None,100000,None,clean,automatic,None,3300
Dodge Charger r/t,2014,None,None,8 cylinders,None,gas,None,79000,None,clean,automatic,None,19000
ram cv tradesman,2014,None,excellent,6 cylinders,fwd,gas,white,98084,mid-size,clean,automatic,van,7900
ford focus ses,2009,None,good,4 cylinders,fwd,gas,silver,140000,None,clean,automatic,None,1900
chysler town and country,2010,None,good,6 cylinders,fwd,gas,black,50000,full-size,clean,automatic,mini-van,10790
ford fusion,2006,None,excellent,4 cylinders,fwd,gas,silver,150000,None,clean,automatic,None,2499
chevrolet 1500 silverado,2007,None,None,None,None,gas,None,98000,None,clean,automatic,None,7900
Ford Mustang,1965,None,new,None,None,gas,None,None,None,clean,other,None,10000
Ford Fusion,2008,None,excellent,4 cylinders,fwd,gas,None,144000,None,clean,automatic,None,2600
Dodge Ram 2500,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,5500
mercedes ml350,2005,None,excellent,6 cylinders,4wd,gas,white,260000,None,clean,automatic,None,4500
mercedes benz s430,2002,None,good,8 cylinders,rwd,gas,None,159000,None,clean,automatic,None,4500
ford escape,2009,None,None,6 cylinders,None,gas,None,151000,None,clean,automatic,None,3999
pontiac vibe,2006,None,None,None,None,gas,None,159000,None,clean,automatic,None,2500
dodge stratus 4-door,2005,None,None,None,None,gas,None,100000,None,clean,automatic,None,2500
subaru impreza wrx,2015,None,excellent,4 cylinders,4wd,gas,blue,48000,None,rebuilt,manual,sedan,15900
toyota camry,2004,None,good,4 cylinders,fwd,gas,silver,270,None,clean,automatic,None,1600
ford explorer,1994,None,good,6 cylinders,4wd,gas,white,123000,mid-size,clean,automatic,SUV,2100
vw beetle bug,1998,None,excellent,4 cylinders,rwd,gas,red,165000,None,clean,manual,None,1850
Dodge neon se,2001,None,good,4 cylinders,fwd,gas,silver,248000,compact,clean,automatic,coupe,1200
ford explorer eddie bauer,2006,None,excellent,6 cylinders,None,gas,None,128800,None,clean,automatic,None,4950
ford ranger,1999,None,good,4 cylinders,rwd,gas,red,107000,mid-size,clean,automatic,pickup,1700
Ford EXPLORER XLT,2007,None,excellent,6 cylinders,4wd,gas,silver,126800,None,clean,automatic,None,5900
DODGE GRAND CARAVAN,2008,None,like new,6 cylinders,fwd,gas,orange,None,full-size,rebuilt,automatic,van,3500
cadillac deville,1997,None,good,8 cylinders,fwd,gas,None,None,None,clean,automatic,None,1000
Chevrolet Equinox LT,2008,None,like new,6 cylinders,fwd,gas,brown,133000,full-size,clean,automatic,SUV,6499
volvo xc70,2008,None,excellent,6 cylinders,4wd,gas,grey,115000,None,clean,automatic,wagon,7600
nissan altima 2.5 4dr sedan,2004,None,None,None,None,gas,None,93000,None,clean,automatic,None,3300
dodge charger base 4dr sedan,2015,None,like new,6 cylinders,rwd,gas,black,50000,None,lien,automatic,None,13000
lexus es 350,2007,None,excellent,6 cylinders,fwd,gas,None,77517,mid-size,clean,automatic,sedan,10900
chevrolet 2500 silverado,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,9800
Ford Bronco,1995,None,excellent,8 cylinders,4wd,gas,green,212000,full-size,clean,automatic,SUV,8500
CHEVROLET MALIBU LTZ,2008,None,like new,4 cylinders,fwd,gas,black,None,full-size,rebuilt,automatic,sedan,5500
honda accord,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
1997 bmw 528i,1997,WBADD6324VBW21031,excellent,6 cylinders,fwd,gas,green,105000,full-size,clean,automatic,sedan,5960
ford f150 xlt,2008,None,excellent,8 cylinders,4wd,gas,silver,103332,mid-size,clean,automatic,pickup,11900
BMW,2015,None,like new,6 cylinders,4wd,gas,white,37500,mid-size,clean,automatic,SUV,32000
ford escape,2002,None,None,6 cylinders,4wd,gas,None,161000,None,clean,automatic,None,2400
ACURA TL EHAD,2005,None,like new,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,None,1006
dodge grand caravan,2009,None,good,6 cylinders,fwd,gas,silver,150000,mid-size,clean,automatic,van,4999
pontiac grand am gt,2001,None,None,6 cylinders,fwd,gas,silver,124000,None,clean,automatic,None,2300
nissan xterra 4x4,2003,None,excellent,6 cylinders,4wd,gas,grey,None,mid-size,clean,automatic,SUV,3500
Chevrolet HHR LT,2004,None,excellent,4 cylinders,fwd,gas,orange,138000,full-size,clean,automatic,wagon,4999
toyota corolla le,2010,None,good,4 cylinders,fwd,gas,silver,140000,None,clean,automatic,sedan,4500
Camaro,1974,None,None,None,None,gas,None,None,None,clean,manual,None,1
ford f250,1988,None,None,None,None,diesel,None,None,None,clean,manual,None,1
Saturn Vue V6 all wheel drive,2006,None,excellent,6 cylinders,fwd,gas,red,None,None,clean,automatic,SUV,3550
jeep compass sport,2007,None,excellent,4 cylinders,fwd,gas,black,130000,mid-size,clean,automatic,SUV,3850
chrysler town & country,2003,None,good,6 cylinders,fwd,gas,silver,239000,full-size,clean,automatic,mini-van,999
F150,2013,None,None,None,None,gas,None,156000,None,lien,automatic,None,20000
ford fiesta Titanium,2015,None,None,None,None,gas,black,None,None,rebuilt,automatic,None,6600
dodge sprinter,2008,None,None,None,None,diesel,None,159500,None,rebuilt,automatic,None,18200
ford focus se,2017,None,new,4 cylinders,fwd,gas,white,3400,compact,rebuilt,automatic,hatchback,8250
