make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-150,1995,None,fair,6 cylinders,4wd,gas,green,125000,full-size,clean,manual,pickup,800
toyota echo,2002,jtdat123220214452,None,None,None,gas,None,160694,None,clean,automatic,coupe,2000
caddilac cts,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
grand cherokee jeep,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1
ford taurus,2001,None,excellent,6 cylinders,fwd,gas,grey,140000,full-size,rebuilt,automatic,sedan,3400
am general m998,1987,None,excellent,None,None,gas,None,None,None,clean,automatic,None,18000
Ford Focus,2013,None,None,None,None,gas,None,None,None,salvage,manual,None,4500
nissan altima,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
MGB,1993,None,good,4 cylinders,rwd,gas,red,65000,compact,clean,manual,convertible,4900
Wrangler X,2003,None,None,6 cylinders,4wd,gas,None,89688,None,clean,automatic,None,11500
jeep cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Ford F 450,1988,None,good,8 cylinders,rwd,diesel,red,None,full-size,clean,manual,None,11000
Ford mustang,1990,1FACP40E8LF153809,excellent,8 cylinders,rwd,gas,black,83000,None,clean,manual,coupe,5500
CHEVY S 10,2003,None,good,6 cylinders,4wd,gas,red,123000,mid-size,clean,automatic,pickup,4800
chevrolet cruze,2014,None,good,4 cylinders,fwd,gas,green,71000,mid-size,clean,manual,None,7995
pontiac vibe,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
ford f150 xlt,1978,None,fair,8 cylinders,4wd,gas,None,101300,None,clean,automatic,pickup,3500
volkswagen passat 1.8t s,2003,None,excellent,4 cylinders,fwd,gas,black,122000,mid-size,clean,manual,sedan,2995
volkswagen beetle,1999,None,good,4 cylinders,fwd,gas,yellow,123000,compact,clean,automatic,hatchback,1995
chevrolet blazer,1996,None,good,6 cylinders,4wd,gas,black,122000,mid-size,clean,automatic,SUV,1995
subaru impreza wrx sti,2011,None,excellent,4 cylinders,4wd,gas,white,63000,compact,rebuilt,manual,sedan,18500
saturn ion 2,2005,None,good,4 cylinders,None,gas,black,None,mid-size,clean,automatic,None,1
chevy trailblazer,2003,None,good,6 cylinders,4wd,gas,grey,125000,full-size,clean,automatic,SUV,2000
mercedes benz e320,1999,None,good,6 cylinders,None,gas,red,124000,mid-size,clean,automatic,None,2000
jeep cherokee xj,1999,None,good,None,4wd,gas,red,None,full-size,clean,automatic,None,3000
Jeep Wrangler,1994,None,None,None,None,gas,None,None,None,missing,manual,other,4000
Ford Explorer,2002,1FMZU72E224C64423,good,6 cylinders,4wd,gas,custom,129674,full-size,clean,automatic,SUV,5995
nissan maxima,1999,None,None,None,None,gas,green,137224,mid-size,clean,automatic,sedan,1500
chryller cirrus LXI,2000,None,fair,4 cylinders,fwd,gas,silver,83500,mid-size,clean,automatic,sedan,600
chevy silverado 1500,2000,1gcek14t9ye424723,good,8 cylinders,4wd,gas,white,214000,full-size,clean,automatic,pickup,3500
buick lacrosse,2006,None,good,6 cylinders,fwd,gas,silver,75000,full-size,clean,automatic,sedan,4321
Chevrolet Corvette,2006,None,excellent,8 cylinders,rwd,gas,red,89000,None,clean,automatic,coupe,19500
ford f350 power stroke lariat,2006,None,excellent,None,None,diesel,None,112000,None,clean,automatic,None,17000
audi a6 quattro,1996,None,good,6 cylinders,4wd,gas,black,88202,mid-size,parts only,automatic,sedan,1200
2007 Infiniti G35,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
chevy silverado,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
dodge ram 1500 4x4,2008,None,excellent,8 cylinders,4wd,gas,grey,None,full-size,clean,automatic,truck,13000
chevy silverado,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
Civic white,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Honda del sol,1997,None,good,4 cylinders,fwd,gas,black,None,compact,clean,automatic,convertible,3000
Ford Econoline Van,1966,None,fair,6 cylinders,rwd,gas,None,None,None,clean,automatic,None,4000
Ford Pinto,1979,None,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,4250
hyundai azera,2007,None,None,None,None,gas,None,155775,None,clean,automatic,None,3400
dodge 2500 megacab,2006,None,None,None,4wd,gas,None,247000,None,clean,automatic,None,11500
Jeep FC-170,1958,None,fair,6 cylinders,4wd,gas,None,None,None,clean,manual,None,5495
chevrolet impala,2004,None,good,6 cylinders,fwd,gas,white,168000,full-size,clean,automatic,sedan,1500
ford f250 super duty,1999,None,None,10 cylinders,4wd,gas,black,109000,None,clean,manual,None,3500
honda crv,2001,None,excellent,None,None,gas,None,73000,None,clean,automatic,None,3750
pontiac grand prix,2002,None,excellent,6 cylinders,fwd,gas,None,98000,None,clean,automatic,coupe,4200
ford e-350,2005,None,fair,10 cylinders,rwd,gas,white,223532,full-size,clean,automatic,van,1800
Honda Accord,2009,None,good,None,None,gas,black,128000,None,rebuilt,automatic,sedan,6800
Honda civic ex,2005,None,None,4 cylinders,None,gas,None,176000,None,clean,manual,None,2800
chevrolet trailblazer,2006,None,fair,None,4wd,gas,black,170000,None,clean,automatic,SUV,3000
1998 Jeep wrangler,1998,None,fair,4 cylinders,4wd,gas,green,None,None,clean,manual,None,2400
mitsubishi eclipse gt,2000,None,good,6 cylinders,fwd,gas,None,250000,None,clean,manual,coupe,1
jeep grand cherokee,2015,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,None,51000
chevrolet cruze 1lt auto,2016,None,excellent,4 cylinders,None,gas,None,59329,None,clean,automatic,None,11200
toyota 4runner,1997,None,excellent,6 cylinders,4wd,gas,red,229000,mid-size,clean,automatic,SUV,5
DODGE CHARGER,2007,None,good,6 cylinders,rwd,gas,black,142000,mid-size,rebuilt,automatic,sedan,800
Chevy 2500,2001,None,good,8 cylinders,None,gas,white,191000,None,clean,automatic,None,8500
nissan juke,2015,None,like new,None,None,gas,grey,None,None,rebuilt,automatic,SUV,12500
Toyota 4Runner,2002,None,excellent,6 cylinders,4wd,gas,grey,24509,full-size,clean,automatic,SUV,1535
chevy trailblazer,2005,None,good,6 cylinders,4wd,gas,white,None,mid-size,clean,automatic,SUV,3200
subaru impreza 2.5i,2009,None,fair,4 cylinders,4wd,gas,green,113000,compact,rebuilt,automatic,hatchback,3900
toyota tacoma prerunner v6,2004,None,like new,6 cylinders,4wd,gas,white,None,None,clean,automatic,None,1400
s Saturn,2003,None,good,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,3995
toyota corolla le,2005,None,good,4 cylinders,fwd,gas,None,82000,mid-size,clean,automatic,sedan,3900
Subaru Legacy L,2001,None,fair,4 cylinders,4wd,gas,white,132000,mid-size,clean,automatic,None,1800
Buick Electra Park Avenue Sedan,1989,None,excellent,6 cylinders,fwd,gas,white,83000,None,clean,automatic,None,3000
Saturn,2001,None,good,4 cylinders,fwd,gas,red,None,None,clean,manual,coupe,2995
Chevy cavalier,2004,None,fair,4 cylinders,fwd,gas,black,None,None,rebuilt,automatic,None,2200
Chevy cavalier,2004,None,fair,4 cylinders,fwd,gas,black,114421,None,rebuilt,automatic,None,2200
Plymouth Club Coupe,1950,None,None,None,None,gas,None,None,None,clean,manual,None,9000
jeep wrangler 4wd 2dr x,2006,None,good,6 cylinders,4wd,gas,silver,114000,full-size,clean,manual,SUV,9000
Pontiac Bonneville,1998,None,good,6 cylinders,fwd,gas,None,134000,None,rebuilt,automatic,None,1900
ford focus,2012,None,excellent,4 cylinders,fwd,gas,blue,36000,sub-compact,clean,automatic,hatchback,8000
Cavalier,2004,None,fair,4 cylinders,fwd,gas,blue,164,compact,clean,manual,coupe,1200
ford,2011,None,None,None,None,other,None,None,None,clean,other,None,125
oldsmobile cutlass ciera,1986,None,like new,4 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,sedan,3500
Chevy 2500 HD,2002,None,None,8 cylinders,4wd,gas,green,65000,full-size,clean,automatic,truck,7500
Toyota Camry,2003,None,good,4 cylinders,fwd,gas,brown,209000,full-size,clean,automatic,sedan,2200
subaru legacy 2.5i,1999,None,fair,4 cylinders,4wd,gas,black,210718,compact,salvage,automatic,sedan,500
CMC,1984,None,excellent,None,None,gas,None,None,None,clean,automatic,None,5500
Chevy Silverado,2005,None,good,None,None,gas,red,None,None,clean,automatic,truck,5500
BMW330ci,2003,None,good,6 cylinders,rwd,gas,silver,163000,None,clean,manual,convertible,5000
Nissan Xterra,2004,None,good,6 cylinders,4wd,gas,None,125000,None,clean,automatic,SUV,4500
jeep compass 4wd 4dr sport,2016,None,excellent,4 cylinders,4wd,gas,red,29117,full-size,lien,automatic,SUV,12500
Coupe,1985,1G1YY0787F5137755,like new,8 cylinders,rwd,gas,blue,99204,full-size,clean,automatic,coupe,9000
Explorer,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
B-66,1977,None,good,None,None,gas,None,None,None,missing,manual,None,6500
Dodge Neon,2002,None,good,4 cylinders,fwd,gas,red,164000,compact,clean,automatic,sedan,2000
Ford Ranger,1999,None,good,6 cylinders,4wd,gas,None,None,None,clean,automatic,truck,2800
Chevrolet blazer,2000,None,fair,6 cylinders,4wd,gas,None,163000,None,clean,automatic,None,2500
chevrolet colorado crew cab,2005,1GCDT136458191073,good,5 cylinders,4wd,gas,green,89500,mid-size,clean,automatic,truck,7500
Jeep Grand Cherokee,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5700
Nissan Quest,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
Ford 3 window,1934,None,good,8 cylinders,rwd,gas,red,None,None,rebuilt,automatic,coupe,60000
hyundai elantra gls,2005,None,good,4 cylinders,fwd,gas,blue,115000,mid-size,clean,automatic,sedan,2700
hyundai elantra,2005,None,good,4 cylinders,fwd,gas,silver,115000,mid-size,clean,manual,sedan,2700
ford super duty f-350 srw,1999,None,fair,8 cylinders,4wd,diesel,orange,148000,full-size,clean,automatic,pickup,6000
chevy monte carlo SS,2002,None,good,8 cylinders,fwd,gas,black,150000,mid-size,clean,automatic,coupe,2500
chevrolet corvette,1990,None,good,8 cylinders,rwd,gas,white,48000,full-size,clean,automatic,coupe,8500
gmc 1500 sierra,2008,None,like new,4 cylinders,4wd,gas,blue,132829,full-size,clean,automatic,truck,11995
