make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
pontiac sunfire,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,17
vw jetta,2003,None,None,None,None,gas,None,None,None,clean,manual,None,2500
Chevy tahoe,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,4850
Jeep wrangler,1997,None,good,4 cylinders,4wd,gas,green,None,None,clean,automatic,None,5000
amc javelin,1974,None,None,6 cylinders,rwd,gas,red,79000,None,clean,automatic,None,9500
Honda CR-V,2013,5J6RM4H79DL011730,excellent,6 cylinders,4wd,gas,brown,68300,compact,clean,automatic,SUV,16500
chrysler 200,2012,None,excellent,4 cylinders,fwd,gas,silver,61000,mid-size,rebuilt,automatic,sedan,7400
Honda Odyssey,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2350
ford fusion se,2006,None,excellent,6 cylinders,fwd,gas,grey,90000,mid-size,clean,automatic,sedan,4500
nissan altima,2005,None,good,None,None,gas,silver,None,None,clean,automatic,None,750
Chevy trailblazer,2004,None,None,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,2700
ford f150 lariat,1997,None,fair,8 cylinders,4wd,gas,white,350000,full-size,clean,automatic,pickup,1300
GMC envoy,2006,None,excellent,6 cylinders,4wd,gas,None,144000,None,clean,automatic,None,3400
Toyota Camry,2005,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,2900
chevy silverado 1500,2010,None,excellent,8 cylinders,4wd,gas,None,41500,None,clean,automatic,truck,24900
jeep wrangler sahara,2002,None,good,None,None,gas,None,None,None,clean,manual,None,25
Ford Focus,2013,None,None,None,None,gas,None,None,None,salvage,manual,None,4500
ford fusion se,2011,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,6499
Buick Lacrosse,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
GMC 3500,2004,None,excellent,8 cylinders,4wd,diesel,black,None,full-size,clean,automatic,pickup,29000
kia optima,2006,None,None,None,None,gas,None,92968,None,clean,automatic,None,4500
Dodge Stratus,1996,None,good,None,None,gas,None,85000,mid-size,clean,automatic,sedan,1500
Dodge Dakota,1999,None,good,None,4wd,gas,blue,None,full-size,clean,automatic,truck,1000
toyota camry,2011,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8400
Chevy Silverado,1999,None,None,8 cylinders,4wd,gas,blue,226000,None,clean,manual,None,1900
chevrolet 1500 silverado,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
chrysler pt cruiser,2001,None,fair,4 cylinders,fwd,gas,silver,None,None,clean,automatic,hatchback,2000
nissan maxima,2003,None,good,None,None,gas,grey,134314,compact,clean,automatic,None,2000
ford f-250,1995,None,excellent,None,4wd,diesel,grey,None,full-size,clean,automatic,truck,6800
hyndai santa fe,2001,None,good,4 cylinders,fwd,gas,blue,128000,mid-size,clean,automatic,sedan,500
gmc 1500 sierra,2004,None,excellent,8 cylinders,4wd,gas,black,66694,full-size,clean,automatic,truck,12750
toyota rav 4 sport,2008,None,excellent,4 cylinders,4wd,gas,None,None,None,clean,automatic,None,5399
Ford f-250,2012,None,excellent,8 cylinders,4wd,gas,brown,65000,full-size,rebuilt,automatic,pickup,25000
volkswagen passat,2003,None,None,None,None,gas,None,None,None,rebuilt,manual,wagon,2000
hyundai santa fe gls,2010,None,excellent,None,4wd,gas,None,None,None,clean,automatic,None,6499
Chevy Cruze rs,2012,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,5600
gmc jimmy,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
International 3800,1997,None,excellent,None,None,diesel,yellow,None,None,clean,automatic,bus,3500
chevrolet equinox,2007,None,good,6 cylinders,fwd,gas,white,125,full-size,clean,automatic,SUV,3800
Jeep nitro,2009,None,good,6 cylinders,4wd,gas,silver,9800,full-size,clean,automatic,SUV,5300
volkswagen golf,2001,None,good,None,fwd,gas,green,192000,None,clean,manual,hatchback,1025
Jeep,2001,None,None,None,4wd,gas,green,None,None,clean,automatic,SUV,2000
buick regal ls,2004,None,good,None,None,gas,grey,177350,full-size,clean,automatic,None,2300
Chevy trailblazer,2004,None,excellent,6 cylinders,4wd,gas,None,115408,None,clean,automatic,None,3750
chevrolet tahoe,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
ford transit-350,2016,None,good,None,None,gas,None,45000,None,salvage,automatic,None,20600
all,2018,None,None,None,None,diesel,None,None,None,clean,automatic,None,1
pontiac grand am,2005,None,good,6 cylinders,fwd,gas,white,77420,mid-size,clean,automatic,sedan,1500
Jeep Grand Cherokee,2005,None,None,6 cylinders,4wd,gas,red,223339,None,clean,automatic,None,3500
hyundai elantra gt,2004,None,good,4 cylinders,fwd,gas,black,144,full-size,clean,automatic,hatchback,2000
pontiac grand am,2000,None,good,4 cylinders,fwd,gas,blue,132000,mid-size,clean,automatic,sedan,2295
Volkswagen Passat,2003,None,None,4 cylinders,None,gas,None,60000,None,clean,automatic,None,3500
Toyota Tundra,2008,None,like new,8 cylinders,4wd,gas,None,95000,full-size,clean,automatic,pickup,21000
Ford Crown Victoria,2008,None,None,8 cylinders,rwd,gas,silver,123000,full-size,clean,automatic,sedan,3995
chevrolet trailblazer,2007,None,excellent,None,None,gas,silver,114000,None,clean,automatic,None,5500
mack,1994,None,good,6 cylinders,rwd,diesel,white,35000,mid-size,clean,manual,other,16000
hyundai azera,2007,None,None,None,None,gas,None,155775,None,clean,automatic,None,3400
Ford,2006,None,good,8 cylinders,4wd,gas,brown,149102,full-size,clean,automatic,pickup,6500
dodge megacab 2500,2006,None,None,None,None,gas,None,247000,None,clean,automatic,None,11500
western,2000,None,None,None,None,gas,None,None,None,clean,manual,None,500
Ford f.250,2007,None,good,8 cylinders,4wd,gas,white,49000,full-size,salvage,automatic,truck,200
Ford f.250,2007,None,good,8 cylinders,4wd,gas,white,49000,full-size,salvage,automatic,truck,200
F 150 F150 F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
DTS Cadillac,2006,None,excellent,8 cylinders,fwd,gas,black,149789,full-size,clean,automatic,None,4800
dodge avenger,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
honda civic,2006,None,None,4 cylinders,None,hybrid,None,143000,None,clean,automatic,sedan,3500
Sebring,2008,None,None,None,None,gas,None,207000,None,clean,automatic,None,800
Mazda3,2006,None,good,4 cylinders,fwd,gas,black,87000,None,clean,manual,sedan,4000
jeep cherokee,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
chevrolet impala,2006,None,excellent,6 cylinders,fwd,gas,None,198622,None,clean,automatic,None,2700
Ford F250,1994,None,None,None,None,other,None,None,None,clean,other,None,1300
Ford Explorer,2008,None,good,6 cylinders,4wd,gas,white,217000,None,clean,automatic,SUV,4500
bmw 328xi,2009,None,excellent,None,None,gas,None,104000,None,salvage,automatic,None,7800
bmw 530xi,2007,None,excellent,6 cylinders,4wd,gas,black,126,full-size,clean,automatic,sedan,6250
bmw 328i,2009,None,None,None,None,gas,None,84000,None,salvage,automatic,None,7900
plymouth fury,1977,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
buick century,1998,None,good,6 cylinders,fwd,gas,blue,120500,mid-size,clean,automatic,sedan,1200
bmw 328xi,2009,None,excellent,None,None,gas,None,123000,None,salvage,automatic,None,7500
jaguar x-type,2004,None,excellent,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,5000
Bmw,2008,None,excellent,None,None,gas,None,None,None,salvage,automatic,None,8500
chrysler cirrus lxi,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1350
bmw 335i,2010,None,excellent,None,None,gas,None,88000,None,salvage,automatic,None,10700
chevy corvette,1980,None,fair,8 cylinders,rwd,gas,black,83000,None,clean,automatic,None,3200
bmw 535i,2013,None,excellent,None,None,gas,None,None,None,salvage,automatic,None,18500
honda pilot,2005,None,good,6 cylinders,4wd,gas,green,193000,full-size,clean,automatic,SUV,4400
volkswagen super beetle,1971,None,None,None,None,gas,None,None,None,clean,manual,None,5700
honda civic ex,2009,None,excellent,4 cylinders,fwd,gas,None,None,None,clean,manual,None,5500
chevy malibuChevy Malibu,2012,None,like new,None,None,gas,None,99000,None,clean,automatic,None,5700
chevy malibu,2004,None,good,None,None,gas,None,None,None,clean,manual,None,1200
dodge ram 1500,2004,None,None,None,None,gas,None,139000,None,clean,automatic,None,3500
Dodge ram,1999,None,fair,8 cylinders,4wd,gas,None,101000,None,clean,automatic,None,1000
gmc sierra,2002,None,None,None,None,diesel,silver,None,full-size,clean,automatic,truck,2029
