make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford focus sel,2012,None,good,4 cylinders,fwd,gas,green,84000,compact,clean,automatic,sedan,7500
nissan 350z,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,7900
mercedes-benz e-class e500,2003,None,like new,8 cylinders,None,gas,None,102000,None,clean,automatic,sedan,5200
Jaguar XJ8 Vanden Plas,2004,None,excellent,8 cylinders,rwd,gas,green,129000,None,clean,automatic,sedan,5000
buick encore leather,2015,None,None,None,None,gas,None,17000,None,rebuilt,automatic,None,15000
pontiac firebird,1991,None,good,8 cylinders,rwd,gas,black,None,None,clean,automatic,None,1500
FA5,2008,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,3800
ford f350,2008,None,None,None,4wd,gas,None,None,None,clean,automatic,None,8700
dodge ram,2006,None,None,None,4wd,gas,None,None,None,clean,automatic,None,7700
honda accord,2007,None,excellent,4 cylinders,fwd,gas,silver,139,full-size,clean,automatic,sedan,3400
saab 9-3 convertible,2001,None,excellent,4 cylinders,fwd,gas,None,11800,None,clean,automatic,None,3200
dodge ram 3500,1996,None,good,None,None,gas,None,87000,None,clean,automatic,van,4800
VW Passat,2008,None,good,4 cylinders,fwd,gas,black,164000,None,clean,automatic,None,3500
Honda Accord,2005,None,like new,6 cylinders,None,gas,black,None,None,clean,automatic,None,2400
Chevy Astro,2000,1gnel19w6yb111606,good,6 cylinders,4wd,gas,blue,None,mid-size,clean,automatic,mini-van,4000
Vw golf gti,2001,None,good,None,None,gas,silver,170000,compact,clean,manual,None,1650
2004 Mitsubishi Endeavor,2004,None,None,None,None,gas,None,None,None,clean,automatic,SUV,3500
ford taurus,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,800
chevrolet impala,2007,None,like new,6 cylinders,None,gas,white,None,None,clean,automatic,None,3995
chrysler town and country tourin,2007,2A4GP54L47R189029,good,6 cylinders,fwd,gas,None,199000,mid-size,clean,automatic,mini-van,2750
ford crown victoria,1955,None,excellent,None,None,gas,blue,None,None,clean,automatic,coupe,29000
Plymouth Belvedere,1965,R351306392,excellent,8 cylinders,rwd,gas,black,6007,mid-size,clean,automatic,coupe,25500
toyota fj cruiser,2007,JTEBU11F970024700,good,6 cylinders,4wd,gas,black,123000,None,clean,automatic,None,13000
ford econoline,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Infiniti I30 Luxury,2001,JN1CA31D4YT555043,excellent,6 cylinders,fwd,gas,blue,91000,mid-size,clean,automatic,sedan,4000
infiniti g sedan g37x awd,2009,None,good,6 cylinders,4wd,gas,None,111000,None,clean,automatic,sedan,7500
ford f250,2001,None,excellent,None,4wd,diesel,silver,226601,full-size,clean,automatic,pickup,12500
saturn vue,2007,None,good,4 cylinders,None,gas,grey,177000,None,clean,automatic,SUV,2550
dodge 2500 cummins,2003,None,excellent,6 cylinders,4wd,diesel,black,122500,full-size,clean,automatic,pickup,17000
nissan 300zx,1990,None,None,None,None,gas,None,None,None,clean,manual,None,3300
infiniti g35,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Chevrolet Impala LTZ,2008,None,like new,6 cylinders,fwd,gas,grey,None,full-size,clean,automatic,sedan,9250
saturn ion 2,2005,None,None,None,None,gas,None,None,None,clean,manual,None,600
honda accord,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
chevy malibu,2002,None,excellent,6 cylinders,rwd,gas,brown,96,mid-size,clean,automatic,coupe,1850
jeep wrangler,1997,None,good,4 cylinders,4wd,gas,black,200000,mid-size,clean,manual,coupe,4250
chevy express van,2006,None,good,6 cylinders,rwd,gas,white,176000,full-size,clean,automatic,van,5500
hyundai sonata,2006,None,excellent,None,fwd,gas,silver,135000,mid-size,clean,automatic,sedan,2900
N/A,2017,N/A,None,None,None,other,None,1,None,clean,other,None,75
BMW Z4,2005,None,excellent,6 cylinders,rwd,gas,blue,66000,compact,clean,automatic,convertible,10500
Ford F650 7.3,2001,None,like new,None,None,diesel,None,None,None,clean,automatic,None,25000
nissan altima,1999,None,None,4 cylinders,None,gas,None,None,None,clean,automatic,None,1550
cadillac escalade,2004,None,excellent,8 cylinders,4wd,gas,None,199000,None,clean,automatic,None,5600
FORD F150 SUPER CREW,2007,None,good,8 cylinders,4wd,gas,black,193500,full-size,clean,automatic,None,7900
Kia Rondo LX,2008,None,good,6 cylinders,fwd,gas,None,115000,None,clean,automatic,None,3650
Dodge coronet,1956,35130861,None,8 cylinders,rwd,gas,green,98000,None,clean,automatic,None,5495
F350 powerstroke,2005,None,None,None,4wd,diesel,None,187000,None,clean,automatic,None,10500
Buick Riviera,1964,None,good,8 cylinders,rwd,gas,black,None,None,clean,automatic,None,9000
Ram 1500,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,25999
ford e150 econoline,2007,1ftne14w67db39628,good,8 cylinders,rwd,gas,white,142000,full-size,clean,automatic,van,6500
ford e150 econoline,2007,1ftne14w67db39628,good,8 cylinders,rwd,gas,white,142000,full-size,clean,automatic,van,6500
ford e150 econoline,2007,1ftne14w67db39628,good,8 cylinders,rwd,gas,white,142000,full-size,clean,automatic,van,6500
Dodge Ram 1500,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
ford e150 econoline,2007,1ftne14w67db39628,good,8 cylinders,rwd,gas,white,142000,full-size,clean,automatic,van,6500
Chevrolet Corvette,1977,1Z37L7S447717,good,8 cylinders,rwd,gas,blue,68000,None,clean,automatic,None,4500
ford escape,2008,None,excellent,6 cylinders,4wd,gas,white,91800,mid-size,clean,automatic,SUV,7250
chrysler 200,2011,None,like new,4 cylinders,fwd,gas,None,123661,None,clean,automatic,sedan,5499
Cargo,2017,None,None,None,None,other,None,None,None,clean,other,None,4000
toyota 4runner,2015,None,excellent,None,None,gas,None,59000,None,clean,automatic,None,35500
