make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Bmw x5,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,52000
Chrysler Concorde,1997,None,good,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,5200
bmw 325xi,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2750
bmw x5 3.0i awd,2006,None,excellent,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,5000
infiniti g35,2006,None,excellent,6 cylinders,4wd,gas,black,160000,None,clean,automatic,sedan,3200
Ford,2010,None,excellent,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,van,4995
nissan altima,2006,None,None,4 cylinders,fwd,gas,None,140,None,clean,automatic,sedan,3500
volkswagen jetta,2005,None,excellent,5 cylinders,None,gas,None,150000,None,clean,automatic,None,2900
infiniti fx35,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5300
kia sorento,2005,None,excellent,6 cylinders,4wd,gas,None,96000,None,clean,automatic,None,4200
Mazda RX-8,2004,None,good,other,rwd,gas,blue,99900,None,clean,automatic,None,6000
Chevrolet Sonic,2012,1G1JF6SB2C4132381,excellent,4 cylinders,fwd,gas,orange,68500,compact,clean,manual,hatchback,6300
dodge neon,2000,None,excellent,4 cylinders,None,gas,None,45400,None,clean,manual,None,3495
chevy 3500HD,1997,None,None,8 cylinders,None,diesel,None,145736,None,clean,automatic,None,6500
acura tl,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2350
Mazda 6,2003,None,good,6 cylinders,None,gas,white,140000,None,clean,manual,None,3300
audi a4 2.0t quattro premium,2012,None,good,None,4wd,gas,black,None,None,clean,automatic,sedan,11995
Chevrolet Astro Van,2001,None,good,6 cylinders,rwd,gas,grey,179000,mid-size,clean,automatic,truck,1200
nissan juke,2012,None,excellent,4 cylinders,4wd,gas,black,58000,None,clean,automatic,SUV,9900
Hyundai Veloster Turbo,2013,None,excellent,4 cylinders,fwd,gas,red,46000,sub-compact,clean,automatic,None,10900
Ford coupe,1934,None,None,None,None,gas,None,None,None,clean,automatic,None,36000
toyota corola,2009,None,excellent,4 cylinders,fwd,gas,grey,164400,compact,clean,automatic,sedan,5400
kia sedona lx,2007,None,good,6 cylinders,fwd,gas,blue,120000,full-size,clean,automatic,mini-van,3500
Volvo S40 1.9T,2000,None,fair,4 cylinders,fwd,gas,None,121000,None,rebuilt,automatic,sedan,1700
dodge ram 2500 cummins,2003,None,excellent,6 cylinders,4wd,diesel,black,122500,full-size,clean,automatic,pickup,17000
1,2018,13245679878967,None,None,None,other,None,None,None,clean,other,None,1
buick electra,1989,None,None,None,None,gas,None,92777,None,clean,automatic,None,1500
honda civic,1996,122 u eijshshsj,fair,4 cylinders,fwd,gas,grey,1,compact,clean,manual,coupe,1000
chevrolet silverado 2500hd 4x4,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,18500
Tonka,2017,None,None,None,None,other,None,None,None,missing,other,None,58
87 power ram,1987,None,good,8 cylinders,4wd,gas,black,129000,full-size,clean,manual,None,3000
chevrolet silverado,2015,None,excellent,8 cylinders,4wd,gas,white,13000,None,clean,automatic,truck,32500
cadillac escalade,2003,None,good,None,None,gas,None,196000,None,clean,automatic,None,5600
DODGE DAKOTA,1996,None,fair,6 cylinders,4wd,gas,blue,None,full-size,clean,automatic,truck,550
volvo s60,2013,None,None,5 cylinders,fwd,gas,None,44000,None,rebuilt,automatic,None,10600
Nissan Maxima,2001,None,good,6 cylinders,fwd,gas,grey,151000,None,clean,manual,sedan,2300
chevy malibu,2002,None,excellent,6 cylinders,rwd,gas,brown,96,mid-size,clean,automatic,coupe,1850
Ford F 450,1988,None,good,8 cylinders,rwd,diesel,red,None,full-size,clean,manual,None,11000
