make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
mazda mx-5 miata,1995,None,excellent,4 cylinders,rwd,gas,red,61372,None,clean,manual,None,6000
AUDI,2012,None,excellent,6 cylinders,4wd,gas,black,79000,mid-size,clean,automatic,sedan,19200
buick rainier cxl,2004,None,good,6 cylinders,4wd,gas,red,None,None,clean,automatic,None,4395
dodge ram 1500 4x4,2012,None,like new,8 cylinders,4wd,gas,grey,None,None,clean,automatic,None,23800
Chevy 3/4 ton,1986,None,None,None,None,gas,None,180000,None,clean,manual,None,2400
Chevy Silverado,1994,None,None,8 cylinders,None,gas,None,140000,None,clean,automatic,None,950
Nissan 350Z,2006,None,excellent,6 cylinders,rwd,gas,blue,83957,None,clean,automatic,coupe,11500
Mazda CX-9,2009,None,excellent,6 cylinders,4wd,gas,black,137,None,clean,automatic,SUV,8500
Chevy Tracker,2002,None,None,None,None,gas,None,180500,None,clean,automatic,None,2200
Subaru Forester 2.5i,2016,JF2SJAAC7GH448477,excellent,4 cylinders,4wd,gas,black,14250,None,clean,automatic,SUV,19500
Ford Focus,2013,None,None,None,None,gas,None,None,None,salvage,manual,None,4500
jeep wrangler,2007,None,good,6 cylinders,4wd,gas,green,None,None,clean,automatic,None,13000
chevy malibu,2002,None,excellent,6 cylinders,rwd,gas,brown,96,mid-size,clean,automatic,coupe,1850
gmc 1500 sierra,2004,None,excellent,8 cylinders,4wd,gas,black,66694,full-size,clean,automatic,truck,12750
saturn ion 2,2005,None,good,4 cylinders,None,gas,black,None,mid-size,clean,automatic,None,1
chevrolet nova,1965,None,None,None,None,gas,None,None,None,clean,other,None,4500
acura tl type s,2003,None,None,None,None,gas,silver,None,None,clean,automatic,None,500
dodge ram 1500,2008,None,None,8 cylinders,4wd,gas,silver,73000,full-size,lien,automatic,pickup,14500
jeep cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Any,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1
mercury milan i-4 4dr sedan,2006,None,excellent,4 cylinders,fwd,gas,red,159000,None,clean,manual,sedan,2500
honda crv ex awd,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
