make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
jetta,2001,None,good,4 cylinders,fwd,gas,black,91002,compact,clean,automatic,sedan,1000
Mazda3,2004,None,excellent,4 cylinders,fwd,gas,white,None,compact,clean,manual,hatchback,2500
mazda 3,2005,None,excellent,4 cylinders,fwd,gas,white,None,compact,clean,manual,hatchback,2500
vw jetta,2006,None,good,5 cylinders,fwd,gas,white,170000,mid-size,clean,automatic,sedan,2500
bmw 325i,2002,None,excellent,6 cylinders,fwd,gas,green,144000,mid-size,clean,automatic,sedan,3300
honda accord,2005,None,good,6 cylinders,fwd,gas,grey,None,full-size,clean,automatic,sedan,1000
mercury milan premiere awd,2008,None,good,6 cylinders,4wd,gas,silver,79090,mid-size,clean,automatic,sedan,4500
saturn ion,2006,None,good,4 cylinders,fwd,gas,silver,206000,compact,clean,automatic,sedan,1200
hyundai santa fe,2008,None,good,6 cylinders,4wd,gas,blue,180000,full-size,clean,automatic,None,3500
chevy s10 pickup,1995,None,fair,4 cylinders,rwd,gas,red,None,mid-size,clean,manual,truck,850
ford explorer,1998,None,fair,8 cylinders,4wd,gas,white,None,mid-size,clean,automatic,SUV,1000
Acura 3.2TL,2002,None,good,6 cylinders,fwd,gas,grey,139000,mid-size,clean,automatic,None,1900
gmc,1996,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,pickup,1000
hyundai xg350 l 4dr sedan,2002,None,good,6 cylinders,fwd,gas,custom,None,full-size,clean,automatic,sedan,1500
totota camry,1997,None,good,None,None,gas,white,120560,None,clean,automatic,sedan,1895
ford thunderbird,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Honda Accord Wagom,1995,None,good,4 cylinders,fwd,gas,white,175000,None,clean,automatic,wagon,1800
suzuki grand vitara 4-door,2003,None,good,6 cylinders,4wd,gas,black,150000,None,clean,automatic,None,2500
buick lucerne,2006,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,2080
chevy silverado 2500hd,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
chevy silverado 2500hd,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
chevy silverado 2500,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
subaru legacy 2.5i limited,1997,None,excellent,4 cylinders,4wd,gas,green,152000,compact,clean,automatic,sedan,1750
subaru legacy 2.5i limited,1997,None,like new,4 cylinders,4wd,gas,green,152000,compact,clean,automatic,sedan,1750
subaru legacy 2.5i limited,1997,None,like new,4 cylinders,4wd,gas,green,152000,compact,clean,automatic,sedan,1750
buick lucerne,2006,None,good,None,None,gas,None,None,None,clean,automatic,None,2076
subaru legacy 2.5i limited,1997,None,excellent,4 cylinders,4wd,gas,green,152000,compact,clean,automatic,sedan,1750
tac,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1455
chevy trailblazer ss,2006,None,excellent,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,SUV,14000
mercedes-benz s500,2001,None,excellent,8 cylinders,rwd,gas,silver,140000,full-size,clean,automatic,sedan,3000
jeep wrangler,2016,None,like new,6 cylinders,4wd,gas,grey,4000,mid-size,clean,automatic,other,32000
cadillac escalade esv platinum,2005,None,excellent,8 cylinders,4wd,gas,white,100000,full-size,clean,automatic,SUV,14000
cadillac cts-v,2005,None,like new,8 cylinders,rwd,gas,blue,30000,full-size,clean,manual,sedan,15000
scion tc,2012,None,good,None,fwd,gas,white,49000,compact,rebuilt,automatic,coupe,7500
chevrolet cobalt,2009,None,good,None,None,gas,custom,83500,None,clean,automatic,coupe,3500
Ford E3 50,1997,None,excellent,8 cylinders,None,gas,custom,2001234,full-size,clean,automatic,truck,3400
Acura TLX,2017,None,new,6 cylinders,4wd,gas,grey,141,full-size,clean,automatic,sedan,31750
jeep grand cherokee,2006,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,SUV,1600
PT Cruiser,2002,None,good,4 cylinders,fwd,gas,blue,99000,compact,clean,automatic,hatchback,2300
Honda Accord,2016,None,excellent,4 cylinders,fwd,gas,black,18500,full-size,rebuilt,automatic,sedan,14750
jeep grand cherokee limited,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
NISSAN MURANO,2003,None,good,6 cylinders,4wd,gas,None,161000,None,clean,automatic,SUV,2695
ford taurus se,2006,None,good,6 cylinders,fwd,gas,blue,112508,mid-size,clean,automatic,sedan,2300
ford f350,2008,None,None,None,4wd,gas,None,None,None,clean,automatic,None,8700
