make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
mazda 3,2008,None,None,None,None,gas,None,125000,None,clean,manual,None,4700
Dodge Neon SRT4,2004,1B3ES66554D621441,fair,4 cylinders,fwd,gas,silver,141000,sub-compact,clean,manual,sedan,4500
Ford Mustang Cobra,2003,None,None,None,None,gas,None,49200,None,clean,manual,None,29500
dodge dakota sport,2002,None,good,8 cylinders,4wd,gas,blue,214000,None,clean,automatic,pickup,1600
gmc,1989,None,None,None,None,gas,None,129000,None,clean,automatic,None,5000
chevy caprice classic,2012,None,None,None,None,gas,None,90000,None,clean,automatic,None,4000
jeep grand cherokee,2003,None,None,None,None,gas,None,177000,None,clean,automatic,None,1700
ford,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Honda civic ex,2007,None,excellent,4 cylinders,fwd,gas,blue,141600,full-size,clean,automatic,sedan,4400
Mercury mountaineer,2007,None,excellent,6 cylinders,4wd,gas,silver,150500,full-size,clean,automatic,SUV,4400
chevrolet corvette 2dr cpe,1999,None,good,None,None,gas,None,13300,None,clean,manual,None,12500
mazda millenia s,2001,None,fair,6 cylinders,fwd,gas,silver,145000,mid-size,clean,automatic,sedan,1100
jeep liberty 4wd 4dr sport,2008,None,None,None,None,gas,None,None,None,clean,manual,None,10800
chevy,1998,None,None,None,None,gas,None,104000,None,clean,automatic,None,2500
nissan 300zx,1990,None,None,None,None,gas,None,None,None,clean,manual,None,3300
ford explorer sport trac,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
1987 power ram,1987,None,good,8 cylinders,4wd,gas,black,129000,full-size,clean,manual,None,3000
dodge dakota,1996,None,good,6 cylinders,4wd,gas,brown,290000,mid-size,clean,automatic,pickup,1400
Lexus is300,2002,None,None,None,None,gas,None,None,None,clean,manual,None,5000
chrysler sebring convertible,2008,XX,good,4 cylinders,fwd,gas,black,170000,None,clean,automatic,None,1
Jeep Patriot Sport 4x4,2010,None,excellent,4 cylinders,4wd,gas,None,94028,None,clean,manual,SUV,6400
Subaru Outback SE,2009,None,None,4 cylinders,4wd,gas,grey,135317,full-size,clean,automatic,wagon,6800
