make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford fusion se,2007,None,good,6 cylinders,4wd,gas,silver,178000,mid-size,clean,automatic,sedan,3000
Ford f150,1995,None,None,None,None,gas,None,None,None,clean,manual,None,2000
Chevrolet Camaro Z28,2002,None,excellent,8 cylinders,rwd,gas,orange,45000,None,clean,manual,coupe,9000
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1533
volkswagen beetle,1957,None,None,None,None,gas,None,None,None,clean,manual,None,4000
chevy,1955,None,good,8 cylinders,rwd,gas,None,None,None,clean,manual,None,10000
FORD WINDSTAR,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
FORD WINDSTAR VAN,2002,None,None,None,None,gas,None,78000,None,clean,automatic,None,3500
chevy silverado 1500,2009,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,13500
pontiac gran prix,2004,None,fair,6 cylinders,fwd,gas,black,217000,full-size,clean,automatic,sedan,600
Dodge Caliber SXT,2007,None,fair,4 cylinders,fwd,gas,white,160000,compact,clean,automatic,hatchback,1000
nissan frontier,2002,None,good,6 cylinders,4wd,gas,green,None,None,clean,automatic,None,6295
ford five hundred,2007,None,good,6 cylinders,4wd,gas,green,None,None,clean,automatic,None,4995
dodge ram 1500,2012,None,like new,8 cylinders,4wd,gas,grey,43000,None,clean,automatic,pickup,23800
pontiac grand prix,1999,None,excellent,6 cylinders,fwd,gas,silver,226000,mid-size,clean,automatic,sedan,1600
Windstar,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
isuzu,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
honda civic,2002,SHHEP33502U302174,excellent,4 cylinders,fwd,gas,silver,118723,sub-compact,clean,manual,hatchback,8000
ford escape xlt,2010,None,excellent,4 cylinders,fwd,gas,None,153000,None,clean,automatic,None,4500
chevy c10,1973,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
dodge dakota,2005,None,good,None,4wd,gas,white,181023,full-size,clean,automatic,pickup,1800
vw jetta,2003,None,None,None,None,gas,None,None,None,clean,manual,None,2500
mercedes-benz e320,2005,None,excellent,6 cylinders,4wd,gas,None,127,None,clean,automatic,None,6400
Dodge,1951,None,good,6 cylinders,rwd,gas,blue,100000,mid-size,clean,manual,pickup,6500
toyota sienna le,2011,None,good,6 cylinders,fwd,gas,green,139000,full-size,clean,automatic,mini-van,9200
any and all,2018,None,None,None,None,other,None,None,None,salvage,other,None,1
chevy s-10 blazer,1992,None,None,None,None,gas,None,140000,None,clean,automatic,SUV,500
toyota yaris,2009,None,excellent,4 cylinders,fwd,gas,white,170000,compact,clean,automatic,sedan,4500
Chevy 3100,1949,None,good,6 cylinders,rwd,gas,blue,70000,mid-size,clean,manual,pickup,6750
Jeep J10,1985,None,good,6 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,1900
jeep cherokee,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
International,1947,None,excellent,6 cylinders,rwd,gas,green,71890,full-size,clean,manual,truck,12500
ford f250 super duty,2004,None,None,None,None,gas,None,181600,None,clean,automatic,None,3200
chevy c3500,1997,None,excellent,other,rwd,diesel,blue,None,full-size,clean,manual,truck,5500
ford explorer,2005,1FMZU72E95ZA23871,good,6 cylinders,4wd,gas,blue,111848,full-size,clean,automatic,SUV,3800
1500 ram,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,25999
Ford f450 dump teuck,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,16900
ford explorer xlt,2013,None,good,None,None,gas,silver,97000,None,clean,automatic,None,16500
Dodge Ram 2500 SLT,2002,3B7KF23Z12M236878,good,8 cylinders,4wd,gas,silver,None,None,clean,automatic,truck,12000
mercedes-benz sl500,2003,WDBSK75F83F035281,excellent,8 cylinders,rwd,gas,None,67800,None,clean,automatic,convertible,14000
Chevrolet Chevelle,1971,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
ford ranger,2000,None,good,6 cylinders,rwd,gas,red,160,mid-size,clean,automatic,pickup,2500
chevrolet silverado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
mercedes-benz,2012,WMEEJ3BA7CK553068,good,3 cylinders,rwd,gas,white,36000,None,clean,automatic,coupe,5100
hyundai santa fe,2008,None,good,6 cylinders,4wd,gas,blue,180000,full-size,clean,automatic,None,3500
Chevy Cruze,2011,None,good,None,fwd,gas,blue,102000,mid-size,clean,automatic,sedan,5300
Any,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1
chevy,1970,None,good,8 cylinders,rwd,gas,green,56000,full-size,clean,manual,truck,9750
Subaru Outback,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,475
hyundai tiburon,2003,None,good,6 cylinders,fwd,gas,silver,127000,compact,clean,manual,coupe,2375
Nissan Maxima,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
GMC TOP KICK,1996,1GDP7H1JXTJ500371,fair,6 cylinders,rwd,diesel,red,38814,None,clean,manual,truck,9000
ford f-250,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,20000
honda civic,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2650
chevrolet hhr,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2550
honda accord 4-door sedan,2001,None,good,4 cylinders,None,gas,None,144000,None,clean,automatic,None,2600
chevrolet trailblazer ls,2007,None,excellent,6 cylinders,None,gas,None,124000,None,clean,automatic,None,4300
jeep wrangler unlimited,2013,1C4HJWDG8DL578409,excellent,6 cylinders,4wd,gas,green,103000,None,clean,automatic,SUV,20900
Nissan Maxima SL,2007,None,like new,None,fwd,gas,grey,162000,None,clean,automatic,None,8000
Pontiac firebird,1984,None,None,None,None,gas,None,None,None,missing,automatic,None,400
Pontiac firebird,1984,None,None,None,None,gas,None,None,None,missing,automatic,None,400
oldsmobile 4-4-2,1971,None,None,None,None,gas,None,None,None,clean,automatic,None,20
Ford Ranger,2003,None,excellent,6 cylinders,4wd,gas,None,271000,None,clean,automatic,None,3600
kia sportage,2003,None,good,4 cylinders,4wd,gas,red,123000,None,clean,automatic,None,2450
dodge durango,2000,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,750
Dodge Cummins 2500 turbo diesel,1997,None,None,6 cylinders,4wd,diesel,red,311558,full-size,clean,automatic,truck,6800
Acura,2004,None,fair,6 cylinders,fwd,gas,black,137,None,clean,manual,sedan,3700
JEEP Wrangler,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16732
chevrolet trailblazer,2004,None,good,6 cylinders,4wd,gas,blue,191000,None,clean,automatic,SUV,3550
chevrolet trailblazer,2005,None,good,6 cylinders,4wd,gas,white,None,mid-size,clean,automatic,None,3200
Chevrolet chevelle,1965,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
subaru impreza wrx sti,2015,None,None,None,None,gas,None,None,None,clean,manual,None,28
lincoln town car,2004,None,fair,8 cylinders,rwd,gas,silver,122000,full-size,clean,automatic,sedan,1000
Honda Accord EX-L,2005,None,excellent,4 cylinders,fwd,gas,silver,140000,mid-size,clean,manual,None,3500
Worthington/Beavertail,2013,None,like new,None,None,other,white,None,None,clean,other,None,6000
ford f-350,2000,None,good,8 cylinders,4wd,diesel,white,253000,None,clean,automatic,None,9000
pontiac g6,2006,None,good,6 cylinders,fwd,gas,black,76000,None,clean,automatic,sedan,4500
buick lesabre 4dr sdn custom,1999,None,fair,4 cylinders,None,gas,silver,146586,mid-size,clean,automatic,None,700
volkswagen beetle,1979,1592036455,None,None,None,gas,None,104800,None,clean,manual,None,6500
Beetle convertible,1974,None,None,None,None,gas,None,134700,None,clean,manual,None,6000
any,1900,None,None,None,None,gas,None,None,None,clean,other,None,1
chevrolet 1500 silverado,2004,None,good,None,None,gas,None,88000,None,clean,automatic,None,9000
oldsmobile bravada,2000,None,None,None,4wd,gas,None,None,None,clean,automatic,SUV,700
Chevy K10,1985,None,good,8 cylinders,4wd,gas,blue,121000,full-size,clean,automatic,truck,6500
ford mustang,1992,None,good,4 cylinders,rwd,gas,green,25000,mid-size,clean,automatic,convertible,1000
cheverolet cavalier,2000,None,good,None,None,gas,black,135000,compact,clean,manual,coupe,1000
Chrysler sebring convertible,2000,None,good,6 cylinders,None,gas,black,114000,None,clean,automatic,convertible,700
Chevy Cruze LT,2013,None,like new,4 cylinders,fwd,gas,black,6900,None,clean,automatic,None,12500
Ford Mustang GT,1995,None,good,8 cylinders,fwd,gas,red,None,None,clean,manual,None,2500
Ford f700,1993,None,good,None,None,gas,None,67000,None,clean,manual,truck,8950
dodge dakota,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
Nissan Xterra,2007,None,good,6 cylinders,4wd,gas,blue,121000,None,clean,manual,SUV,5500
dodge dakota,2000,None,good,8 cylinders,4wd,gas,silver,91500,mid-size,clean,automatic,pickup,2900
Honda SantaFe,2003,None,good,4 cylinders,fwd,gas,red,172000,mid-size,clean,automatic,wagon,600
ford f350,2007,None,good,8 cylinders,4wd,diesel,white,181000,full-size,lien,automatic,pickup,20000
t bucket,1923,_____,new,8 cylinders,rwd,gas,grey,0,mid-size,clean,automatic,other,15000
volkswagen jetta,2003,None,good,None,None,gas,black,None,full-size,clean,automatic,sedan,2000
toyota 4runner,1995,None,fair,6 cylinders,4wd,gas,green,198000,mid-size,clean,manual,SUV,1800
dodge durango slt,2005,None,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,SUV,4000
Chevrolet 4x4 Truck,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
mecury sable,1997,None,good,6 cylinders,fwd,gas,red,None,None,clean,automatic,sedan,1300
pontiac g6 gt,2006,None,None,None,None,gas,None,47000,None,clean,automatic,None,3100
volkswagen beetle,2002,None,fair,4 cylinders,None,gas,green,180000,compact,rebuilt,manual,coupe,2250
Ford Mustang,1989,None,None,None,None,gas,None,None,None,clean,manual,None,2000
mazda b2200,1991,None,good,4 cylinders,rwd,gas,blue,None,compact,clean,manual,pickup,4500
suzuki xl-7,2008,None,good,6 cylinders,None,gas,white,None,mid-size,clean,automatic,SUV,4450
Ford Camper Special,1970,None,None,None,None,gas,blue,None,None,clean,other,truck,400
2001 Oldsmobile aurora,2001,None,good,6 cylinders,None,gas,white,None,mid-size,clean,automatic,sedan,1500
toyota prius,2008,None,None,None,None,hybrid,None,77000,None,clean,automatic,None,8300
FORD ECONOLINE,1995,1FTJS34H7SHB89072,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,van,975
Dodge Ram 3500,2009,None,None,6 cylinders,4wd,diesel,white,137650,full-size,clean,automatic,truck,18000
chevy blazer,1995,None,good,6 cylinders,4wd,gas,black,188000,None,clean,automatic,SUV,1200
ford mustang convertible,2014,None,excellent,None,None,gas,None,None,None,clean,automatic,None,17500
chevy CAVALIER,2002,None,good,4 cylinders,fwd,gas,silver,153000,compact,lien,automatic,other,500
Ford,1999,None,None,None,None,diesel,None,None,None,clean,automatic,None,9000
