make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Lexus RX 350,2010,None,like new,6 cylinders,4wd,gas,white,52000,full-size,clean,automatic,SUV,3100
nissan quest se,2006,None,fair,6 cylinders,fwd,gas,red,None,None,clean,automatic,van,850
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1507
Tahoe LTZ Sport Utility,2016,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,18522
chrysler town & country,2003,None,good,6 cylinders,fwd,gas,blue,None,None,clean,automatic,None,2499
jeep cherokee,1997,1J4FJ78S2VL518925,good,6 cylinders,4wd,gas,black,175000,full-size,clean,automatic,SUV,2900
hyundai elantra,2013,123456,like new,4 cylinders,fwd,gas,grey,20038,mid-size,clean,automatic,hatchback,11000
jeep liberty,2005,None,good,6 cylinders,4wd,gas,silver,167000,None,clean,automatic,SUV,3750
NISSAN MAXIMA,2002,None,excellent,6 cylinders,fwd,gas,blue,None,None,clean,automatic,None,2999
Ford E150,2003,None,excellent,8 cylinders,rwd,gas,blue,119700,full-size,clean,automatic,van,6900
ACURA TL,2002,None,good,6 cylinders,None,gas,grey,None,None,clean,automatic,None,3499
HONDA ACCORD,2003,None,good,6 cylinders,fwd,gas,silver,None,None,clean,automatic,None,2999
INFINITI G35X,2004,None,good,6 cylinders,4wd,gas,white,None,None,clean,automatic,None,3999
Mazda 3 wagon,2008,None,None,4 cylinders,fwd,gas,purple,153000,None,clean,automatic,None,5799
hyundai tiburon,2005,None,good,6 cylinders,fwd,gas,black,145000,None,clean,manual,coupe,3200
hyundai sonata,2007,None,good,4 cylinders,fwd,gas,black,125000,None,clean,automatic,sedan,3000
Acura TL,1999,None,fair,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1000
Subaru Impreza,2001,None,good,4 cylinders,4wd,gas,None,167,None,clean,manual,None,1800
hyundai sonata gls 4dr sedan,2006,None,good,6 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,sedan,3500
chrysler pt cruiser,2009,None,excellent,4 cylinders,None,gas,None,104000,None,clean,automatic,None,2800
toyota tacoma 4x4,2015,None,excellent,4 cylinders,4wd,gas,grey,12500,mid-size,clean,automatic,pickup,23900
volkswagen jetta,2006,None,salvage,None,None,diesel,None,None,None,parts only,manual,sedan,300
chevy s10 pickup,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
honda civic si,1999,None,None,None,None,gas,None,None,None,clean,manual,None,5000
