make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford fiesta,2011,None,excellent,None,None,gas,None,None,None,clean,automatic,None,4900
Chevrolet Silverado,2007,None,None,8 cylinders,4wd,gas,None,130000,None,clean,automatic,None,16750
jeep cherokee limited,2016,None,excellent,None,4wd,gas,white,38384,full-size,clean,automatic,SUV,20000
mazda 6,2004,None,good,4 cylinders,fwd,gas,grey,199000,mid-size,clean,manual,sedan,2800
chevrolet c/k 1500,1984,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,pickup,4000
dodge avenger,2012,None,None,4 cylinders,fwd,gas,black,None,mid-size,rebuilt,automatic,sedan,6500
ford f-150,2005,None,good,8 cylinders,4wd,gas,grey,177000,full-size,clean,automatic,pickup,6500
chevy avalanche,2002,None,None,None,None,gas,None,200000,None,clean,automatic,None,1200
dodge magnum,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Saturn sc1,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,3450
ford coupe,1955,None,like new,8 cylinders,rwd,gas,blue,96243,None,clean,automatic,coupe,22800
saturn ion,2005,None,good,4 cylinders,fwd,gas,blue,187000,mid-size,clean,manual,sedan,1500
Toyota solara,2001,Runs good,None,None,None,gas,None,225000,None,clean,automatic,None,1450
toyota,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
oldsmobile 98 regency,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Jeep Cherokee,2001,None,None,6 cylinders,4wd,gas,None,None,full-size,clean,automatic,SUV,2000
chevrolet silverado 1500 crew ca,2007,None,excellent,8 cylinders,4wd,gas,red,82850,full-size,clean,automatic,pickup,19995
CHEVY CAVALIER,2004,None,None,4 cylinders,fwd,gas,blue,105000,compact,clean,automatic,None,1800
IHC,1940,None,excellent,6 cylinders,rwd,gas,None,None,None,clean,manual,None,1
toyota sienna,2000,None,fair,6 cylinders,fwd,gas,None,172348,mid-size,rebuilt,automatic,mini-van,3000
Ford fairlane,1963,None,good,8 cylinders,rwd,gas,grey,58000,mid-size,clean,manual,sedan,5500
toyota camry,2005,None,good,4 cylinders,fwd,gas,None,35000,None,clean,automatic,None,9000
ford f-150,1991,1FTDF15Y6MLA58039,good,6 cylinders,rwd,gas,red,127000,full-size,clean,manual,truck,1600
Nissan Quest 3.5S,2005,None,good,6 cylinders,fwd,gas,None,125500,None,clean,automatic,van,2400
hyundai santa fe,2007,None,None,6 cylinders,4wd,gas,None,190000,None,clean,automatic,None,3300
nissan altima,2009,None,None,None,None,gas,None,200000,None,clean,automatic,None,3500
acura rl,2000,None,None,None,None,gas,None,190000,None,clean,automatic,None,1900
dodge ram 1500,1980,None,excellent,None,None,gas,black,None,full-size,clean,manual,pickup,11500
toyota camry,2002,4T1BL32K12UO80409,good,4 cylinders,fwd,gas,silver,166595,compact,clean,automatic,sedan,3200
nissan murano s,2003,None,good,6 cylinders,None,gas,None,65436,None,clean,automatic,None,4100
International 4300,2012,None,like new,None,rwd,diesel,white,225000,full-size,clean,automatic,truck,38900
bmw 528i,2000,None,excellent,6 cylinders,rwd,gas,silver,164000,None,clean,automatic,None,2995
honda civic si,2003,None,like new,None,None,gas,None,54000,None,clean,manual,None,10
Ford Focus,2007,None,good,4 cylinders,fwd,gas,silver,144000,compact,salvage,automatic,sedan,1600
gmc sierra,1982,None,fair,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,truck,1500
chrysler sebring,2006,None,excellent,6 cylinders,fwd,gas,brown,92000,mid-size,clean,automatic,convertible,1800
2005 nissan frontier,2005,None,good,6 cylinders,4wd,gas,grey,179743,mid-size,clean,manual,truck,6250
Honda,1993,None,None,None,None,gas,None,375000,None,salvage,manual,None,850
ford f-150,1988,None,None,None,None,gas,red,202100,full-size,salvage,manual,pickup,1200
Integra sedan,1990,None,new,4 cylinders,fwd,gas,None,91000,None,rebuilt,automatic,None,2000
pontiac torrent,2008,None,good,6 cylinders,4wd,gas,brown,180000,mid-size,clean,automatic,SUV,1800
Infiniti G35x,2004,None,good,4 cylinders,4wd,gas,grey,144000,mid-size,clean,automatic,sedan,4200
infiniti q50 premium awd,2015,None,excellent,6 cylinders,4wd,gas,red,42000,full-size,clean,automatic,sedan,22500
Dodge,2000,None,None,None,None,gas,None,93000,None,rebuilt,automatic,None,2700
Chrysler Sebring,2008,None,good,4 cylinders,fwd,gas,brown,165000,mid-size,clean,automatic,None,2300
Chevy Cobalt,2007,None,like new,4 cylinders,fwd,gas,orange,None,compact,clean,automatic,coupe,5500
jeep compass,2007,None,None,4 cylinders,fwd,gas,black,135000,mid-size,clean,automatic,SUV,3500
honda accord,1999,None,excellent,6 cylinders,fwd,gas,green,139000,mid-size,clean,automatic,sedan,2000
chevy cobalt,2005,None,good,4 cylinders,fwd,gas,red,142000,compact,clean,automatic,sedan,1800
mitsubishi - outlander,2003,None,None,None,None,gas,None,124000,None,clean,automatic,None,2900
Hyundai Accent,2008,None,excellent,4 cylinders,fwd,gas,black,99750,compact,clean,manual,hatchback,3000
buick,1987,None,like new,6 cylinders,rwd,gas,black,87000,None,clean,automatic,None,15600
ford f-150,1990,None,None,None,None,gas,None,None,None,clean,manual,None,1500
Ford f250 super duty,2011,None,None,8 cylinders,4wd,diesel,white,None,full-size,clean,automatic,None,30000
TOYOTA TRUCK,1990,None,good,None,None,gas,None,79000,None,clean,manual,None,3299
dodge ram 2500,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,2600
