make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet trailblazer,2004,None,good,6 cylinders,4wd,gas,silver,135000,None,clean,automatic,None,3200
ford mustang,2006,None,like new,6 cylinders,None,gas,red,84185,full-size,clean,automatic,coupe,5990
lincoln aviator,2003,None,excellent,None,4wd,gas,white,144730,full-size,clean,automatic,truck,3990
huyndai elantra,2006,None,excellent,4 cylinders,fwd,gas,silver,141430,full-size,clean,automatic,sedan,2500
subaru forester,2006,None,like new,6 cylinders,4wd,gas,blue,131659,full-size,clean,automatic,wagon,5400
BMW 328is,1996,None,None,None,None,gas,None,203000,None,clean,manual,None,4500
Mercury Monterey Breezeway,1965,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,None,7000
LEXUS ES 350,2007,JTHBJ46G472005104,excellent,None,4wd,gas,grey,120020,mid-size,clean,automatic,sedan,7900
Mercedes-Benz C350,2008,WDDGF56X58F165409,excellent,6 cylinders,rwd,gas,black,104800,full-size,clean,automatic,sedan,9999
Dodge caliber,2010,None,excellent,None,None,gas,None,None,None,clean,automatic,None,3500
2006 SUBARU OUTBACK,2006,4S4BP86C364339840,excellent,6 cylinders,4wd,gas,green,174906,mid-size,clean,automatic,wagon,5600
volvo xc90,2005,YV1CM911751153063,excellent,5 cylinders,4wd,gas,grey,140013,mid-size,clean,automatic,SUV,4600
VOLKSWAGEN TOUAREG 2,2008,WVGBE77L48D018780,like new,6 cylinders,4wd,gas,green,101220,mid-size,clean,automatic,SUV,8900
nissan xterra se,2003,None,excellent,8 cylinders,4wd,gas,black,178000,compact,clean,automatic,SUV,3990
dodge caravan,2007,None,excellent,6 cylinders,fwd,gas,white,70000,mid-size,clean,automatic,van,5000
subaru impreza sedan wrx,2005,None,None,None,None,gas,None,152550,None,clean,manual,None,6500
F550,2000,None,good,8 cylinders,rwd,diesel,red,None,None,clean,automatic,None,9000
mazda 3s,2005,None,fair,None,None,gas,grey,200000,None,clean,automatic,hatchback,1700
acura rl sh-awd,2005,None,good,6 cylinders,4wd,gas,grey,170000,None,clean,automatic,sedan,3750
GMC Chevy,1997,None,None,6 cylinders,None,diesel,white,64000,None,clean,automatic,None,6750
Mercedes - Benz,2006,None,excellent,6 cylinders,None,gas,silver,116000,mid-size,clean,automatic,sedan,7895
chevy monte carlo,1970,None,None,None,None,gas,None,122000,None,clean,automatic,None,10000
Subaru Forester X,2005,None,None,4 cylinders,4wd,gas,blue,153385,mid-size,clean,automatic,SUV,4000
chevrolet corvette z51,1999,None,good,None,rwd,gas,silver,130865,None,clean,manual,convertible,11500
Scammer Mobile,2018,None,None,None,None,other,None,None,None,missing,other,None,1
chevrolet cavalier,1989,None,good,6 cylinders,fwd,gas,None,None,None,clean,manual,None,2000
Mazda Tribute,2003,None,good,6 cylinders,fwd,gas,None,173400,None,clean,automatic,None,1500
Escape,2009,None,excellent,None,None,gas,None,None,None,clean,automatic,None,5500
chevy equinox,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
GMC Sierra 1500 4x4,2002,None,None,8 cylinders,4wd,gas,None,156000,None,clean,automatic,pickup,4490
bmw x5 3.0i,2003,None,None,None,None,gas,None,155000,None,parts only,automatic,None,1
Ford Mustang Convertible,2004,None,like new,8 cylinders,rwd,gas,orange,31125,mid-size,clean,manual,None,17999
bmw x5 3.0i awd,2003,5UXFA53513LV87595,fair,6 cylinders,4wd,gas,blue,134595,mid-size,clean,automatic,SUV,3495
vw gti,2008,WVWEV71K08W232767,excellent,4 cylinders,fwd,gas,red,141711,compact,clean,manual,hatchback,5750
GMC C70,1986,None,None,None,None,gas,None,None,None,clean,manual,None,6500
Liberty 6 speed,2008,None,None,None,None,gas,None,None,None,clean,manual,None,10800
nissan 300zx,1990,None,None,None,None,gas,None,None,None,clean,manual,None,3300
ACURA MDX,2009,None,excellent,None,None,gas,None,70000,None,clean,automatic,None,15900
ford explorer sport trac,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Ford F-150 Ranger XLT 4 x 2,1978,None,excellent,8 cylinders,rwd,gas,custom,125456,full-size,clean,automatic,pickup,9500
dodge power ram,1987,None,good,8 cylinders,4wd,gas,black,129000,full-size,clean,manual,None,3000
infiniti qx56 4wd,2010,5N3ZA0NC1AN904521,excellent,8 cylinders,4wd,gas,silver,128898,full-size,lien,automatic,SUV,16690
honda civic si,2005,None,excellent,4 cylinders,None,gas,None,145000,None,clean,manual,hatchback,3850
Honda Acty 4X4,1991,00000000000000000,excellent,3 cylinders,4wd,gas,white,19312,sub-compact,clean,manual,truck,2600
Kresgeville,2010,None,excellent,4 cylinders,4wd,gas,None,94048,mid-size,clean,manual,SUV,6400
Nissan Fifaro,1991,00000000000000000,excellent,4 cylinders,rwd,gas,white,53655,sub-compact,clean,automatic,convertible,8250
Mitsubishi Delicia Starwagon,1992,00000000000000000,excellent,4 cylinders,4wd,diesel,green,149000,sub-compact,clean,manual,mini-van,8500
Cherolet Astro mini van,2003,None,excellent,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,3500
Ford Explorer.,1998,None,fair,6 cylinders,4wd,gas,black,130600,mid-size,clean,automatic,SUV,1000
Ford E-350,2006,None,excellent,8 cylinders,4wd,diesel,custom,230000,None,clean,automatic,van,19995
kenworth w900,2000,None,excellent,6 cylinders,None,diesel,None,None,None,clean,manual,None,35000
Ford F250,2004,None,excellent,8 cylinders,4wd,diesel,orange,None,full-size,clean,automatic,truck,29900
Subaru Legacy GT,2009,None,excellent,4 cylinders,4wd,gas,silver,98000,mid-size,clean,automatic,None,7500
Mazda Tribute LX,2001,None,None,6 cylinders,4wd,gas,green,98818,None,clean,automatic,None,2200
nissan altima,2006,None,good,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,2850
