make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
mitsubishi eclipse gs,1999,None,good,4 cylinders,fwd,gas,grey,165000,compact,clean,manual,coupe,1700
honda accord ex v-6,2000,None,good,6 cylinders,fwd,gas,silver,157801,None,clean,automatic,coupe,1800
Saturn SW2,1997,None,good,4 cylinders,fwd,gas,None,168000,None,clean,manual,wagon,1800
porsche,1967,None,None,None,None,gas,None,None,None,clean,manual,None,25000
land rover defender 90,1990,None,excellent,4 cylinders,4wd,gas,green,73000,full-size,clean,manual,offroad,35500
chevrolet camaro,1968,None,like new,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,32000
Honda Accord,2008,None,excellent,6 cylinders,None,gas,white,None,full-size,clean,automatic,None,200
Ford F350,1982,None,None,8 cylinders,None,gas,None,None,None,clean,manual,None,1000
dodge dakota,2000,None,None,8 cylinders,4wd,gas,None,151492,None,clean,automatic,None,3500
bmw 528i,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,20
lexus es 330,2004,None,good,6 cylinders,fwd,gas,None,119000,None,clean,automatic,sedan,5250
chevrolet silverado 2500hd,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,18500
Audi Q5 3.0T premium,2016,WA1D7AFP1GA147059,excellent,6 cylinders,4wd,gas,white,18200,None,clean,automatic,SUV,41550
acura rsx type-s,2005,None,None,None,None,gas,None,None,None,clean,manual,None,9912
jaguar xj8,2002,SAJDA24C52LF40139,excellent,8 cylinders,rwd,gas,brown,None,full-size,clean,automatic,sedan,4000
FORD F350,2001,None,good,None,None,gas,None,62000,None,clean,automatic,None,11500
FORD F350,2001,None,good,None,None,gas,None,62000,None,clean,automatic,None,11500
FORD F350,2001,None,good,None,None,gas,None,62000,None,clean,automatic,None,11500
dodge caravan,1999,None,good,6 cylinders,fwd,gas,red,226320,None,clean,automatic,van,1800
Chevrolet,2014,None,excellent,8 cylinders,rwd,gas,white,49000,full-size,clean,automatic,van,20000
Volkswagen Passat,2009,None,good,4 cylinders,fwd,gas,grey,110000,mid-size,clean,automatic,sedan,3000
cadillac escalade esv,2004,None,like new,None,None,gas,None,124000,full-size,clean,automatic,None,8600
gmc,1992,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,4200
kia,2006,None,None,6 cylinders,4wd,gas,None,66000,None,clean,automatic,None,6500
ford crown victoria police,2003,None,good,8 cylinders,rwd,gas,black,64900,full-size,clean,automatic,sedan,3300
jeep patriot,2007,None,good,4 cylinders,4wd,gas,black,141500,mid-size,clean,automatic,SUV,3800
HONDA CIVIC LX SEDAN,2009,None,excellent,4 cylinders,fwd,gas,blue,49700,compact,clean,automatic,sedan,8500
chevy 3100,1957,None,None,None,None,gas,None,None,None,clean,automatic,pickup,27900
chevrolet camaro,1969,None,good,8 cylinders,None,gas,grey,None,None,clean,manual,None,18500
honda accord 4-door sedan,2002,None,fair,4 cylinders,fwd,gas,black,200000,mid-size,clean,automatic,sedan,1200
Sahara,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,16654
ford f-250,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
yamaha r1,2004,None,None,None,None,gas,None,19000,None,clean,manual,None,3200
chevrolet 1500 silverado,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
bmw 328i,2000,None,fair,6 cylinders,rwd,gas,silver,200000,full-size,clean,automatic,None,750
Mini Cooper,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1520
ford expedition 5.4,1999,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,SUV,3900
Honda Civic,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1650
Nissan Fontier,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3707
ford contour,1997,None,None,None,fwd,gas,None,121000,mid-size,clean,manual,sedan,1200
buick lesabre custom 4dr sedan,1995,None,None,6 cylinders,fwd,gas,None,113000,full-size,clean,automatic,sedan,1950
vw cabrio,1999,None,excellent,4 cylinders,fwd,gas,None,None,sub-compact,clean,automatic,convertible,1950
bmw 323ci convertible,1999,None,None,6 cylinders,rwd,gas,blue,176000,None,clean,manual,convertible,2900
cadillac eldorado coupe,2000,None,excellent,8 cylinders,fwd,gas,white,131000,full-size,clean,automatic,coupe,1950
bmw 328ci coupe,2000,None,excellent,6 cylinders,rwd,gas,black,150000,None,clean,manual,coupe,3300
bmw 330i,2002,None,excellent,6 cylinders,rwd,gas,blue,None,None,clean,manual,sedan,3300
volvo xc70,2003,None,None,5 cylinders,fwd,gas,grey,131000,full-size,clean,automatic,SUV,3800
gmc envoy xuv,2004,None,excellent,None,4wd,gas,silver,120000,full-size,clean,automatic,SUV,7300
ford escape hybrid,2007,None,None,4 cylinders,4wd,hybrid,white,126000,mid-size,clean,automatic,SUV,5500
ford f 350,1999,None,fair,8 cylinders,4wd,diesel,None,340000,full-size,clean,manual,truck,6000
mazda protege,2002,None,None,None,None,gas,silver,189000,None,clean,automatic,None,1500
volkswagen passat,2003,WVWRH63B73P299501,excellent,6 cylinders,fwd,gas,silver,108000,None,clean,manual,None,2300
chevrolet camaro ss,2013,None,None,None,None,gas,None,None,None,lien,manual,None,1
ford excursion,2001,None,good,8 cylinders,4wd,diesel,black,359000,full-size,clean,automatic,SUV,8000
vw passat,2005,None,excellent,4 cylinders,fwd,gas,green,None,mid-size,clean,automatic,sedan,3800
great sedan,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,4023
clean nissan altima,2005,None,like new,6 cylinders,fwd,gas,None,None,full-size,clean,automatic,None,1127
|Jag,2002,None,good,8 cylinders,rwd,gas,None,117,None,clean,automatic,None,2500
toyota solara,2001,None,None,None,None,gas,None,260000,None,clean,automatic,coupe,750
Ford F 150,2005,None,excellent,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,2000
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1563
VW Jetta,2000,None,fair,None,None,other,None,None,None,parts only,other,None,109
honda crv,2001,None,excellent,4 cylinders,None,gas,None,73000,None,clean,automatic,None,3750
dodge grand caravan sxt,2007,None,like new,None,None,gas,None,139,None,clean,automatic,None,2300
dodge grand caravan sxt,2010,None,like new,None,None,gas,None,97,None,clean,automatic,None,5900
pontiac bonneville,2002,1G2HX54K124120624,fair,6 cylinders,fwd,gas,white,130000,None,clean,automatic,None,500
Chrysler Pacifica,2006,None,good,None,None,gas,None,170,None,clean,automatic,None,1750
toyota tundra,2010,None,None,None,None,gas,None,None,None,clean,other,truck,700
Camry XLE,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
nissan maxima,2004,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
Toyota Camry,2001,None,excellent,4 cylinders,fwd,gas,silver,104000,None,clean,automatic,None,4000
nissan xterra,2003,None,good,6 cylinders,4wd,gas,black,144777,full-size,clean,manual,SUV,4000
volkswagen jetta,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1250
saturn astra xe,2008,None,excellent,4 cylinders,fwd,gas,black,150000,mid-size,clean,manual,hatchback,2200
dodge caravan,2007,None,excellent,6 cylinders,fwd,gas,blue,145000,full-size,clean,automatic,mini-van,2700
chevy cobalt,2007,None,excellent,4 cylinders,fwd,gas,white,155000,mid-size,clean,automatic,coupe,2100
nissan maxima,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
Lexus,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,26544
Ford ranger 2wheel dr,2005,None,good,4 cylinders,rwd,gas,white,210000,None,clean,automatic,None,1900
Ford ranger 2wheel dr,2005,None,good,4 cylinders,rwd,gas,white,None,None,clean,automatic,None,1400
Ford ranger 2wheel dr,2005,None,good,4 cylinders,rwd,gas,white,None,None,clean,automatic,None,1400
Ford ranger 2wheel dr,2005,None,good,4 cylinders,rwd,gas,white,210000,None,clean,automatic,None,1400
Ford ranger 2wd,2005,None,good,4 cylinders,rwd,gas,white,None,None,clean,automatic,None,1400
Ford ranger 2wheel dr,2005,None,good,4 cylinders,rwd,gas,white,None,None,clean,automatic,None,1400
Ford ranger 2wheel dr,2005,None,good,4 cylinders,rwd,gas,white,None,None,clean,automatic,None,1400
Ford ranger 2wheel dr,2005,None,good,4 cylinders,rwd,gas,white,None,None,clean,automatic,None,1400
Ford ranger 2wd,2005,None,good,4 cylinders,rwd,gas,white,None,None,clean,automatic,None,1400
