make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Toyota RAV4 4,2002,None,None,4 cylinders,4wd,gas,brown,100000,mid-size,clean,automatic,SUV,1500
Mazda mpv,2003,None,good,None,None,gas,None,177000,mid-size,clean,automatic,mini-van,2700
toyota camry le,1997,None,good,4 cylinders,fwd,gas,blue,150000,mid-size,clean,automatic,sedan,2800
Saturn,1996,None,good,4 cylinders,fwd,gas,green,180000,compact,clean,manual,sedan,1200
Ford F.350,2004,None,good,8 cylinders,4wd,diesel,white,223000,full-size,clean,automatic,truck,5500
Chevy trailblazer,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
Buick Lacrosse,2005,None,good,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1800
Ford Powerstroke,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,6499
jeep liberty 4x4,2007,None,None,6 cylinders,4wd,gas,green,None,None,clean,automatic,None,700
chevy blazer,1998,None,fair,6 cylinders,4wd,gas,None,165000,None,clean,automatic,None,1000
Ford torino,1973,None,good,8 cylinders,rwd,gas,yellow,103000,None,clean,automatic,coupe,2400
Buick park avenue,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Dodge w250,1992,None,None,None,None,diesel,None,None,None,clean,manual,None,6500
honda cr-v,2002,None,good,4 cylinders,4wd,gas,None,None,None,clean,automatic,SUV,1500
dodge neon sxt,2005,None,None,None,None,gas,None,113000,None,clean,automatic,None,2400
subaru impreza wagon wrx,2009,None,None,None,None,gas,None,None,None,clean,manual,None,1
dodge charger,2014,2C3CDXAT2EH357710,excellent,8 cylinders,rwd,gas,None,110000,None,clean,automatic,None,11500
crysler pt cruiser,2005,None,excellent,4 cylinders,fwd,gas,blue,164000,compact,clean,automatic,wagon,3000
Chevy Express 1500,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3850
Ford f-350,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,6300
ford f-250 super duty,2008,None,good,8 cylinders,4wd,gas,white,116000,full-size,salvage,automatic,pickup,3000
chevrolet monte carlo,2003,None,fair,6 cylinders,fwd,gas,silver,154000,None,rebuilt,automatic,None,1700
CARRERA S,2013,None,excellent,None,None,gas,red,None,full-size,clean,automatic,None,24000
bmw,2008,None,None,None,None,gas,None,None,full-size,clean,automatic,None,3049
chevy cobalt,2009,None,good,4 cylinders,fwd,gas,blue,92000,compact,clean,automatic,sedan,4200
toyota tundra 4wd truck sr5,2012,None,good,8 cylinders,4wd,gas,brown,None,full-size,clean,automatic,pickup,21700
chevy s-10 blazer,1997,None,excellent,6 cylinders,4wd,gas,black,150000,mid-size,rebuilt,automatic,SUV,1500
nissan versa,2014,None,like new,None,None,gas,None,89,None,rebuilt,automatic,sedan,5300
Ford Fairlane,1964,None,None,None,None,gas,None,None,None,clean,manual,None,24500
ford e350 van,2006,1FBSS31L86DB40221,good,8 cylinders,rwd,gas,white,484706,full-size,clean,automatic,van,3900
chevrolet hhr 1lt,2008,None,excellent,None,None,gas,None,171000,None,clean,automatic,None,2800
mercury sable ls premium,2000,None,good,None,None,gas,None,133000,None,clean,automatic,None,1600
chevrolet malibu,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3400
Ford,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
