make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
nissan rogue,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,7995
volvo xc90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,8995
Mercedes-Benz c350,2008,WDDGF56X28F123683,like new,6 cylinders,rwd,gas,grey,117000,full-size,clean,automatic,sedan,9000
gmc sierra 1500 crew cab,2005,None,good,8 cylinders,4wd,gas,grey,188035,None,clean,automatic,pickup,9300
Ford focus,2002,None,None,4 cylinders,None,gas,blue,85000,None,clean,manual,None,2900
Chevrolet Suburban LTZ,2009,1GNFK36339R238061,excellent,8 cylinders,4wd,gas,white,174507,full-size,clean,automatic,SUV,18000
Subaru Impreza,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,14500
Factory Five,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,37500
land rover defender 90,1990,SALLDVAD7FA420***,excellent,4 cylinders,4wd,gas,green,73000,full-size,clean,manual,SUV,35500
Mercury Sable LS Premium,2004,None,None,6 cylinders,None,gas,None,80000,None,clean,automatic,None,3300
Chevroler Cavalier,2004,None,None,None,None,gas,None,145000,None,clean,automatic,None,2200
ford e350 van,2000,None,good,10 cylinders,rwd,gas,white,249000,None,clean,automatic,van,4500
Ford Expedition XLT,2013,None,like new,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,32995
nissan altima 2.5 s,2011,None,None,None,None,gas,None,83100,None,clean,automatic,None,7200
ford f-150 4x4,1996,None,good,8 cylinders,fwd,gas,white,None,full-size,clean,automatic,truck,1800
BMW 540i,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Nissan Maxima,2004,None,excellent,6 cylinders,None,gas,blue,126000,None,clean,automatic,None,3500
bmw 335i,2008,WBAWL735X8PX5762,excellent,None,None,gas,None,104000,None,clean,automatic,None,11400
Chevy trailblazer,2007,None,None,8 cylinders,None,gas,black,112000,None,clean,automatic,None,11500
Volvo,2003,None,None,None,None,gas,None,198000,None,clean,automatic,None,1200
gmc 1500 sierra,2007,None,None,None,None,gas,None,135000,None,clean,automatic,None,5000
Impala,2007,None,None,None,None,gas,None,140000,None,clean,automatic,None,3200
dodge caravan,2001,None,None,None,None,gas,None,200000,None,clean,automatic,None,800
nissan altima 2.5 s,2005,None,good,None,None,gas,red,183395,None,clean,automatic,sedan,2500
bmw 545i,2005,WBANB33595CN68002,excellent,8 cylinders,rwd,gas,silver,123808,full-size,clean,automatic,sedan,7500
gmc sierra 2500 slt,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6400
Chevy,2017,None,salvage,None,fwd,gas,None,2359,None,salvage,automatic,sedan,3100
buick park avenue,2004,None,good,6 cylinders,fwd,gas,brown,169000,full-size,clean,automatic,None,2250
Audi a8,2015,None,good,8 cylinders,4wd,gas,black,159899,full-size,clean,automatic,sedan,4400
chrysler town & country,2004,None,fair,6 cylinders,rwd,gas,red,None,None,clean,automatic,mini-van,500
ford mustang,2005,None,salvage,6 cylinders,rwd,gas,silver,190000,None,clean,manual,coupe,1000
audi A4 2.0t,2009,WAUSF78K29A076443,excellent,4 cylinders,fwd,gas,silver,72500,mid-size,clean,automatic,sedan,11000
volvo xc90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,8995
nissan rogue,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,7995
mercedes-benz c280,1999,None,like new,6 cylinders,None,gas,grey,130000,None,clean,automatic,sedan,2800
honda accord ex-l,2008,None,None,6 cylinders,4wd,gas,None,None,compact,clean,automatic,sedan,5000
Ford,1939,None,None,None,None,gas,None,None,None,clean,automatic,None,12000
BMW X3,2005,Wbxpa73445wc51178,excellent,6 cylinders,4wd,gas,black,168450,full-size,clean,automatic,SUV,6900
chevy silverado 1500,2000,None,good,6 cylinders,4wd,gas,grey,161000,full-size,clean,automatic,truck,2500
gmc 1500 sierra,2006,None,None,None,None,gas,None,219000,None,clean,automatic,None,9800
bmw x1 xdrive28i,2013,WBAVL1C58DVR91545,excellent,4 cylinders,4wd,gas,brown,42135,mid-size,clean,automatic,SUV,18500
ford explorer sport trac,2002,None,like new,6 cylinders,4wd,gas,grey,101000,None,clean,automatic,pickup,4300
subaru impreza wrx,2012,JF1GV7E60CG023172,good,4 cylinders,4wd,gas,white,82000,mid-size,clean,manual,sedan,8500
subaru impreza wrx,2005,None,None,None,None,gas,silver,140000,None,clean,manual,None,3000
volvo 240 wagon,1991,None,None,None,None,gas,None,260000,None,clean,automatic,None,600
any vehicle,2002,None,fair,8 cylinders,4wd,gas,custom,None,compact,clean,automatic,truck,1
FORD/CHEVY,2004,None,fair,8 cylinders,4wd,gas,None,None,None,clean,automatic,truck,1000
chevy hhr,2007,None,like new,4 cylinders,fwd,gas,None,120000,None,clean,automatic,None,2800
lincoln town car,2001,None,None,None,None,gas,None,95000,None,clean,automatic,None,500
toyota camry,2009,None,excellent,4 cylinders,fwd,gas,silver,78317,mid-size,clean,automatic,sedan,7000
Volvo V70,2006,None,good,5 cylinders,fwd,gas,silver,213451,full-size,clean,automatic,wagon,2500
Chevy Blazer Ls,2003,None,excellent,6 cylinders,4wd,gas,grey,110,None,clean,automatic,SUV,2600
Dodge Ram 1500,2001,None,excellent,8 cylinders,4wd,gas,black,150,None,clean,automatic,pickup,3500
ford explorer,2006,None,fair,6 cylinders,4wd,gas,brown,168000,mid-size,clean,automatic,SUV,1300
FORD EXPLORER,2006,None,good,8 cylinders,4wd,gas,brown,207000,full-size,clean,automatic,SUV,2900
honda pilot ex,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,6600
buick century custom 4dr sedan,2002,None,excellent,8 cylinders,fwd,gas,None,120,None,clean,automatic,sedan,1300
CHEVY VENTURE LS,2002,None,excellent,6 cylinders,fwd,gas,black,155,None,clean,automatic,van,2100
Bmw 325xi,2005,None,None,None,None,gas,None,None,None,clean,manual,None,3800
toyota camry,1995,None,good,4 cylinders,fwd,gas,blue,230000,mid-size,clean,automatic,sedan,599
toyota camry le,2010,4T1BF3EK9AU075224,excellent,4 cylinders,fwd,gas,red,71500,full-size,clean,automatic,sedan,9750
CHEVROLET S10 BLAZER,1995,1GNCS13W4SK187934,excellent,6 cylinders,rwd,gas,red,130000,mid-size,clean,automatic,SUV,25
toyota corolla ce,2000,None,None,None,fwd,gas,black,57000,None,rebuilt,automatic,None,2500
chevy silverado 1500,2007,None,good,6 cylinders,rwd,gas,None,173637,None,clean,automatic,None,4400
2011Mazda 2,2011,None,like new,4 cylinders,None,gas,white,70100,None,clean,manual,None,5300
ford fusion se,2012,None,excellent,4 cylinders,None,gas,blue,82000,None,clean,automatic,None,7999
Ford F350,2001,None,excellent,8 cylinders,4wd,diesel,brown,100,None,clean,automatic,pickup,12500
Chevy Silverado 4X4,2002,None,excellent,6 cylinders,4wd,gas,blue,128000,None,clean,automatic,pickup,5400
Chevy Silverado Z71 4X4,2005,None,excellent,8 cylinders,4wd,gas,green,140,None,clean,automatic,pickup,7300
Mercedes-Benz 450SL,1972,None,good,8 cylinders,rwd,gas,red,125000,mid-size,clean,automatic,convertible,17500
Honda Accord EX Coupe,2004,None,good,4 cylinders,fwd,gas,silver,165000,mid-size,clean,automatic,coupe,2750
Dodge 3500 dually,1997,3b7hc33d6vm511256,excellent,6 cylinders,rwd,diesel,white,258,full-size,clean,manual,pickup,6000
Nissan Pathfinder,2001,JN8DR07Y91W500213,fair,6 cylinders,4wd,gas,red,84000,full-size,clean,automatic,SUV,1200
ISUZU NPR,2013,None,excellent,8 cylinders,None,gas,white,23430,None,clean,automatic,truck,37225
porsche cayenne s,2004,None,excellent,8 cylinders,4wd,gas,black,112354,None,clean,automatic,None,7000
ford expedition,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
Toyota Rave4,2003,None,None,None,None,gas,None,73000,None,clean,automatic,None,8500
Toyota previa,1993,None,salvage,None,fwd,gas,blue,225000,None,clean,automatic,van,375
American Austin Bantam,1932,None,None,None,None,gas,None,None,None,clean,automatic,None,15000
International 4700,1995,None,None,None,None,diesel,None,None,None,clean,automatic,None,5000
Honda Odyssey,2006,None,excellent,6 cylinders,fwd,gas,silver,130,None,clean,automatic,mini-van,6600
honda odyssey,2004,None,excellent,6 cylinders,fwd,gas,None,150,None,clean,automatic,mini-van,2800
mercedes-benz sl500,1999,None,excellent,8 cylinders,rwd,gas,silver,90000,full-size,clean,automatic,convertible,6200
honda cr-v,2006,None,good,4 cylinders,4wd,gas,black,120555,None,clean,automatic,None,4299
ford f350 super duty,1988,None,None,None,None,gas,None,None,None,clean,manual,None,2000
dodge sprinter,2008,None,excellent,6 cylinders,rwd,diesel,white,None,full-size,clean,automatic,None,14000
bmw 323i,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
BMW X5 xDrive 35i PREMIUM,2013,None,like new,None,None,gas,None,None,None,clean,automatic,None,28495
land rover discovery 2,2000,SALTY1244YA236760,fair,8 cylinders,4wd,gas,custom,103000,full-size,clean,automatic,SUV,1200
Ford f259,1997,None,None,None,None,diesel,None,None,None,clean,manual,None,10000
chevy K 10`,1985,go figure,new,8 cylinders,4wd,gas,custom,28500,full-size,clean,automatic,other,1500
dodge dakota st,2007,None,good,6 cylinders,4wd,gas,black,96300,mid-size,clean,automatic,pickup,5500
ford f450,2001,None,None,None,None,diesel,None,None,None,clean,automatic,None,7500
volkswagen routan,2009,None,good,6 cylinders,None,gas,black,130000,None,clean,automatic,None,5500
bmw 335xi,2008,WBAVD53508A283002,None,6 cylinders,None,gas,black,97732,None,clean,automatic,None,8700
chevy Silverado,2003,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,2000
bmw 325 ci,2004,None,good,6 cylinders,rwd,gas,black,140623,None,clean,automatic,coupe,2400
mazda miata,1997,None,fair,None,None,gas,red,145000,None,clean,manual,None,3000
JEEP CHEROKEE,2000,None,good,8 cylinders,4wd,gas,blue,188000,mid-size,clean,automatic,offroad,1900
MERCEDEZ E320,2002,None,good,6 cylinders,fwd,gas,black,147000,full-size,clean,automatic,sedan,2500
VOLKSWAGEN JETTA,2005,None,good,4 cylinders,4wd,gas,green,200,full-size,clean,manual,wagon,1500
mazda2 sport hatchback,2011,None,like new,4 cylinders,None,gas,white,70100,None,clean,manual,None,5300
GMC Yukon,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
gmc sierra 3500,2000,None,good,None,None,gas,None,None,None,clean,automatic,None,4500
GMC 1500 Sierra,2005,None,good,8 cylinders,4wd,gas,grey,200000,full-size,clean,automatic,truck,4200
honda crv awd,2000,None,excellent,4 cylinders,4wd,gas,green,None,None,clean,manual,None,3000
ford f250,1984,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
ford mustang 5.0,2011,None,None,None,None,gas,None,None,None,clean,manual,None,13000
toyota camry se sedan 4d,2009,None,excellent,4 cylinders,fwd,gas,black,None,mid-size,clean,automatic,sedan,1550
MUSTANG,1965,None,excellent,6 cylinders,rwd,gas,blue,None,mid-size,clean,automatic,other,17500
Jeep Grand Wagoneer,1989,1J4GS5877KP105582,excellent,8 cylinders,4wd,gas,white,92000,full-size,clean,automatic,SUV,14720
silverado 2500,2000,None,excellent,8 cylinders,None,gas,black,None,full-size,clean,automatic,truck,1000
Chevy cobalt,2007,None,good,4 cylinders,fwd,gas,black,84000,None,clean,automatic,None,3500
Ford,1982,None,None,6 cylinders,rwd,gas,None,114000,None,clean,automatic,None,5500
ford f150,2005,None,good,8 cylinders,4wd,gas,None,158675,None,clean,automatic,None,4500
lincoln aviator,2004,None,excellent,8 cylinders,4wd,gas,silver,121000,full-size,clean,automatic,SUV,4900
jeep grand cherokee laredo,2004,None,fair,6 cylinders,None,gas,grey,None,mid-size,salvage,automatic,SUV,800
Chevy express van,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
jeep cherokee,1998,1J4FJ68S8WL124552,good,6 cylinders,4wd,gas,white,230500,full-size,clean,automatic,offroad,2000
nissan 300 zx,1990,None,None,None,None,gas,None,None,None,clean,manual,None,9000
bmw 325i,2003,None,excellent,6 cylinders,rwd,gas,blue,None,None,clean,automatic,None,4800
Audi A4,2004,None,excellent,4 cylinders,4wd,gas,black,54,full-size,clean,automatic,sedan,1022
98 e350,1998,None,excellent,8 cylinders,rwd,gas,white,46000,full-size,clean,automatic,None,8500
bmw 2002 tii,1973,None,None,None,None,gas,None,None,None,clean,manual,None,4500
ford f-250,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
ford f350,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,14900
gmc sierra,2006,None,None,6 cylinders,None,gas,None,140,None,clean,manual,None,5300
Acura MDX,2002,None,good,6 cylinders,4wd,gas,silver,181000,None,clean,automatic,SUV,3600
toyota corolla,2004,None,None,4 cylinders,None,gas,None,71,None,clean,automatic,None,4500
jeep wrangler rubicon,2005,None,excellent,6 cylinders,4wd,gas,silver,42000,None,clean,manual,None,24900
Chevy Kodiak C4500,2007,None,excellent,None,4wd,diesel,white,102,full-size,clean,automatic,truck,39999
toyota 4runner,2003,None,excellent,6 cylinders,4wd,gas,silver,53600,full-size,clean,automatic,SUV,12750
dodge neon,2002,1B3ES46C92D510238,excellent,4 cylinders,fwd,gas,brown,58000,compact,clean,automatic,sedan,2985
chevrolet monte carlo,2002,None,fair,None,None,gas,black,219000,None,clean,automatic,coupe,1000
infiniti g35,2003,None,good,6 cylinders,rwd,gas,silver,95000,compact,lien,automatic,sedan,3850
jeep grand cherokee,2004,None,fair,8 cylinders,4wd,gas,black,200000,full-size,clean,automatic,None,1200
mercury sable,2000,None,good,12 cylinders,None,gas,blue,None,full-size,clean,automatic,wagon,400
jeepster commando,1973,None,like new,8 cylinders,4wd,gas,yellow,None,mid-size,clean,automatic,SUV,24995
nissan sentra,2011,None,None,None,None,gas,None,119522,None,clean,automatic,None,5500
jeep liberty,2008,None,None,None,None,gas,None,131180,None,clean,automatic,None,7500
toyota tundra,2011,None,None,None,None,gas,None,138193,None,clean,automatic,None,17500
honda civic,2010,None,None,None,None,gas,None,67720,None,clean,automatic,None,7900
cadillac cts,2003,None,like new,6 cylinders,rwd,gas,None,135000,None,clean,automatic,None,4500
Ford F150 crew,2002,None,excellent,8 cylinders,4wd,gas,yellow,177000,full-size,clean,automatic,truck,3750
Ram 1500 EcoDiesel Laramie,2015,None,None,None,None,diesel,None,38,None,clean,automatic,None,34999
BMW 328ci,2000,WBABM5342YJP00968,good,6 cylinders,rwd,gas,silver,173500,compact,clean,manual,coupe,4000
Ford focus,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
nissan altima,2007,None,None,None,None,gas,None,150000,None,clean,automatic,None,3500
toyota corolla,2006,None,None,None,None,gas,None,130000,None,clean,automatic,None,3800
volkswagen passat,2007,None,None,None,None,gas,None,190000,None,clean,manual,None,3000
ford explorer,2003,None,None,None,None,gas,None,140000,None,clean,automatic,None,4200
dodge caravan,2001,None,None,None,None,gas,None,95000,None,clean,automatic,None,3750
chrysler 300c,2007,None,None,None,None,gas,None,110000,None,clean,automatic,None,5600
ford f150 fx4 4x4,2006,None,None,None,None,gas,None,110000,None,clean,automatic,None,8600
dodge avenger,2008,None,None,None,None,gas,None,130000,None,clean,automatic,None,3999
dodge avenger,2008,None,None,None,None,gas,None,130000,None,clean,automatic,None,3999
ford five hundred,2007,None,None,None,None,gas,None,113000,None,clean,automatic,None,3500
volkswagen passat turbo,2007,None,None,None,None,gas,None,None,None,clean,manual,None,2700
ford taurus limited,2007,None,None,None,None,gas,None,135000,None,clean,automatic,None,5000
chevrolet silverado,1980,None,good,8 cylinders,4wd,gas,yellow,None,full-size,clean,manual,pickup,7500
nissan maxima 3.5 sl,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
mazda 6,2004,None,good,4 cylinders,fwd,gas,silver,187841,None,clean,manual,sedan,2400
DODGE RAM 1500,2008,None,excellent,6 cylinders,rwd,gas,silver,41243,None,clean,manual,pickup,8500
toyota camry,2008,None,excellent,4 cylinders,fwd,hybrid,white,None,mid-size,clean,automatic,sedan,5950
toyota prius,2007,None,excellent,4 cylinders,fwd,hybrid,white,None,compact,clean,automatic,hatchback,2950
vaz 2101,1979,None,None,None,rwd,gas,None,50000,None,clean,manual,None,9000
mercedes benz e350,2010,None,excellent,8 cylinders,4wd,gas,grey,90100,full-size,clean,automatic,sedan,15500
