make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Mercury Monterey Breezeway,1965,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,None,7000
FORD F-350,1980,None,good,8 cylinders,None,gas,white,150000,None,clean,manual,truck,800
ford econoline,1997,None,None,None,None,gas,None,177000,None,clean,automatic,None,1000
Toyota,1995,None,None,None,None,gas,None,None,None,clean,manual,None,500
Ford focus,2014,None,None,4 cylinders,None,gas,silver,31000,None,clean,automatic,None,9
jeep lifted wrangler,2001,None,None,None,None,gas,None,None,None,clean,manual,None,12500
Stehl tow,2017,None,None,None,None,other,None,None,None,clean,other,None,900
jeep cherokee,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
honda accord ex,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
ford excursion limited,2001,None,good,8 cylinders,4wd,diesel,white,244000,full-size,clean,automatic,None,9595
Ford Fusion Sport AWD,2010,None,good,6 cylinders,4wd,gas,black,70000,full-size,clean,automatic,sedan,9495
ford edge,2007,None,like new,6 cylinders,fwd,gas,None,144600,None,clean,automatic,None,8900
Ford Super,1946,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
GMC Sierra 2500HD Duramax,2005,None,good,8 cylinders,4wd,diesel,blue,189000,full-size,clean,automatic,None,14995
toyota camry,2009,4T1BE46K69U314683,good,4 cylinders,None,gas,None,50,None,clean,manual,None,7500
chevy blazer,2000,None,good,None,None,gas,None,152,None,clean,automatic,None,1300
honda odyssey ex-l,2008,None,good,None,None,gas,None,179,None,clean,automatic,None,3900
Chevy Cheyenne,1999,None,good,8 cylinders,4wd,gas,green,137000,full-size,clean,manual,truck,7800
Buick rendezvous,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2850
Volkswagen Golf,2003,None,excellent,4 cylinders,fwd,gas,black,135000,compact,clean,manual,coupe,5000
honda crv ex awd,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
chevrolet malibu,2008,None,None,None,None,gas,None,None,None,clean,other,None,5499
honda civic ex,2007,None,None,None,None,gas,None,None,None,clean,other,None,4800
MINI COPPER S,2007,None,excellent,4 cylinders,fwd,gas,green,135000,compact,clean,manual,convertible,3250
Ford Expedition,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
jeep grand cherokee limited,2008,None,None,None,None,gas,None,140,None,clean,other,None,5500
saturn ion,2007,None,None,None,None,gas,None,114000,None,clean,other,None,2800
acura tsx,2008,None,None,None,None,gas,None,155,None,clean,other,None,5500
jeep grand cherokee overland,2003,None,good,8 cylinders,4wd,gas,grey,166000,mid-size,clean,automatic,SUV,3000
jaguar xj6 vanden plas,1990,None,excellent,6 cylinders,rwd,gas,blue,None,full-size,clean,automatic,None,1200
Toyota Camry SE,2009,None,excellent,4 cylinders,None,gas,None,73000,full-size,clean,automatic,None,1500
Camry LE,2016,None,excellent,6 cylinders,fwd,gas,black,18000,None,clean,automatic,None,19555
buick rendezvous,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3550
Honda Accord LX,2009,None,None,None,None,gas,black,128000,None,rebuilt,automatic,sedan,6800
Chevrolet Equinox,2007,None,good,6 cylinders,None,gas,black,178400,None,clean,automatic,SUV,4650
Honda Civic,2004,None,good,4 cylinders,None,gas,blue,None,None,clean,automatic,None,4150
Ford Taurus,2003,None,fair,None,None,gas,None,100000,None,clean,automatic,None,1200
ford mustang 5.0,2012,None,None,None,None,gas,None,None,None,clean,manual,None,27500
jeep cherokee laredo,1992,None,fair,6 cylinders,4wd,gas,white,239999,None,clean,automatic,SUV,1250
chevy cruze,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
chevrolet camaro,1968,124xxxx,excellent,8 cylinders,rwd,gas,silver,82300,mid-size,clean,automatic,coupe,23500
ford windstar,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
jeep cherokee,1991,None,fair,None,4wd,gas,black,160000,None,parts only,automatic,None,600
chrysler sebring touring,2007,None,excellent,6 cylinders,fwd,gas,red,246000,full-size,clean,automatic,None,1200
ford f150,1995,None,good,8 cylinders,4wd,gas,None,216203,full-size,clean,automatic,None,6000
ford f250,1995,None,good,8 cylinders,4wd,gas,custom,216203,full-size,clean,automatic,truck,6000
mazda rx7,1986,None,fair,None,None,gas,None,133596,None,salvage,other,None,450
dodge ram 1500,2005,Xxxxxxxx,fair,8 cylinders,4wd,gas,grey,150000,full-size,clean,automatic,None,2500
Chevy avalanche,2002,Xxxxxxxx,fair,8 cylinders,4wd,gas,brown,331000,full-size,clean,automatic,None,2000
chevy k5 blazer,1978,Xxxxxxxx,good,8 cylinders,4wd,gas,brown,200000,full-size,clean,automatic,None,2200
Ford f250,1992,Xxxxxxxx,fair,8 cylinders,4wd,diesel,brown,162000,full-size,clean,automatic,None,2500
Ford f350,1993,Xxxxxxxx,good,8 cylinders,4wd,diesel,black,240000,full-size,clean,manual,None,3000
Ford f350,1991,Xxxxxxxx,fair,8 cylinders,rwd,gas,white,157000,full-size,clean,automatic,None,1500
international s1700,1985,Xxxxccc,good,8 cylinders,rwd,diesel,red,175000,full-size,clean,automatic,None,2500
nissan altima 2.5 sv,2015,None,excellent,4 cylinders,fwd,gas,red,31000,None,clean,automatic,None,14000
Honda Accord,2001,None,excellent,None,None,gas,None,164,None,clean,automatic,None,3000
Mercury Sable,2003,None,good,6 cylinders,fwd,gas,red,147000,mid-size,rebuilt,automatic,sedan,2900
Saturn ion,2004,None,excellent,None,None,gas,None,126,None,clean,automatic,None,2800
vw golf gls,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
subaru legacy wagon,2001,None,good,None,None,gas,None,204,None,clean,automatic,None,1700
chevy chevelle,1967,None,None,None,None,gas,None,None,None,clean,automatic,None,40000
ford f-150,2005,None,good,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,6999
Toyota,1997,None,good,6 cylinders,4wd,gas,None,220,None,clean,manual,pickup,4800
ford explorer,1996,None,good,8 cylinders,4wd,gas,green,165700,full-size,clean,automatic,SUV,1695
Volkswagen Beetle,2001,None,excellent,None,None,gas,None,130,None,clean,automatic,None,2600
Volkswagen Jetta,2009,None,good,5 cylinders,None,gas,black,165,None,clean,automatic,None,3300
saab 9-3 turbo,2001,None,None,None,None,gas,None,None,None,clean,manual,convertible,1900
plymouth belvedere,1956,None,None,None,None,gas,None,None,None,clean,other,None,6500
pontiac g5 coupe,2007,None,good,4 cylinders,fwd,gas,silver,102854,None,clean,automatic,coupe,2000
dodge caliber SE,2008,None,None,None,None,gas,None,None,None,clean,manual,None,2950
LAND ROVER RANGE ROVER,2006,SALME15456A228270,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,750
honda civic coupe ex,2002,None,None,None,None,gas,None,None,None,clean,manual,None,1850
pontiac g6,2007,None,None,None,None,gas,None,154000,None,clean,automatic,None,3400
dodge journey sxt,2009,2D4GH57V29T582708,excellent,4 cylinders,None,gas,grey,162983,full-size,clean,automatic,SUV,7000
Engine. 8,2016,None,None,None,None,diesel,None,None,None,clean,automatic,None,18511
volkswagen passat,2015,None,excellent,4 cylinders,None,diesel,black,82,None,clean,automatic,None,13500
ford focus se,2013,1FADP3F29DL315154,good,4 cylinders,None,gas,None,76,None,clean,automatic,None,4999
nissan maxima,2006,None,fair,6 cylinders,fwd,gas,silver,105000,None,clean,automatic,None,4200
hyundai accent,2010,None,good,4 cylinders,fwd,gas,black,122236,None,clean,manual,coupe,3600
nissan nv200,2015,None,excellent,4 cylinders,fwd,gas,white,57300,compact,clean,automatic,van,13500
Ford Ranger,1997,None,None,None,None,gas,None,None,None,clean,manual,None,2500
toyota corolla,2001,None,None,None,None,gas,None,None,None,clean,manual,None,1750
