make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Dodge Ram,2006,None,None,None,None,gas,None,149000,None,clean,automatic,None,8300
Cheverolet Monte Carlo SS,1983,None,None,8 cylinders,None,gas,white,None,None,clean,automatic,None,3000
HONDA Cr-v,2008,None,None,None,None,gas,None,85700,None,clean,automatic,None,1540
Chevy,1955,None,None,None,None,other,None,None,None,clean,other,None,1500
2009 Mustang,2009,None,excellent,6 cylinders,rwd,gas,grey,81000,None,salvage,automatic,None,8500
ford mustang 5.0,2014,1ZVBP8CF7E5258669,like new,8 cylinders,rwd,gas,black,16750,mid-size,clean,manual,coupe,25250
ford f350,2016,None,like new,8 cylinders,4wd,diesel,black,7000,full-size,clean,automatic,truck,55200
ford f-150,2007,None,excellent,None,None,gas,None,77000,None,lien,automatic,None,11800
ford mustang convertible,2008,None,None,None,None,gas,None,67000,None,lien,automatic,None,9500
Chevrolet Monte Carlo,1999,None,None,None,None,gas,None,370000,None,rebuilt,automatic,None,650
Ford F-150,1995,None,fair,8 cylinders,rwd,gas,silver,None,full-size,clean,automatic,pickup,2500
Ford f 150,1995,None,good,8 cylinders,rwd,gas,silver,215000,full-size,clean,automatic,pickup,2500
Ford f 150,1995,None,good,8 cylinders,rwd,gas,silver,215000,full-size,clean,automatic,pickup,2500
Ford f 150,1995,None,good,8 cylinders,rwd,gas,silver,215000,full-size,clean,automatic,pickup,2500
Ford f 150,1995,None,good,8 cylinders,rwd,gas,silver,215000,full-size,clean,automatic,pickup,2500
Ford f 150,1995,None,good,8 cylinders,rwd,gas,silver,215000,full-size,clean,automatic,pickup,2500
Lincoln,1994,None,None,None,None,gas,None,166000,None,clean,automatic,None,1600
Honda CR-V,2008,None,None,None,None,gas,None,78400,None,clean,automatic,None,1490
chevrolet trailblazer,2005,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,2300
dodge dakota,1997,None,excellent,6 cylinders,rwd,gas,custom,None,mid-size,clean,automatic,pickup,7500
chevy malibu,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
GMC Sierra Denali,2005,None,excellent,8 cylinders,4wd,gas,None,93000,full-size,lien,automatic,pickup,13000
Ford,1990,None,fair,8 cylinders,None,gas,None,None,None,clean,automatic,van,600
ford f-150,1997,None,good,None,4wd,gas,None,None,None,clean,automatic,truck,1000
INT 4900,1992,None,fair,None,rwd,diesel,white,142947,full-size,clean,manual,other,4600
saturn vue,2006,None,good,4 cylinders,None,gas,blue,116000,full-size,clean,automatic,SUV,3400
Ford F-150,1995,None,good,8 cylinders,rwd,gas,silver,215000,full-size,clean,automatic,pickup,2500
lexus gs 300,2006,None,like new,6 cylinders,rwd,gas,silver,136000,None,clean,automatic,None,8990
4Runner,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
bmw 328i,2007,None,excellent,6 cylinders,None,gas,grey,118000,None,lien,automatic,coupe,12500
Chevy wagon,1958,None,good,8 cylinders,rwd,gas,custom,None,full-size,clean,automatic,wagon,10500
chevy s10 pickup,1997,None,good,6 cylinders,fwd,gas,red,149000,None,clean,automatic,pickup,2400
Jeep Commander Limited,2006,None,good,8 cylinders,4wd,gas,red,140000,mid-size,clean,automatic,SUV,6000
pontiac g6,2008,None,excellent,6 cylinders,fwd,gas,black,110000,mid-size,clean,automatic,sedan,4300
saturn ion 2,2004,None,like new,4 cylinders,fwd,gas,blue,148000,mid-size,clean,manual,coupe,2800
ford focus ses,2006,None,good,4 cylinders,fwd,gas,silver,91000,full-size,clean,automatic,SUV,3200
ford coupe,1955,None,like new,8 cylinders,rwd,gas,blue,96243,None,clean,automatic,coupe,22800
nissan altima,2017,None,like new,None,None,gas,black,7500,None,clean,automatic,None,17000
cheverolet blazer,1996,None,good,6 cylinders,4wd,gas,green,241111,mid-size,clean,automatic,SUV,850
chrysler 300,2006,None,None,None,None,gas,None,150000,None,clean,automatic,None,5300
honda cr-v,2008,None,None,None,None,gas,None,82400,None,clean,automatic,None,1520
kia sportage,2006,None,good,None,4wd,gas,green,115600,None,clean,automatic,None,3000
Lincoln Signature Series,2001,None,good,None,None,gas,None,None,None,clean,automatic,None,3000
Honda Pilot,2007,None,excellent,6 cylinders,4wd,gas,white,160550,full-size,clean,automatic,None,1
chevrolet impala,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2200
mazda 6,2012,None,like new,4 cylinders,fwd,gas,None,60000,None,clean,automatic,None,7990
