make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
jeep cherokee sport,1996,None,good,6 cylinders,4wd,gas,blue,187000,mid-size,clean,manual,offroad,3350
Chevy astro,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
saturn aura xe,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2850
lexus lx450,1996,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,4000
chevrolet 1500 silverado,2015,None,excellent,8 cylinders,4wd,gas,silver,17000,None,clean,automatic,pickup,38000
Nissan Murano,2004,None,None,6 cylinders,4wd,gas,silver,760000,None,rebuilt,automatic,None,1799
Porsche 944,1984,None,good,4 cylinders,rwd,gas,black,134000,None,clean,manual,coupe,2800
Jeep,2003,None,None,None,None,gas,None,None,None,clean,other,None,999999
isuzu amigo,2000,None,good,6 cylinders,4wd,gas,silver,149,None,clean,automatic,None,2500
buick lesabre custom,2001,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,coupe,2000
marley,2018,None,None,None,None,other,None,None,None,missing,other,None,3
ford mustang,1989,None,good,8 cylinders,rwd,gas,black,126567,None,clean,manual,None,3800
any,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,800
Ford Mustang,2004,None,good,6 cylinders,rwd,gas,grey,173000,None,clean,manual,coupe,3000
vw gti 1.8t,2003,None,good,4 cylinders,None,gas,silver,112000,None,rebuilt,manual,None,2800
Cadillac STS,2005,None,excellent,8 cylinders,rwd,gas,black,160000,None,clean,automatic,sedan,5000
lexus rx300,2001,None,None,None,4wd,gas,None,179210,None,clean,automatic,None,4900
CROSLEY CONVERTIBLE COUPE,1939,390-11685,good,other,rwd,gas,red,00002,sub-compact,clean,manual,convertible,35000
Toyota Camry,2002,None,good,4 cylinders,fwd,gas,grey,120000,full-size,clean,automatic,sedan,1000
saturn outlook,2010,None,None,None,None,gas,None,168000,None,clean,automatic,None,7000
pontiac aztec,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
mazda 3,2006,None,good,4 cylinders,fwd,gas,silver,164000,compact,clean,automatic,sedan,1950
"F150,XLT, truck",1995,None,None,None,None,gas,None,None,None,clean,manual,None,2200
nissan murano,2004,None,good,6 cylinders,None,gas,None,181457,None,clean,automatic,None,3999
jeep patriot,2007,None,good,4 cylinders,4wd,gas,brown,154000,mid-size,clean,automatic,wagon,3999
cadillac seville sls,2001,None,None,8 cylinders,None,gas,None,81474,full-size,clean,automatic,None,3999
cr-v honda,2002,None,excellent,4 cylinders,4wd,gas,brown,229450,full-size,clean,manual,SUV,2799
jeep liberty 4x4 sport,2006,None,excellent,6 cylinders,4wd,gas,white,160387,full-size,clean,manual,SUV,3499
jeep liberty limited 4wd,2002,None,good,6 cylinders,4wd,gas,orange,180481,full-size,clean,automatic,SUV,2799
chrysler pt cruiser base,2007,None,excellent,4 cylinders,fwd,gas,white,153287,mid-size,clean,automatic,wagon,2499
ford fusion se 4dr sedan,2012,None,excellent,6 cylinders,fwd,gas,black,166820,full-size,clean,automatic,sedan,5499
