make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Jeep wrangler X,2006,None,excellent,6 cylinders,4wd,gas,silver,111000,mid-size,clean,manual,offroad,12500
BMW 323i,2000,WBAAM334XYCD64820,excellent,None,rwd,gas,silver,None,None,clean,manual,None,3500
Jeep Wrangler,1990,None,None,None,None,gas,None,None,None,clean,manual,None,10850
Ford F550,2008,None,None,None,None,diesel,None,None,None,clean,automatic,None,50
Chevrolet 210,1955,None,None,None,None,gas,None,None,None,clean,manual,None,10000
Ford Mustang Convertible GT,1994,None,excellent,8 cylinders,rwd,gas,red,85000,None,clean,manual,convertible,5000
pontiac firebird rwd gas coupe,1999,None,None,6 cylinders,rwd,gas,silver,85000,None,parts only,automatic,None,700
Chev 1500 Silverado RWD,2000,None,good,8 cylinders,rwd,gas,None,171000,full-size,clean,automatic,pickup,4950
volkswagen jetta,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5300
Colorado,2004,None,good,8 cylinders,4wd,diesel,red,None,full-size,rebuilt,automatic,SUV,10500
toyota camry,2007,None,None,None,fwd,gas,black,None,None,clean,automatic,None,1565
dodge ram 1500,2002,None,good,None,None,gas,None,250000,None,clean,automatic,None,2500
FORD MUTANG,2003,None,excellent,6 cylinders,rwd,gas,yellow,134,mid-size,clean,automatic,coupe,2900
BMW M3,2003,None,good,6 cylinders,rwd,gas,black,130,full-size,clean,automatic,coupe,8500
Honda Odyssey,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
FORD MUTANG,2003,None,excellent,6 cylinders,rwd,gas,yellow,134,mid-size,clean,automatic,coupe,2900
Dodge Durango,2005,None,good,8 cylinders,rwd,gas,blue,99101,full-size,clean,automatic,SUV,2900
Cadilac Eldorado,1985,None,good,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,None,2000
Nissan sentra,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,5800
FORD MUTANG,2003,None,excellent,6 cylinders,rwd,gas,yellow,134,mid-size,clean,automatic,coupe,2900
Colorado,2004,None,good,8 cylinders,4wd,diesel,red,None,full-size,rebuilt,automatic,SUV,10500
Nissan Altima 2.5 s,2009,1N4AL24E89C192461,excellent,6 cylinders,rwd,gas,red,117058,full-size,clean,automatic,coupe,5995
mitsubishi lancer,2004,None,None,4 cylinders,None,gas,None,77900,None,clean,automatic,None,3650
ford f250,2004,None,like new,8 cylinders,4wd,diesel,blue,153000,full-size,clean,automatic,pickup,27000
ford f250,2004,None,like new,8 cylinders,4wd,diesel,blue,153000,full-size,clean,automatic,pickup,27000
mercury mountaineer,2004,None,good,8 cylinders,None,gas,grey,171090,full-size,clean,automatic,SUV,1300
lexus gs 450h,2007,JTHBC96S275006939,excellent,6 cylinders,rwd,hybrid,red,143000,mid-size,rebuilt,other,sedan,7500
chrysler 300c,2010,None,like new,8 cylinders,rwd,gas,white,79999,full-size,clean,automatic,sedan,10499
CHRYSLER 300 C,2010,None,like new,8 cylinders,rwd,gas,white,80000,full-size,clean,automatic,sedan,10499
chrysler 300c hemi,2010,None,like new,8 cylinders,rwd,gas,white,79999,full-size,clean,automatic,sedan,10500
CHRYSLER 300C,2010,None,like new,8 cylinders,rwd,gas,white,79000,full-size,clean,automatic,sedan,10500
chrysler 300c,2010,None,like new,8 cylinders,rwd,gas,white,79000,full-size,clean,automatic,sedan,10500
Acura,2002,0000000,good,6 cylinders,fwd,gas,silver,210000,compact,clean,automatic,sedan,400
Nissan,1998,14100,excellent,4 cylinders,rwd,gas,red,141000,mid-size,clean,manual,truck,3500
ford f-150,2000,2222222233333,fair,8 cylinders,4wd,gas,red,130000,compact,parts only,automatic,truck,700
Acura,2002,0000000,good,6 cylinders,fwd,gas,silver,210000,compact,clean,automatic,sedan,400
ford mustang convertible,2001,0000000000,good,6 cylinders,rwd,gas,white,181000,full-size,clean,automatic,coupe,700
doge ram 1500,2000,None,good,6 cylinders,rwd,gas,blue,136000,None,clean,automatic,pickup,2100
Ford f450,2002,None,None,None,None,diesel,None,None,None,clean,automatic,None,17500
toyota camry,1993,0000000,excellent,4 cylinders,fwd,gas,brown,150000,mid-size,clean,automatic,sedan,800
toyota corolla,1998,2000xxxxxx,fair,4 cylinders,fwd,gas,white,140800,compact,clean,automatic,sedan,600
isuzu rodeo,2001,0000000,excellent,6 cylinders,rwd,gas,silver,107000,mid-size,clean,automatic,SUV,2200
lincoln ls,2007,0000000000,good,4 cylinders,fwd,gas,grey,130000,mid-size,clean,automatic,coupe,800
dodge ram 3500,2007,None,None,None,None,diesel,None,192000,None,clean,manual,None,21950
chevrolet corvette,2000,None,None,8 cylinders,rwd,gas,yellow,60000,None,clean,manual,convertible,25000
ford f-150,2000,2222222233333,excellent,8 cylinders,fwd,gas,silver,147000,full-size,clean,automatic,truck,600
chrysler town and country,2006,None,None,None,None,gas,None,66000,None,clean,automatic,None,3850
Nissan,1999,14100,excellent,4 cylinders,rwd,gas,red,141000,mid-size,clean,manual,truck,3500
nissan altima,2006,1N4BL11DX6C116004,good,6 cylinders,fwd,gas,grey,None,mid-size,rebuilt,manual,sedan,6000
ford f-150,2005,None,excellent,8 cylinders,rwd,gas,grey,228000,full-size,clean,automatic,truck,5500
lucerne buick,2006,None,None,None,fwd,gas,None,None,None,clean,automatic,sedan,2085
Ford Mustang Convertible,1965,None,excellent,8 cylinders,rwd,gas,orange,107000,None,clean,manual,None,22900
jeep grand cherokee,2001,1J4GX48S41C584436,fair,6 cylinders,rwd,gas,red,180000,full-size,clean,automatic,SUV,2300
Toyota Tundra,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,17500
infiniti fx35,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
Honda Civic,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
toyota prius,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
Toyota Camry,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2450
Toyota Camry,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1850
Honda CR-V,2007,None,like new,None,None,gas,None,None,None,clean,automatic,None,7400
acura tsx navigation,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,7400
Volkswagen Jetta,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4700
toyota highlander,2001,0000000000,excellent,4 cylinders,fwd,gas,blue,142000,mid-size,clean,automatic,SUV,3500
nissan altima,2004,None,None,4 cylinders,None,gas,silver,122000,None,clean,automatic,sedan,4000
Mercedes Benz e 320,2004,4443336666688,salvage,6 cylinders,None,gas,black,180009,full-size,clean,automatic,sedan,70
chevy corvette,1978,None,excellent,None,None,gas,None,None,None,clean,automatic,None,19500
OTHER,2018,None,None,None,None,other,None,0000000000000000000000000000000,None,clean,other,None,200
ford explorer,2003,3333333333333,good,6 cylinders,rwd,gas,green,130000,mid-size,clean,automatic,SUV,600
any and all,2005,None,None,None,None,gas,None,None,None,clean,manual,None,12347
Mercedes Benz GL550,2011,None,like new,None,None,gas,black,125000,None,clean,automatic,SUV,21999
nissan altima,2002,0000000000,good,4 cylinders,fwd,gas,brown,220000,mid-size,clean,automatic,sedan,900
Hino 258,2010,None,None,None,None,diesel,None,None,None,rebuilt,automatic,None,25
