make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford ranger,1995,None,fair,6 cylinders,None,gas,None,190000,None,clean,automatic,pickup,600
chevy avalanche,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
mazda 3,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
ford f-250,2017,None,None,None,4wd,diesel,None,2440,None,clean,automatic,None,73000
Jeep Wrangler,1999,None,good,None,None,gas,None,None,None,clean,manual,None,5600
lucerne buick,2006,None,None,None,fwd,gas,None,None,None,clean,automatic,sedan,2096
Porsche,2014,None,like new,None,None,gas,None,None,None,clean,automatic,None,18734
Toyota Camry,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,350
Volvo s60,2004,None,excellent,6 cylinders,fwd,gas,silver,160000,mid-size,clean,automatic,sedan,2500
honda civic ex,2008,None,good,4 cylinders,None,gas,black,101000,None,clean,automatic,None,5600
Mercedes Benz C320,2005,None,good,6 cylinders,4wd,gas,silver,120000,full-size,clean,automatic,sedan,5100
Toyota Camry SE,2011,None,good,6 cylinders,4wd,gas,black,80,full-size,clean,automatic,sedan,10500
ram 2500,2017,3C6UR5CJ0HG509237,excellent,8 cylinders,4wd,gas,black,15000,full-size,lien,automatic,pickup,36000
hyundai veloster,2012,None,like new,4 cylinders,fwd,gas,None,153000,None,clean,manual,coupe,5700
mercedes ML320,1999,None,excellent,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,1975
hyundai elantra,2008,None,like new,4 cylinders,fwd,gas,None,161000,None,clean,automatic,sedan,2900
hyundai azera limited,2009,None,like new,6 cylinders,fwd,gas,black,217000,None,clean,automatic,sedan,2800
acura tl,2004,None,excellent,6 cylinders,fwd,gas,grey,208000,full-size,clean,automatic,sedan,4000
Nissan maxima,2005,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,2150
ford f350 diesels powerstroke,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,4500
chevrolet equinox,2007,None,good,6 cylinders,fwd,gas,black,115000,None,clean,automatic,SUV,3490
toyota camry le,2002,None,good,4 cylinders,fwd,gas,silver,216186,full-size,clean,automatic,sedan,2200
ford mustang,1965,None,excellent,6 cylinders,rwd,gas,white,43000,None,clean,manual,convertible,15000
kia spectra,2009,None,excellent,4 cylinders,None,gas,silver,167000,None,clean,automatic,None,2650
DODGE 3500,1995,None,good,6 cylinders,4wd,diesel,blue,220,None,clean,automatic,truck,7500
ford f350,2001,None,good,10 cylinders,4wd,gas,black,None,full-size,clean,automatic,pickup,4800
Audi A6,2002,None,good,6 cylinders,4wd,gas,None,199000,None,clean,automatic,None,1300
Toyota Camry LE,1996,4T1BG12K9TU759473,fair,4 cylinders,fwd,gas,green,104260,mid-size,clean,automatic,sedan,1200
Volkswagen jetta,2006,None,good,None,None,gas,None,119000,None,clean,automatic,None,3300
audi s4,2004,None,None,8 cylinders,None,gas,black,102000,None,clean,manual,sedan,14499
gmc,1989,None,None,None,None,gas,None,129000,None,clean,manual,None,5000
chevy caprice classic,2012,None,None,None,None,gas,None,90000,None,clean,automatic,None,4000
ford,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Bmw m3,2002,Ask,excellent,6 cylinders,rwd,gas,black,129019,mid-size,clean,other,convertible,10000
Honda,1989,None,good,4 cylinders,4wd,gas,red,135000,None,clean,automatic,None,1750
chevrolet silverado 2500,2000,None,fair,8 cylinders,4wd,gas,blue,97000,None,clean,automatic,truck,3000
2006 scion tc,2006,None,None,None,None,gas,None,155000,None,clean,manual,None,2600
Toyota Corolla matrix,2005,None,None,4 cylinders,None,gas,None,170000,None,clean,manual,None,2700
Factory Five,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,37500
Audi A4,2002,None,good,6 cylinders,4wd,gas,None,118345,None,clean,automatic,None,2900
Chevrolet Express,2012,None,good,6 cylinders,rwd,gas,None,124380,None,clean,automatic,None,10900
vw beetle,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
Jeep Patriot high altitude,2016,None,excellent,4 cylinders,4wd,gas,white,23990,None,rebuilt,automatic,SUV,12900
jeep wrangler,2003,None,excellent,6 cylinders,4wd,gas,green,68000,None,clean,manual,None,10800
CHEVY AVALANCHE,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,3200
buick century custom 4dr sedan,2002,None,excellent,None,fwd,gas,blue,107,mid-size,clean,automatic,sedan,1800
volvo c70,2004,Yv1nc63d04j044797,good,4 cylinders,fwd,gas,white,153231,compact,clean,automatic,coupe,2495
gmc envoy,2006,None,None,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,3000
pontiac gp,1972,None,excellent,8 cylinders,rwd,gas,black,65000,None,clean,automatic,None,17900
toyata Corolla LE,2017,None,like new,4 cylinders,fwd,gas,grey,4500,compact,clean,automatic,sedan,14999
Ford Expedition XLT,2013,None,like new,8 cylinders,4wd,gas,black,19000,full-size,clean,automatic,SUV,32995
CHEVY CORVAIR,1963,None,None,6 cylinders,None,gas,white,None,None,clean,automatic,convertible,3900
Toyota Rav4,2006,None,excellent,4 cylinders,4wd,gas,silver,145000,compact,clean,automatic,SUV,6900
GMC SIERRA EXTENDED CAB SLE,2010,None,excellent,8 cylinders,4wd,gas,grey,159000,None,clean,automatic,None,10300
Ford F250 LARIAT 4X4 FX4,2003,None,excellent,8 cylinders,4wd,gas,None,174000,None,clean,automatic,truck,10900
Ford Five Hundred,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
mercedes-benz s500,2003,None,excellent,8 cylinders,None,gas,black,610000,full-size,clean,automatic,sedan,7900
Dodge Charger,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5400
gmc 1500 yukon denali,2003,None,excellent,8 cylinders,4wd,gas,black,177000,full-size,clean,automatic,SUV,4800
bmw 325ci,2004,None,excellent,6 cylinders,fwd,gas,white,95900,compact,clean,automatic,convertible,9900
bmw 325ci,2004,None,excellent,6 cylinders,fwd,gas,white,95900,compact,clean,automatic,convertible,9900
bmw 645ci,2004,None,excellent,8 cylinders,rwd,gas,grey,84000,sub-compact,clean,other,coupe,10000
Chevrolet 454 SS,1992,None,good,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,8200
Honda Civic EX,2001,None,good,4 cylinders,fwd,gas,silver,196050,mid-size,clean,manual,coupe,2000
subaru legacy 2.5i,2010,None,good,4 cylinders,None,gas,black,98800,mid-size,clean,automatic,sedan,7600
kia rio lx,2008,None,good,4 cylinders,fwd,gas,blue,135000,compact,clean,manual,sedan,2500
Honda CRV,2003,None,None,4 cylinders,None,gas,None,110,None,clean,automatic,None,4500
plymouth belvedere,1955,None,None,None,None,gas,None,None,None,missing,automatic,None,1500
toyota tundra 4wd truck SR5,2014,None,excellent,8 cylinders,4wd,gas,grey,10185,full-size,lien,automatic,pickup,33000
honda civic,2017,None,like new,4 cylinders,fwd,gas,silver,7732,compact,rebuilt,automatic,sedan,14500
honda accord coupe,2006,None,None,4 cylinders,fwd,gas,None,149000,None,clean,automatic,None,3750
honda civic,2017,None,like new,4 cylinders,fwd,gas,silver,7732,compact,rebuilt,automatic,sedan,14500
honda civic,2017,None,like new,4 cylinders,fwd,gas,silver,7732,compact,rebuilt,automatic,sedan,14500
vw passat,1999,None,None,None,None,gas,None,220000,None,clean,automatic,None,800
honda accord ex,2008,None,excellent,4 cylinders,fwd,gas,blue,10800,compact,clean,manual,coupe,5900
pontiac grand prix gtp,2003,None,good,6 cylinders,fwd,gas,black,108000,mid-size,clean,automatic,sedan,2500
ford expedition xlt,2001,None,good,8 cylinders,4wd,gas,red,168000,full-size,clean,automatic,SUV,1800
ford f-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
chrysler pt cruiser,2003,None,fair,None,None,gas,None,None,None,clean,automatic,None,500
Chrysler LHS,2000,None,fair,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,700
oldsmobile 442,1975,None,None,None,None,gas,None,None,None,clean,other,None,40
hyundai elantra,2005,None,None,None,None,gas,None,None,None,clean,manual,None,950
honda accord 2-door coupe,2003,None,good,None,None,gas,None,None,None,clean,automatic,None,2500
Nissan maxima,2001,None,None,6 cylinders,None,gas,None,170000,None,clean,automatic,None,1800
infiniti g35,2005,None,good,4 cylinders,4wd,gas,black,140000,None,clean,automatic,None,4200
subaru outback,2002,4S3BH675827622037,fair,4 cylinders,None,gas,green,220000,mid-size,clean,automatic,wagon,800
Acura integra,1996,None,None,4 cylinders,None,gas,None,None,None,clean,manual,None,100
Jeep commander,2008,None,None,8 cylinders,4wd,gas,None,119000,None,clean,automatic,None,6900
"ABS brakes, AM/FM",2003,None,excellent,6 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
Jeep Wrangler,1999,None,None,None,None,gas,None,178,None,clean,automatic,None,4400
ford f350,2008,None,excellent,8 cylinders,4wd,diesel,black,49404,full-size,clean,automatic,truck,19994
honda civic,2007,None,good,4 cylinders,fwd,gas,silver,170000,None,clean,manual,None,2250
Honda Ridgeline,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
Ford F-350,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Hyundai Elantra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
Us trailer,2006,None,None,None,None,other,None,None,None,clean,other,None,40000
Ford  450,2005,None,fair,8 cylinders,None,diesel,None,175000,None,clean,automatic,bus,4500
Pontiac vibe,2003,None,None,None,None,gas,None,None,None,clean,manual,None,2500
Toyota Camry,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
toyota corolla le,2009,None,None,4 cylinders,fwd,gas,None,128000,None,clean,automatic,None,4900
ford ranger,2011,None,excellent,4 cylinders,rwd,gas,white,104000,mid-size,clean,automatic,truck,6900
honda accord,2007,None,excellent,4 cylinders,fwd,gas,silver,169000,mid-size,clean,automatic,sedan,4450
audi a4 quattro,2007,None,good,6 cylinders,4wd,gas,grey,166000,mid-size,clean,automatic,sedan,3800
scion tc,2008,None,good,None,fwd,gas,None,137000,None,clean,automatic,None,3800
Honda accord 2-door coupe,2002,None,like new,6 cylinders,fwd,gas,silver,148000,None,clean,automatic,coupe,4000
Chevy lumina,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,300
ford explorer,2000,None,good,None,None,gas,None,None,None,clean,automatic,None,600
nissan titan,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,10000
Volvo xc90,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,5700
lincoln town car signature,2011,None,excellent,8 cylinders,rwd,gas,black,300000,full-size,clean,automatic,sedan,4500
nissan altima hybrid,2009,None,excellent,None,None,hybrid,None,None,None,clean,automatic,None,4500
acura mdx,2006,None,excellent,6 cylinders,4wd,gas,None,103000,None,clean,automatic,SUV,5900
Jeep Wrangler,1999,1j4fy29p6xp416810,good,4 cylinders,4wd,gas,green,129000,None,clean,manual,offroad,5500
Audi S4,2001,None,None,None,None,gas,None,None,None,clean,manual,None,9500
Willys trucks,1953,None,salvage,4 cylinders,4wd,gas,None,44000,None,missing,manual,None,1500
Lexus es330,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5300
Ford Explorer XLT,2003,None,good,6 cylinders,4wd,gas,None,185000,None,clean,automatic,None,1250
toyota sienna xle,2006,None,excellent,6 cylinders,fwd,gas,blue,142,mid-size,clean,automatic,van,6300
Subaru Forester 2.5 X,2003,None,excellent,4 cylinders,4wd,gas,silver,144000,None,clean,automatic,SUV,2900
honda cr-v ex,2008,None,like new,4 cylinders,4wd,gas,blue,100,mid-size,clean,automatic,SUV,9000
jeep wrangler 4x4 sport,2006,None,excellent,6 cylinders,4wd,gas,green,92200,None,clean,manual,None,10000
Chevrolet W4500,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,8900
ford taurus sel,2009,1FAHP27W49G104666,like new,6 cylinders,4wd,gas,None,154123,full-size,clean,automatic,sedan,4695
chrysler town and country,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Nissan Sentra,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
Toyota Camry,2003,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,2
acura tl,2003,None,good,6 cylinders,None,gas,None,160000,None,clean,automatic,None,2200
subaru impreza,2008,None,None,None,None,gas,None,None,None,clean,manual,None,1950
Volkswagen Jetta,2002,None,fair,4 cylinders,fwd,gas,black,193000,None,clean,automatic,None,500
chevy corvette,1964,None,None,None,None,gas,None,None,None,clean,manual,None,75
gmc sonoma,2001,None,None,None,None,gas,None,238000,None,clean,automatic,None,850
lexus gs 300,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3100
nissan altima,2001,None,good,4 cylinders,fwd,gas,None,121200,full-size,clean,automatic,sedan,1500
ford super duty,1997,None,fair,None,rwd,diesel,red,269000,None,clean,automatic,truck,2000
plymouth,1956,None,None,None,None,gas,None,None,None,clean,manual,None,1200
Ford Freestar Honda Toyota,2005,None,good,6 cylinders,fwd,gas,green,158,None,clean,automatic,van,2300
jeep wrangler,2007,None,None,None,None,gas,None,None,None,clean,manual,None,9500
International,1995,None,good,6 cylinders,None,diesel,green,212000,None,clean,manual,mini-van,12000
vw r32,2004,None,like new,4 cylinders,4wd,gas,red,72000,compact,clean,manual,None,26000
vw r32,2004,None,like new,4 cylinders,4wd,gas,red,72000,compact,clean,manual,None,26000
CHEVY,1948,None,None,None,None,gas,None,None,None,clean,manual,None,5500
honda accord ex-l,2009,None,None,4 cylinders,fwd,gas,black,128000,None,clean,automatic,None,5900
grand cherokee,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,7750
Audi a4,1999,None,None,None,None,gas,None,None,None,clean,manual,None,2200
Honda Civic,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,650
Honda Civic Toyota Nissan,2007,None,good,4 cylinders,fwd,gas,black,204,None,clean,manual,coupe,4300
bmw 328i convertible,1997,None,good,6 cylinders,rwd,gas,green,152000,compact,clean,automatic,convertible,3700
Oldsmobile Omega,1973,None,None,8 cylinders,rwd,gas,None,98000,None,clean,automatic,coupe,3500
buick park avenue ULTRA,2001,None,fair,6 cylinders,fwd,gas,white,165000,mid-size,clean,automatic,sedan,900
toyota highlander,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,6600
honda oddysey EX,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
International 7400,2013,None,like new,8 cylinders,rwd,diesel,green,62000,None,clean,automatic,None,55000
hyundai elantra,2008,None,like new,4 cylinders,None,gas,None,124,None,clean,automatic,None,3700
Stratus,2005,None,None,None,None,gas,None,150,None,clean,automatic,None,1850
hyundai santa fe,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
bmw 330xi,2004,None,excellent,6 cylinders,4wd,gas,green,147000,mid-size,clean,other,sedan,5000
honda accord exl,2009,None,excellent,4 cylinders,fwd,gas,black,158989,full-size,clean,automatic,None,5975
honda accord exl,2009,None,excellent,4 cylinders,fwd,gas,black,158989,full-size,clean,automatic,None,5650
mazda 6,2006,None,good,4 cylinders,fwd,gas,grey,121010,full-size,clean,automatic,sedan,2950
honda accord exl,2009,None,excellent,4 cylinders,fwd,gas,black,158989,full-size,clean,automatic,None,5299
mazda 6,2006,None,good,4 cylinders,fwd,gas,grey,121010,full-size,clean,automatic,sedan,2950
Toyota Corolla. Le,2009,None,good,4 cylinders,fwd,gas,black,150100,full-size,clean,automatic,None,3850
ford excursion,2000,None,good,10 cylinders,4wd,gas,red,350000,full-size,clean,automatic,SUV,2500
hyundai santa fe,2007,None,good,None,4wd,gas,green,134010,full-size,clean,automatic,SUV,3995
BMW M5,2006,None,excellent,10 cylinders,rwd,gas,black,80,None,clean,other,sedan,28900
Jeep cj7,1976,None,None,None,4wd,gas,silver,None,None,clean,automatic,None,2800
hyundai santa fe,2007,None,good,None,4wd,gas,green,134010,full-size,clean,automatic,SUV,3995
BMW 330ci,2005,WBABW534X5PL51335,good,6 cylinders,rwd,gas,blue,65000,None,clean,automatic,convertible,7000
Fiat 500,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,2300
ford crown victoria,1997,None,None,8 cylinders,None,gas,None,140000,None,clean,automatic,None,1200
chevrolet 3500,1985,None,None,None,4wd,diesel,blue,None,None,clean,automatic,None,1800
Chevy C70,1983,None,None,8 cylinders,rwd,diesel,silver,96322,None,clean,automatic,None,5300
BMW m3,2008,None,excellent,None,None,gas,None,None,None,rebuilt,automatic,None,16900
gm,1990,None,like new,None,None,other,None,None,None,clean,other,SUV,20
buick century,2004,None,excellent,6 cylinders,fwd,gas,None,78884,None,clean,automatic,None,3300
honda accord lx,2005,None,excellent,4 cylinders,None,gas,None,88189,None,clean,automatic,None,5999
Chevy cruze,2012,None,None,None,None,gas,None,163000,None,clean,automatic,None,4900
mercedes-benz cclass,2004,WDBRF40J84F495720,excellent,4 cylinders,rwd,gas,None,104000,None,clean,automatic,sedan,3700
Chrysler Pacifica,2004,None,good,6 cylinders,4wd,gas,white,156100,full-size,clean,automatic,SUV,1601
chevy nova,1976,None,None,None,None,gas,None,None,None,clean,manual,None,7500
chevrolet s-10,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
ford mustang,1989,None,None,None,None,gas,None,None,None,clean,other,None,1000
ford mustang,1989,None,None,None,None,gas,None,None,None,clean,other,None,1000
honda accord v6,2006,None,excellent,6 cylinders,None,gas,black,164000,None,clean,automatic,sedan,3800
dodge van,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
chevrolet corvette,1984,None,excellent,None,None,gas,red,68000,None,clean,automatic,None,6000
Subaru Impreza WRX Limited,2006,None,None,None,None,gas,None,63000,None,clean,manual,None,15000
hyundai sonata limited,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,14500
Mercury,1950,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
gmc vandura,1990,yes,good,8 cylinders,rwd,gas,white,198000,full-size,clean,automatic,van,2000
Honda civic,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2999
chevy avalanche,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,7300
saab 9-3,2007,None,excellent,6 cylinders,None,gas,blue,None,None,clean,manual,None,4950
acura tsx,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
