make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
dodge nitro,2008,None,like new,6 cylinders,4wd,gas,None,None,None,clean,automatic,None,6000
Ford Fusion SE V 6,2008,None,good,6 cylinders,fwd,gas,red,100902,compact,clean,automatic,None,2295
mhreo,2017,None,None,None,None,gas,None,None,None,clean,other,None,9551
Toyota Tundra,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1592
Chevy trail Blazer,2007,None,good,6 cylinders,4wd,gas,grey,180000,None,clean,automatic,None,2795
Rwd M35 Sport,2006,None,like new,6 cylinders,rwd,gas,white,None,full-size,clean,automatic,sedan,1541
toyota sequoia limited,2006,5TDBT48A46S263540,like new,8 cylinders,4wd,gas,blue,199000,full-size,clean,automatic,SUV,6500
Honda Accord,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
Corvette,1995,None,None,None,None,gas,None,119000,None,clean,automatic,None,5900
Lincoln town car,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,8900
Corvette,1995,None,None,None,None,gas,None,119000,None,clean,automatic,None,5900
dodge ram 1500,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
GMC sonoma,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
gmc sierra 2500hd slt,2001,None,excellent,8 cylinders,4wd,diesel,grey,208652,None,clean,automatic,pickup,10500
dodge srt4,2004,None,None,None,None,gas,None,120000,None,clean,manual,None,1100
chevy silverado 1500,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
bmw 528i,2008,WBANU53538CT19866,excellent,6 cylinders,rwd,gas,blue,129000,full-size,clean,automatic,sedan,6500
ford f150,1991,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Nissan Murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2049
ford fusion se,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,14000
dodge caliber sxt 4dr wagon,2007,1B3HB48B87D588535,good,5 cylinders,fwd,gas,black,160000,mid-size,clean,manual,wagon,3900
Nissan maxima,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
ford windstar,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2295
ram 1500 crew cab,2015,None,excellent,8 cylinders,4wd,gas,red,49229,full-size,clean,automatic,truck,33100
Cruise Control,2007,None,like new,6 cylinders,4wd,gas,None,None,full-size,clean,automatic,sedan,1800
chevrolet 1500 silverado,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
ford fusion,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,4999
Ford mustang mach 1,2003,None,excellent,8 cylinders,rwd,gas,blue,95000,None,rebuilt,manual,coupe,11000
Chevy Silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
ford expedition xlt 4x4,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
ford expedition xlt,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
Chevrolet Tahoe LT 4WD,2002,None,good,8 cylinders,4wd,other,black,189000,full-size,clean,automatic,SUV,7000
ford five hundred,2005,None,excellent,6 cylinders,fwd,gas,None,147000,None,clean,automatic,None,2900
Chrysler 200,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,8800
dodge ram 3500,2007,None,fair,6 cylinders,rwd,diesel,white,151339,full-size,clean,automatic,truck,4500
ENVOY,2003,None,good,6 cylinders,4wd,gas,brown,None,None,clean,automatic,None,2000
GMC,2005,None,None,None,None,gas,None,180,None,clean,automatic,None,1650
Chevy,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
infinity g35,2006,None,excellent,6 cylinders,rwd,gas,grey,32000,mid-size,rebuilt,automatic,coupe,8750
sonata,2012,None,excellent,4 cylinders,fwd,gas,blue,None,None,clean,automatic,sedan,2500
Chevy Malibu,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
DODGROLET,1964,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,6900
Mercury,1996,None,None,None,None,gas,None,136,None,clean,automatic,None,1450
Ford ranger,2000,None,fair,6 cylinders,4wd,gas,black,244,mid-size,clean,automatic,truck,4500
TOYOTA CAMRY LE,2010,4T1BK3EK3AU112148,excellent,6 cylinders,fwd,gas,None,239537,mid-size,clean,automatic,sedan,3000
HYUNDAI SONATA GLS,2013,5NPEB4AC3DH597637,excellent,4 cylinders,fwd,gas,grey,85534,mid-size,clean,automatic,sedan,3900
ford fusion se,2012,None,good,4 cylinders,fwd,gas,blue,80000,mid-size,clean,automatic,sedan,7950
GMC C5500,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,3600
chevy corvette,1963,None,None,None,None,gas,None,None,None,clean,manual,None,75500
Toyota Camry SE,2010,None,good,4 cylinders,fwd,gas,black,88000,mid-size,clean,automatic,sedan,8950
Super clean,2007,None,good,6 cylinders,fwd,gas,brown,119000,compact,clean,automatic,None,3800
passed emissions,2004,None,excellent,6 cylinders,None,gas,None,None,full-size,clean,automatic,None,1000
gmc 2500 suburban,1994,1GNGK26K7RJ362046,good,8 cylinders,4wd,gas,blue,169000,full-size,clean,automatic,SUV,2500
ford escape se,2014,None,excellent,4 cylinders,fwd,gas,white,71000,mid-size,clean,automatic,SUV,10959
Chevy 2500 HD,2003,None,good,None,None,gas,None,86603,None,clean,automatic,None,13900
ford mustang,1967,None,good,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,4200
volvo xc90,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
chevy 2500hd,2007,None,None,None,None,diesel,None,None,None,clean,automatic,None,13000
nissan rogue s awd,2009,JN8AS58V39W177443,like new,4 cylinders,4wd,gas,red,130000,full-size,clean,automatic,SUV,5200
