make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford mustang gt,1996,None,good,8 cylinders,rwd,gas,black,None,None,clean,manual,coupe,2500
Chevrolet 210,1955,None,None,None,None,gas,None,None,None,clean,manual,None,10000
chevrolet impala,1963,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
honda civic,2009,None,fair,None,None,gas,None,170000,None,rebuilt,automatic,coupe,2500
fx 45,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2015
ford mustang gt,1996,1FALP42X3TF181063,fair,8 cylinders,rwd,gas,orange,None,mid-size,clean,manual,coupe,900
any,1900,None,None,None,None,gas,None,None,None,clean,automatic,None,1
ford mustang,2004,None,excellent,6 cylinders,fwd,gas,grey,None,mid-size,clean,manual,coupe,2900
ford mustang 5.0,1983,None,salvage,8 cylinders,rwd,gas,red,75000,mid-size,parts only,manual,hatchback,300
nissan altima,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
ford excursion,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,19500
isuzu,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,22000
chrysler aspen,2007,None,excellent,8 cylinders,rwd,gas,black,113000,full-size,clean,automatic,SUV,6500
Ford F-350,2000,None,excellent,None,4wd,diesel,None,197000,None,clean,automatic,None,14000
ford crown victoria,1997,None,fair,8 cylinders,rwd,gas,white,226064,full-size,clean,automatic,sedan,500
Jeep wrangler,1992,None,None,None,None,gas,None,None,None,clean,manual,None,5500
Shelby Cobra,1965,None,excellent,8 cylinders,None,gas,None,None,full-size,clean,manual,None,59004
Chevy c20,1983,None,None,None,None,diesel,brown,26000,full-size,clean,automatic,None,3500
honda civic lx,1997,None,excellent,4 cylinders,fwd,gas,black,None,compact,clean,automatic,coupe,2000
toyota 4runner,2005,None,None,None,None,gas,None,94480,None,clean,automatic,None,8500
Dodge dakota crew cab,2005,None,excellent,8 cylinders,rwd,gas,blue,134000,None,clean,automatic,truck,5500
cj7 jeep,1985,None,good,8 cylinders,4wd,gas,None,None,None,clean,manual,None,7000
Toyota pickup truck,1986,None,excellent,4 cylinders,rwd,gas,red,None,None,clean,automatic,None,2450
ford ranger,1994,None,None,None,None,gas,None,None,None,clean,manual,None,2400
BMW 328i,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4750
Mercedes S500,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4200
1930 Ford Sedan,1930,4867459,excellent,8 cylinders,None,gas,black,234,None,clean,automatic,None,19
Toyota Highlander,2003,On request!,excellent,6 cylinders,4wd,gas,None,143000,None,clean,automatic,None,5999
western star,1995,None,excellent,8 cylinders,rwd,diesel,blue,150000,full-size,clean,manual,None,26500
Isuzu NPR diesel,1995,None,fair,4 cylinders,rwd,diesel,white,302000,full-size,clean,automatic,truck,7500
bmw 330i,2006,None,excellent,6 cylinders,rwd,gas,black,174000,mid-size,clean,automatic,sedan,4950
chrysler sebring,2007,None,None,None,None,gas,None,135,None,clean,automatic,None,3200
Jeep Wrangler Sport,1998,None,excellent,6 cylinders,4wd,gas,red,94500,None,clean,manual,None,8600
Toyota Tacoma,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,11700
Dodge ram 3500,1996,None,excellent,6 cylinders,rwd,diesel,black,340,None,clean,manual,truck,9500
