make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
plymouth voyager,1998,None,fair,6 cylinders,fwd,gas,green,None,mid-size,clean,automatic,mini-van,175
jeep cherokee,1989,None,None,6 cylinders,None,gas,None,206000,None,clean,automatic,None,1200
jeep cherokee,1998,None,good,6 cylinders,4wd,gas,green,None,None,clean,automatic,None,2500
Chevy Cobolt LS,2006,None,None,None,None,gas,None,None,None,clean,manual,None,2500
Ford,2008,None,None,None,None,gas,white,None,None,clean,automatic,None,6000
chevrolet 1500 silverado,2005,None,good,8 cylinders,4wd,gas,None,186000,full-size,clean,automatic,pickup,4500
chevrolet 1500 silverado,2005,None,good,8 cylinders,4wd,gas,None,186000,full-size,clean,automatic,pickup,4500
Dodge Ram 1500,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
Toyota Tacoma,2014,3TMMU4FN0EM06250,like new,6 cylinders,4wd,gas,black,27500,full-size,clean,automatic,pickup,26000
Toyota Tacoma,2014,3TMMU4FN0EM06250,like new,6 cylinders,4wd,gas,black,27500,full-size,clean,automatic,pickup,26000
Toyota Tacoma,2014,3TMMU4FN0EM06250,like new,6 cylinders,4wd,gas,black,27500,full-size,clean,automatic,pickup,26000
Plymouth Barracuda 340V8,1969,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,12800
nissan titan se,2005,None,excellent,8 cylinders,4wd,gas,red,67000,None,clean,automatic,None,14500
Camaro ss,2000,None,None,None,None,gas,black,61000,None,clean,manual,None,11000
chevy traverse,2009,None,excellent,6 cylinders,4wd,gas,silver,170000,full-size,clean,automatic,SUV,7497
F-350 xlt,1995,None,excellent,8 cylinders,4wd,gas,blue,57700,full-size,clean,automatic,pickup,10000
Hyundai,2004,None,None,None,None,gas,None,63,None,clean,manual,None,2500
Chevy,1999,None,None,4 cylinders,None,gas,None,117,None,clean,manual,None,2500
Kia Spectra5,2005,None,excellent,4 cylinders,fwd,gas,silver,166000,mid-size,clean,automatic,hatchback,2650
ford f250 super duty,2003,None,None,None,None,gas,red,None,None,missing,automatic,None,2000
Chevy s10,2001,None,good,6 cylinders,4wd,gas,blue,None,mid-size,clean,automatic,pickup,1000
Jeep Cherokee Sport,1998,None,None,6 cylinders,4wd,gas,green,191000,None,clean,automatic,SUV,700
