make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
bmw 325i,2003,None,excellent,None,None,gas,white,None,None,clean,automatic,wagon,3500
chevy Astro van,2003,None,good,None,None,gas,white,191000,mid-size,clean,automatic,None,1500
Chevy 3500,2003,None,good,8 cylinders,4wd,gas,silver,None,None,clean,automatic,pickup,6000
honda civic,2001,None,like new,4 cylinders,fwd,gas,None,76000,None,clean,automatic,sedan,2900
Ford Mustang,1996,None,None,None,None,gas,None,None,None,clean,manual,None,4500
ford explorer sport trac,2001,None,excellent,6 cylinders,4wd,gas,None,99300,None,clean,automatic,None,4850
chevy impala ls,2008,None,None,None,None,gas,None,53000,None,clean,automatic,None,5900
Subaru Outback AWD,2002,None,None,4 cylinders,4wd,gas,None,175000,None,clean,automatic,None,3400
Chevy Silverado 2500HD,2007,None,excellent,8 cylinders,4wd,diesel,red,92000,full-size,clean,automatic,None,25000
mazda mazdaspeed3,2007,None,good,4 cylinders,fwd,gas,silver,201220,mid-size,clean,manual,hatchback,2300
Factory Five,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,37500
ford mustang 5.0,2014,None,None,None,None,gas,None,None,None,clean,manual,None,34900
pontiac vibe gt,2005,None,None,None,None,gas,None,None,None,clean,manual,None,3300
plymouth belvedere,1965,None,good,8 cylinders,rwd,gas,orange,None,None,clean,automatic,None,30000
Honda crv,1996,Cool beans,None,None,None,gas,None,None,None,parts only,automatic,None,1
ford freestyle,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
Ford coupe,1934,None,None,None,None,gas,None,None,None,clean,automatic,None,36000
Ford Ranger XLT,2004,None,None,None,None,gas,None,139000,None,clean,automatic,None,2800
vw beetle,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
nissan frontier,2004,None,None,None,None,gas,None,173000,None,clean,manual,None,2800
Volvo V70,2006,None,excellent,5 cylinders,fwd,gas,None,208000,None,clean,automatic,None,2600
Ford Expedition XLT,2013,None,like new,8 cylinders,4wd,gas,black,19000,full-size,clean,automatic,SUV,32995
Elcamino,1974,None,None,8 cylinders,None,gas,black,None,None,clean,automatic,None,4800
dodge ram,2002,3b6mf36c92m257388,good,None,4wd,diesel,green,60400,full-size,clean,manual,truck,13700
ford e350 van,2000,None,None,None,None,gas,None,67000,None,clean,automatic,None,800
mazda b3000,1998,None,None,None,None,gas,None,None,None,clean,manual,None,1500
toyota corolla le,2011,None,like new,4 cylinders,fwd,gas,black,73000,mid-size,clean,automatic,sedan,7800
Jeep CJ5 Auburn Jeep A Trench,1968,8305015   250021,fair,4 cylinders,4wd,gas,yellow,None,mid-size,missing,manual,offroad,2800
ford f250 diesel powerstroke,2003,None,None,None,None,diesel,white,None,full-size,clean,automatic,None,9800
Chevy Cheyenne 1500 Pickup,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2950
honda civic coupe ex,2000,None,None,4 cylinders,fwd,gas,None,198,None,salvage,manual,None,1500
Cadillac CTS,2016,None,excellent,4 cylinders,rwd,gas,white,3100,full-size,rebuilt,automatic,sedan,29900
Ford Focus ZTS,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1295
Ford Taurus SE wagon,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1995
jeep wrangler,1995,None,None,None,4wd,gas,None,None,None,clean,manual,None,4200
great buick,2006,None,None,6 cylinders,None,gas,brown,None,full-size,clean,automatic,sedan,2070
bmw x3 3.0i,2005,None,None,None,None,gas,None,173000,None,clean,automatic,None,3700
nissan sentra,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1150
mercedes benz,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
Mitsubishi Eclipse,2003,None,None,4 cylinders,fwd,gas,None,151000,None,clean,automatic,None,1600
chevrolet silverado,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,7500
Vw jetta sportwagen,2009,None,None,4 cylinders,fwd,gas,red,None,None,clean,manual,None,1600
chrysler,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Chrysler town and country,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
chrysler sebring convertible,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Volkswagen Jetta,2002,None,fair,4 cylinders,fwd,gas,black,193000,None,clean,automatic,None,500
Volvo V 70 T5,2001,None,new,5 cylinders,None,gas,None,140000,None,clean,automatic,None,1650
chevy colorado,2005,None,excellent,5 cylinders,4wd,gas,red,158000,mid-size,clean,automatic,pickup,6000
gmc vandura,1990,yes,good,8 cylinders,rwd,gas,white,198000,full-size,clean,automatic,None,2000
vw beetle,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,950
Toyota Tacoma,2007,None,excellent,6 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,3300
toyota yaris,2007,None,good,4 cylinders,fwd,gas,grey,None,compact,clean,automatic,hatchback,3500
Ford F350,1996,None,like new,8 cylinders,4wd,diesel,green,207009,full-size,clean,automatic,None,10500
camaro,1994,None,None,None,None,gas,None,None,None,parts only,automatic,None,1000
toyota sienna le,2004,None,like new,4 cylinders,fwd,gas,green,122000,None,clean,automatic,mini-van,4200
ford f250,1996,None,None,None,None,diesel,None,None,None,clean,manual,None,1500
ford super duty,1997,None,fair,None,rwd,diesel,red,269000,None,clean,automatic,truck,2000
cadillac escalade ext,2007,None,excellent,8 cylinders,4wd,gas,silver,144211,full-size,clean,automatic,truck,15500
Toyota celica gts,1984,None,good,4 cylinders,None,gas,blue,71000,None,clean,manual,None,2850
ford escape xlt,2004,None,good,6 cylinders,4wd,gas,red,162421,full-size,clean,automatic,sedan,1400
chevy silverado 1500,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
Chevrolet k20,1986,None,None,None,None,gas,None,71000,None,clean,manual,None,4000
chevy cobalt,2010,None,excellent,4 cylinders,fwd,gas,None,154000,None,clean,automatic,None,2700
jeep cherokee,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
