make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford explorer sport trac,2004,None,good,6 cylinders,rwd,gas,brown,119950,mid-size,clean,automatic,pickup,2500
Ford Mustang gt,2015,None,None,None,None,gas,red,5000,None,lien,automatic,None,37000
gmc yukon,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
ford f-150,2004,None,None,None,None,gas,None,157000,None,clean,automatic,None,8000
Ford Model A,1930,None,None,None,None,gas,None,None,None,clean,automatic,None,38995
Ford,1930,None,excellent,8 cylinders,None,gas,None,16000,None,clean,automatic,None,14500
ford expedition,1997,None,excellent,8 cylinders,4wd,gas,green,131000,full-size,clean,automatic,SUV,4000
dodge caravan,2004,None,good,None,None,gas,silver,None,None,parts only,automatic,mini-van,800
Frontier,2003,None,good,6 cylinders,4wd,gas,blue,137000,full-size,clean,automatic,pickup,5800
kia spectra,2007,None,excellent,4 cylinders,fwd,gas,blue,88000,None,clean,automatic,None,3950
Ford Fusion SEL,2008,None,good,6 cylinders,None,gas,black,204000,None,clean,automatic,None,2350
ford ranger xlt,1988,None,None,8 cylinders,None,gas,None,None,None,clean,other,None,4000
nissan maxima,2006,None,like new,None,None,gas,None,None,None,clean,automatic,None,1523
mercedes benz sl500,1999,None,like new,8 cylinders,rwd,gas,silver,37000,None,clean,automatic,convertible,17500
cadillac cts,2006,1G6DP57706110460,excellent,None,None,gas,white,174832,mid-size,clean,automatic,sedan,4600
dodge ram cummins 3500 laramie,2001,None,None,6 cylinders,4wd,diesel,black,250000,full-size,clean,automatic,pickup,9000
nissan frontier,2016,1N6BDOCT3CC4O6714,like new,4 cylinders,rwd,gas,white,14778,mid-size,clean,automatic,pickup,15595
cadillac deville,1970,None,good,8 cylinders,rwd,gas,blue,95000,full-size,clean,automatic,None,4000
toyota camry le,2004,None,good,4 cylinders,fwd,gas,blue,159800,full-size,clean,automatic,sedan,3800
Mazda Protege5,2002,None,good,None,fwd,gas,silver,221313,None,clean,manual,hatchback,2000
lexus es300,1997,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,1800
infiniti m35,2006,None,good,6 cylinders,None,gas,None,180,None,clean,automatic,None,5800
