make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
toyota yaris,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
FORD E350 VAN,2012,None,None,None,None,gas,None,1,None,clean,automatic,None,11900
honda civic si,2012,None,None,None,None,gas,None,79000,None,clean,manual,None,10900
Chevrolet Caprice,1989,None,good,8 cylinders,rwd,gas,custom,None,full-size,missing,automatic,sedan,6200
gmc 1500 sierra,1996,None,excellent,8 cylinders,4wd,gas,blue,None,full-size,clean,automatic,None,1000
freightliner,1994,None,good,6 cylinders,rwd,diesel,white,None,None,clean,manual,None,12
Chevrolet Monte Carlo,2004,None,good,6 cylinders,None,gas,grey,124000,None,clean,automatic,coupe,2100
Chevrolet Monte Carlo,2004,None,good,6 cylinders,None,gas,grey,124000,None,clean,automatic,coupe,2100
Merc,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Pontiac Grand Am GT1,2004,None,good,6 cylinders,fwd,gas,orange,113000,None,clean,automatic,sedan,2000
truck titan,2005,None,None,8 cylinders,None,gas,None,None,full-size,clean,automatic,None,250
great 4x4 titan,2005,None,good,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,2560
honda cr-v,2005,None,None,None,None,gas,None,183000,None,clean,automatic,None,2525
Ford Focus fx3,2002,None,good,4 cylinders,fwd,gas,blue,None,mid-size,clean,automatic,hatchback,1000
dodge dakota,2002,None,None,None,None,gas,None,None,None,clean,manual,None,1750
jeep wrangler unlimited,2007,None,None,6 cylinders,4wd,gas,black,None,None,clean,automatic,None,15000
Mazda Miata,2003,None,fair,4 cylinders,rwd,gas,black,None,sub-compact,clean,manual,convertible,3000
mustang,2015,None,like new,6 cylinders,None,gas,None,4000,None,clean,automatic,None,17
VW GTI,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5995
NISSAN,2017,None,like new,4 cylinders,4wd,gas,white,10585,mid-size,clean,automatic,None,21600
Ford Mustang,1996,None,None,None,None,gas,None,None,None,clean,manual,None,4500
Chevy 3500,2003,None,good,8 cylinders,4wd,gas,silver,None,None,clean,automatic,pickup,6000
audi,2013,None,excellent,6 cylinders,4wd,gas,white,67000,full-size,clean,automatic,SUV,31000
chevrolet 1500 silverado,1999,None,None,None,None,gas,None,127946,None,missing,automatic,None,2700
Ford F350 Utility Body,2006,None,like new,8 cylinders,4wd,diesel,black,66000,full-size,clean,automatic,pickup,19995
nissan murano,2009,None,like new,6 cylinders,4wd,gas,None,120000,None,clean,automatic,None,9495
gmc terrain sle-1,2013,None,good,4 cylinders,None,gas,grey,124000,None,clean,automatic,SUV,10795
honda crv ex awd,2007,None,like new,None,fwd,gas,None,None,None,clean,automatic,None,7400
Bmw X3,2014,None,excellent,4 cylinders,4wd,gas,black,105000,None,clean,automatic,None,16995
chrysler pacifica,2005,None,fair,6 cylinders,fwd,gas,None,140000,mid-size,clean,automatic,mini-van,2000
Toyota Corolla DX,1992,Xxxx,excellent,4 cylinders,None,gas,red,160000,full-size,clean,automatic,sedan,1000
toyota celica,1995,None,good,4 cylinders,fwd,gas,white,150000,None,clean,automatic,coupe,1800
Mercedes-Benz c350,2008,WDDGF56X28F123683,like new,6 cylinders,rwd,gas,grey,117000,full-size,clean,automatic,sedan,9000
Honda Civic,2010,None,like new,4 cylinders,fwd,gas,silver,89000,None,clean,automatic,sedan,7700
hyundai sonata,2006,None,good,6 cylinders,fwd,gas,silver,200000,full-size,clean,automatic,sedan,2250
chrysler 300m,2002,None,excellent,6 cylinders,fwd,gas,grey,155000,full-size,clean,automatic,sedan,2250
honda civic coupe ex,2003,None,good,4 cylinders,fwd,gas,blue,240000,full-size,clean,automatic,coupe,1450
toyota mr2,1987,None,None,None,None,gas,None,None,None,clean,manual,None,950
ford ranger,2000,None,None,None,None,gas,None,None,None,clean,manual,None,1700
ford explorer eddie bauer,2002,None,excellent,8 cylinders,4wd,gas,blue,177000,full-size,clean,automatic,SUV,2250
ford explorer xlt,2005,None,good,6 cylinders,4wd,gas,white,160000,full-size,clean,automatic,truck,2550
toyota corolla,2001,None,good,4 cylinders,fwd,gas,red,143000,None,clean,automatic,sedan,2450
Volvo xc70,2004,None,like new,5 cylinders,4wd,gas,blue,130500,full-size,clean,automatic,wagon,4650
Ford F150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
Lincoln MKZ,2008,None,excellent,6 cylinders,4wd,gas,silver,120488,full-size,clean,automatic,sedan,5350
dodge avenger sxt,2008,None,like new,6 cylinders,fwd,gas,red,122960,mid-size,clean,automatic,sedan,4200
chevy cruze lt,2011,None,like new,4 cylinders,fwd,gas,brown,93,full-size,clean,automatic,sedan,6200
honda cr-v,2007,None,like new,4 cylinders,4wd,gas,blue,141,full-size,clean,automatic,None,7200
Ford Taurusx,2008,None,like new,6 cylinders,4wd,gas,blue,75173,full-size,clean,automatic,wagon,6500
honda cr-v,2005,None,good,4 cylinders,4wd,gas,grey,167531,full-size,clean,automatic,SUV,4200
nissan rogue sl,2010,None,like new,4 cylinders,fwd,gas,red,136567,full-size,clean,automatic,SUV,6300
Nissan maxima,2006,None,like new,6 cylinders,None,gas,black,121000,None,clean,automatic,None,3500
Chevy,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,550
mazda 3,2011,None,excellent,4 cylinders,None,gas,black,None,None,clean,manual,sedan,4950
saturn vue xe 4dr suv,2004,None,good,4 cylinders,fwd,gas,black,202655,None,clean,manual,None,1000
honda civic,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5999
dodge ram 1500,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,27000
acura mdx,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
honda accord sport,2014,None,excellent,4 cylinders,fwd,gas,grey,70000,full-size,rebuilt,automatic,sedan,11500
nissan frontier,2011,None,excellent,6 cylinders,4wd,gas,grey,55500,None,clean,automatic,pickup,16299
Dodge ram 2500,1999,None,None,None,None,diesel,None,None,None,clean,manual,None,9500
Camry,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,600
Factory 5 Hot Rod,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,37500
Mustang GT,2014,None,None,None,None,gas,None,None,None,clean,manual,None,34900
Ford Super Deluxe,1941,None,None,8 cylinders,rwd,gas,None,None,full-size,clean,manual,sedan,3500
subaru outback 2.5i,2012,None,excellent,4 cylinders,None,gas,blue,112400,None,lien,automatic,None,11800
landrover Defender,1990,None,excellent,4 cylinders,4wd,gas,green,73000,full-size,clean,manual,offroad,36500
300SD,1983,None,None,5 cylinders,rwd,diesel,None,None,None,clean,automatic,None,2900
Chevrolet SILVERADO,2006,None,None,None,None,gas,None,131700,None,clean,automatic,None,1599
Honda.accord,2000,None,like new,None,None,gas,None,None,full-size,clean,automatic,sedan,1000
ford mustang convertible,1993,None,None,None,None,gas,None,None,None,clean,manual,None,3500
CAMRY,2011,None,excellent,4 cylinders,None,gas,grey,None,None,clean,automatic,None,10500
vw beetle,2001,None,None,None,None,gas,silver,None,None,clean,automatic,None,1100
chrysler pacifica limited Awd,2006,None,excellent,6 cylinders,4wd,gas,silver,180234,None,clean,automatic,wagon,2950
Dodge,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
chevy silverado 1500,2005,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,3500
Comet,1966,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
nissan murano,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2999
toyota scion tc,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3999
nissan xterra se,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2999
Nissan Altima,2002,None,good,4 cylinders,fwd,gas,black,208000,mid-size,clean,automatic,sedan,1300
jeep wrangler,1999,None,good,6 cylinders,4wd,gas,None,None,None,clean,manual,None,5000
mercury grand marquis,2003,None,good,8 cylinders,fwd,gas,silver,176000,full-size,clean,automatic,sedan,1800
toyota tundra,2008,None,excellent,8 cylinders,4wd,gas,grey,132000,full-size,clean,automatic,pickup,15995
Subaru outback,2004,None,None,None,None,gas,None,None,None,clean,manual,None,1500
Chevrolet,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
corvair,1960,None,None,None,None,gas,None,None,None,clean,manual,None,2500
vw gti,2004,None,None,None,None,diesel,None,None,None,clean,manual,None,3900
Porsche,1985,None,None,None,None,gas,None,None,None,clean,manual,None,1800
mazda 3,2011,None,new,4 cylinders,fwd,gas,grey,1490000,compact,salvage,automatic,sedan,4600
ETYJHTY,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1250
jeep wrangler,1997,None,None,6 cylinders,4wd,gas,white,102000,None,clean,manual,SUV,8700
