make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevy nova,1977,None,None,None,None,gas,None,100285,None,clean,automatic,None,1800
ford f150,1998,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,20
ford f150,1998,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,5
International 4300,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,25500
GMC. 100. 1/2 ton,1957,None,good,8 cylinders,rwd,gas,red,None,full-size,clean,manual,pickup,5500
Acura TL,2003,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,500
jeep grand cherokee limited,2001,None,good,8 cylinders,4wd,gas,black,165000,full-size,clean,automatic,SUV,3000
chevrolet 2500 silverado,2007,1GCHK29D37E130818,excellent,8 cylinders,4wd,diesel,silver,130000,full-size,clean,automatic,pickup,18000
ford f-150,2010,None,good,8 cylinders,4wd,gas,None,113000,full-size,lien,automatic,pickup,16500
cadillac escalade luxury,2010,None,excellent,8 cylinders,4wd,gas,None,129000,None,clean,automatic,None,17995
Chevy Impala,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
chevrolet trailblazer,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
jeep grand cherokee laredo 4x4,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2350
jeep grand cherokee laredo,2006,None,None,6 cylinders,None,gas,None,140258,None,clean,automatic,None,4900
Nissan Maxima 3.5 SL,2006,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1600
subaru outback,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1700
Ford Econoline,1998,None,good,None,None,gas,white,None,None,clean,automatic,None,1300
hurst olds,1984,None,excellent,8 cylinders,rwd,gas,silver,89444,mid-size,clean,automatic,coupe,12000
chevy monte carlo,2005,None,good,6 cylinders,fwd,gas,None,179222,mid-size,clean,automatic,coupe,1600
ford escape hybrid,2009,None,good,None,4wd,hybrid,white,None,mid-size,clean,automatic,SUV,1700
chrysler town and country tourin,2005,None,good,6 cylinders,fwd,gas,None,163222,mid-size,clean,automatic,mini-van,2200
ford f250 super duty,2003,None,good,8 cylinders,rwd,gas,white,210000,full-size,clean,automatic,pickup,1700
Chevy Tahoe,2013,None,good,8 cylinders,rwd,other,black,186111,full-size,clean,automatic,None,7500
infiniti i35,2002,None,good,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,None,1995
ford escape,2004,None,good,6 cylinders,4wd,gas,None,126000,None,clean,automatic,None,500
Mitsubishi Eclipse RS,1999,None,good,4 cylinders,None,gas,None,96345,None,clean,automatic,None,2200
Minivan,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,850
pontiac torrent,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
infinity qx4,1999,None,good,None,4wd,gas,None,209021,None,clean,automatic,None,1400
saab 9-7x,2007,None,excellent,6 cylinders,4wd,gas,black,99800,mid-size,clean,automatic,SUV,5100
chevy s10,1996,None,fair,4 cylinders,rwd,gas,green,69000,None,clean,manual,pickup,1250
Toyota Rav4,2009,None,excellent,4 cylinders,4wd,gas,grey,112000,mid-size,clean,automatic,SUV,11900
cadillac deville,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
