make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Temp,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,80
bmw 5-series 535i,2008,None,excellent,6 cylinders,rwd,gas,grey,88000,full-size,clean,automatic,sedan,10500
Corvette,1985,None,good,8 cylinders,None,gas,red,150000,None,clean,automatic,coupe,4000
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1520
honda civic coupe,1995,None,fair,4 cylinders,fwd,gas,grey,95000,compact,clean,manual,coupe,2500
Ford Taueus LX,2000,None,excellent,None,None,gas,brown,None,None,clean,automatic,None,2600
KZ900,1977,None,excellent,4 cylinders,rwd,gas,red,6800,sub-compact,clean,manual,other,1
Ford Mustang Gt,2003,None,good,8 cylinders,rwd,gas,grey,117891,None,clean,automatic,coupe,8500
nisaan altima,2013,1N4AL3APXDC125672,excellent,4 cylinders,fwd,gas,black,123490,full-size,clean,automatic,sedan,8450
honda crv,2007,JHLRE48327C008904,good,4 cylinders,4wd,gas,blue,76995,mid-size,clean,automatic,SUV,9975
buick lesabre custom,2001,None,new,4 cylinders,4wd,gas,brown,None,full-size,clean,automatic,sedan,2500
firebird,1967,None,None,None,None,gas,None,None,None,clean,other,None,6000
2003 Jeep Grand Cherokee,2003,None,good,6 cylinders,4wd,gas,blue,174000,None,clean,automatic,SUV,5900
dodge challenger r/t,2011,None,excellent,8 cylinders,rwd,gas,orange,None,mid-size,rebuilt,automatic,coupe,10500
ford crown victoria,2003,None,good,8 cylinders,rwd,gas,black,64900,full-size,clean,automatic,sedan,3250
Ford Mustang Cobra,2003,None,None,None,None,gas,None,49100,None,clean,manual,None,29500
dodge ram 1500 4x4,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Mercedes Benz clk 320,2003,None,good,None,None,gas,silver,None,None,clean,automatic,convertible,6000
Ford F-350,1997,None,excellent,8 cylinders,rwd,diesel,red,123000,full-size,clean,automatic,truck,13000
mercedes-benz s430,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
ford escape,2010,None,excellent,4 cylinders,fwd,gas,white,141000,mid-size,clean,automatic,SUV,8500
kia rio ex,2013,KNADN5A3XD6214244,excellent,4 cylinders,fwd,gas,grey,47500,full-size,clean,automatic,hatchback,8500
audi a4,2009,None,None,None,None,gas,None,None,None,salvage,automatic,None,3500
chevy geo prizm,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
Land Rover Series II A,1962,None,good,4 cylinders,None,gas,green,None,full-size,clean,manual,pickup,25000
ford mustang,1996,None,excellent,8 cylinders,rwd,gas,black,None,mid-size,clean,manual,convertible,6000
Ford f350,2008,None,None,None,None,diesel,None,None,None,clean,automatic,None,16000
ford e150 econoline,1990,None,fair,6 cylinders,rwd,gas,white,None,None,clean,automatic,None,750
mercedes-benz E500,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
mercedes-benz clk 500,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,6300
acura cl,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,1900
Ford Ranger,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,500
vw bug,1968,None,excellent,4 cylinders,rwd,gas,yellow,None,compact,clean,manual,coupe,6000
CHEVY TRUCK,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,30
toyota sienna xle,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,18854
dodge caravan,1999,None,good,6 cylinders,fwd,gas,red,226320,full-size,clean,automatic,mini-van,1800
pontiac firebird trans am,1985,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,coupe,1950
oldmobile intrigue,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
Chevy Malibu,2009,None,None,None,None,gas,None,152000,None,clean,automatic,None,3600
ford f150 4x4,1999,None,None,8 cylinders,None,gas,None,256000,None,clean,automatic,None,1500
ford explorer 4x4,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
honda accord se,2002,None,excellent,4 cylinders,fwd,gas,silver,268000,full-size,clean,automatic,sedan,2600
toyota tundra 4wd truck sr5,2004,None,fair,None,None,gas,black,116400,None,clean,automatic,None,5000
Chrysler new yorker,1972,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,4200
nissan skyline,1992,None,None,None,None,gas,None,None,None,clean,manual,None,32500
chevrolet tahoe,2001,1GNEK13T51R227202,fair,8 cylinders,4wd,gas,green,286917,mid-size,clean,automatic,SUV,750
ford e150 econoline,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
Nissan Versa SV,2012,None,good,4 cylinders,fwd,gas,blue,124000,None,clean,automatic,sedan,4400
Nissan Sentra,2013,None,good,4 cylinders,fwd,gas,white,49107,None,salvage,automatic,None,7900
Chevy impala ss,2007,None,None,None,None,gas,None,148000,None,clean,automatic,None,4000
Pontiac LeMans,1967,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
Pontiac LeMans,1967,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
pontiac fiero gt,1988,1G2PG1199JP217928,excellent,6 cylinders,rwd,gas,custom,59150,compact,clean,automatic,coupe,6900
kia optima sxl turbo,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,17000
ford focus,2004,None,excellent,4 cylinders,None,gas,None,None,None,clean,automatic,None,2800
chevy s10,1999,None,None,6 cylinders,rwd,gas,None,220000,None,clean,automatic,pickup,3500
mini cooper,2004,None,None,4 cylinders,fwd,gas,silver,158000,None,clean,manual,hatchback,4100
nissan frontier,2000,1NGED26Y5YC385646,good,6 cylinders,4wd,gas,blue,None,None,clean,automatic,pickup,1200
jeep,1974,None,None,None,None,gas,None,None,None,clean,manual,None,6500
volvo s60,2003,None,good,4 cylinders,None,gas,silver,173,None,clean,automatic,None,1300
dodge ram 1500,1999,None,None,6 cylinders,rwd,gas,None,170000,None,clean,automatic,pickup,1500
Ford F350,2008,None,None,None,None,diesel,None,144000,None,clean,automatic,None,7500
honda civic lx,2002,None,good,None,None,gas,None,None,None,clean,automatic,None,2400
hyundai accent,2000,KMHCG35G3YU026477,good,4 cylinders,fwd,gas,black,150231,compact,clean,automatic,coupe,1195
F350,1996,None,None,None,None,diesel,None,None,None,clean,manual,None,12000
volkswagen,1963,None,good,4 cylinders,rwd,gas,black,None,None,missing,manual,None,4000
lexus es 300,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
chevrolet s10,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Chevrolet c10,1970,None,fair,8 cylinders,rwd,gas,None,None,None,clean,automatic,pickup,5000
Ford F350,1996,None,None,None,None,diesel,None,130000,None,lien,automatic,None,9000
honda accord lx,2003,None,excellent,4 cylinders,fwd,gas,blue,161320,mid-size,clean,automatic,sedan,3700
Chevy K2500,1996,None,good,8 cylinders,rwd,diesel,white,None,full-size,clean,automatic,pickup,7500
toyota sienna,2015,None,like new,4 cylinders,fwd,gas,black,42000,full-size,clean,automatic,van,27898
nissan sentra,2013,None,like new,4 cylinders,fwd,gas,red,45000,mid-size,clean,automatic,sedan,10995
toyota tacoma,2017,None,like new,6 cylinders,4wd,gas,brown,None,mid-size,clean,automatic,pickup,38500
ford crown victoria,2007,None,good,None,None,gas,blue,None,None,clean,automatic,None,2450
ford five hundred,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Bose premium speaker,2003,None,excellent,4 cylinders,fwd,gas,white,None,full-size,clean,automatic,sedan,1000
jeep,2006,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1400
chevy trailblazer,2003,None,good,6 cylinders,rwd,gas,green,None,full-size,clean,automatic,None,2500
chevy trailblazer,2003,None,good,6 cylinders,rwd,gas,green,None,full-size,clean,automatic,None,2500
mini cooper,2004,None,excellent,4 cylinders,fwd,gas,silver,120000,compact,clean,manual,None,4700
chrysler pt cruiser,2005,None,like new,6 cylinders,fwd,gas,black,150000,mid-size,clean,automatic,None,2350
jeep grand cherokee laredo,2001,None,like new,6 cylinders,4wd,gas,red,186000,mid-size,clean,automatic,None,2550
toyota pick up,1991,None,good,None,None,gas,None,None,None,clean,manual,None,10000
toy,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
cadillac cts,2007,None,good,None,None,gas,None,None,None,clean,automatic,None,2995
chevrolet camaro,1968,124xxxx,excellent,8 cylinders,rwd,gas,silver,83400,mid-size,clean,automatic,coupe,23500
Chevy malibu ltz,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
buick,1939,None,excellent,8 cylinders,rwd,gas,red,None,None,clean,automatic,None,24000
Ford Mustang GT Convertible,2007,None,excellent,8 cylinders,rwd,gas,None,44522,None,rebuilt,automatic,None,13500
ford expedition eddie bauer,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2150
chevy suburban,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
ford f650,2000,None,good,8 cylinders,rwd,diesel,white,41000,full-size,clean,automatic,pickup,30000
honda civic,2011,None,None,None,None,gas,None,158000,None,clean,automatic,None,4500
toyota tundra,2003,5TBBT48123S412791,excellent,8 cylinders,4wd,gas,grey,195000,full-size,clean,automatic,truck,7500
Mazda Rx-7 Rx7,1993,None,None,None,None,gas,None,None,None,clean,manual,None,25000
Jeep Wrangler,1992,None,None,None,None,gas,None,None,None,clean,manual,None,8500
chevy s10 pickup,2001,None,good,4 cylinders,rwd,gas,red,173000,None,clean,automatic,pickup,1800
toyota camry,2012,None,excellent,4 cylinders,fwd,gas,grey,125,None,clean,automatic,sedan,7500
Toyota camry,2011,None,excellent,4 cylinders,fwd,gas,red,125,None,clean,automatic,None,6000
jaguar XK-8,1999,None,good,8 cylinders,rwd,gas,green,103000,None,clean,automatic,None,6000
honda accord ex,2011,None,excellent,4 cylinders,fwd,gas,black,93912,full-size,clean,automatic,sedan,8000
honda odyssey,2006,None,excellent,4 cylinders,fwd,gas,None,129086,full-size,clean,automatic,van,4850
2001 Honda Accord,2001,None,excellent,None,fwd,gas,None,282001,full-size,clean,automatic,sedan,1600
525i bmw,2006,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,sedan,4500
525i bmw,2006,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,sedan,4500
honda odyssey,2006,None,excellent,4 cylinders,fwd,gas,None,129086,full-size,clean,automatic,van,4850
ford focus,2007,None,good,None,None,gas,None,None,None,clean,automatic,None,1200
Ford Thunderbird,1955,None,None,None,None,gas,None,None,None,clean,automatic,None,29500
2000 ford ranger,2000,None,fair,6 cylinders,rwd,gas,white,None,None,clean,automatic,None,1200
jeep patriot sport 4wd,2008,None,None,4 cylinders,4wd,gas,None,180000,None,clean,automatic,None,1500
honda accord,2002,None,good,6 cylinders,None,gas,None,248000,None,clean,automatic,None,2000
ford explorer,1998,None,good,6 cylinders,4wd,gas,red,192000,full-size,clean,automatic,SUV,1100
honda civic,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
nissan murano,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
audi a4 quattro,2009,None,excellent,None,None,gas,None,None,None,clean,automatic,None,9500
hyundai sonata,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,9500
ford fiesta,2012,None,good,None,None,gas,None,None,None,clean,manual,None,3800
Toyota Camry,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,750
Dodge Dakota,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1095
Volkswagen Passat,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Ford f350 srw 6.0,2005,None,good,8 cylinders,4wd,diesel,None,99000,None,clean,automatic,None,12000
BMW 525iT,2002,None,good,6 cylinders,None,gas,white,190000,None,clean,automatic,None,3900
Kia Sorento,2007,None,good,6 cylinders,None,gas,black,108000,None,clean,automatic,None,5200
ford expedition,1999,None,fair,8 cylinders,4wd,gas,white,244000,full-size,clean,automatic,SUV,600
