make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford e450,2008,None,like new,None,None,diesel,None,120000,None,clean,automatic,None,9500
Dodge Ram D 300,1984,None,fair,8 cylinders,rwd,gas,red,58901,None,clean,manual,pickup,4000
mercedes-benz,1973,None,None,None,None,gas,red,85543,None,clean,automatic,None,3500
Ford e350,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
hyundai elantra gls,2013,None,None,None,None,gas,None,73307,None,clean,automatic,None,6995
vw beetle,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2495
infiniti g35x,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,8995
lexus gs400,2000,None,like new,8 cylinders,rwd,gas,grey,None,full-size,clean,automatic,None,5000
Mercedes s500 4 matic,2005,None,None,8 cylinders,4wd,gas,black,225000,full-size,clean,automatic,sedan,5500
dodge ram 1500,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,27000
acura mdx,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
toyota camry,1999,None,None,None,None,gas,None,None,None,parts only,automatic,None,600
toyota camry,1999,None,None,None,None,gas,None,None,None,parts only,automatic,None,600
Factory 5 Hot Rod,1933,None,None,None,None,gas,None,None,None,clean,automatic,None,37500
mustang gt 5.0,2014,None,like new,None,None,gas,None,None,None,clean,manual,None,34900
subaru outback 2.5i,2012,None,excellent,4 cylinders,None,gas,blue,112400,None,lien,automatic,None,11800
subaru impreza wrx,2002,None,good,4 cylinders,4wd,gas,red,128800,sub-compact,clean,manual,hatchback,2400
nissan murano,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2999
toyota scion tc,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3999
Dodge Magnum,2005,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,wagon,3450
Dodge Magnum,2005,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,wagon,3450
Dodge Magnum,2005,None,excellent,6 cylinders,fwd,gas,blue,None,full-size,clean,automatic,wagon,3450
chrysler pacifica 4dr wgn awd,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,750
mini cooper,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Chevy,1978,None,good,8 cylinders,4wd,gas,green,None,full-size,clean,automatic,pickup,3000
Ford Ranger,1989,None,fair,6 cylinders,rwd,gas,green,255000,mid-size,clean,manual,truck,800
Honda Civic,2000,None,excellent,4 cylinders,fwd,gas,black,141950,compact,clean,automatic,None,2000
plymouth valiant,1974,None,good,6 cylinders,rwd,gas,blue,91000,None,clean,automatic,sedan,2200
Camry SE Good Car,2009,None,excellent,4 cylinders,None,gas,black,None,full-size,clean,automatic,sedan,1537
Ford Focus hatchback,2014,None,excellent,4 cylinders,fwd,gas,black,72649,None,clean,automatic,None,7000
lexus -400,1994,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
CHEVELLE SS,1971,None,None,None,None,gas,None,None,None,clean,automatic,None,14000
honda accord lx,2006,None,excellent,4 cylinders,fwd,gas,silver,114320,None,clean,automatic,sedan,4995
chevy silverado 2500hd,2003,None,None,8 cylinders,4wd,gas,None,87000,None,clean,automatic,None,8500
lexus sc,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
dodge dakota,2001,None,good,8 cylinders,rwd,gas,blue,195000,mid-size,clean,automatic,None,900
Dodge Journey,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,33
mazda cx-7,2010,Xx,excellent,4 cylinders,fwd,gas,black,178800,full-size,clean,automatic,SUV,2795
cadillac escalade esv awd,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
acura tl,2005,None,excellent,6 cylinders,fwd,gas,grey,160000,mid-size,clean,automatic,sedan,4600
chevy cobalt,2005,None,good,4 cylinders,fwd,gas,None,165000,None,clean,automatic,None,1800
ford focus zx3,2002,None,good,None,None,gas,None,184000,compact,clean,manual,hatchback,1200
subaru forester 2.5 x,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5399
