make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Honda Pilot LX,2014,None,excellent,6 cylinders,fwd,gas,grey,None,None,clean,automatic,SUV,17500
toyota avalon xls 4dr sedan,2002,22031737508123900,excellent,6 cylinders,fwd,gas,silver,122849,full-size,clean,automatic,sedan,5000
ford expedition,1998,None,good,8 cylinders,rwd,gas,custom,98000,full-size,clean,automatic,SUV,3000
chevrolet corvette,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
Chevrolet C60,1979,None,good,8 cylinders,rwd,gas,white,None,None,missing,manual,None,3500
Dodge Dart Sport,1974,None,good,8 cylinders,rwd,gas,black,None,mid-size,clean,automatic,coupe,9000
nissan versa,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
Volkswagen Golf R,2012,None,excellent,4 cylinders,4wd,gas,black,None,None,lien,manual,None,20000
Honda Accord,2009,None,None,None,None,gas,black,116000,None,clean,automatic,None,5800
ford super duty f-350 xlt,2013,None,excellent,None,4wd,diesel,white,72829,None,lien,automatic,None,34000
chevrolet silverado,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,1
chevrolet suburban,2004,None,good,None,None,gas,None,201000,None,clean,automatic,SUV,6200
ford f450 Super Duty,2013,None,like new,10 cylinders,4wd,gas,black,17000,full-size,clean,automatic,truck,41500
chevy,1994,None,good,None,None,gas,white,168,full-size,clean,automatic,pickup,4000
chevy silverado,2008,None,None,8 cylinders,None,gas,None,287000,full-size,clean,automatic,pickup,7500
Ford F150,1977,None,good,8 cylinders,rwd,gas,white,None,full-size,clean,automatic,None,4900
gmc 1500 sierra,2014,None,None,8 cylinders,4wd,gas,black,72000,full-size,lien,automatic,truck,35000
Chevrolet Kodiak C4500,2005,1GBE4E1285F515361,good,8 cylinders,rwd,diesel,red,89596,None,clean,automatic,truck,26995
toyota corolla,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,4175
CHEVROLET 2500,2014,None,excellent,None,4wd,diesel,None,75720,None,clean,automatic,None,40900
dodge ram 2500,1996,None,good,6 cylinders,rwd,diesel,green,330000,None,clean,automatic,None,4500
gmc yukon xl,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4999
gmc 1500 sierra,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,13000
volkswagen passat,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
chevy suburban 1500,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3999
mercedes-benz e320,2003,None,excellent,None,None,gas,None,170000,full-size,clean,automatic,None,4999
ford F 150,2005,None,excellent,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,2000
ford mustang convertible gt,1988,None,good,8 cylinders,rwd,gas,red,97000,mid-size,clean,manual,convertible,3500
chevy cobalt,2006,None,excellent,4 cylinders,None,gas,None,150000,None,clean,automatic,None,3500
freightliner,2007,None,None,None,None,diesel,None,None,None,clean,manual,None,26999
FORD SPORT TRAK,2005,None,good,4 cylinders,4wd,gas,red,133214,mid-size,clean,automatic,truck,7988
Ford F150,2000,None,excellent,8 cylinders,rwd,gas,red,1636458,full-size,clean,automatic,pickup,8950
dodge ram 3500,1999,None,None,6 cylinders,4wd,diesel,red,380000,full-size,clean,automatic,None,5500
Chevy silverado,1995,None,fair,8 cylinders,rwd,gas,silver,350000,None,missing,automatic,pickup,400
honda civic,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,7200
Chevy C10,1966,None,excellent,8 cylinders,rwd,gas,orange,None,None,clean,automatic,pickup,14950
C10,1968,None,None,None,None,gas,None,None,None,missing,automatic,None,2800
dodge caravan,2005,None,good,6 cylinders,fwd,gas,silver,168027,mid-size,clean,automatic,van,2950
lexus rx350,2008,None,good,6 cylinders,fwd,gas,blue,164500,mid-size,clean,automatic,SUV,9250
Mini Cooper s all4,2011,None,like new,None,None,gas,white,45000,None,clean,manual,None,13900
pontiac g6,2006,None,good,6 cylinders,fwd,gas,white,165000,mid-size,clean,automatic,sedan,3950
chevy,1937,None,like new,6 cylinders,None,gas,green,None,None,clean,manual,None,33000
MINI Cooper S Convertible,2007,None,excellent,None,None,gas,None,95436,None,clean,manual,None,10500
Chevy Silverado,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
Chevy C 10,1972,None,None,8 cylinders,rwd,gas,None,None,full-size,clean,automatic,pickup,2450
Ford coupe,1941,None,excellent,8 cylinders,rwd,gas,None,None,full-size,clean,manual,coupe,22000
chev,1957,None,salvage,None,None,other,None,None,None,missing,other,None,1200
mercury grand marquis,1988,None,good,8 cylinders,rwd,gas,brown,None,full-size,clean,automatic,sedan,1200
nissan titan,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Chevrolet,1963,None,None,None,None,gas,None,None,None,missing,automatic,None,850
Chevrolet,1963,None,None,None,None,gas,None,None,None,missing,automatic,None,850
