make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
hyundai sonata gls 4dr sedan,2011,None,excellent,4 cylinders,fwd,gas,black,105450,full-size,rebuilt,automatic,sedan,4950
Dodge Dakota,2005,None,good,None,None,gas,white,None,None,clean,manual,pickup,4000
SUBARU IMPREZA,2015,None,None,None,None,gas,None,None,None,clean,manual,None,25000
MERCEDES BENZ C300,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,8000
Chevy sonic LT,2015,None,like new,4 cylinders,fwd,gas,white,17850,full-size,rebuilt,automatic,sedan,5950
nissan versa 1.8 s,2008,None,excellent,4 cylinders,fwd,gas,red,49350,full-size,rebuilt,automatic,sedan,3950
pontiac grand prix gt,2000,None,excellent,8 cylinders,None,gas,black,240000,None,clean,automatic,sedan,2000
porsche cayman,2010,None,like new,6 cylinders,fwd,gas,black,24000,None,clean,manual,None,27500
Ford f150,1993,None,good,6 cylinders,rwd,gas,green,284000,full-size,clean,automatic,pickup,2000
dodge ram 3500,2010,None,excellent,6 cylinders,4wd,diesel,black,166,full-size,clean,automatic,pickup,28500
honda civic,2005,None,None,None,None,gas,None,None,None,clean,manual,None,3500
ford f-150,2003,None,None,8 cylinders,rwd,gas,brown,None,full-size,clean,automatic,None,4500
Nissan Versa,2012,None,excellent,4 cylinders,fwd,gas,grey,78350,full-size,rebuilt,automatic,sedan,4250
ford f-350,1955,None,None,None,None,gas,None,None,None,clean,manual,None,1900
FORD F150,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
Honda Accord,2007,None,excellent,4 cylinders,None,gas,None,185000,None,rebuilt,automatic,None,4000
Lexus ES 300,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Honda Accord,2006,None,excellent,4 cylinders,None,gas,None,146000,None,rebuilt,automatic,None,4000
Honda Accord,2006,None,excellent,4 cylinders,None,gas,None,146000,None,rebuilt,automatic,None,4000
infiniti g35,2008,None,like new,6 cylinders,None,gas,None,131000,None,clean,automatic,None,7500
Honda Accord,1998,None,good,4 cylinders,None,gas,None,231000,None,rebuilt,automatic,sedan,1500
honda accord,2006,None,excellent,4 cylinders,None,gas,None,146000,None,rebuilt,automatic,None,3800
Honda Accord,1998,None,good,4 cylinders,fwd,gas,None,231000,None,rebuilt,automatic,None,1500
subaru outback 2.5i,2012,4S4BRCAC9C3229011,good,None,4wd,gas,blue,91500,None,clean,automatic,None,13250
honda accord,1998,None,good,4 cylinders,None,gas,None,234000,None,rebuilt,automatic,None,1500
Honda accord,2001,None,good,4 cylinders,fwd,gas,None,189000,None,rebuilt,automatic,None,1500
Yamaha fz6,2014,None,excellent,None,None,gas,black,None,None,clean,manual,None,5000
Ford Expedition King Ranch EL,2008,None,like new,8 cylinders,rwd,gas,white,72000,None,clean,automatic,SUV,17200
Chevy food Trailer,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
Ram 2500,2012,None,None,6 cylinders,4wd,diesel,white,80000,full-size,clean,manual,truck,35500
maserati ghibli,2016,ZAM57XSA7G1171991,like new,6 cylinders,4wd,gas,white,None,full-size,clean,automatic,sedan,58000
Honda accord,2009,None,like new,4 cylinders,None,gas,None,121000,None,rebuilt,automatic,None,5500
honda cr-v,2003,None,excellent,4 cylinders,fwd,gas,silver,134000,None,rebuilt,automatic,SUV,5500
ford f150,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
ford escape,2008,None,good,4 cylinders,fwd,hybrid,green,112232,None,clean,automatic,SUV,4350
scion tc,2008,None,excellent,None,None,gas,white,None,None,clean,automatic,None,6000
porsche,1959,None,None,None,None,other,None,None,None,clean,other,None,27000
Honda accord,2009,None,like new,4 cylinders,None,gas,None,121000,None,rebuilt,automatic,None,5500
honda accord,2009,None,excellent,4 cylinders,None,gas,None,121000,None,rebuilt,automatic,None,5000
hyundai accent,2008,None,excellent,4 cylinders,fwd,gas,blue,92000,None,clean,automatic,coupe,3450
jeep wrangler,2015,None,like new,6 cylinders,4wd,gas,None,5800,None,rebuilt,automatic,None,30000
toyota celica,1999,None,good,4 cylinders,None,gas,None,151000,None,clean,automatic,None,2500
