make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
cadillac cts-v,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,24500
volkswagen new beetle,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
ford e150 econoline,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,8400
toyota prius,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,7995
nissan versa,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,6995
mitsubishi eclipse,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
mini cooper,2007,None,None,None,None,gas,None,None,None,clean,manual,None,4995
Ford Expedition,2004,1FMRU13W24LB22943,None,None,None,gas,None,None,None,clean,automatic,None,5995
dodge avenger sxt,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,4299
mercedes-benz c-class,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4595
Ford F150,2008,None,excellent,8 cylinders,fwd,gas,black,134000,full-size,clean,automatic,truck,1567
Jeep,2015,None,None,None,None,gas,blue,None,None,clean,automatic,None,26500
Ford,2013,None,None,None,None,gas,None,None,None,clean,automatic,None,25200
ford crown victoria police,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2995
ford f250 super duty,2012,None,like new,None,4wd,diesel,silver,69000,None,lien,automatic,pickup,42500
ford mustang,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4995
ford f-250,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,11995
ford econoline,2001,None,excellent,6 cylinders,rwd,gas,white,45505,full-size,clean,automatic,van,5450
Honda accord,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1800
Ford two door,1933,None,None,None,None,gas,None,None,None,missing,manual,None,5500
Ford explorere eddie Bauer,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
ford mustang,2012,None,None,None,None,gas,None,None,None,clean,manual,None,7995
Chrysler,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
fully serviced,2008,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,2500
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1554
chrysler,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1557
ford ranger xlt,2003,None,None,None,None,gas,None,37500,None,clean,automatic,None,975
chrysler,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1594
chevrolet uplander,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2995
chevrolet silverado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,9995
Chevy C10,1982,None,like new,8 cylinders,rwd,gas,silver,None,full-size,clean,automatic,pickup,11500
