make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
jeep grand cherokee,2006,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,SUV,1600
Ford,2017,None,good,8 cylinders,rwd,diesel,None,221000,None,clean,automatic,truck,8500
Honda crv exl,2007,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,SUV,6400
Mazda RX-8,2006,None,good,other,rwd,gas,blue,130000,sub-compact,salvage,automatic,coupe,3800
ford mustang gt,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Dodge,1996,None,good,6 cylinders,rwd,diesel,red,348188,None,clean,manual,pickup,7250
toyota 4runner sr5,1998,None,good,6 cylinders,rwd,gas,None,168000,None,clean,automatic,SUV,4000
honda civic lx,2002,None,good,4 cylinders,fwd,gas,silver,None,compact,clean,manual,coupe,2600
chev coupe,1932,98657,like new,6 cylinders,rwd,gas,brown,100,mid-size,clean,manual,coupe,24000
Ford Bronco,1995,None,excellent,8 cylinders,4wd,gas,red,260000,None,clean,automatic,truck,3500
Ford falco,1964,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
ford f-150,1995,None,excellent,8 cylinders,rwd,gas,white,173500,None,clean,automatic,truck,7000
Dodge ram 2500 sport 4x4,2006,None,excellent,6 cylinders,4wd,diesel,grey,118000,full-size,clean,automatic,truck,26000
cadillac fleetwood brougham,1989,None,good,8 cylinders,rwd,gas,blue,105000,full-size,clean,automatic,sedan,5500
nissan armada se,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
acura tl,2008,None,excellent,6 cylinders,fwd,gas,white,178000,None,lien,automatic,None,6500
Ford Taurus,2001,None,good,None,None,gas,None,None,None,clean,automatic,None,2250
GMC Yukon hybrid,2008,None,None,None,None,gas,None,None,None,lien,automatic,None,14500
dodge caliber,2011,None,excellent,None,None,gas,None,87000,sub-compact,clean,automatic,None,6500
Toyota RAV4,2012,None,None,None,None,gas,None,None,full-size,clean,automatic,None,1500
Chevy Sonic LT,2015,1G1JC5SH9F4189320,excellent,4 cylinders,fwd,gas,white,50460,compact,lien,automatic,sedan,9600
kia sorento,2005,None,fair,6 cylinders,4wd,gas,brown,151844,None,clean,automatic,None,2500
Truck,1930,None,good,8 cylinders,rwd,gas,brown,None,full-size,clean,automatic,pickup,5000
Chevrolet Monte Carlo,1976,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
nissan sentra,1996,None,good,None,None,gas,None,118147,None,clean,automatic,None,1000
infiniti M35,2009,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,2100
Honda Civic,2003,None,good,None,None,gas,None,None,None,clean,automatic,None,2200
ford f350,2004,None,None,None,None,diesel,None,None,None,clean,other,None,1000
Honda CR-V,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2055
bmw 5-series,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2514
Nissan Murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,2075
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1598
toyota tundra limited,2007,None,excellent,8 cylinders,None,gas,black,None,None,clean,automatic,None,23500
Mitsubishi,2007,None,None,None,None,gas,None,None,full-size,clean,automatic,None,1000
toyota fj cruiser,2007,None,excellent,6 cylinders,None,gas,silver,116322,None,clean,automatic,None,13995
tow,2018,None,None,None,None,gas,None,None,None,clean,automatic,None,9999999
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1571
chevrolet monte carlo ss,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Land Rover Discovery,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
volkswagen beetle,2004,None,excellent,4 cylinders,None,gas,silver,None,compact,clean,automatic,coupe,3995
jeep wrangler sahara,2011,None,excellent,6 cylinders,4wd,gas,orange,700000,None,clean,automatic,None,25000
toyota prius,2013,None,like new,4 cylinders,None,hybrid,black,None,compact,clean,automatic,hatchback,7995
toyota sequoia limited,2007,None,good,8 cylinders,rwd,gas,black,191200,full-size,clean,automatic,SUV,8750
Honda Accord EX-L,2003,None,fair,6 cylinders,fwd,gas,silver,179022,mid-size,clean,automatic,coupe,2200
4Runner,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Saturn Vue,2002,None,good,6 cylinders,None,gas,red,144839,None,clean,automatic,SUV,1500
chevrolet tahoe,1998,None,fair,8 cylinders,4wd,gas,red,159000,full-size,clean,automatic,SUV,4200
nissan versa,2013,None,excellent,4 cylinders,None,gas,blue,None,mid-size,clean,automatic,sedan,6995
bmw x5 3.0i,2009,5uxfe43579l264742,good,None,None,gas,brown,None,None,clean,automatic,None,9500
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1584
Ford F-150,2016,1FTEW1CF9GFA30180,excellent,8 cylinders,rwd,gas,silver,21769,full-size,clean,automatic,pickup,37900
Mitsubishi Eclipse,1999,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1000
mitsubishi eclipse,2008,None,excellent,4 cylinders,None,gas,black,None,mid-size,clean,automatic,None,3995
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1547
Chevy,2007,None,None,None,None,gas,None,None,full-size,clean,automatic,None,1502
jeep grand cherokee laredo,2014,None,like new,None,rwd,gas,None,49700,None,clean,automatic,None,19500
Chevrolet Silverado,1998,None,None,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,6800
toyota corolla,1992,None,None,None,None,gas,None,None,None,clean,manual,None,2400
kia sorento,2008,None,good,6 cylinders,None,gas,silver,None,mid-size,clean,automatic,SUV,3995
mazda b4000,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1200
Toyota Camry,2002,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,4995
jeep commander,2008,None,good,6 cylinders,4wd,gas,black,None,full-size,clean,automatic,SUV,5000
ford crown victoria police,2009,2FAHP71V39X114144,good,8 cylinders,None,gas,white,161287,full-size,clean,automatic,sedan,2995
cadillac dts,2009,1G6KD57Y99U117624,excellent,8 cylinders,None,gas,custom,147534,full-size,clean,automatic,sedan,5995
land rover lr3,2006,None,good,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,SUV,6500
mercedes benz c230 kompressor,2005,None,good,4 cylinders,None,gas,silver,None,mid-size,clean,automatic,sedan,4600
mini cooper countryman,2012,None,like new,4 cylinders,None,gas,blue,None,mid-size,clean,automatic,other,11000
chrysler pacifica,2007,None,good,6 cylinders,None,gas,white,174300,None,clean,automatic,None,3400
AMC CONCORD,1982,None,fair,None,None,gas,None,None,None,clean,automatic,None,700
Toyota Land Cruiser,2003,JTEHT05J432047760,excellent,8 cylinders,4wd,gas,None,169477,None,clean,automatic,None,15995
mazda mx-5 miata,2007,None,None,None,None,gas,None,87000,None,clean,manual,None,9999
Ford F-150,2005,None,excellent,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,2000
Ford F 150,2005,None,excellent,8 cylinders,4wd,gas,red,None,full-size,clean,automatic,truck,2000
mini cooper,2007,None,excellent,4 cylinders,None,gas,green,None,compact,clean,automatic,hatchback,4995
Mazda CX-9,2015,JM3TB2BA9F0447192,like new,6 cylinders,fwd,gas,grey,20000,full-size,clean,automatic,SUV,19000
Jeep Cherokee,2000,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,SUV,1000
Dodge Ram cummins 3500,2007,None,excellent,6 cylinders,rwd,diesel,black,157071,full-size,clean,manual,None,20995
GMC Yukon DENALI,2013,None,None,None,4wd,gas,None,None,full-size,clean,automatic,SUV,5000
audi a4 quattro,2009,None,excellent,4 cylinders,4wd,gas,None,None,full-size,clean,automatic,None,6999
Nissan Moreno,2005,None,excellent,6 cylinders,4wd,gas,None,135712,None,clean,automatic,SUV,8999
ford f250 diesels powerstroke,2009,None,None,None,None,diesel,None,None,None,clean,automatic,None,12345
nissan maxima,2004,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
Chevrolet Corvette,1992,None,good,None,None,gas,None,None,None,missing,automatic,coupe,2999
Honda,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
jeep wrangler,1998,None,None,6 cylinders,None,gas,None,114000,None,salvage,manual,None,5000
dodge ram 2500,2007,None,fair,6 cylinders,rwd,diesel,white,179800,full-size,clean,automatic,pickup,11000
ford explorer sport,2001,None,excellent,6 cylinders,fwd,gas,None,160,None,clean,automatic,None,3500
cadillac cts,2008,None,good,6 cylinders,None,gas,black,None,full-size,clean,automatic,sedan,5995
audi a4,2008,None,excellent,4 cylinders,None,gas,black,None,mid-size,clean,automatic,sedan,4995
Mercedes ML320 CDI,2008,4JGBB22E78A329917,excellent,6 cylinders,4wd,diesel,None,109000,None,clean,automatic,None,11500
Subaru Forester 2.5x,2012,95722,excellent,4 cylinders,4wd,gas,blue,None,None,clean,automatic,None,10800
chevrolet 1500 silverado,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
nissan sentra,2014,3N1AB7AP0EY341501,like new,4 cylinders,fwd,gas,blue,35000,mid-size,rebuilt,manual,sedan,6499
ford f-150,2013,1FTFW1CF3DKE44031,excellent,8 cylinders,rwd,gas,green,53100,full-size,clean,automatic,truck,23500
nissan altima,2012,None,excellent,4 cylinders,None,gas,None,50777,full-size,clean,automatic,sedan,9999
ford f-150,2010,None,None,None,4wd,gas,grey,147900,full-size,clean,automatic,truck,12500
ford f-250 super duty,2002,1FTNW20L62ED27633,good,8 cylinders,rwd,gas,white,144287,full-size,clean,automatic,pickup,8900
Chrysler 200,2013,None,good,4 cylinders,fwd,gas,black,None,None,clean,automatic,None,5900
Ford Taurus SE,2007,None,None,6 cylinders,None,gas,None,None,None,clean,automatic,None,2900
chevy,1937,None,like new,None,None,gas,None,None,None,clean,manual,None,33000
Chevrolet El Camino,1969,None,good,8 cylinders,rwd,gas,red,None,None,clean,automatic,truck,16500
GMC Sierra,2006,None,excellent,8 cylinders,4wd,gas,grey,None,None,clean,automatic,None,10700
buick lesabre custom,2003,None,excellent,6 cylinders,None,gas,None,58225,None,clean,automatic,None,5600
dodge dakota,2003,None,excellent,6 cylinders,rwd,gas,black,52139,mid-size,clean,automatic,None,8300
chevy wagon,1955,VC55K046721,excellent,8 cylinders,rwd,gas,green,100000,full-size,rebuilt,automatic,other,16500
Chevy short bed 5 speed,2001,None,excellent,6 cylinders,rwd,gas,green,127000,None,clean,manual,None,4800
Chevy taheo,1999,None,good,8 cylinders,rwd,gas,grey,190000,None,clean,automatic,None,3000
JEEP WRANGLER,1999,None,good,6 cylinders,None,gas,None,None,None,clean,manual,SUV,1800
toyota CAMRY,2007,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,1800
Honda CR-V,2008,None,excellent,None,None,gas,None,81000,None,clean,automatic,None,8900
Honda Accord,2005,None,None,None,None,gas,None,180,None,clean,automatic,None,3490
honda accord,2007,None,excellent,None,None,gas,None,85000,None,clean,automatic,None,6990
buick lacrosse,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
1998 chevy,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2800
ford mustang,2004,None,excellent,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,coupe,2500
honda civic,2007,None,good,None,None,gas,blue,88000,None,clean,automatic,coupe,4800
Ford Contour,1999,None,None,None,None,gas,None,90000,None,clean,automatic,None,2000
chevy tahoe,2003,None,good,None,None,gas,green,199900,None,clean,automatic,None,4000
Mazda Sports Van,1997,None,good,6 cylinders,rwd,gas,green,None,mid-size,clean,automatic,mini-van,1975
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,11100
holiday rambler,1983,None,None,None,None,other,None,None,None,clean,other,None,1900
acura tl,2008,None,excellent,6 cylinders,fwd,gas,white,178000,None,lien,automatic,None,6000
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,14150
chevrolet corvette,1984,None,excellent,8 cylinders,rwd,gas,custom,None,mid-size,clean,automatic,convertible,13500
Honda CR-V,2009,None,excellent,4 cylinders,rwd,gas,blue,183,None,clean,automatic,hatchback,6999
Challenger,2010,None,excellent,8 cylinders,None,gas,black,12800,None,clean,automatic,coupe,12
Ford F-150 xlt,1993,None,fair,8 cylinders,rwd,gas,red,214000,None,clean,automatic,pickup,2100
toyota camry,1993,None,None,None,None,gas,None,None,None,clean,automatic,sedan,700
silverado chevy,2000,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,1000
lexus es 330,2004,JTHBA30G640012789,good,6 cylinders,fwd,gas,None,110071,full-size,clean,automatic,sedan,6100
ford f150 supercrew cab,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,5899
audi a8,2005,None,excellent,4 cylinders,None,gas,black,None,mid-size,clean,automatic,sedan,4995
lincoln mark vii lsc,1989,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,2600
Ford F-150,1997,None,fair,8 cylinders,rwd,gas,black,150000,None,clean,automatic,pickup,2000
Ford F150,2007,None,good,8 cylinders,rwd,gas,red,126791,None,clean,automatic,None,9995
Dodge Ram,2001,None,excellent,None,None,diesel,None,None,None,clean,automatic,None,1000
bmw 328i,2010,None,excellent,6 cylinders,rwd,gas,None,64000,None,clean,automatic,coupe,16500
dodge charger,2010,2B3CA3CV0AH250646,excellent,6 cylinders,None,gas,grey,157175,mid-size,clean,automatic,sedan,4995
CHRYSLER SEBRING,2008,1C3LC55R18N640312,good,6 cylinders,None,gas,black,157674,mid-size,clean,automatic,convertible,3995
chevy impala,2017,None,new,6 cylinders,None,gas,black,None,full-size,clean,automatic,sedan,29000
audi a8,2005,None,excellent,8 cylinders,None,gas,custom,None,mid-size,clean,automatic,None,5700
bmw 750li,2006,None,like new,8 cylinders,None,gas,grey,None,full-size,clean,automatic,sedan,9000
cadillac sts,2007,None,excellent,8 cylinders,None,gas,custom,None,full-size,clean,automatic,sedan,7000
