make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford f-150,2001,None,good,8 cylinders,4wd,gas,white,2225031,full-size,clean,automatic,pickup,3300
cadillac cts,2004,None,None,None,None,gas,None,None,None,clean,manual,None,1750
oldsmobile cutlass,1986,None,excellent,8 cylinders,rwd,gas,grey,2200,full-size,clean,automatic,coupe,15000
chevrolet 1500 silverado,2005,None,good,8 cylinders,rwd,gas,grey,163000,full-size,clean,automatic,pickup,5600
ford explorer,1998,None,good,None,None,gas,None,190,mid-size,clean,automatic,SUV,1250
Kawasaki prairie 360,2009,None,like new,None,4wd,gas,None,None,None,clean,automatic,None,4300
dodge ram,2010,None,excellent,8 cylinders,rwd,gas,white,100000,full-size,clean,automatic,truck,7400
Jeep Grand Cherokee,2004,None,None,None,None,gas,None,113100,None,clean,automatic,None,1560
chevy 1500 4x4,2014,None,None,8 cylinders,4wd,gas,black,47500,full-size,clean,automatic,pickup,25500
nissan versa,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
camaro z28,1993,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,2500
fx45,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2015
dodge sprinter 2500,2005,WD0PD744655827544,good,6 cylinders,rwd,diesel,silver,431000,full-size,clean,automatic,van,9900
Chevy camaro,2001,None,good,6 cylinders,None,gas,red,160000,None,clean,manual,None,2500
Chevrolet Tahoe,1999,None,None,8 cylinders,4wd,gas,white,170000,compact,clean,automatic,SUV,3500
toyota corola,2003,None,good,4 cylinders,None,gas,None,120000,None,clean,automatic,None,2799
nissan murano,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Lexus RX 350,2013,None,excellent,6 cylinders,None,gas,None,None,None,clean,automatic,None,29599
Nissan Frontier SC King Cab,2002,None,good,6 cylinders,4wd,gas,black,139900,None,clean,automatic,truck,7500
gmc 1500 sierra,2006,123,good,8 cylinders,4wd,gas,blue,206,full-size,lien,automatic,pickup,10
jeep wrangler sahara,1997,None,good,6 cylinders,4wd,gas,green,150000,mid-size,clean,manual,None,12500
pontiac grand prix,2008,None,fair,6 cylinders,fwd,gas,black,200000,None,clean,automatic,sedan,2200
