make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Land Rover Range Rover Evoque,2012,None,good,6 cylinders,4wd,gas,None,75995,None,clean,automatic,SUV,22800
KIA Sedona,2003,None,good,None,None,gas,blue,147,None,clean,automatic,mini-van,1000
bmw 550i,2011,None,like new,8 cylinders,rwd,gas,silver,77000,None,clean,automatic,None,20000
honda accord,2004,None,None,None,None,gas,None,113000,None,salvage,automatic,None,2700
Dodge Dakota SLT,1995,1B7GL23X4SS172064,good,6 cylinders,rwd,gas,silver,180852,mid-size,clean,automatic,truck,900
FORD,2007,1ZVFT84N675337806,like new,6 cylinders,None,gas,None,105000,None,clean,automatic,convertible,7495
FORD,2007,1ZVFT84N675337806,excellent,6 cylinders,rwd,gas,None,105000,None,clean,automatic,convertible,7495
chevrolet silverado 3500,2001,None,good,8 cylinders,fwd,gas,white,216,full-size,clean,automatic,truck,3300
BMW,2011,WBAPH7G56BNM56864,like new,6 cylinders,rwd,gas,grey,134000,None,clean,automatic,sedan,7995
volkswagen,2012,3VW2K7AJ2CM397275,excellent,4 cylinders,None,gas,black,108000,full-size,clean,automatic,sedan,5795
Saturn ion,2007,None,excellent,4 cylinders,None,gas,blue,130000,None,clean,automatic,None,2650
chevrolet astro,2002,None,None,None,None,gas,None,225000,None,clean,automatic,None,2500
Cadillac Escalade,2015,1GYS3SKJ7FR630632,like new,8 cylinders,rwd,gas,black,92000,full-size,clean,automatic,SUV,45900
300ZX,1986,None,excellent,6 cylinders,rwd,gas,None,None,compact,clean,manual,hatchback,3900
mercedes-benz c230,1999,None,good,4 cylinders,fwd,gas,silver,219000,mid-size,clean,automatic,sedan,2000
honda accord,1999,None,good,4 cylinders,fwd,gas,silver,224000,full-size,salvage,automatic,sedan,1500
ford f250 diesel power stroke,2011,None,None,None,None,diesel,None,148,None,clean,automatic,None,18500
porsche 944 turbo,1986,None,good,4 cylinders,rwd,gas,black,99,compact,clean,manual,coupe,12500
hyundai elantra gls,2013,None,good,4 cylinders,None,gas,None,112000,None,clean,automatic,hatchback,5990
infiniti m35,2006,None,good,6 cylinders,rwd,gas,black,153500,full-size,clean,automatic,sedan,4500
chevrolet astro,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
