make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Jeep Grand Cherokee 4x4,2005,None,good,8 cylinders,4wd,gas,blue,143200,None,clean,automatic,SUV,7000
jeep wrangler,2008,None,good,6 cylinders,4wd,gas,red,None,full-size,clean,automatic,offroad,15000
nissan altima v6 3.5l 260 hp,2005,None,good,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1003
nissan altima v6 3.5l 260 hp,2005,None,good,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1033
Honda Accord EX-L,2011,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,sedan,2500
chevy bel air,1964,None,None,None,None,gas,blue,None,None,clean,automatic,None,8500
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1577
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1574
Toyota 4Runner,2007,None,None,None,None,gas,None,104800,None,clean,automatic,None,1590
ford f-250,1996,None,excellent,None,4wd,gas,white,None,None,clean,automatic,pickup,2000
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1514
jeep cherokee,1991,None,good,6 cylinders,4wd,gas,black,81000,None,clean,automatic,None,1800
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1522
pontiac vibe gt,2009,None,excellent,4 cylinders,fwd,gas,red,125000,mid-size,clean,automatic,hatchback,4950
chevy corvette,1980,None,good,8 cylinders,rwd,gas,red,None,compact,clean,automatic,hatchback,7500
1999 Honda Accord EX-L,1999,None,None,None,None,gas,None,None,None,clean,automatic,None,500
toyota 4runner,2007,None,None,None,None,gas,None,101900,None,clean,automatic,None,1570
toyota 4runner,2007,None,None,None,None,gas,None,95600,None,clean,automatic,None,1520
BMW X5 EXCELLENT CONDITION,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2502
Chevy Tahoe LT,2005,None,excellent,8 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,1999
TOYOTA 4RUNNER,2007,None,None,None,None,gas,None,83300,None,clean,automatic,None,1440
dodge ram 1500,2002,3d7ha18n82g210176,excellent,8 cylinders,rwd,gas,silver,121150,full-size,clean,automatic,truck,6495
chevyrolet  HHR,2007,3gcda15d37s638178,excellent,4 cylinders,fwd,gas,white,55233,compact,clean,automatic,wagon,5995
FORD EXPEDITION,2005,1FMPU16575LB08807,like new,8 cylinders,None,gas,None,None,None,clean,automatic,None,875
Ford focus zts,2003,Ifafp38373w294008,good,4 cylinders,fwd,gas,black,81400,None,clean,automatic,sedan,3400
Nissan maxima,2007,None,good,6 cylinders,fwd,gas,black,81000,mid-size,rebuilt,automatic,sedan,4500
Ford F150 4WD SuperCrew,2014,None,excellent,8 cylinders,4wd,gas,white,113305,full-size,clean,automatic,truck,17675
Ford E350,2000,1FTSE34L0YHB72459,good,8 cylinders,rwd,gas,white,None,None,clean,automatic,van,2400
honda odyssey,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1
toyota land cruiser,1994,None,excellent,6 cylinders,4wd,gas,custom,289000,None,clean,automatic,wagon,9200
mazda b4000,1996,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
gmc sierra 1500 z71,2005,None,good,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,7500
ford e150 cargo van,2003,None,excellent,8 cylinders,rwd,gas,white,190000,full-size,clean,automatic,van,5000
FORD F150,2003,1FTRF18203NB45810,None,None,None,gas,red,None,None,clean,automatic,None,1650
F 350,1999,None,None,None,None,diesel,None,None,None,clean,automatic,None,15500
MERCURY MOUNTAINEER,1997,4M2DU55P6VUJ32649,None,None,4wd,gas,None,None,None,clean,automatic,None,850
chevy express van,2004,None,good,6 cylinders,rwd,gas,white,None,full-size,clean,automatic,van,4500
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1503
Toyota Tacoma SR5,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1592
ford expedition,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3900
chevy silverado,1984,None,good,8 cylinders,rwd,gas,blue,130000,full-size,clean,automatic,truck,4000
Toyota Tacoma SR5,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1558
cadillac cts,2011,None,excellent,6 cylinders,rwd,gas,black,67000,None,clean,automatic,None,15000
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1579
chevy dually,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,8900
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1584
Honda CR-V,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1556
Honda CR-V,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1562
ford f350,1996,None,None,None,None,diesel,None,None,None,clean,automatic,None,2500
gmc yukon,2004,1gkek13z44j285760,excellent,8 cylinders,4wd,gas,grey,184343,full-size,clean,automatic,SUV,5595
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1556
Chevy HHR,2007,None,good,4 cylinders,fwd,gas,blue,94000,sub-compact,clean,automatic,wagon,3600
Escalade ESV,2005,None,None,8 cylinders,None,gas,None,None,full-size,clean,automatic,SUV,2534
Jeep Grand Cherokee,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,1
chevrolet trailblazer,2009,None,like new,None,4wd,gas,black,136000,None,clean,automatic,None,7500
toyota rav4,2010,None,excellent,6 cylinders,fwd,gas,yellow,None,mid-size,clean,automatic,SUV,10450
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1536
Jeep Wrangler,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1526
Chevrolet Silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1549
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1561
Range Rover,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,29995
Jeep Wrangler,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1533
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1549
FORD F150,2007,None,like new,8 cylinders,4wd,gas,brown,None,full-size,clean,automatic,pickup,12950
nissan frontier,2015,None,like new,6 cylinders,rwd,gas,red,None,full-size,clean,automatic,pickup,15995
BMW X5,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2084
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1582
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1574
TOYOTA 4Runner,2007,None,None,None,None,gas,None,91600,None,clean,automatic,None,1490
ford mustang convertible gt,1996,None,None,8 cylinders,rwd,gas,None,112000,None,clean,manual,convertible,2800
nissan murano,2003,None,None,None,None,gas,None,None,None,clean,automatic,SUV,1093
TOYOTA 4RUNNER,2007,None,None,None,None,gas,None,85300,None,clean,automatic,None,1450
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1570
Toyota 4RUNNER,2007,None,None,None,None,gas,None,92900,None,clean,automatic,None,1500
Chevrolet silverado,1986,None,None,None,None,gas,None,None,None,clean,automatic,None,7000
Ford F350 Power Stroke Diesel,2008,1FTWW30R38ED14782,good,8 cylinders,4wd,diesel,blue,210000,full-size,clean,automatic,None,8450
any and all,2018,None,fair,None,None,other,None,None,None,clean,other,other,1
any and all,2018,None,None,None,None,other,None,None,None,clean,other,None,1
ford freestar,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Mercury Mountaineer,2002,None,good,6 cylinders,None,gas,green,113000,mid-size,clean,automatic,SUV,1995
honda civic,2012,None,excellent,4 cylinders,fwd,gas,brown,173000,mid-size,clean,automatic,sedan,5450
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1505
Toyota 4RUNNER,2007,None,None,None,None,gas,None,88900,None,clean,automatic,None,1470
Acura TL,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1530
Chevrolet Silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1540
ford windstar,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,350
Ford,2008,None,None,None,None,gas,black,None,full-size,clean,automatic,None,2123
Chevrolet Tahoe,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1593
Nisan Altima,2008,None,like new,None,None,gas,white,None,full-size,clean,automatic,None,1500
ford mustang 5.0,1994,None,good,8 cylinders,None,gas,white,None,None,clean,automatic,coupe,3000
Toyota Tacoma SR5,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1560
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1521
Jeep Wrangler,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1579
Mercedes Benz,2010,None,None,None,None,gas,None,None,None,clean,manual,None,15995
Chevrolet Silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1548
Tac,1997,None,None,None,4wd,gas,None,None,None,clean,automatic,None,1508
chevy silverado 1500,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1546
Honda CR-V,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1595
Toyota Tacoma SR5,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1535
Chevrolet Silverado,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1533
Toyota Tacoma SR5,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1530
Acura TL,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1590
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1545
