make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Dodge Charger,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
Chevrolet silverado,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
HONDA ACCORD,2013,None,excellent,6 cylinders,fwd,gas,silver,None,mid-size,rebuilt,automatic,coupe,9500
ford e150 econoline,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,8400
nissan altima v6 3.5l 260 hp,2005,None,good,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1036
nissan altima v6 3.5l 260 hp,2005,None,excellent,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1027
nissan altima v6 3.5l 260 hp,2005,None,excellent,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1033
mini cooper hardtop s,2004,None,excellent,4 cylinders,rwd,gas,silver,79876,compact,clean,manual,coupe,6500
Ford F-150,2010,None,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,None,25
nissan armada se,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
League City Honda,2008,None,excellent,4 cylinders,fwd,gas,grey,93904,full-size,clean,automatic,SUV,1
Jeep Wrangler Rocky Mountain,2005,None,excellent,6 cylinders,4wd,gas,silver,118,None,clean,manual,None,12500
Nissian,2017,None,None,None,None,gas,brown,None,full-size,clean,automatic,truck,36200
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1541
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1571
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1560
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1525
Audi A4,2008,None,good,None,None,gas,None,None,None,clean,automatic,None,3500
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1578
gmc sierra 1500,2002,2GTEC19T221172375,good,8 cylinders,rwd,gas,white,100000,full-size,clean,automatic,truck,7500
dodge durango slt,2001,None,good,8 cylinders,4wd,gas,black,158163,full-size,clean,automatic,SUV,3700
