make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
lincoln town car executive,2005,1L1FM88W05Y652600,excellent,8 cylinders,4wd,gas,black,80000,None,clean,automatic,other,17999
nissan 300zx 2+2,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,9000
porsche 968,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,12900
nissan titan,2014,None,like new,8 cylinders,4wd,gas,blue,84000,full-size,lien,automatic,truck,26500
dodge dart,2014,None,excellent,6 cylinders,fwd,gas,black,32000,compact,salvage,automatic,sedan,5500
mazda 3,2017,None,like new,6 cylinders,fwd,gas,grey,11000,compact,salvage,automatic,sedan,6000
peterbuilt 379,2005,None,None,None,None,diesel,None,None,None,clean,manual,None,44000
LX gdi,2013,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6500
Toyota Corolla LE,2016,2T1BURHE7GC659954,like new,4 cylinders,None,gas,green,19000,compact,clean,automatic,sedan,12500
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,15500
kia sedona,2005,None,None,None,None,gas,grey,115000,full-size,rebuilt,automatic,mini-van,1250
chrysler 200,2012,None,excellent,8 cylinders,rwd,gas,grey,80000,mid-size,clean,automatic,sedan,8000
Lx gdi,2013,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,6500
cadillac escalade ext,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,6200
ford fusion se,2013,3FA6P0HR7DR378403,good,4 cylinders,None,gas,white,53000,full-size,clean,automatic,sedan,11500
Honda,1998,None,None,None,None,gas,None,None,None,clean,manual,None,900
bmw 5 series 535i,2008,None,excellent,6 cylinders,rwd,gas,black,85000,full-size,clean,automatic,sedan,8995
bmw 645ci,2005,None,excellent,8 cylinders,rwd,gas,grey,80000,full-size,clean,automatic,convertible,10995
audi q5 quattro,2010,None,excellent,6 cylinders,4wd,gas,white,107000,full-size,clean,automatic,SUV,12995
land rover range rover sport,2008,None,excellent,8 cylinders,4wd,gas,black,108000,full-size,clean,automatic,SUV,14995
AUDI A4 2.0T QUATTRO S-LINE,2009,None,excellent,4 cylinders,4wd,gas,white,67000,full-size,clean,automatic,convertible,9495
bmw 650i,2006,None,excellent,8 cylinders,rwd,gas,black,125000,full-size,clean,automatic,coupe,9995
BMW 528I,2011,None,excellent,6 cylinders,rwd,gas,black,80000,full-size,clean,automatic,sedan,15995
MERCEDES BENZ S 55,2004,WDBNG74J74A42710,excellent,8 cylinders,rwd,gas,grey,108900,full-size,clean,automatic,sedan,12500
MERCEDES BENZ S 500,1999,WDBGA51G5XA416374,fair,8 cylinders,rwd,gas,black,176000,full-size,clean,automatic,sedan,2500
bmw x5 3.0i awd,2009,None,excellent,6 cylinders,4wd,gas,grey,119000,full-size,clean,automatic,SUV,9995
jaguar x-type,2002,None,fair,6 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,sedan,2500
BMW 550I,2011,None,excellent,8 cylinders,rwd,gas,grey,70000,full-size,clean,automatic,sedan,18995
SMART FORTWO,2015,WMEEJ3BAXFK806596,excellent,3 cylinders,rwd,gas,white,70,full-size,clean,automatic,coupe,7495
land rover range rover sport,2009,None,excellent,8 cylinders,4wd,gas,black,97000,full-size,clean,automatic,SUV,15995
mercedes-benz s550,2007,None,excellent,8 cylinders,rwd,gas,black,61000,full-size,clean,automatic,sedan,18995
mercedes-benz s550,2008,None,excellent,8 cylinders,rwd,gas,white,130000,full-size,clean,automatic,sedan,15995
DODGE CHALLENGER,2012,None,excellent,6 cylinders,fwd,gas,red,95000,full-size,clean,automatic,coupe,13995
bmw 535i,2011,WBAFR7C56BC602643,excellent,6 cylinders,rwd,gas,grey,119000,full-size,clean,automatic,sedan,14495
audi q5 premium plus,2010,None,excellent,6 cylinders,4wd,gas,white,107000,full-size,clean,automatic,SUV,13495
bmw 7-series 750li,2011,None,excellent,8 cylinders,rwd,gas,black,72000,full-size,clean,automatic,sedan,18995
audi q7 3.6 premium quattro,2007,None,excellent,6 cylinders,4wd,gas,grey,150000,full-size,clean,automatic,SUV,7995
LEXUS GS 300,2006,JTHBH96S765031755,excellent,6 cylinders,rwd,gas,silver,149000,full-size,clean,automatic,sedan,8495
lexus rx 350 fwd,2007,2T2GK31UX7C015435,excellent,6 cylinders,fwd,gas,custom,132000,full-size,clean,automatic,SUV,8995
Chevy Apache,1958,None,fair,8 cylinders,None,gas,white,None,None,clean,manual,pickup,4900
Jeep Liberty,2003,1J4GK38K43W684689,good,6 cylinders,fwd,gas,silver,150500,mid-size,clean,automatic,SUV,3200
Kia Optima,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,7400
