make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Ford F-250 XLT,1995,5.8L,good,8 cylinders,rwd,gas,white,187277,full-size,clean,automatic,pickup,1295
chevrolet suburban,1958,None,good,None,None,gas,None,None,full-size,clean,manual,wagon,5250
gmc pickup,1956,None,good,6 cylinders,None,gas,None,None,None,salvage,manual,truck,4950
gmc 1500 sierra,1994,None,good,6 cylinders,None,gas,green,126000,None,clean,manual,None,3250
chevrolet tahoe z71,2011,None,None,None,None,gas,None,106800,None,clean,automatic,None,21500
scion tc,2008,None,excellent,None,None,gas,white,None,None,clean,automatic,None,6000
Ford F250,1992,None,fair,8 cylinders,rwd,diesel,red,80600,None,clean,automatic,pickup,3500
lincoln aviator,2005,5lmeu68h85zj17084,good,None,None,gas,None,174000,None,rebuilt,automatic,None,3500
bmw x5 3.0si awd,2008,5UXFE43538L019905,excellent,6 cylinders,4wd,gas,black,150000,None,clean,automatic,SUV,9500
Mustang GT,1996,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,3100
Ford taurus,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,2100
Chevrolet Corvette,1987,None,good,8 cylinders,rwd,gas,red,100000,None,clean,manual,coupe,5000
Mustang GT,1996,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,3100
dodge dakota,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4600
volkswagen beetle,1969,None,good,None,None,gas,None,None,None,clean,manual,None,1600
volkswagen beetle,1961,None,fair,None,rwd,gas,None,None,None,missing,manual,None,1200
buick park avenue,2004,None,fair,6 cylinders,rwd,gas,white,150000,full-size,clean,automatic,sedan,3500
mazda 6,2004,None,good,4 cylinders,None,gas,silver,140000,None,clean,automatic,None,3500
chevy impala lt,2009,None,excellent,6 cylinders,None,gas,None,153000,None,clean,automatic,None,4995
Nissan Rogue,2009,None,excellent,4 cylinders,None,gas,black,104000,None,clean,automatic,SUV,5600
Chevrolet El Camino,1981,None,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,other,5500
toyota corola,2003,None,good,4 cylinders,None,gas,None,120000,None,clean,automatic,None,2799
Pontiac G6,2006,None,good,4 cylinders,None,gas,red,133493,None,clean,automatic,sedan,2650
cadillac escalade,2004,None,excellent,8 cylinders,None,gas,red,238000,None,clean,automatic,None,6000
Humer h2,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,36500
mazda tribute,2004,None,excellent,6 cylinders,rwd,gas,red,200000,full-size,clean,manual,SUV,2500
Honda Civic,1998,None,good,4 cylinders,fwd,gas,red,None,compact,clean,automatic,sedan,1850
Chevrolet Tahoe,2009,None,None,None,None,gas,None,114000,None,clean,automatic,None,19995
Ford F-150 King Rancg,2017,1FTEW1EGXHFB09848,like new,6 cylinders,4wd,gas,white,18500,full-size,clean,automatic,pickup,51000
ford crown victoria police,2008,None,excellent,8 cylinders,rwd,gas,white,150000,full-size,clean,automatic,other,5000
nissan armada,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Ford f250,2008,None,excellent,None,4wd,diesel,white,195000,None,clean,automatic,truck,23000
toyota camry le,2000,None,good,4 cylinders,None,gas,None,134500,None,clean,automatic,None,3200
Ford F250,2014,None,excellent,8 cylinders,4wd,diesel,red,103500,full-size,lien,automatic,pickup,42000
Killeen Honda,2008,None,excellent,4 cylinders,fwd,gas,grey,91904,full-size,clean,automatic,SUV,1
Acura TL 3.2,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
hyundai elantra gt,1995,None,excellent,4 cylinders,fwd,gas,white,125800,None,clean,manual,None,850
toyota corolla,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Nissan Titan XE,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Toyota Tundra Limited 2WD,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
chevy camaro,1984,None,None,None,None,gas,red,660,None,clean,automatic,None,15000
1949 Ford f 100,1949,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
C cab hearse,1913,None,None,None,None,gas,None,None,None,clean,automatic,None,4700
Honda CR-V LX,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
POLARIS SLINGSHOT SL,2015,None,excellent,4 cylinders,rwd,gas,red,8547,compact,lien,manual,convertible,25000
C5 CORVETTE,1999,None,excellent,8 cylinders,rwd,gas,grey,25132,mid-size,clean,automatic,coupe,21500
ford focus,2013,None,excellent,4 cylinders,fwd,gas,red,79000,compact,rebuilt,automatic,None,4500
hyundai accent,2013,None,excellent,4 cylinders,fwd,gas,blue,64000,compact,rebuilt,automatic,hatchback,4600
Nisssn 300zx limited edition,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
Flat Rock,2016,None,like new,None,None,other,white,None,None,clean,other,None,14500
Chevrolet Tahoe Z71,2001,None,fair,8 cylinders,fwd,gas,white,3000000,None,clean,automatic,None,1900
chevy,1982,None,good,None,None,gas,None,None,None,clean,automatic,None,800
chevy silverado,2005,None,excellent,8 cylinders,4wd,gas,white,None,full-size,clean,automatic,truck,1
chevy cavalier,2004,None,None,None,None,gas,grey,None,None,clean,automatic,None,1800
Ford Deluxe,1939,028169,excellent,8 cylinders,rwd,gas,black,None,full-size,clean,manual,sedan,15995
nissan altima,2005,None,good,4 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,sedan,1999
honda accord ex,2011,None,good,4 cylinders,fwd,gas,grey,None,mid-size,clean,automatic,sedan,7600
Honda civic,1998,None,fair,4 cylinders,fwd,gas,black,120000,None,clean,manual,None,2300
jaguar vanden plas,1990,None,good,None,None,gas,custom,170000,None,clean,automatic,None,3500
Volvo VNL,2006,None,excellent,10 cylinders,None,diesel,red,None,full-size,clean,manual,None,19000
nissan altima 2.5 4dr sedan,2003,None,None,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1
dodge,2015,None,None,None,None,other,None,None,None,clean,other,None,2500
chevy,1979,None,good,8 cylinders,rwd,gas,brown,None,full-size,clean,automatic,pickup,2000
bmw 5 series 528i,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,9950
toyota camry,2003,None,fair,4 cylinders,fwd,gas,green,150000,full-size,clean,automatic,None,1500
toyota celica gt,1977,None,None,4 cylinders,rwd,gas,silver,None,None,missing,manual,None,1200
dodge ram,2001,None,None,8 cylinders,4wd,gas,silver,None,None,clean,automatic,None,6600
ford f-150,1981,None,good,None,None,gas,None,None,None,clean,other,None,5500
plymouth,1995,None,None,None,None,gas,None,None,None,clean,automatic,None,1200
dodge ram 3500,1999,None,None,6 cylinders,4wd,diesel,red,380000,full-size,clean,automatic,None,5500
pontiac g6,2008,None,excellent,6 cylinders,fwd,gas,grey,91000,mid-size,clean,automatic,coupe,7500
ford explorer sport trac,2007,None,good,None,None,gas,None,None,None,clean,manual,None,7000
Chevroler ssr,2004,None,excellent,8 cylinders,None,gas,yellow,48000,None,clean,automatic,pickup,19900
ford f-150,1953,None,salvage,12 cylinders,4wd,other,orange,None,sub-compact,missing,other,truck,1000
Dodge durango,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Chevy Silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Kia spectra,2007,Knafe121x75442172,good,4 cylinders,None,gas,None,90000,None,clean,automatic,None,2999
Chevy 3/4 Ton,1985,None,None,None,4wd,gas,blue,120220,None,clean,automatic,None,2800
Ford Escape,2010,None,excellent,None,None,gas,None,115000,None,clean,automatic,None,6995
mazda b4000,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1200
Chevy k2500,1992,None,fair,8 cylinders,4wd,gas,None,None,full-size,clean,manual,pickup,3000
dodge stratus,2004,None,good,4 cylinders,fwd,gas,red,None,mid-size,clean,automatic,None,2800
chevy suburban 1500,2001,None,good,8 cylinders,rwd,gas,blue,109406,full-size,clean,automatic,SUV,7000
Any,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,500
Saturn coupe,1993,None,fair,4 cylinders,fwd,gas,black,253906,compact,clean,manual,coupe,200
DODGE RAM 2500,2005,None,good,6 cylinders,4wd,diesel,white,248819,full-size,clean,automatic,pickup,19500
Chevy Blazer,1990,None,None,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,None,6000
chevy blazer,1990,None,None,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,None,6000
Ford F350,2006,None,excellent,8 cylinders,rwd,diesel,grey,129852,full-size,clean,automatic,truck,15450
Dodge durango,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Mercedes Benz E500,2003,Wdbuf70j03a073447,like new,8 cylinders,rwd,gas,black,120,full-size,clean,automatic,sedan,5500
Lexus LS 460,2011,Jthgl5ef8b5042016,like new,8 cylinders,rwd,gas,black,128400,full-size,clean,automatic,sedan,16990
Acura MDX,2005,2hyd18985h532688,excellent,6 cylinders,4wd,gas,silver,138,full-size,clean,automatic,SUV,8888
