make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet 1500 silverado,1989,None,good,8 cylinders,None,gas,black,None,None,clean,automatic,None,1600
chevrolet 1500 silverado,1989,None,good,8 cylinders,None,gas,black,None,None,clean,automatic,None,1600
chevrolet 1500 silverado,1989,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,None,1600
chevrolet 1500 silverado,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
Durango,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
chevrolet impala,2006,None,good,6 cylinders,4wd,gas,grey,None,mid-size,clean,automatic,other,1450
JEEP GRAND CHEROKEE,2005,None,like new,6 cylinders,fwd,gas,brown,None,mid-size,clean,automatic,SUV,5000
FORD 250,2008,None,None,None,None,gas,None,150000,None,clean,automatic,None,16900
porsche cayman s,2006,None,like new,6 cylinders,None,gas,grey,91000,None,clean,manual,None,19900
Chevrolet cavalier,2003,None,fair,4 cylinders,fwd,gas,grey,136000,compact,salvage,automatic,None,980
ford mustang gt,2002,None,good,8 cylinders,rwd,gas,white,156500,compact,salvage,automatic,coupe,2500
ford crown victoria police,2011,None,excellent,8 cylinders,rwd,gas,white,52000,full-size,salvage,automatic,None,4000
mazda 3,2015,None,excellent,4 cylinders,rwd,gas,red,25000,compact,rebuilt,automatic,sedan,7200
honda odyssey,1999,None,excellent,6 cylinders,fwd,gas,silver,115000,full-size,clean,automatic,mini-van,2900
ford f350 diesels powerstroke,2006,None,excellent,8 cylinders,4wd,diesel,black,None,full-size,clean,automatic,truck,8700
dodge sprinter 2500,2005,WD0PD744655827544,good,6 cylinders,rwd,gas,white,431000,full-size,clean,automatic,van,9900
hundai,2008,None,new,6 cylinders,rwd,gas,brown,29000,full-size,clean,automatic,mini-van,9000
Chevrolet Silverado 1500,2000,None,like new,None,None,gas,None,None,None,clean,automatic,None,2020
nissan armada le,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Ford F150,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,10500
mercedes benz 380sl,1984,None,like new,8 cylinders,rwd,gas,custom,121000,compact,clean,automatic,convertible,10995
Cadillac Xlr,2007,None,like new,8 cylinders,rwd,gas,red,57500,None,clean,automatic,convertible,24800
ford taurus,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,650
chevrolet tahoe,2014,None,excellent,8 cylinders,None,gas,white,30123,mid-size,clean,automatic,None,1500
