make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
chevrolet corvette,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
nissan versa,2017,None,None,None,None,gas,None,None,None,clean,automatic,None,12500
ford fusion,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,800
nissan frontier,1999,None,good,4 cylinders,rwd,gas,black,74000,compact,clean,manual,None,4500
Acura,2009,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,8300
Toyota Tacoma,2013,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,17500
nissan maxima,2006,None,None,None,None,gas,None,153000,None,clean,automatic,None,4000
chevrolet k5 blazer,1986,None,good,8 cylinders,4wd,diesel,green,51200,full-size,clean,automatic,None,4500
Buick Rendezvous CX,2004,None,good,6 cylinders,fwd,gas,brown,66500,None,clean,automatic,SUV,6500
Ford King Ranch 4WD,2009,None,good,8 cylinders,4wd,diesel,None,185000,None,clean,automatic,truck,17900
toyota corolla,2006,None,excellent,4 cylinders,fwd,gas,silver,None,compact,clean,automatic,sedan,3800
acura mdx,2008,None,excellent,None,None,gas,None,None,full-size,clean,automatic,SUV,2000
dodge ram pickup 2500,2002,None,good,None,rwd,diesel,white,None,None,missing,automatic,None,6400
Pontiac sunfire,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
chevy,1937,None,like new,6 cylinders,None,gas,None,None,None,clean,manual,None,33000
Buick,1964,None,None,None,None,gas,None,None,None,clean,automatic,None,1
CHEVY TRUCK,1929,None,excellent,8 cylinders,rwd,gas,custom,8000,mid-size,clean,automatic,truck,23500
mercury cougar,2002,None,good,6 cylinders,fwd,gas,black,74000,mid-size,clean,automatic,coupe,4950
ford expedition,2002,None,good,8 cylinders,4wd,gas,silver,110000,full-size,clean,automatic,SUV,3950
nissan sentra,2008,None,good,4 cylinders,fwd,gas,blue,110000,mid-size,clean,automatic,sedan,4950
ChevroletSurburban,2015,None,like new,8 cylinders,4wd,gas,black,39900,full-size,clean,automatic,SUV,49950
Mercedes S600 4 dr,1997,None,excellent,12 cylinders,rwd,gas,black,158000,full-size,clean,automatic,sedan,7950
mercedes-benz s550AMG,2007,None,excellent,8 cylinders,rwd,gas,black,84000,full-size,clean,automatic,sedan,22950
ChevroletSurburban,2015,None,like new,8 cylinders,4wd,gas,black,39900,full-size,clean,automatic,SUV,49950
dodge ram 1500,2004,None,None,None,None,gas,None,147000,None,clean,automatic,None,6500
dodge durango,2008,None,excellent,None,None,gas,blue,153000,None,clean,automatic,SUV,5500
subaru legacy,2005,None,None,None,None,gas,None,117000,None,clean,automatic,None,3100
Chevy Malibu LTZ,2013,None,excellent,4 cylinders,fwd,gas,silver,82000,full-size,clean,automatic,sedan,9500
Toyota Avalon Limited,2007,None,good,6 cylinders,None,gas,None,113000,None,clean,automatic,sedan,5100
Chevy Trailblazer,2008,None,good,None,None,gas,None,None,None,clean,automatic,None,3600
chevrolet 1500 tahoe LS,1995,None,fair,8 cylinders,rwd,gas,green,160203,full-size,clean,automatic,SUV,2500
Hyundai Sonata,2009,5npet46c89h535387,good,4 cylinders,None,gas,silver,90000,None,rebuilt,automatic,sedan,4900
gmc acadia,2007,1gker13717j132767,good,6 cylinders,None,gas,white,120000,None,rebuilt,automatic,SUV,7900
Classic industries,1980,None,None,None,None,gas,None,None,None,clean,manual,None,6500
Ford,1961,None,None,None,None,gas,None,None,None,clean,manual,None,2500
Chevy Silverado 3500,2015,None,None,None,None,gas,white,35000,None,clean,automatic,truck,39000
Dodge brother sedan,1924,None,None,None,None,gas,None,None,None,clean,manual,None,6500
chevy 2500,2000,None,excellent,None,4wd,gas,black,None,full-size,clean,automatic,truck,1000
dodge dakota sport,2001,None,good,6 cylinders,None,gas,silver,251345,None,clean,automatic,None,2500
chevrolet 1500 silverado,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
Chevrolet El Camino,1969,None,good,8 cylinders,rwd,gas,red,None,None,clean,automatic,truck,16500
Ford Ranger,1987,None,None,4 cylinders,None,gas,None,135000,None,clean,manual,None,1000
