make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
FORD,1984,YES,good,8 cylinders,rwd,gas,red,84564,mid-size,clean,automatic,pickup,3500
Ram 1500 Lonestar,2014,1C6RR6LG3ES102839,excellent,6 cylinders,rwd,gas,white,94050,None,clean,automatic,pickup,18900
Dodge Ram 1500,2013,None,excellent,8 cylinders,rwd,gas,silver,89000,None,clean,automatic,truck,17500
Ford Escape,2008,None,None,None,None,gas,None,150,None,clean,automatic,None,4500
mitsubishi eclipse spyder,1998,None,excellent,4 cylinders,fwd,gas,black,120000,compact,clean,automatic,convertible,4200
toyota sr5,1991,None,excellent,None,None,gas,None,None,None,clean,manual,None,2800
Ford f100,1968,None,None,None,None,gas,None,None,None,clean,manual,None,3200
chevy suburban,1988,None,good,None,None,gas,None,None,None,clean,automatic,None,3750
toyota tacoma,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
dodge ram 3500 MegaCab 4x4,2008,None,excellent,6 cylinders,4wd,diesel,silver,203000,None,clean,automatic,truck,22500
Toyota Land Cruiser,1984,None,None,None,None,gas,None,None,None,clean,automatic,None,10000
Ford Bronco,1993,None,good,8 cylinders,4wd,gas,green,160000,None,clean,automatic,None,4500
dodge ram 3500,1999,None,None,6 cylinders,4wd,diesel,red,380000,full-size,clean,automatic,None,5500
dodge ram 2500,1996,None,good,6 cylinders,rwd,diesel,green,330000,None,clean,automatic,None,4500
Nissan Frontier,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3713
jeep cherokee,2000,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,SUV,1000
jeep,2000,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,SUV,1000
Ford F-150,2012,None,None,None,None,gas,None,None,None,clean,other,None,100
Ford F-150,2012,None,good,None,None,gas,None,None,None,clean,other,None,325
Ford F-150,2012,None,good,None,None,gas,None,None,None,clean,other,pickup,95
chevrolet silverado,1998,None,excellent,8 cylinders,4wd,gas,black,None,full-size,clean,automatic,truck,1000
Ford Model T,1915,None,None,None,None,gas,None,None,None,clean,manual,None,9000
nissan titan,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,8500
crown vic police interceptor,1990,None,None,None,None,gas,None,None,None,clean,automatic,None,3499
toyota Tacoma,2003,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,1200
porsche 924s,1987,None,None,None,None,gas,blue,None,compact,rebuilt,manual,coupe,2700
chevrolet silverado,2003,None,like new,8 cylinders,None,gas,None,None,None,clean,automatic,truck,1800
Chevrolet silverado,2003,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,truck,1800
cj-5 jeep,1975,None,good,8 cylinders,4wd,gas,green,125000,None,clean,manual,offroad,5000
Ford F100,1976,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,pickup,3750
