make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Nissan Altima,2014,None,excellent,4 cylinders,None,gas,white,44683,mid-size,rebuilt,automatic,sedan,8888
Nissan Versa SL,2008,None,None,4 cylinders,None,gas,None,71742,None,clean,automatic,None,4575
pontiac gran prix,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,650
toyota tundra 4wd truck sr5,2009,None,None,None,None,gas,None,None,None,parts only,automatic,None,250
Rolls Royce Silver Cloud I,1956,None,None,6 cylinders,None,gas,None,60000,None,clean,automatic,None,9500
Dodge Magnum,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
ford thunderbird,1962,None,None,8 cylinders,None,gas,None,None,None,clean,automatic,None,2500
Chevy Tahoe,1996,None,good,8 cylinders,4wd,gas,blue,251880,None,clean,automatic,None,3000
infiniti g37,2009,None,excellent,None,None,gas,None,None,None,clean,automatic,None,6900
infiniti fx45,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
infiniti fx45,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
cadillac cts 3.6l v6,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
lexus is 250,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5500
BMW X6,2013,None,excellent,None,None,gas,None,None,None,clean,automatic,None,29900
BMW X6,2013,None,excellent,None,None,gas,None,None,None,clean,automatic,None,29900
BMW X6,2013,None,excellent,None,None,gas,None,None,None,clean,automatic,None,29900
chevy cruze,2013,None,excellent,4 cylinders,None,gas,white,81000,None,clean,automatic,sedan,6700
Dodge Dart SXT,2015,None,excellent,4 cylinders,None,gas,white,41000,compact,clean,automatic,sedan,9000
mazda 3,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
Chevy,1999,Xxxxxxxxxxxxxxx,excellent,8 cylinders,rwd,gas,grey,None,full-size,clean,automatic,SUV,3600
chevrolet 4500,2008,None,good,6 cylinders,rwd,diesel,white,250000,full-size,clean,automatic,van,15000
mitsubishi galant,2010,None,good,4 cylinders,fwd,gas,grey,103000,mid-size,clean,automatic,other,4500
Toyota Camry,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1
Ford Fiesta,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,4490
honda accord 4-door sedan,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,6197
chevrolet cruze,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,6499
dodge nitro,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,6197
hyundai santa fe gls,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,4490
tiguan volkswagen,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,7590
Ford fusion,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,6600
mini cooper,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5597
volkswagen routan sel,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5799
cadillac cts sedan,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,7198
chevrolet suburban,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5298
ford fusion se,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,4198
Chevrolet El Camino,1983,None,fair,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,None,1200
nissan versa 1.8 s,2009,None,excellent,4 cylinders,fwd,gas,blue,50750,full-size,clean,automatic,sedan,4250
nissan 350z,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1
nissan 350z,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4800
