make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Nissan Altima SE,2003,None,good,6 cylinders,fwd,gas,black,16,mid-size,clean,automatic,sedan,1999
Honda CR-V,2008,None,None,None,None,gas,None,92200,None,clean,automatic,None,1590
Nissan Rogue S,2009,None,excellent,4 cylinders,None,gas,black,104000,None,clean,automatic,SUV,5600
2006 Dodge Ram,2006,None,None,None,None,diesel,None,None,None,clean,automatic,None,12000
nissan altima v6 3.5l 260 hp,2005,None,good,6 cylinders,fwd,gas,grey,75000,full-size,clean,automatic,sedan,1032
Pontiac G6,2006,None,good,4 cylinders,None,gas,red,133493,None,clean,automatic,sedan,2650
ford f150 4x4,2012,None,excellent,8 cylinders,4wd,gas,None,82000,full-size,clean,automatic,pickup,15100
toyota yaris,2017,None,like new,4 cylinders,fwd,gas,black,10900,compact,clean,automatic,hatchback,7800
toyota yaris,2017,None,like new,4 cylinders,fwd,gas,black,10900,compact,clean,automatic,hatchback,7800
jeep wrangler sahara,1997,None,good,6 cylinders,4wd,gas,green,150000,mid-size,clean,manual,None,12500
lexus ls400,1991,None,good,8 cylinders,rwd,gas,silver,67000,full-size,clean,automatic,sedan,2700
ford f-150,2002,None,excellent,8 cylinders,None,gas,white,106000,full-size,clean,automatic,truck,6500
fiat 124 spider,1976,None,excellent,4 cylinders,rwd,gas,white,54000,compact,clean,manual,convertible,9000
Infiniti M35,2009,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,2100
Mercedes Benz,1992,None,like new,None,None,gas,None,93082,None,clean,automatic,None,800
Lexus IS250,2007,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2500
chrysler pacifica,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4150
nissan pathfinder,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3750
toyota camry,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1995
jeep liberty,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3750
nissan altima,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
Mini cooper turbo S,2009,None,good,4 cylinders,fwd,gas,custom,93400,compact,clean,automatic,None,6000
lexus is 250,2006,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,9750
ford taurus se,2000,None,excellent,None,None,gas,None,141,None,clean,automatic,None,2000
volkswagen jetta,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3995
infiniti g35 sedan,2005,None,good,6 cylinders,None,gas,silver,168000,mid-size,clean,automatic,sedan,6000
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1505
dodge ram 1500 st,2007,None,like new,6 cylinders,rwd,gas,white,127000,full-size,clean,automatic,None,8000
chevrolet equinox,2006,None,like new,6 cylinders,rwd,gas,silver,104000,mid-size,clean,automatic,None,5300
chevrolet traverse,2009,1GNER23DX9S142743,good,6 cylinders,fwd,gas,brown,1561298,full-size,clean,automatic,SUV,6999
San Marcos,2007,None,excellent,8 cylinders,4wd,gas,red,69227,full-size,clean,automatic,truck,10
toyota,2006,None,good,4 cylinders,None,gas,None,None,None,clean,automatic,None,3350
mazda cx-7,2008,JM3ER293080169829,good,6 cylinders,fwd,gas,silver,188969,full-size,clean,automatic,SUV,5890
Ford Excursion,2004,None,None,8 cylinders,4wd,diesel,silver,204600,full-size,clean,automatic,SUV,4000
Volvo XC90,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1516
toyota tundra limited,2007,None,excellent,8 cylinders,4wd,gas,black,None,None,clean,automatic,None,23500
Mitsubishi Eclipse,2007,None,None,None,None,gas,None,None,full-size,clean,automatic,None,1000
chevrolet 1500 silverado,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
Toyota FJ Cruiser,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1539
toyota tacoma,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,14500
mercury grand marquis,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,2250
Sears Vespa,1968,None,None,None,None,gas,None,None,None,clean,manual,None,1500
ford e350 van,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
Silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1573
honda accord,1997,None,None,None,None,gas,None,66102,None,clean,automatic,None,2700
Chevy Silverado,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
ford expedition,2004,None,excellent,None,None,gas,None,None,None,clean,automatic,None,2000
FORD FOCUS SE,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
dodge durango,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
kia amanti,2006,None,good,6 cylinders,fwd,gas,black,144000,mid-size,clean,automatic,sedan,1495
dodge ram 3500,1999,None,None,6 cylinders,4wd,diesel,red,380000,full-size,clean,automatic,None,5500
Acura Legend,1993,None,excellent,6 cylinders,fwd,gas,black,193000,compact,clean,automatic,sedan,3100
Chevrolet suburban 2500,1999,None,good,8 cylinders,4wd,gas,grey,196000,full-size,clean,automatic,SUV,7200
Chevrolet Corvette,2006,1G1YY26U065132682,like new,8 cylinders,rwd,gas,silver,30576,None,clean,automatic,coupe,23000
Chevy Impala,2004,None,excellent,6 cylinders,rwd,gas,white,68000,full-size,clean,automatic,sedan,3250
Honda Pilot,2003,None,excellent,6 cylinders,4wd,gas,green,190000,full-size,clean,automatic,SUV,3250
Chevy Impala,2004,None,excellent,6 cylinders,rwd,gas,white,68000,full-size,clean,automatic,sedan,2950
Jeep wrangler,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,5700
Bmw e90 m3,2008,None,good,8 cylinders,rwd,gas,silver,82644,full-size,clean,manual,sedan,22000
mercedes benz ml320,2001,None,good,None,None,gas,white,None,mid-size,clean,automatic,SUV,800
2007 Chevrolet Tahoe,2007,None,good,8 cylinders,rwd,gas,brown,127000,full-size,clean,automatic,SUV,8995
dodge durango,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
mazda 6s,2004,None,excellent,6 cylinders,fwd,gas,grey,162000,full-size,clean,automatic,wagon,2595
Ford F-150,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,1522
Chrysler Sebring Touring,2008,None,None,None,None,gas,None,157674,None,clean,automatic,None,3995
Ford f250,2000,None,excellent,8 cylinders,None,diesel,None,None,None,clean,automatic,pickup,1900
Chryler Sebring,2007,None,None,None,None,gas,None,124343,None,clean,automatic,None,3995
ford focus,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
maxima,2004,None,like new,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
chevrolet impala,2014,None,like new,6 cylinders,fwd,gas,black,86000,full-size,rebuilt,automatic,sedan,9900
honda accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
chevy suburban,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
Chevrolet Corvette,1992,None,good,None,None,gas,None,None,None,missing,automatic,coupe,2999
Toyota,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Chevrolet Uplander Lt,2005,None,None,None,None,gas,None,139271,None,clean,automatic,None,2995
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1517
toyota sienna xle,1998,None,good,6 cylinders,fwd,gas,red,147000,full-size,clean,automatic,van,2395
nissan murano,2004,None,excellent,6 cylinders,fwd,gas,white,85000,full-size,clean,automatic,SUV,1028
Chevy Cheyenne,1994,None,fair,None,None,gas,None,None,None,clean,automatic,None,1000
Chevrolet Equinox Lt,2005,None,None,None,None,gas,None,186751,None,clean,automatic,None,3995
volkswagen beetle,1969,None,None,None,None,gas,None,None,None,clean,manual,None,1000
jeep grand cherokee laredo,2000,None,fair,6 cylinders,rwd,gas,None,129230,None,clean,automatic,None,3600
Honda Pilot,2007,None,excellent,6 cylinders,4wd,gas,white,160550,full-size,clean,automatic,SUV,1
Chevrolet Silverado,2005,None,None,None,None,gas,None,186646,None,clean,automatic,None,9995
Cadillac DTS Luxury,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,5995
chevrolet silverado,2007,None,None,None,None,gas,None,134251,None,clean,automatic,None,8995
nissan murano,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,9995
gmc?c10,1965,None,None,None,None,gas,None,None,None,clean,manual,None,7000
BMW X5 3.0si Excellent,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2545
Chevy Blazer,1996,None,excellent,6 cylinders,rwd,gas,green,None,mid-size,clean,automatic,SUV,1875
HONDA CR-V,2008,None,None,None,None,gas,None,69600,None,clean,automatic,None,1430
Lexus IS 250!,2007,None,excellent,6 cylinders,None,gas,red,None,full-size,clean,automatic,sedan,200
hyundai tucson,2010,KM8JU3AC8AU049780,excellent,4 cylinders,rwd,gas,black,108745,None,clean,automatic,SUV,7800
Cadillac STS V8,2007,None,None,None,None,gas,None,133292,None,clean,automatic,None,5995
BMW 7 Series 750Li,2006,None,None,None,None,gas,None,144778,None,clean,automatic,None,7995
Audi A4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,4995
Audi A8 L,2005,None,None,None,None,gas,None,178928,None,clean,automatic,None,4995
hyundai santa fe,2005,None,good,6 cylinders,fwd,gas,blue,196600,mid-size,clean,automatic,SUV,2500
HONDA CR-V,2008,None,None,None,None,gas,None,68300,None,clean,automatic,None,1420
Chevrolet,1947,None,None,None,None,gas,None,None,None,clean,manual,None,7000
International Pro Star,2009,None,excellent,None,None,diesel,blue,None,None,clean,automatic,None,17500
kia rio lx,2009,None,None,None,None,gas,None,130000,None,clean,automatic,None,2500
dodge caravan,2012,None,None,None,None,gas,None,95695,None,clean,automatic,None,16500
honda cr-v,2008,None,None,None,None,gas,None,87200,None,clean,automatic,None,1550
lincoln town car,2006,1lnhm82v56y643478,good,8 cylinders,rwd,gas,white,126000,full-size,clean,automatic,None,6500
dodge ram 1500,2008,1d7ha16k68j20745,good,6 cylinders,rwd,gas,black,166,full-size,clean,manual,None,4800
honda odyssey,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
honda civic ex,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2400
Chevrolet Cobalt,2007,None,excellent,4 cylinders,fwd,gas,black,165500,compact,clean,automatic,coupe,2900
grand am,2001,None,None,6 cylinders,None,gas,None,150000,None,clean,automatic,None,600
Chevrolet Silverado,2003,None,good,8 cylinders,None,gas,None,None,None,clean,automatic,truck,1800
chevrolet silverado,2003,None,None,None,None,gas,None,None,None,clean,automatic,truck,1800
bmw 330i,2003,wbaev53403km26666,excellent,6 cylinders,rwd,gas,black,97270,mid-size,clean,automatic,sedan,6900
Toyota RAV4,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1572
toyota,2007,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,1800
toyota CAMRY SE,2007,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,sedan,1800
Chevy Silverado,2008,1234567,excellent,6 cylinders,rwd,gas,white,145199,full-size,clean,automatic,truck,5800
dodge grand caravan,2012,None,good,None,None,gas,grey,158000,None,clean,automatic,mini-van,6000
ford ranger xlt,1990,None,good,6 cylinders,4wd,gas,red,170000,None,clean,automatic,truck,2500
Land Rover,1988,None,fair,8 cylinders,None,gas,grey,None,mid-size,rebuilt,automatic,other,3600
Ford F-150 Platinum,2011,1FTFW1ET0BFC49741,excellent,6 cylinders,4wd,gas,grey,121891,None,clean,automatic,truck,21500
cadillac srx,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,9995
