make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
hyundai genesis,2009,None,fair,6 cylinders,rwd,gas,black,None,full-size,clean,automatic,sedan,3000
Cherokee,1991,None,excellent,None,None,gas,None,None,None,clean,automatic,None,1000
nissan sentra,2014,None,good,4 cylinders,None,gas,black,88000,None,clean,automatic,sedan,9900
chrysler 200,2015,1C3CCCAB7FN547773,excellent,4 cylinders,None,gas,black,89765,None,clean,automatic,sedan,10990
ford fusion,2014,3FA6P0H70ER390604,excellent,4 cylinders,None,gas,orange,46698,None,clean,automatic,sedan,12900
Toyota Tundra SR5,2012,None,excellent,8 cylinders,4wd,gas,white,95798,None,clean,automatic,None,18500
chevrolet silverado 2500hd diese,2003,None,good,8 cylinders,4wd,diesel,blue,190000,full-size,clean,automatic,truck,12750
Dodge,2013,3C6JR6ATODG506166,excellent,8 cylinders,rwd,gas,black,29800,None,lien,automatic,pickup,16500
nissan versa 1.6 sv,2017,3N1CN7AP3HL879434,excellent,4 cylinders,None,gas,blue,8205,None,clean,automatic,sedan,10900
toyota camry,2008,4T1BE46K38U25912,excellent,4 cylinders,None,gas,None,140724,full-size,clean,automatic,sedan,6500
gmc yukon,2007,1GKFC160X7J225162,excellent,8 cylinders,None,gas,None,169750,None,clean,automatic,SUV,10500
Volvo,2003,None,good,None,None,diesel,blue,1119000,None,clean,manual,other,9000
GMC,2014,None,None,None,None,gas,None,55000,None,clean,automatic,None,32900
mercedes-benz e-class e350 4mati,2008,None,like new,6 cylinders,4wd,gas,green,75000,full-size,clean,automatic,None,9000
1993 gmc,1993,Na,excellent,6 cylinders,rwd,gas,black,None,full-size,missing,automatic,None,4500
1999  BMW  740I,1999,WBAGG8337XDN73332,good,8 cylinders,fwd,gas,silver,121035,mid-size,clean,automatic,sedan,1500
mercedes-benz,2000,WDBNG70J2YA078030,good,8 cylinders,None,gas,white,158297,None,clean,automatic,sedan,2950
mercedes-benz,2005,WDBNG76J95A454595,excellent,12 cylinders,None,gas,black,121000,None,clean,automatic,sedan,10900
Lexus LX450,1996,JT6HJ88J9T0149353,excellent,6 cylinders,4wd,gas,silver,207575,full-size,clean,automatic,SUV,16950
Toyota Tundra SR5,2013,None,excellent,8 cylinders,None,gas,black,56540,None,clean,automatic,None,18500
toyota rav4,2013,2T3YFREV3DW068157,excellent,4 cylinders,fwd,gas,custom,58531,mid-size,clean,automatic,SUV,16999
Buick regal,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,15500
Buick LaSabre,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Ford Freestyle,2007,None,excellent,6 cylinders,fwd,gas,grey,142000,mid-size,clean,automatic,SUV,4800
buick lesabre,2003,None,excellent,6 cylinders,fwd,gas,blue,174024,full-size,clean,automatic,sedan,1100
todos califican,1995,None,None,None,None,gas,None,None,None,salvage,automatic,None,100
buick rendezvous,2005,None,excellent,6 cylinders,None,gas,grey,163000,None,clean,automatic,None,3850
Ford F-350,2004,None,None,None,None,diesel,None,None,None,clean,automatic,None,13000
Chevrolet Corvette,1992,None,good,None,None,gas,None,None,None,missing,automatic,coupe,2999
dodge durango,2000,None,good,8 cylinders,4wd,gas,black,163856,full-size,clean,automatic,SUV,2400
isuzu rodeo,1993,None,good,6 cylinders,None,gas,None,None,None,clean,manual,None,600
Volkswagen Jetta TDI,2002,None,good,4 cylinders,fwd,diesel,grey,250000,mid-size,clean,automatic,sedan,3200
chevrolet silverado,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
mazda 6,2006,None,excellent,4 cylinders,fwd,gas,green,165000,mid-size,clean,automatic,SUV,4800
Dodge ram 2500,2004,None,good,6 cylinders,rwd,diesel,white,278000,full-size,clean,automatic,pickup,5500
ford explorer,2008,None,excellent,6 cylinders,rwd,gas,black,178000,mid-size,clean,automatic,SUV,5500
Mercury Mountaineer,2005,None,excellent,6 cylinders,4wd,gas,grey,220000,mid-size,clean,automatic,SUV,4500
Chevy Tahoe,1999,None,good,8 cylinders,rwd,gas,white,220000,full-size,clean,automatic,SUV,2300
Dodge Ram 3500,1997,None,good,10 cylinders,rwd,gas,white,120000,full-size,clean,manual,pickup,4300
gmc sierra,2005,None,excellent,8 cylinders,4wd,gas,grey,220000,full-size,clean,automatic,pickup,6000
Ford Freestyle,2007,None,excellent,6 cylinders,fwd,gas,grey,140000,mid-size,clean,automatic,SUV,4500
ford expedition,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
honda civic ex,2006,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1500
Chevy 1500 Silverado,2003,None,None,8 cylinders,4wd,gas,None,None,None,clean,automatic,None,12000
bmw 528i,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Ford F-350 welding truck,2005,None,excellent,None,None,diesel,white,124000,None,clean,automatic,truck,12500
ford f-150,2012,None,excellent,8 cylinders,rwd,gas,red,194000,full-size,clean,automatic,None,10700
nissan murano,2010,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,None,2300
Chevy Cruze,2014,None,excellent,4 cylinders,fwd,gas,red,069702,compact,rebuilt,automatic,sedan,5900
KIA SOUL,2011,None,good,4 cylinders,fwd,gas,silver,098910,compact,rebuilt,automatic,SUV,4300
HONDA ACCORD,2011,None,excellent,4 cylinders,fwd,gas,grey,083601,mid-size,rebuilt,automatic,sedan,6500
mazda tribute,2003,None,good,6 cylinders,fwd,gas,red,120000,mid-size,clean,automatic,SUV,2700
dodge charger,2006,None,good,6 cylinders,None,gas,blue,16000,None,clean,automatic,None,4000
lincoln continental town car,2004,None,excellent,None,None,gas,None,136000,None,clean,automatic,None,4800
chevy c10,1985,None,None,8 cylinders,rwd,gas,None,None,None,clean,automatic,None,2500
Jeep Grand Cherokee,2001,None,None,None,None,gas,None,208000,None,clean,automatic,hatchback,2500
gmc sierra,2014,None,None,None,None,gas,None,None,None,lien,automatic,None,25000
Ford f150,1996,None,excellent,8 cylinders,rwd,gas,None,80000,full-size,clean,automatic,pickup,8000
Ford f150,1996,None,excellent,8 cylinders,rwd,gas,None,80000,full-size,clean,automatic,pickup,8000
ford f-150,2004,1FTPW14544KD30663,excellent,8 cylinders,None,gas,black,None,None,clean,automatic,truck,7900
nissan maxima gle,2000,None,like new,6 cylinders,None,gas,None,None,None,clean,automatic,None,1250
Ford F550,2002,None,good,8 cylinders,rwd,diesel,None,None,None,clean,manual,None,9500
Ford F550,2011,None,None,None,4wd,diesel,None,110800,None,clean,automatic,None,30000
ford escape XLT,2014,None,excellent,4 cylinders,fwd,gas,white,156520,mid-size,clean,automatic,SUV,7950
ford mustang 5.0,2012,None,None,None,None,gas,None,76500,None,lien,manual,None,18500
