make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
FORD,2014,None,excellent,8 cylinders,4wd,diesel,None,137000,full-size,clean,automatic,truck,24650
FORD,2014,None,excellent,8 cylinders,4wd,diesel,None,137000,full-size,clean,automatic,truck,24650
chevrolet cavalier,1999,1G1JC1248X7144424,good,4 cylinders,fwd,gas,silver,None,compact,clean,manual,coupe,2000
Ford f350,1967,None,None,None,None,gas,None,None,None,clean,manual,None,10000
Chevy Silverado 1500,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
scion tc,2008,None,excellent,None,None,gas,white,None,None,clean,automatic,None,6000
mercedes-benz,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Ford Mustang Cobra,1996,None,excellent,8 cylinders,rwd,gas,black,151000,None,clean,manual,coupe,7800
mercedes-benz clk-clas 320,2004,None,excellent,6 cylinders,None,gas,silver,102800,compact,clean,automatic,convertible,5600
chevy avalanche,2003,None,good,8 cylinders,rwd,gas,yellow,176255,full-size,clean,automatic,truck,5000
honda accord,2013,1hgcr2f33da148581,excellent,4 cylinders,fwd,gas,silver,108400,full-size,clean,automatic,sedan,10000
honda ridgeline rt,2008,None,excellent,6 cylinders,4wd,gas,None,115180,mid-size,clean,automatic,pickup,12500
Audi A8 L quattro,2012,Waurvafd6cn011758,like new,8 cylinders,4wd,gas,blue,84000,None,clean,other,sedan,37000
mercedes-benz e320,2003,Wdbuf65j93a147564,like new,6 cylinders,fwd,gas,custom,87775,full-size,clean,automatic,sedan,6000
BMW M3,2003,None,excellent,6 cylinders,rwd,gas,grey,141000,compact,clean,other,coupe,11900
Honda CR-V EX,2006,JHLRD78816C014496,excellent,4 cylinders,4wd,gas,black,160500,None,clean,automatic,None,5000
Honda Accord EX (V6),1999,None,excellent,6 cylinders,fwd,gas,white,None,sub-compact,clean,automatic,None,2950
gmc 1500 sierra,2003,None,good,None,None,gas,None,160000,None,clean,automatic,None,6000
bmw 635csi,1987,None,good,6 cylinders,rwd,gas,white,255000,None,clean,automatic,coupe,3500
Ford E350,1982,None,good,8 cylinders,rwd,gas,white,168000,full-size,clean,automatic,van,2000
Dodge ram,2005,None,excellent,6 cylinders,rwd,diesel,silver,386000,full-size,clean,automatic,truck,18000
trail blazer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3600
Chevrolet Tahoe,2009,None,excellent,8 cylinders,rwd,gas,white,114000,full-size,clean,automatic,None,19995
chevy 3500,1999,None,good,8 cylinders,rwd,gas,white,185000,full-size,clean,automatic,pickup,2800
Dodge,1989,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
nissan murano sl,2011,None,None,None,fwd,gas,None,None,None,salvage,automatic,None,7200
toyota tacoma prerunner,2008,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,7800
jeep wrangler sport,2003,None,good,4 cylinders,4wd,gas,brown,102000,None,clean,manual,offroad,8500
ford taurus sel,2005,None,good,6 cylinders,fwd,gas,white,None,mid-size,clean,automatic,sedan,2500
Ram 2500,2012,None,excellent,6 cylinders,4wd,diesel,black,71000,None,clean,automatic,None,38000
toyota camry le,2000,None,good,4 cylinders,None,gas,None,134500,None,clean,automatic,None,3200
Acura TL 3.2,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4900
Nissan Titan XE,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Dodge 1500,2007,None,None,None,None,gas,None,160000,None,clean,automatic,None,13000
nissan altima,2000,None,good,4 cylinders,None,gas,None,182000,None,clean,automatic,None,1000
Toyota Tundra Limited 2WD,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,6900
POLARIS SLINGSHOT SL,2015,None,excellent,4 cylinders,rwd,gas,red,None,sub-compact,clean,manual,convertible,25000
Honda CR-V LX,2007,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
C5 CORVETTE,1999,None,excellent,8 cylinders,rwd,gas,grey,25132,mid-size,clean,automatic,coupe,21500
Jeep Wrangler,2005,None,excellent,6 cylinders,4wd,gas,blue,126500,mid-size,clean,manual,offroad,10400
Chevrolet Silverado,2002,None,excellent,8 cylinders,4wd,diesel,None,213000,None,clean,automatic,None,9900
gmc canyon,2007,None,excellent,4 cylinders,None,gas,None,None,None,rebuilt,automatic,None,6500
FLAT ROCK,2016,None,like new,None,None,other,white,None,None,clean,other,None,14500
Acura TL S,2003,None,excellent,None,None,gas,None,None,None,clean,automatic,sedan,500
dodge grand caravan,2007,None,None,6 cylinders,fwd,gas,green,None,mid-size,clean,automatic,mini-van,800
buick,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
jeep lifted wrangler unlimited,2004,None,good,6 cylinders,4wd,gas,grey,96500,None,clean,automatic,None,13500
Ford Transit Connect,2013,None,good,4 cylinders,fwd,gas,white,101000,mid-size,clean,automatic,van,9000
cadillac fleetwood brougham,1994,None,excellent,8 cylinders,rwd,gas,blue,169000,full-size,clean,automatic,sedan,4500
chevrolet 1500 silverado,2005,None,None,None,4wd,gas,None,157400,None,clean,automatic,truck,7800
CRG / TB,2016,None,None,None,None,gas,None,None,None,clean,other,None,4000
chevrolet tahoe,1998,None,fair,8 cylinders,4wd,gas,red,159000,full-size,clean,automatic,SUV,4200
chevrolet corvette,2018,None,None,None,None,other,None,None,None,clean,other,None,2500
Chevrolet C4500,2007,None,excellent,8 cylinders,rwd,diesel,red,89000,full-size,clean,automatic,truck,45000
tacoma,2000,None,None,None,None,gas,None,None,None,clean,automatic,None,1507
Mercedes E 350,2008,None,like new,8 cylinders,fwd,gas,green,76000,full-size,clean,automatic,sedan,9000
jeep patriot,2008,None,excellent,4 cylinders,fwd,gas,orange,119000,mid-size,clean,automatic,SUV,5550
nissan 370z,2013,JN1AZ4EH3DM384079,good,6 cylinders,rwd,gas,black,53697,None,clean,automatic,coupe,20000
chevy 3500,2000,None,fair,None,None,gas,white,None,full-size,clean,automatic,pickup,1500
dodge durango,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
Chevy 3/4 Ton,1985,None,None,None,4wd,gas,blue,120220,None,clean,automatic,None,2800
dodge ram 3500,1999,None,None,6 cylinders,4wd,diesel,red,380000,None,clean,automatic,None,5500
Cadillac Escalade,2002,None,fair,None,None,gas,None,271000,None,clean,automatic,None,4000
dodge ram 2500,2005,None,None,None,None,gas,None,175000,None,clean,automatic,None,5500
Ford,1966,None,None,None,None,gas,None,None,None,clean,manual,None,5000
chevy silverado 1500,2008,2GCEK13J581285370,like new,8 cylinders,4wd,gas,None,125500,None,lien,automatic,pickup,16200
dodge ram 1500,2006,None,None,None,None,gas,None,None,None,salvage,automatic,None,8000
Dodge Ram 2500,2005,None,good,6 cylinders,rwd,diesel,white,194000,full-size,lien,manual,truck,6000
International,1997,None,None,8 cylinders,rwd,diesel,white,None,None,clean,automatic,None,9000
mazda b4000,1997,None,None,None,None,gas,None,None,None,clean,manual,None,1200
gmc yukon xl,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,5999
chevrolet 1500 silverado,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,7800
mercedes-benz e320,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,4999
gmc yukon,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,13500
volkswagen passat,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Dodge,2005,None,good,None,4wd,diesel,white,150000,full-size,clean,manual,pickup,18000
honda civic lx,2012,None,good,4 cylinders,fwd,hybrid,grey,96000,mid-size,clean,automatic,sedan,10500
ford f-150,2012,None,good,8 cylinders,4wd,gas,white,153396,full-size,clean,automatic,None,15500
nissan altima,2005,None,good,6 cylinders,fwd,gas,brown,133000,mid-size,clean,automatic,None,6000
chrysler pacifica,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
ford mustang,2014,None,excellent,6 cylinders,rwd,gas,white,None,mid-size,clean,automatic,coupe,13800
Dodge durango,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
dodge ram cummins 3500 laramie,1998,None,None,None,None,diesel,None,None,None,clean,automatic,None,8500
pontiac trans am,1977,None,None,8 cylinders,None,gas,None,None,None,parts only,other,None,1200
ford mustang ii,1978,None,excellent,6 cylinders,rwd,gas,red,100014,mid-size,clean,manual,hatchback,3000
JEEP WRANGLER X,2002,None,None,6 cylinders,None,gas,None,138,None,clean,manual,None,9800
Ford F-150 4X4 Platnimun,2013,1FTFW1ET1DFD02871,like new,6 cylinders,4wd,gas,brown,61000,full-size,clean,automatic,pickup,29500
chevy silverado 1500,2014,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
Chevy g20,1994,None,good,8 cylinders,None,gas,green,None,full-size,clean,automatic,van,2500
ford f250 diesels powerstroke,2008,None,None,None,None,diesel,None,None,None,clean,automatic,None,12345
ford f-150,1993,None,None,None,None,gas,None,None,None,clean,automatic,None,150
nissan sentra,2004,None,excellent,4 cylinders,fwd,gas,None,163000,compact,clean,automatic,sedan,2400
Ford v8 triton xlt,1998,None,good,8 cylinders,None,gas,white,None,None,clean,automatic,pickup,2500
Ford,2001,None,good,6 cylinders,None,gas,None,None,None,clean,automatic,None,5000
chevrolet 1500 silverado,1981,None,excellent,8 cylinders,rwd,gas,red,None,full-size,clean,automatic,pickup,9500
Volvo 670,2018,None,None,None,None,diesel,None,None,None,clean,automatic,None,119900
dodge ram 1500,2001,None,good,8 cylinders,4wd,gas,green,170000,full-size,clean,automatic,None,4900
honda civic,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,7200
dodge ram 1500 slt,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,5000
ford mustang gt,2012,None,None,None,None,gas,None,None,None,clean,automatic,None,19000
ford mustang,2015,None,None,None,None,gas,None,None,None,clean,automatic,None,20000
na,2017,None,like new,other,None,other,None,None,None,clean,other,None,800
R model mack,1986,None,None,None,None,diesel,None,None,None,clean,manual,None,18900
Mack CH613,2010,None,good,6 cylinders,rwd,diesel,custom,None,None,clean,manual,truck,54000
dodge ram 1500 sport,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6500
chevy corvette,2002,1G1YY22G825100119,None,None,None,gas,None,96916,None,clean,automatic,None,8500
ford f150,1997,None,good,8 cylinders,rwd,gas,white,170000,full-size,clean,automatic,pickup,4450
chevrolet 1500 silverado,2016,None,None,None,None,gas,None,None,None,clean,automatic,None,16500
Jeep SRT-8,2010,None,excellent,8 cylinders,4wd,gas,silver,119595,mid-size,clean,automatic,None,24500
