make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Cold weather,2018,None,None,None,None,other,None,None,None,clean,other,None,125
lucerne buick,2006,None,None,None,None,gas,brown,None,None,clean,automatic,None,2031
dodge ram 2500,2006,None,None,None,4wd,gas,None,None,None,clean,automatic,None,6800
chevy malibu 2LT,2009,None,excellent,4 cylinders,fwd,gas,grey,126500,mid-size,clean,automatic,coupe,4995
Honda Civic,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,6850
ford e150 econoline,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,1000
jeep wrangler,2001,None,None,None,None,gas,None,None,None,clean,manual,None,12500
jeep cherokee,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
mercury mountaineer,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
CHEROKEE  NICE,2001,None,good,6 cylinders,4wd,gas,None,None,full-size,clean,automatic,truck,1564
toyota 4runner,2000,None,good,6 cylinders,4wd,gas,silver,113000,None,clean,automatic,SUV,5500
chevrolet corvette,1966,None,None,None,None,gas,None,None,None,clean,manual,None,41500
ford mustang 5.0,1991,None,None,None,None,gas,None,None,None,clean,manual,None,8000
dodge caravan,1999,None,good,6 cylinders,fwd,gas,red,226320,full-size,clean,automatic,mini-van,1800
Ford,1992,F150,None,None,None,gas,None,198000,None,clean,manual,None,1500
Mazda,1998,None,None,None,None,gas,None,None,None,clean,manual,None,750
Dodge,2000,None,excellent,6 cylinders,4wd,diesel,green,215,full-size,clean,automatic,truck,18500
lincoln navigator,2004,None,excellent,8 cylinders,4wd,gas,silver,139000,full-size,clean,automatic,SUV,6995
cadillac cts,2004,None,fair,6 cylinders,rwd,gas,silver,224000,full-size,clean,automatic,sedan,1750
subaru outback,2004,4S3BH675247644456,good,4 cylinders,4wd,gas,white,191578,mid-size,clean,automatic,wagon,1000
lincoln navigator,2006,None,excellent,8 cylinders,4wd,gas,silver,None,full-size,clean,automatic,SUV,8995
Oldsmobile 98,1969,None,good,8 cylinders,rwd,gas,blue,None,full-size,clean,automatic,convertible,6500
Jeep Patriot Sport FWD,2015,1C4NJPBB8FD401727,like new,4 cylinders,fwd,gas,red,19000,full-size,clean,automatic,SUV,15500
Mercedes Benz ML500,2003,4JGAB75E33A384796,fair,8 cylinders,4wd,gas,custom,252000,mid-size,clean,automatic,SUV,2200
FORD,1954,None,excellent,8 cylinders,rwd,gas,None,None,None,clean,manual,pickup,9500
ford explorer,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Ford F-350,2015,1FT8W3BTXFEC46091,excellent,8 cylinders,4wd,diesel,white,35000,None,clean,automatic,truck,42500
Hyndai Tiburon GT,2003,None,good,None,None,gas,blue,146000,None,clean,manual,hatchback,2500
Honda Civic EX,2001,None,good,4 cylinders,fwd,gas,silver,99000,None,clean,automatic,sedan,3750
Hyundai,2004,None,None,None,None,gas,None,63,None,clean,manual,None,2500
acura integra,1995,None,None,None,None,gas,None,117000,None,clean,manual,None,3000
Ford F100,1978,None,fair,8 cylinders,rwd,gas,black,None,full-size,clean,automatic,truck,1800
Ford F100,1968,None,excellent,6 cylinders,rwd,gas,green,36160,None,clean,manual,truck,12000
Ford Mustang Cobra,2003,None,None,None,None,gas,None,49200,None,clean,manual,None,29500
dodge durango,2004,None,good,8 cylinders,4wd,gas,grey,None,mid-size,clean,automatic,offroad,4200
chevrolet s-10,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,3500
nissan altima,2006,None,excellent,None,None,gas,white,None,compact,clean,automatic,None,1000
jeep grand cherokee,1994,None,None,None,None,gas,None,None,None,parts only,automatic,None,200
Ford Mustang,1972,None,None,None,None,gas,None,38200,None,clean,manual,None,13498
Dodge Ram 3500,1997,See me,good,6 cylinders,4wd,diesel,custom,None,full-size,clean,other,truck,12500
honda pilot ex-l 4wd,2007,None,excellent,6 cylinders,4wd,gas,blue,123010,full-size,clean,automatic,SUV,10500
nissan altima,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3300
Fabrications,1999,None,None,None,None,other,None,None,None,clean,automatic,None,6000
IMMACULATE IN AND OUT,2003,None,None,4 cylinders,fwd,gas,grey,None,None,clean,automatic,None,1100
lexus es 300,2000,None,None,6 cylinders,None,gas,grey,207567,None,clean,automatic,sedan,1000
Chevy Chevelle,1970,None,None,None,None,gas,None,None,None,salvage,automatic,None,2300
Chevy,1971,None,None,None,None,gas,None,00000,None,missing,automatic,None,4000
international,2004,1HVBTAFM94H660197,good,8 cylinders,rwd,diesel,white,164872,None,clean,automatic,bus,20000
Jeep Wrangler,2006,None,None,None,None,gas,None,160000,None,clean,automatic,None,5000
Honda Accord HFP,2005,None,like new,6 cylinders,fwd,gas,black,131000,mid-size,clean,automatic,coupe,3900
suzuki grand vitara 4-door,1999,None,good,6 cylinders,4wd,gas,green,175427,compact,clean,automatic,SUV,1990
hyundai sonata,2006,None,good,6 cylinders,fwd,gas,grey,134000,mid-size,clean,automatic,sedan,3500
hyundai sonata,2006,None,good,6 cylinders,fwd,gas,grey,134000,mid-size,clean,automatic,sedan,3500
honda crv,2011,None,None,None,None,gas,None,105000,None,clean,automatic,None,8999
4runner toyota,1999,JT3HN86R7X0257373,good,6 cylinders,4wd,gas,black,148488,None,clean,automatic,SUV,4000
Volvo wagon xc70,2007,None,excellent,None,4wd,gas,white,145,None,clean,automatic,wagon,4900
Nissan Altima,2004,None,excellent,None,None,gas,grey,None,None,clean,automatic,sedan,1600
Chevy Cobalt,2008,None,excellent,None,None,gas,blue,126000,None,clean,automatic,sedan,1800
chevrolet malibu,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,3000
Toyota XLE,2010,None,None,None,None,gas,None,None,None,clean,automatic,None,2000
nissan maxima,2004,None,excellent,6 cylinders,fwd,gas,None,None,None,clean,automatic,None,1400
ford model a,1931,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,4300
CAMRY SE SEDAN,2009,None,excellent,4 cylinders,None,gas,black,None,full-size,clean,automatic,sedan,1500
LX570,2009,None,excellent,8 cylinders,None,gas,None,None,None,clean,automatic,SUV,26572
Ford F450,2000,None,fair,None,None,diesel,None,157000,None,clean,automatic,None,1800
ford mustang 5.0,2012,None,None,None,None,gas,None,None,None,clean,manual,None,27500
jeep wrangler,2004,None,None,None,None,gas,None,None,None,clean,manual,None,8500
ford mustang convertible gt,1994,None,excellent,8 cylinders,rwd,gas,yellow,50000,mid-size,clean,manual,convertible,6500
dodge dakota,2005,None,None,None,None,gas,None,200000,None,clean,automatic,None,3700
hyundai sonata,2006,None,good,6 cylinders,fwd,gas,grey,134000,mid-size,clean,automatic,sedan,3500
bmw 325i,2006,WBAVB13506PT03127,good,6 cylinders,None,gas,grey,91700,None,clean,automatic,sedan,6995
ford f-150,1988,None,None,None,None,gas,None,None,None,clean,automatic,None,1500
Chevy Tahoe,2004,None,good,8 cylinders,4wd,gas,None,None,None,clean,automatic,SUV,5000
ford mustang convertible gt,2012,None,excellent,8 cylinders,rwd,gas,silver,49500,None,clean,manual,convertible,27500
chevrolet tahoe,2000,None,good,8 cylinders,4wd,gas,black,175000,None,clean,automatic,SUV,3000
Toyota Matrix,2010,None,good,4 cylinders,fwd,gas,orange,77012,compact,clean,automatic,hatchback,1
GMC Sierra classics,1984,1255tt7iiiio77899,None,8 cylinders,4wd,gas,orange,None,full-size,clean,automatic,pickup,2500
jeep cherokee,2015,None,like new,None,4wd,gas,silver,59000,None,clean,automatic,SUV,20000
FORD F150,2011,1FTFX1EF8BFB66128,good,None,None,gas,white,None,None,clean,automatic,None,675
GRAND MARQUIS,1999,2MEFM74W9XX602766,None,None,rwd,gas,None,None,None,clean,automatic,None,850
dodge ram 1500,2001,None,excellent,None,None,gas,None,None,None,clean,automatic,truck,1000
MERCEDES C 240 AWD,2003,None,excellent,6 cylinders,4wd,gas,black,180,mid-size,clean,automatic,None,3250
caddilac,2002,None,None,None,None,gas,None,140000,None,clean,automatic,None,2900
chrysler 300c,2006,None,None,None,None,gas,None,139321,None,clean,automatic,None,5900
ford e250 econoline,1986,None,None,8 cylinders,rwd,gas,None,120000,None,clean,automatic,None,900
Chevy,2003,None,excellent,6 cylinders,rwd,gas,None,None,full-size,clean,automatic,van,2750
nissan versa,2009,None,None,None,None,gas,None,126000,None,clean,manual,None,3500
Chevy trail,2003,None,None,None,None,gas,None,180000,None,clean,automatic,None,3600
mercury mountaineer,2005,None,None,None,None,gas,None,175000,None,clean,automatic,None,4750
kia sedona,2006,None,None,None,None,gas,None,150000,None,clean,automatic,None,2900
chrysler 300c,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
lexus gs 430,2003,None,None,None,None,gas,None,201000,None,clean,automatic,None,3900
hyundai tiburon,2007,None,None,None,None,gas,None,28000,None,clean,automatic,None,5300
chevrolet,1996,None,fair,6 cylinders,4wd,gas,red,220000,compact,clean,automatic,SUV,2500
Ford Mustang Premium,2007,None,excellent,6 cylinders,rwd,gas,black,111000,None,clean,automatic,coupe,6850
ford f250,1988,None,good,8 cylinders,rwd,gas,None,136000,None,clean,manual,None,1350
Buick,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,4500
BMW,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,5900
Pontiac LeMans,1979,None,None,None,None,gas,None,None,None,clean,automatic,None,4000
dodge d150,1979,None,None,None,None,gas,None,None,None,clean,automatic,None,5200
mercedes-benz cclass,2006,None,excellent,6 cylinders,4wd,gas,white,165345,compact,clean,automatic,sedan,3500
chevy trailblazer,2002,None,good,6 cylinders,4wd,gas,brown,None,mid-size,clean,automatic,SUV,1500
hyundai tiburon,2008,None,excellent,6 cylinders,fwd,gas,black,120345,compact,clean,automatic,coupe,3500
saab 9-7x,2009,None,excellent,8 cylinders,4wd,gas,white,130025,full-size,clean,automatic,SUV,5850
chrysler sebring touring,2007,None,excellent,6 cylinders,fwd,gas,red,246000,full-size,clean,automatic,None,1200
ford f250,1995,None,good,8 cylinders,4wd,gas,None,216203,full-size,clean,automatic,pickup,6000
chevrolet suburban,2004,None,excellent,8 cylinders,4wd,gas,red,139400,full-size,clean,automatic,SUV,5950
Ford Taurus,2003,None,excellent,None,None,gas,black,83000,None,clean,automatic,None,3500
Subaru Outback Legacy,1998,None,None,4 cylinders,None,gas,None,149000,None,clean,automatic,None,1
Gmc 3500,2004,None,good,8 cylinders,rwd,diesel,white,135000,full-size,clean,automatic,truck,15999
ford mustang 5.0,1986,1fabp2836gf266182,excellent,8 cylinders,rwd,gas,red,38000,mid-size,clean,manual,None,9200
mazda miata mx-5,2000,JM1NB3533Y0139474,excellent,4 cylinders,rwd,gas,black,93100,compact,clean,automatic,convertible,7500
ford expedition,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,400
