make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1533
honda odyssey ex,2004,None,None,None,None,gas,None,None,None,clean,automatic,None,2700
buick encore convenience,2015,None,like new,4 cylinders,4wd,gas,red,19500,None,clean,automatic,SUV,13999
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,1583
Ford Explorer,2006,None,None,None,None,gas,None,None,None,clean,automatic,None,1575
volvo c30,2008,None,good,5 cylinders,fwd,gas,None,119000,None,lien,manual,None,7000
Volkswagen,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,3200
jeep wrangler rubicon,2010,None,excellent,6 cylinders,4wd,gas,None,99800,None,clean,automatic,offroad,19950
Honda Accord,2008,None,None,None,None,gas,None,None,None,clean,automatic,None,2092
Mercury grand Marquis,2011,None,like new,None,None,gas,None,350,None,clean,automatic,None,1950
Mini Cooper,2003,None,like new,4 cylinders,fwd,gas,None,120000,None,clean,automatic,None,2450
ford escape,2005,11111111,fair,other,4wd,gas,None,160000,None,clean,automatic,SUV,1
ford f250 super duty,2003,None,good,8 cylinders,4wd,diesel,white,278000,full-size,clean,automatic,truck,13500
Lexus,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
Chrysler,2001,None,None,None,None,gas,None,None,None,clean,automatic,None,1600
Ford Ranger XL 4X4,1993,None,good,6 cylinders,4wd,gas,brown,None,mid-size,clean,manual,truck,2800
Ford Bronco,1994,1FMEU15N6RLB32742,good,8 cylinders,4wd,gas,blue,163000,full-size,clean,automatic,SUV,2900
Chevrolet,1983,None,None,None,None,gas,None,None,None,clean,automatic,None,2500
Honda CR-V EX,2003,None,good,4 cylinders,4wd,gas,black,111340,None,clean,manual,SUV,4650
Honda CR-V EX,2003,None,good,4 cylinders,4wd,gas,black,111340,None,clean,manual,SUV,4650
Honda CR-V EX,2003,None,good,4 cylinders,4wd,gas,black,111340,None,clean,manual,SUV,4850
ford ranger,1987,None,good,6 cylinders,rwd,gas,silver,220,mid-size,clean,automatic,pickup,2000
Honda CR-V,2008,None,None,None,None,gas,None,79300,None,clean,automatic,None,1500
jeep cherokee sport,2000,None,None,None,None,gas,black,None,None,clean,automatic,None,4000
Mini Cooper,2003,None,like new,4 cylinders,None,gas,None,120000,None,clean,automatic,None,2450
jeep cherokee,1997,None,None,None,None,gas,None,None,None,clean,automatic,None,2900
infinity qx56,2006,None,good,8 cylinders,4wd,gas,white,139000,full-size,lien,automatic,None,8500
Honda Cr-v,2008,None,None,None,None,gas,None,88000,None,clean,automatic,None,1560
Ford f350,2000,None,None,None,None,diesel,None,None,None,clean,automatic,None,8500
dodge caravan,2005,1D4GP45R45B128832,good,6 cylinders,fwd,gas,silver,216000,full-size,clean,automatic,mini-van,1800
Dodge Dakota,1987,1B7GN14M0HS308160,good,6 cylinders,rwd,gas,brown,90060,mid-size,clean,automatic,pickup,1800
subaru baja,2006,None,good,4 cylinders,4wd,gas,blue,None,mid-size,lien,automatic,SUV,6200
Chevrolet Nova,1972,000000,fair,8 cylinders,None,gas,grey,None,mid-size,clean,automatic,coupe,4500
land rover,2002,None,None,None,None,gas,None,150000,None,clean,automatic,None,800
BMW 325,1987,None,None,None,None,gas,None,None,None,clean,automatic,None,1100
chevrolet avalanche,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,3800
nissan xterra,2004,None,excellent,None,None,gas,None,None,None,clean,manual,None,3000
toyota avalon,1998,None,None,None,None,gas,None,None,None,clean,automatic,None,1300
honda odyssey,2003,None,None,None,None,gas,None,209000,None,clean,automatic,None,1400
kia Spectra 5,2005,None,excellent,4 cylinders,None,gas,None,166,None,clean,automatic,hatchback,2650
pontiac firebird,1980,None,None,None,None,gas,None,None,None,clean,automatic,None,7500
Kia Soul,2012,None,excellent,4 cylinders,fwd,gas,white,560000,compact,clean,automatic,hatchback,7450
Toyota,1996,None,None,None,None,gas,None,150000,None,clean,automatic,None,3800
chrysler sebring,1999,None,excellent,4 cylinders,fwd,gas,green,77310,mid-size,clean,automatic,convertible,2500
mercedes-benz c300,2015,None,like new,4 cylinders,4wd,gas,brown,30000,full-size,clean,automatic,sedan,27995
HONDA CIVIC LX,2001,None,excellent,4 cylinders,fwd,gas,grey,None,compact,clean,manual,sedan,2800
mazda miata mx-5,2006,None,None,None,None,gas,None,144700,None,clean,manual,None,6000
Jeep Grand Cherokee Limited,1997,None,good,6 cylinders,4wd,gas,silver,None,None,clean,automatic,SUV,800
lincoln navigator,2006,None,excellent,8 cylinders,4wd,gas,silver,149000,full-size,clean,automatic,SUV,8995
Dodge Ram 2500,2003,None,good,8 cylinders,4wd,gas,red,172000,None,clean,automatic,truck,5000
Honda,2006,None,excellent,4 cylinders,fwd,gas,custom,81000,compact,clean,automatic,None,6300
ford escape,2005,None,excellent,6 cylinders,4wd,gas,red,85522,mid-size,clean,automatic,None,4300
BMW 325i,2006,None,None,6 cylinders,rwd,gas,None,132000,None,clean,manual,None,4990
chrysler pt cruiser,2003,3C4FY58B03T621574,like new,4 cylinders,None,gas,white,52272,mid-size,clean,automatic,hatchback,3950
Ford Focus RS,2016,None,excellent,4 cylinders,4wd,gas,blue,22000,compact,clean,manual,hatchback,30500
Toyota,2011,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
Pontiac Gran Prix,2006,None,excellent,None,fwd,gas,red,256060,None,clean,automatic,None,800
Chevy Chevelle,1970,None,None,None,None,gas,None,None,None,salvage,automatic,None,2300
Chevy,1971,None,None,None,None,gas,None,00000,None,missing,automatic,None,4000
Studebaker,1949,None,good,4 cylinders,rwd,gas,None,None,None,missing,manual,None,4500
toyota camry ce,2001,None,good,None,None,gas,None,None,None,clean,automatic,None,2000
toyota sienna le,2004,None,excellent,6 cylinders,fwd,gas,silver,156009,full-size,clean,automatic,van,6495
bmw 328xi,2010,None,excellent,6 cylinders,4wd,gas,green,180000,full-size,clean,manual,sedan,7995
Ford Escape,2004,None,None,6 cylinders,4wd,gas,black,170000,None,clean,automatic,SUV,2450
Mercury grand Marquis,2011,None,None,None,None,gas,None,80000,None,clean,automatic,None,1950
ford f-150,1998,None,good,8 cylinders,None,gas,black,160000,None,clean,automatic,pickup,2500
Saturn Sl,1999,None,good,None,None,gas,black,187000,None,clean,manual,None,1000
Subaru Outback,2001,None,excellent,4 cylinders,4wd,gas,None,137,mid-size,clean,automatic,SUV,3850
Jeep,1990,None,None,None,4wd,gas,None,None,None,clean,manual,None,900
Chevy corvette,1988,None,excellent,8 cylinders,rwd,gas,white,None,None,clean,automatic,coupe,6500
Nissan Titan,2005,None,excellent,8 cylinders,4wd,gas,red,114000,full-size,clean,automatic,truck,9300
jeep grand cherokee laredo 4x4,2004,None,None,None,None,gas,None,150,None,clean,automatic,None,4500
Subaru Impreza WRX STI,2010,None,excellent,4 cylinders,4wd,gas,blue,88000,compact,clean,manual,hatchback,21500
nissan rogue,2011,None,like new,4 cylinders,4wd,gas,purple,82000,full-size,clean,automatic,SUV,8500
vw beetle,1999,None,None,None,None,gas,None,None,None,clean,manual,None,1500
ford explorer,2002,None,good,8 cylinders,4wd,gas,None,220000,None,clean,automatic,None,2400
chevy suburban 1500,2002,None,None,None,None,gas,None,None,None,clean,automatic,None,2200
suzuki sx4,2010,None,excellent,4 cylinders,fwd,gas,red,106000,None,clean,automatic,sedan,4500
