make and model,year,VIN,condition,cylinders,drive,fuel,color,odometer,size,title,transmission,type,price
ford escort,1998,None,good,4 cylinders,fwd,gas,red,154000,None,clean,manual,None,2000
Chevrolet Silverado SS,2003,None,None,None,None,gas,None,None,None,clean,automatic,None,11500
FREIGHTLINER,1999,None,good,None,None,diesel,None,None,None,clean,manual,truck,10500
Toyota Camry SE,2009,None,like new,4 cylinders,fwd,gas,None,None,None,clean,automatic,None,1500
toyota yaris,2008,None,good,4 cylinders,fwd,gas,black,170000,compact,clean,manual,sedan,3200
ford f-250,1994,None,fair,8 cylinders,4wd,diesel,None,250000,full-size,clean,automatic,truck,5500
jeep cherokee,1997,None,good,6 cylinders,4wd,gas,green,191999,None,clean,manual,SUV,4000
International 1100,1967,None,excellent,8 cylinders,None,gas,None,None,None,clean,manual,None,4000
Toyota Tacoma,2005,None,None,None,None,gas,None,None,None,clean,automatic,None,1582
chevrolet tahoe,1999,None,fair,8 cylinders,rwd,gas,purple,170000,full-size,rebuilt,automatic,SUV,4600
Toyota Corolla,1999,None,good,4 cylinders,fwd,gas,grey,175,compact,clean,automatic,sedan,2500
honda accord lx,2008,None,excellent,4 cylinders,fwd,gas,silver,110,compact,clean,automatic,sedan,8000
honda accord 2-door coupe,1997,None,excellent,4 cylinders,fwd,gas,green,180000,compact,clean,automatic,sedan,1400
honda civic,1998,None,good,None,fwd,gas,None,None,None,clean,manual,None,2500
ford taurus,2009,None,None,None,None,gas,None,None,None,clean,automatic,None,6000
land rover range rover hse,2006,None,None,8 cylinders,None,gas,None,137200,None,clean,automatic,None,11000
volkswagen cc,2009,None,like new,4 cylinders,None,gas,white,92000,None,clean,automatic,sedan,6100
Chevy Camaro,2015,None,None,None,None,gas,None,None,None,rebuilt,automatic,None,14000
ford bronco,1975,None,None,None,None,gas,None,None,None,clean,automatic,None,25000
land rover range rover hse,2006,None,excellent,None,4wd,gas,blue,118000,full-size,clean,automatic,None,7000
subaru legacy outback,2003,None,salvage,None,None,gas,None,None,None,parts only,automatic,None,1
subaru forester,2004,None,good,4 cylinders,4wd,gas,green,None,mid-size,clean,manual,wagon,4600
subaru forester,2000,None,None,None,None,gas,None,None,None,parts only,automatic,None,1
mitsubishi endeavor,2006,None,good,5 cylinders,4wd,gas,silver,159000,mid-size,clean,automatic,SUV,3400
geo metro,1992,None,None,3 cylinders,None,gas,None,None,None,clean,manual,None,400
chevrolet corvette,1981,None,good,None,None,gas,None,None,None,clean,automatic,None,30
ACURA MDX TOURING,2003,2HNYD18853H551946,excellent,6 cylinders,4wd,gas,silver,None,None,clean,automatic,None,975
honda odyssey,2004,None,excellent,6 cylinders,fwd,gas,grey,201,full-size,clean,automatic,van,4000
mitsubishi endeavor ls,2011,None,excellent,6 cylinders,4wd,gas,silver,129000,None,rebuilt,automatic,SUV,6000
subaru legacy wagon,2001,None,None,None,None,gas,None,194000,None,clean,automatic,None,2900
dodge ram diesel cummins 3500,2012,None,None,None,None,diesel,None,234000,None,clean,automatic,None,33000
2002 HONDA CIVIC,2002,None,good,4 cylinders,fwd,gas,grey,170000,compact,clean,manual,coupe,2800
Ford 700,1984,None,None,None,None,gas,None,None,None,clean,manual,None,1200
GMC JIMMY vortec V6 4x4,1994,None,None,6 cylinders,4wd,gas,white,151000,None,clean,automatic,SUV,800
Peterbilt,2005,None,None,None,None,diesel,None,None,None,clean,automatic,None,14000
subaru crosstrek 2.0i limited,2017,JF2GPALC8H8206025,like new,4 cylinders,4wd,gas,red,10200,sub-compact,clean,automatic,hatchback,24995
nissan 350z,2006,None,good,6 cylinders,rwd,gas,black,52000,None,salvage,automatic,coupe,12000
dodge w250,1990,None,None,None,4wd,diesel,None,None,None,clean,automatic,None,3000
dodge diesel,2001,None,good,6 cylinders,4wd,diesel,grey,224000,None,clean,automatic,None,9800
jeep cherokee xj,1990,None,fair,6 cylinders,4wd,gas,None,192966,None,clean,automatic,offroad,1500
bmw 525i,1991,None,None,None,None,gas,black,None,mid-size,clean,automatic,sedan,500
dodge dakota sport 4x4,1988,None,good,6 cylinders,4wd,gas,blue,237000,mid-size,clean,manual,truck,1000
cadillac escalade,2011,None,good,None,None,gas,None,None,None,clean,automatic,SUV,7000
Toyota pickup,1991,None,excellent,6 cylinders,rwd,gas,blue,None,None,clean,automatic,pickup,1500
Ford Ranger,2003,None,good,6 cylinders,rwd,gas,white,174000,None,clean,automatic,truck,3200
toyota tacoma,2000,None,excellent,None,None,gas,None,None,None,clean,manual,None,7500
toyota tacoma,2000,None,excellent,None,None,gas,None,None,None,clean,manual,None,7500
Honda Accord,1990,None,excellent,4 cylinders,fwd,gas,blue,179706,mid-size,clean,manual,sedan,4000
Toyota Camry,2005,4T1BE32K25U511702,good,4 cylinders,fwd,gas,silver,242000,full-size,clean,automatic,sedan,2800
ford f250,1996,None,None,None,None,diesel,None,None,None,clean,automatic,None,3200
